formula,band_gap
Ac,0.0
Ac,0.0
Ac,0.0
Ac,0.0
Ac2AgIr,0.0
Ac2AgPb,0.0
Ac2CdGa,0.0
Ac2CdGe,0.0
Ac2CdHg,0.0
Ac2CdSn,0.0
Ac2CuGe,0.0
Ac2CuIr,0.0
Ac2CuRu,0.0
Ac2CuSi,0.0
Ac2CuSn,0.0
Ac2GaCu,0.0
Ac2GaSi,0.0
Ac2GePd,0.0
Ac2HgGe,0.0
Ac2InGa,0.0
Ac2IrAu,0.0
Ac2IrPd,0.0
Ac2IrRh,0.0
Ac2Mg,0.0
Ac2Mg,0.0
Ac2Mg,0.0
Ac2MgGa,0.2016
Ac2MgPb,0.0
Ac2MgSn,0.0
Ac2MgTl,0.22000000000000064
Ac2NiGe,0.0
Ac2NiIr,0.0
Ac2O3,3.5225999999999997
Ac2S3,2.2729
Ac2S3,3.0275000000000003
Ac2SiAu,0.0
Ac2SiHg,0.0
Ac2SiPd,0.0
Ac2SnHg,0.0
Ac2TlCd,0.0
Ac2TlIn,0.0
Ac2TlSn,0.0
Ac2ZnAu,0.0
Ac2ZnGa,0.0
Ac2ZnGe,0.0
Ac2ZnHg,0.0
Ac2ZnIn,0.0
Ac2ZnIr,0.0
Ac2ZnSi,0.0
Ac2ZnSn,0.0
Ac3Au,0.0
Ac3Cd,0.0
Ac3Cd,0.0
Ac3Ce,0.0
Ac3Ce,0.0
Ac3Ce,0.0
Ac3Dy,0.0
Ac3Dy,0.0
Ac3Er,0.0
Ac3Er,0.0
Ac3Eu,0.0
Ac3Hg,0.0
Ac3Ho,0.0
Ac3In,0.0
Ac3La,0.0
Ac3La,0.0
Ac3Lu,0.0
Ac3Lu,0.0
Ac3Nd,0.0
Ac3Pm,0.0
Ac3Pr,0.0
Ac3Sc,0.0
Ac3Si,0.0
Ac3Sm,0.0
Ac3Sn,0.0
Ac3Tb,0.0
Ac3Th,0.0
Ac3Tl,0.0
Ac3Tm,0.0
Ac3Tm,0.0
Ac3Y,0.0
Ac3Y,0.0
Ac3Zn,0.0
Ac3Zn,0.0
AcAg,0.0
AcAg2Pb,0.0
AcAg2Sn,0.0
AcAg3,0.0
AcAgAu2,0.0
AcAgHg2,0.0
AcAgTe2,0.07939999999999969
AcAl3,0.0
AcAlO3,4.1024
AcAu3,0.0
AcBiAu2,0.0
AcBr3,4.103299999999999
AcBrO,4.241
AcCd3,0.0
AcCdAg2,0.0
AcCdAu2,0.0
AcCdHg2,0.0
AcCdRh2,0.0
AcCe3,0.0
AcCe3,0.0
AcCe3,0.0
AcCeMg2,0.0
AcCl3,5.0865
AcClO,4.4451
AcCrO3,2.0031000000000008
AcCu3,0.0
AcCuO3,0.0
AcDy3,0.0
AcDy3,0.0
AcEr3,0.0
AcEu3,0.0
AcEuAu2,0.0
AcEuMg2,0.0
AcEuZn2,0.0
AcF3,7.4101
AcF3,6.162600000000001
AcFeO3,0.9887999999999995
AcGa3,0.0
AcGaO3,2.895900000000001
AcGaTe2,0.49099999999999966
AcGe3,0.0
AcH2,0.0
AcH3,0.6406999999999998
AcHg3,0.0
AcHgAu2,0.0
AcHgRh2,0.0
AcHgTe2,0.0
AcI3,2.5886
AcIn3,0.0
AcInAg2,0.0
AcInAu2,0.0
AcInHg2,0.0
AcInTe2,0.3799000000000001
AcLa,0.0
AcLa3,0.0
AcLa3,0.0
AcLaCd2,0.0
AcLaMg2,0.0
AcMg,0.0
AcMg149,0.21850000000000014
AcMg3,0.0
AcMg3,0.0
AcMg5,0.0
AcMgCd2,0.0
AcMgHg2,0.0
AcMgO3,0.0
AcMgTl2,0.0
AcMgZn2,0.0
AcMnO3,0.0
AcN,0.0517000000000003
AcNd3,0.0
AcNd3,0.0
AcNdMg2,0.0
AcNiO3,0.0
AcO,0.0
AcOF,4.256600000000001
AcPbAu2,0.0
AcPdO3,0.0
AcPm3,0.0
AcPm3,0.0
AcPr3,0.0
AcPr3,0.0
AcPrMg2,0.0
AcRh2Pb,0.0
AcSbAu2,0.0
AcSc3,0.0
AcScO3,3.3847000000000005
AcSe3,0.0
AcSe3,0.0
AcSi3,0.0
AcSm3,0.0
AcSm3,0.0
AcSnAu2,0.0
AcSnHg2,0.0
AcSnPd2,0.0
AcTb3,0.0
AcTe3,0.0
AcTh,0.0
AcTh3,0.0
AcTiO3,0.0
AcTlAg2,0.0
AcTlAu2,0.0
AcTlHg2,0.0
AcTlRh2,0.0
AcTlTe2,0.6253000000000002
AcVO3,0.0
AcY3,0.0
AcY3,0.0
AcZn2Cd,0.0
AcZn2In,0.0
AcZn3,0.0
AcZnAu2,0.0
Ag,0.0
Ag,0.0
Ag,0.0
Ag,0.0
Ag,0.0
Ag(AuF4)2,0.25849999999999973
Ag(AuS)2,0.0
Ag(BCl)6,2.6955
Ag(Bi2S3)3,0.0
Ag(H7O4)2,0.0
Ag(Mo3S4)2,0.0
Ag(Mo3Se4)2,0.0
Ag(MoSe)3,0.0
Ag(OsO3)2,0.0
Ag(Te5Au2)2,0.0
Ag(TeMo)6,0.0
Ag(W3Br7)2,0.0
Ag10Te4Br3,0.774
Ag10Te4Br3,0.8722000000000003
Ag10Te4BrCl,0.2208000000000001
Ag11Hg9,0.0
Ag12Sn7H16(Se11N2)2,0.22229999999999994
Ag13(BiI4)14,0.0
Ag13(PbO3)6,0.0
Ag13As3(IO3)4,0.3703000000000001
Ag13Bi15I64,0.0
Ag13OsO6,0.0
Ag14H8I4(OF2)5,0.0
Ag15(BiI4)16,0.0
Ag15Bi7I40,0.0
Ag15P4S16Cl3,1.2258
Ag15S5I4Br,0.5666000000000002
Ag16HgAs4S15,1.1012
Ag2(RhS)15,0.0
Ag25(BiO6)3,0.050899999999999945
Ag2As2O7,0.0
Ag2AsS2,0.5615000000000001
Ag2B8O13,2.9324
Ag2B8O13,3.2651
Ag2B8O13,2.858
Ag2Bi2S3Cl2,1.6367999999999996
Ag2Bi2SeS3,0.18899999999999917
Ag2BiO3,0.3872
Ag2BiO3,0.0
Ag2BiO3,0.5211999999999999
Ag2BiSb(TeSe)2,0.0
Ag2BiSbSe4,0.0
Ag2BiSbTe4,0.0
Ag2Br3,0.0
Ag2BrNO3,1.6045
Ag2CO3,0.44999999999999996
Ag2CO3,0.4558
Ag2CO3,0.47360000000000024
Ag2CO3,0.7489999999999999
Ag2CO3,0.4907999999999999
Ag2Cl3,0.0
Ag2F,0.0
Ag2F3,0.0
Ag2F5,0.0
Ag2Ge(S2O7)3,2.828
Ag2Ge2O5,0.7502
Ag2GeO3,0.2116
Ag2GeO4,0.0
Ag2GePbS4,1.3699000000000003
Ag2GeS3,0.46460000000000035
Ag2GeSe3,0.1251
Ag2H12C3S3(BrN3)2,2.7767
Ag2H12S(NO)4,2.9412000000000003
Ag2H16O9,2.2358
Ag2H2IOF,1.4591
Ag2H3IO6,0.6966000000000001
Ag2H4(SO4)3,2.8821
Ag2H6PdS2(NO3)2,1.8948999999999998
Ag2H8C2S2N5ClO3,2.4575
Ag2Hg,0.0
Ag2Hg(SeO3)2,1.8132
Ag2Hg2(TeO4)3,0.13580000000000014
Ag2Hg3,0.0
Ag2Hg3P4Br3,0.8896000000000002
Ag2Hg5,0.0
Ag2Hg7(As2I3)2,0.6403999999999999
Ag2Hg7(P4Br3)2,0.7716000000000003
Ag2Hg7(P4I3)2,0.7439
Ag2HgGeS4,0.44410000000000016
Ag2HgI4,1.2763999999999998
Ag2HgI4,0.0
Ag2HgI4,0.08719999999999972
Ag2HgI4,1.1003999999999998
Ag2HgI4,0.0
Ag2HgO2,0.4102999999999999
Ag2HgS2,0.4190999999999998
Ag2HgSI2,1.2212000000000003
Ag2INO3,1.4835
Ag2IO5,0.0
Ag2IO6,0.0
Ag2Mo(I2O7)2,1.9610999999999996
Ag2Mo2O7,1.5567
Ag2Mo2O7,1.8834
Ag2Mo3SeO12,1.5519
Ag2MoO4,1.8730999999999998
Ag2NClO3,1.7100000000000002
Ag2O,0.0
Ag2O,0.0
Ag2O,0.0
Ag2O,0.0
Ag2O3,0.0
Ag2O3,0.347
Ag2P2H2O7,2.1792
Ag2P2PbO7,2.3697
Ag2P2PdO7,1.1667999999999998
Ag2PHO4,1.3274000000000001
Ag2PO3F,1.0803
Ag2PS3,1.7759000000000005
Ag2PS3,1.4970999999999997
Ag2PSe3,0.8588
Ag2Pb8Cl4O7,1.9106
Ag2PbI4,0.9013999999999998
Ag2PbO2,1.3818000000000001
Ag2Pd(NO2)4,1.8403999999999998
Ag2PdCl4,0.9506000000000001
Ag2PdO2,0.0
Ag2S,0.0
Ag2S,1.1839999999999997
Ag2S,0.0
Ag2S,1.2299
Ag2S,0.9753000000000001
Ag2S,1.0778999999999996
Ag2S,0.0
Ag2S,1.3001000000000003
Ag2S,0.0
Ag2S,0.6242999999999999
Ag2S,1.4427999999999999
Ag2S,1.2959
Ag2S,0.12020000000000008
Ag2S,1.1894
Ag2S,0.3700999999999999
Ag2S,1.0006999999999997
Ag2S2O7,2.3015999999999996
Ag2SO3,2.3467000000000002
Ag2SO4,1.2289
Ag2SO4,1.321
Ag2Se,1.7115
Ag2Se,0.09080000000000021
Ag2Se,0.19159999999999977
Ag2Se,0.0
Ag2Se,0.0
Ag2Se,0.0
Ag2Se,0.0
Ag2Se,0.9678
Ag2Se,0.13839999999999986
Ag2SeO3,1.7022
Ag2SeO4,0.4263999999999999
Ag2SeO4,0.48150000000000004
Ag2Sn(S2O7)3,2.4703999999999997
Ag2SnBiS4,0.0
Ag2SnBiSe4,0.0
Ag2SnHgS4,0.015699999999999825
Ag2SnHgSe4,0.0
Ag2SnO3,0.13660000000000005
Ag2SnO3,0.0
Ag2SnSe3,0.05860000000000021
Ag2Te,0.0
Ag2Te,0.0
Ag2Te,0.0
Ag2Te,0.0
Ag2Te,0.0
Ag2Te(H2O3)2,0.7501000000000002
Ag2Te2O7,0.0
Ag2Te3Mo3O16,2.0202999999999998
Ag2Te4MoO12,2.1281000000000003
Ag2Te4O11,1.1402
Ag2TeO3,1.6272999999999995
Ag2TeO4,0.022099999999999564
Ag2TeO4,0.00010000000000021103
Ag2TeO4,0.020399999999999974
Ag2TeO4,0.0
Ag2TeO6,0.28080000000000005
Ag2TeS3,1.2999
Ag2W2O7,1.9614000000000003
Ag2WO4,2.0439
Ag2WO4,1.9382000000000001
Ag2WS4,0.8692999999999997
Ag3(AsO4)2,0.0
Ag3(Bi2Br3)7,0.01429999999999998
Ag3(PO4)2,0.0
Ag33(PbO3)14,0.0
Ag3As,0.0
Ag3As,0.0
Ag3AsF12,0.09939999999999993
Ag3AsO4,0.3175000000000001
Ag3AsO4,0.0
Ag3AsS3,1.1770999999999998
Ag3AsS3,1.6989
Ag3AsS3,1.6277999999999997
Ag3AsS4,0.35760000000000014
Ag3AsSe3,0.8452999999999999
Ag3AsSe3,0.8906000000000001
Ag3Au,0.0
Ag3Au,0.0
Ag3Au,0.0
Ag3AuS2,0.1802999999999999
Ag3AuS2,1.5633999999999997
Ag3AuS2,0.3932000000000002
Ag3AuSe2,0.023499999999999854
Ag3AuSeS,0.09489999999999998
Ag3B5O9,1.8021
Ag3BO3,0.0
Ag3BO3,0.8717000000000001
Ag3Bi,0.0
Ag3Bi7S12,0.6774999999999993
Ag3Bi8S13,0.0
Ag3BiO3,1.5250000000000004
Ag3F8,0.30689999999999995
Ag3Ge,0.0
Ag3Ge,0.0
Ag3Ge,0.0
Ag3Ge5P6,0.5388000000000002
Ag3H13SeN4O5,1.9348999999999998
Ag3Hg,0.0
Ag3Hg,0.0
Ag3IrO4,0.0
Ag3Mo3AsO13,1.7696
Ag3N5O6,1.9021
Ag3O,0.0
Ag3O4,0.0
Ag3P11,0.8305999999999996
Ag3P3HO9,0.005300000000000082
Ag3P3O10,0.0
Ag3P6H12N3O19,0.0
Ag3PO4,0.4209999999999998
Ag3PO4,0.17849999999999966
Ag3PS4,0.9914000000000001
Ag3PSe4,0.1743999999999999
Ag3Pb,0.0
Ag3Pd,0.0
Ag3Pd,0.0
Ag3Pd13Pb6,0.0
Ag3Pt,0.0
Ag3RuO4,0.0
Ag3RuO4,0.0
Ag3S,0.0
Ag3S4(O3F)4,0.0
Ag3SBr,0.2964
Ag3SBr,0.39870000000000005
Ag3SBr,0.39769999999999994
Ag3SI,0.4136000000000002
Ag3SI,0.7261000000000002
Ag3SI,0.6242999999999999
Ag3SI,0.2474000000000003
Ag3SI,0.2569999999999997
Ag3SI,0.26239999999999997
Ag3SI,0.3216000000000001
Ag3SI,0.3738999999999999
Ag3SI,0.3330000000000002
Ag3Sb,0.0
Ag3Sb,0.0
Ag3Sb,0.0
Ag3Sb4F24,0.012499999999999956
Ag3SbO4,0.0
Ag3SbS3,1.8371
Ag3SbS3,0.9521000000000002
Ag3SbS3,1.5142000000000002
Ag3SbTe4,0.0
Ag3Se,0.0
Ag3Sn,0.0
Ag3Sn,0.0
Ag3Sn2(GeP2)3,0.21549999999999958
Ag3SnP7,0.5034000000000001
Ag3Te2Au,0.17250000000000032
Ag3Te32Au13,0.0
Ag3TeIO4,0.1964999999999999
Ag4AuS2,0.0
Ag4Bi2O5,1.6389000000000005
Ag4GeO4,0.0
Ag4Hg4S4BrCl3,1.5993999999999997
Ag4Hg5S5IBrCl2,0.8686999999999998
Ag4HgGe2S7,0.46309999999999985
Ag4Mo2Se3O16,1.6559000000000001
Ag4P2S7,1.6556000000000002
Ag4PIO4,0.6932
Ag4Se(IO2)2,0.7545000000000002
Ag4Sn2(HgSe3)3,0.40349999999999997
Ag4Sn3S8,0.22930000000000028
Ag4Te(PO7)2,0.0807
Ag4TeO5,0.0041999999999999815
Ag4TeSO4,0.6883000000000001
Ag5(PbO3)2,0.0
Ag5(PbO3)2,0.0
Ag5(Sn3S8)2,0.0
Ag5Au3S4,0.9308999999999998
Ag5Au3S4,1.0997
Ag5BiO4,1.459
Ag5GeO4,0.5958000000000001
Ag5Hg4P8Cl5,0.9788000000000001
Ag5HgSbO6,0.0
Ag5IO6,0.020500000000000185
Ag5P(S2Cl)2,1.2689
Ag5PSeO4,0.3075999999999999
Ag5Sb23(PbS4)12,0.0
Ag5SbS4,0.5945
Ag5Te2Br,0.20789999999999997
Ag5Te2Cl,0.23160000000000025
Ag5Te2Cl,0.19849999999999968
Ag5TePO4,0.47129999999999983
Ag6Au2Se3S,0.03729999999999967
Ag6Ge(S2Br)2,0.5586
Ag6Ge(S2Cl)2,0.6229
Ag6Ge2O7,0.009700000000000042
Ag6GeSO8,0.0
Ag6Hg(P10I)2,1.0085000000000006
Ag6HgGeSe6,0.011200000000000099
Ag6HgNO11,0.0
Ag6Mo10O33,1.8778000000000001
Ag6Mo10O33,1.771
Ag6Mo2ClO7F3,1.5595
Ag6P6O19,0.4276
Ag6S2IBr,0.5861000000000001
Ag6SbAsS6,1.4419999999999997
Ag6SnSb,0.0
Ag6Te4W3O20,2.4678
Ag7(PbO3)3,0.0
Ag7(PbO3)3,0.0
Ag7(SI)2,0.0
Ag7(SI)2,0.0
Ag7AsS6,0.5009999999999999
Ag7AsSe6,0.0
Ag7NO11,0.0
Ag7NO11,0.0
Ag7P3S11,1.4065999999999996
Ag7PS6,0.9116
Ag7PSe6,0.4411999999999998
Ag7Sb9O25,0.3775000000000004
