formula,FE
Ac,0.02163906250000025
Ac,0.015585797500004142
Ac,0.011821722500002352
Ac,0.0
Ac2AgIr,-0.41328523750000556
Ac2AgPb,-0.4802780425000037
Ac2CdGa,-0.40283124874999743
Ac2CdGe,-0.46480851375000043
Ac2CdHg,-0.4336823506250056
Ac2CdSn,-0.5426539487500008
Ac2CuGe,-0.38625132874999935
Ac2CuIr,-0.3422987462500018
Ac2CuRu,-0.01683831749999598
Ac2CuSi,-0.2711647174999996
Ac2CuSn,-0.37453171624999726
Ac2GaCu,-0.2873784487499975
Ac2GaSi,-0.4172421700000015
Ac2GePd,-0.6652070499999958
Ac2HgGe,-0.5832501381250026
Ac2InGa,-0.5060674862499965
Ac2IrAu,-0.6953768862499956
Ac2IrPd,-0.6663974312499974
Ac2IrRh,-0.5347335137499982
Ac2Mg,-0.006879308333334204
Ac2Mg,-0.01975081833334021
Ac2Mg,-0.006998733333333007
Ac2MgGa,-0.2288402568749981
Ac2MgPb,-0.26746134000000055
Ac2MgSn,-0.3449175137499987
Ac2MgTl,-0.19924529333333219
Ac2NiGe,-0.3437809562500078
Ac2NiIr,-0.32469873625000645
Ac2O3,-3.634369269999996
Ac2S3,-2.4924864804374978
Ac2S3,-2.4397868576875
Ac2SiAu,-0.6415023025000011
Ac2SiHg,-0.46145538187500534
Ac2SiPd,-0.6024802275000027
Ac2SnHg,-0.6458057881250028
Ac2TlCd,-0.4070123812499986
Ac2TlIn,-0.5132424637499966
Ac2TlSn,-0.5701406362500023
Ac2ZnAu,-0.5424504324999972
Ac2ZnGa,-0.3782477174999954
Ac2ZnGe,-0.457048125
Ac2ZnHg,-0.38446555687499995
Ac2ZnIn,-0.3858614824999975
Ac2ZnIr,-0.414113234999995
Ac2ZnSi,-0.34416345125000447
Ac2ZnSn,-0.49182156749999706
Ac3Au,-0.12539605229167705
Ac3Cd,-0.032191966458334775
Ac3Cd,-0.03526686395833423
Ac3Ce,0.1274719668749995
Ac3Ce,0.1725088818750038
Ac3Ce,0.13000604687500328
Ac3Dy,0.06687583312499612
Ac3Dy,0.06845749937499335
Ac3Er,0.07069343312500109
Ac3Er,0.07181842312500208
Ac3Eu,0.015198531875000754
Ac3Hg,-0.09135691416666702
Ac3Ho,0.07054585562499938
Ac3In,-0.2502240406249996
Ac3La,0.032081053125004644
Ac3La,0.024142175625001983
Ac3Lu,0.07435272562500472
Ac3Lu,0.0753139281250057
Ac3Nd,0.018526088750000724
Ac3Pm,0.036769143749999955
Ac3Pr,0.01780028020833413
Ac3Sc,0.11935267812499717
Ac3Si,-0.02600888770834331
Ac3Sm,0.03917299812499664
Ac3Sn,-0.3817198231250032
Ac3Tb,0.06517612687500218
Ac3Th,0.12970287812500203
Ac3Tl,-0.16381396812499815
Ac3Tm,0.0723079489583327
Ac3Tm,0.07346687020833542
Ac3Y,0.058625999375003346
Ac3Y,0.04749050937500243
Ac3Zn,0.07822969270833369
Ac3Zn,0.06113507020833708
AcAg,-0.27115698125000165
AcAg2Pb,-0.31133219437500514
AcAg2Sn,-0.35657192437499674
AcAg3,-0.20037644187500092
AcAgAu2,-0.6022818956250049
AcAgHg2,-0.36880610770833755
AcAgTe2,-0.9962317856250067
AcAl3,-0.40891574812500053
AcAlO3,-3.6874377910000016
AcAu3,-0.771291945625002
AcBiAu2,-0.6721702856250027
AcBr3,-2.478844165625002
AcBrO,-3.3624750758333306
AcCd3,-0.30156639187499934
AcCdAg2,-0.21414207437499755
AcCdAu2,-0.6651374968749977
AcCdHg2,-0.4662208381249968
AcCdRh2,-0.3540211793749961
AcCe3,0.14114316562499596
AcCe3,0.19331443812500027
AcCe3,0.14289171312499604
AcCeMg2,0.04702943187500086
AcCl3,-2.788094297499999
AcClO,-3.4910199199999945
AcCrO3,-3.1363904989999996
AcCu3,-0.059555694374999746
AcCuO3,-2.304353262500001
AcDy3,0.07628107687499863
AcDy3,0.07124375937500105
AcEr3,0.07535548687500437
AcEu3,0.02546638562500192
AcEuAu2,-0.7798672368750008
AcEuMg2,-0.05402873937500097
AcEuZn2,-0.26169590187499914
AcF3,-4.465113352499998
AcF3,-4.469767524999998
AcFeO3,-2.7689578350000006
AcGa3,-0.5959298668750002
AcGaO3,-2.9850470185000004
AcGaTe2,-1.0716412718750021
AcGe3,-0.444330336874998
AcH2,-0.6843335983333342
AcH3,-0.6718020309374992
AcHg3,-0.47723914374999765
AcHgAu2,-0.6576337837500006
AcHgRh2,-0.3216896037500021
AcHgTe2,-0.9881945362500062
AcI3,-1.8389879018750017
AcIn3,-0.550708905625001
AcInAg2,-0.32719432937499704
AcInAu2,-0.7126941743749953
AcInHg2,-0.5106122756249931
AcInTe2,-1.1650221143749988
AcLa,0.03203310374999546
AcLa3,0.03262462187500148
AcLa3,0.025576441875003297
AcLaCd2,-0.2749116968750007
AcLaMg2,-0.06782922937500135
AcMg,-0.05989392374999625
AcMg149,0.009979247550000233
AcMg3,0.0006403856250010165
AcMg3,-0.03154787937499748
AcMg5,-0.05941059875000013
AcMgCd2,-0.23841576437500045
AcMgHg2,-0.4219821656250069
AcMgO3,-2.999263695999999
AcMgTl2,-0.2425575185416733
AcMgZn2,-0.23583242437499807
AcMnO3,-2.971048392586206
AcN,-1.3225631381249983
AcNd3,0.03740125499999891
AcNd3,0.037042963749996716
AcNdMg2,-0.05558368499999977
AcNiO3,-2.452894944999997
AcO,-2.839377307083339
AcOF,-4.108767859999996
AcPbAu2,-0.6827262418750024
AcPdO3,-2.1230902264999996
AcPm3,0.04209530250000171
AcPm3,0.03833315874999954
AcPr3,0.042426806874999556
AcPr3,0.045715578124998046
AcPrMg2,-0.05725435854166694
AcRh2Pb,-0.34606416937499773
AcSbAu2,-0.7192835568749985
AcSc3,0.1232994206249991
AcScO3,-3.724347496500002
AcSe3,-1.2020438786718763
AcSe3,-1.2069157636718764
AcSi3,-0.3214685181250019
AcSm3,0.04745785312499606
AcSm3,0.039414258124999435
AcSnAu2,-0.7001559068750041
AcSnHg2,-0.48238412562499633
AcSnPd2,-0.6522944868750002
AcTb3,0.07087070812499974
AcTe3,-1.018373454375002
AcTh,0.1678758637499982
AcTh3,0.13287675562500567
AcTiO3,-3.5142843278333316
AcTlAg2,-0.23660802687500393
AcTlAu2,-0.6485188643749993
AcTlHg2,-0.4534742781250003
AcTlRh2,-0.3455137968749966
AcTlTe2,-1.2514026447916695
AcVO3,-3.138487465000003
AcY3,0.09506913062499223
AcY3,0.09855468562499681
AcZn2Cd,-0.23116120687500086
AcZn2In,-0.3388676693750057
AcZn3,-0.2703520518750011
AcZnAu2,-0.5443622406249986
Ag,0.007668675000001457
Ag,0.0021267149999992796
Ag,0.034337163333333365
Ag,0.0
Ag,0.010381675000004975
Ag(AuF4)2,-1.2035939050000015
Ag(AuS)2,-0.05503952017708684
Ag(BCl)6,-0.7369507665384615
Ag(Bi2S3)3,-0.5911942533854164
Ag(H7O4)2,-1.1361660847463764
Ag(Mo3S4)2,-0.7104041626111136
Ag(Mo3Se4)2,-0.713454326027778
Ag(MoSe)3,-0.5172696448139901
Ag(OsO3)2,-1.2302086096296294
Ag(Te5Au2)2,-0.06328390991665553
Ag(TeMo)6,-0.2648418457692313
Ag(W3Br7)2,-0.6245536576058374
Ag10Te4Br3,-0.3791594069607832
Ag10Te4Br3,-0.38124075049019435
Ag10Te4BrCl,-0.33594025770833147
Ag11Hg9,0.07860791908333908
Ag12Sn7H16(Se11N2)2,-0.4801992858452858
Ag13(BiI4)14,-0.6693072705020073
Ag13(PbO3)6,-0.8209342016666658
Ag13As3(IO3)4,-0.8380707668489569
Ag13Bi15I64,-0.5917700890398546
Ag13OsO6,-0.4502688575833318
Ag14H8I4(OF2)5,-1.0384809618495927
Ag15(BiI4)16,-0.6681350607894732
Ag15Bi7I40,-0.4821779350806446
Ag15P4S16Cl3,-0.4815482346992475
Ag15S5I4Br,-0.2886193398999984
Ag16HgAs4S15,-0.2937701849768509
Ag2(RhS)15,-0.46204466918747755
Ag25(BiO6)3,-0.5483464834057965
Ag2As2O7,-1.1158892609848474
Ag2AsS2,-0.14596247081249486
Ag2B8O13,-2.5008118227898546
Ag2B8O13,-2.508223744963768
Ag2B8O13,-2.4966752713768114
Ag2Bi2S3Cl2,-0.7589910564814812
Ag2Bi2SeS3,-0.45166349414713425
Ag2BiO3,-0.9234174418055522
Ag2BiO3,-0.9191937393055548
Ag2BiO3,-0.9221700880555547
Ag2BiSb(TeSe)2,-0.33348356891926967
Ag2BiSbSe4,-0.4188276940885407
Ag2BiSbTe4,-0.2840779987499986
Ag2Br3,-0.4359370940000019
Ag2BrNO3,-0.6652147079761893
Ag2CO3,-1.0602801372222217
Ag2CO3,-1.0581558549999994
Ag2CO3,-1.0877339513888884
Ag2CO3,-1.0609807199999994
Ag2CO3,-1.0580656280555547
Ag2Cl3,-0.49939082549999936
Ag2F,-0.8391111491666668
Ag2F3,-1.2018428174999982
Ag2F5,-1.2316221657142847
Ag2Ge(S2O7)3,-1.5967432927499994
Ag2Ge2O5,-1.4830402404629621
Ag2GeO3,-1.1978725947222202
Ag2GeO4,-1.0686022004761893
Ag2GePbS4,-0.5498775847916662
Ag2GeS3,-0.46651299513888905
Ag2GeSe3,-0.4240734600607616
Ag2H12C3S3(BrN3)2,-0.43976134547619034
Ag2H12S(NO)4,-0.7788827589492754
Ag2H16O9,-1.0944403778086425
Ag2H2IOF,-1.0535843515476186
Ag2H3IO6,-0.798608309340277
Ag2H4(SO4)3,-1.4467480399206345
Ag2H6PdS2(NO3)2,-0.9406509821491227
Ag2H8C2S2N5ClO3,-0.5534656148188419
Ag2Hg,0.05466904416666788
Ag2Hg(SeO3)2,-0.911725412547348
Ag2Hg2(TeO4)3,-1.1023184170175426
Ag2Hg3,0.08231893853333076
Ag2Hg3P4Br3,-0.3628434970337307
Ag2Hg5,0.07978825095237393
Ag2Hg7(As2I3)2,-0.2999887180701778
Ag2Hg7(P4Br3)2,-0.3785613473033137
Ag2Hg7(P4I3)2,-0.24072883730331385
Ag2HgGeS4,-0.46351562385416667
Ag2HgI4,-0.5410528708333356
Ag2HgI4,-0.5161846926190476
Ag2HgI4,-0.4388104422619052
Ag2HgI4,-0.539770893690477
Ag2HgI4,-0.3661509179761908
Ag2HgO2,-0.452626127666667
Ag2HgS2,-0.24948239516666676
Ag2HgSI2,-0.45832656888888906
Ag2INO3,-0.6236372206547607
Ag2IO5,-0.5248818232291659
Ag2IO6,-0.3973242464814809
Ag2Mo(I2O7)2,-0.9636325613492059
Ag2Mo2O7,-1.504732557803029
Ag2Mo2O7,-1.5037991532575745
Ag2Mo3SeO12,-1.5465684221209477
Ag2MoO4,-1.2485939940476203
Ag2NClO3,-0.6879322622619034
Ag2O,-0.3141996186111082
Ag2O,-0.20551060916666467
Ag2O,-0.2949970977777762
Ag2O,-0.1949094102777765
Ag2O3,-0.18240765216666546
Ag2O3,-0.352642995166665
Ag2P2H2O7,-1.813657337893773
Ag2P2PbO7,-1.9820202058432532
Ag2P2PdO7,-1.7832567625099205
Ag2PHO4,-1.5712900828199394
Ag2PO3F,-1.767856085782313
Ag2PS3,-0.2452192696670355
Ag2PS3,-0.23619225626426044
Ag2PSe3,-0.3363640391679065
