formula,band_gap
Ac,0.0
MgZn2Ni3O8,0.0
MgZn2Rh,0.0
MgZn3,0.0
MgZn4(Co3O8)2,0.0
MgZn4(SnO2)4,0.0
MgZn5,0.0
MgZnRh2,0.0
MgZn2Ir,0.0
MgZnCu,0.0
MgZnCo,0.0
MgZnAu2,0.0
MgZnAg2,0.0
MgZnNi2,0.0
MgZn2Bi6Ru8O27,0.0
MgZn2,0.0
MgZn(NiO2)4,0.0
MgZn(CoS2)4,0.0
MgZn,0.0
MgZr2,0.0
MgZn2(AgO2)4,0.0
MgZr3,0.0
Mn(InSe2)2,0.0
Mn(Mo3Se4)2,0.0
Mn(NbS2)3,0.0
Mn(NbS2)4,0.0
Mn(NbSe2)4,0.0
Mn(NiN)3,0.0
Mn(PO3)4,0.0
Mn(PO3)5,0.0
Mn(SbO2)2,0.0
Mn(SbO3)2,0.0
Mn(SbS2)2,0.0
Mn11Cu7O24,0.0
Mn11Al4V,0.0
Mn10FeN8,0.0
Mn10CuN8,0.0
Mn10CuGe5,0.0
Mn(InS2)2,0.0
Mn10CrN9,0.0
Mn10C3N,0.0
Mn10(SiGe)3,0.0
Mn(ZnN)2,0.0
Mn(VSi3)2,0.0
Mn(Si2O5)2,0.0
Mn10CoN8,0.0
Mn(GaTe2)2,0.0
Mn(GaS2)2,0.0
Mn(FeO2)2,0.0
Mn(AlS2)2,0.0
Mn,0.0
MgZrZn2,0.0
MgZrPt2,0.0
MgZrNi2,0.0
MgZrIr2,0.0
MgZrAu2,0.0
MgZr4(CuS4)2,0.0
MgZrPd2,0.0
Mn(BH4)2,0.0
Mn(BW)2,0.0
Mn(FeN)2,0.0
Mn(CuTe)2,0.0
Mn(Cu3O4)2,0.0
Mn(CrSe2)2,0.0
Mn(BMo)2,0.0
Mn(CoO2)4,0.0
Mn(Bi3O5)4,0.0
Mn(CoO3)2,0.0
MgPaTc2,0.0
MgPb,0.0
MgPb2,0.0
MgPb3,0.0
MgPb5,0.0
MgPt5,0.0
MgPt2,0.0
MgPt,0.0
MgPdAu2,0.0
MgPaRu2,0.0
MgPd3,0.0
MgPaRh2,0.0
MgPaPt2,0.0
MgNi2Sn,0.0
MgNi3C,0.0
MgNi2,0.0
MgNi,0.0
MgNi3P3O13,0.0
MgNi9O13,0.0
MgPa3,0.0
MgPPd5,0.0
MgP,0.0
MgNiSbP2O9,0.0
MgNiSb,0.0
MgNi5,0.0
MgNiH,0.0
MgNiGe,0.0
MgNiF6,0.0
MgNiBi,0.0
MgNiH2,0.0
MgVF6,0.0
MgVCoS4,0.0
MgVBiO6,0.0
MgV5(MoO5)5,0.0
MgV4O8,0.0
MgVInS4,0.0
MgVN2,0.0
MgVRu2,0.0
MgVO3,0.0
Mn11Ge8,0.0
MgSbPd,0.0
MgRu2W,0.0
MgRh5,0.0
MgRh3,0.0
MgRh2Pb,0.0
MgReN2,0.0
MgRhF6,0.0
MgSbPd2,0.0
MgSb3,0.0
MgSb2(PO5)2,0.0
Mn12Ge4N3,0.0
Mn2FeN2,0.0
Mn2FeO6,0.0
Mn2Ga2S5,0.0
Mn2Ga5,0.0
Mn2GaCo,0.0
Mn2GaCo4Ge,0.0
Mn2GaCu3,0.0
Mn2In2Se5,0.0
Mn2In2CuPd3,0.0
Mn2GeSe4,0.0
Mn2GeS4,0.0
Mn2FeCoP2,0.0
Mn2GeRu,0.0
Mn2Ge3Pd4,0.0
Mn2GaW,0.0
Mn2GaRh,0.0
Mn2GaNi,0.0
Mn2GeO4,0.0
Mn2Fe3Sn(PO4)6,0.0
Mn2Fe3P6WO24,0.0
Mn2CuO4,0.0
Mn2CuNiSb2,0.0
Mn2CuGe,0.0
Mn2Cu(PO4)3,0.0
Mn2InCu4Sn,0.0
Mn2Fe3Ni(PO4)6,0.0
Mn2Fe3Cu10(SnS4)5,0.0
Mn2Fe3Cu(PO4)6,0.0
Mn2Fe3Co3O16,0.0
Mn2Fe3Co(PO4)6,0.0
Mn2Fe3(SiO4)3,0.0
Mn2Fe(PO4)3,0.0
Mn2F7,0.0
Mn2CuSb2Pd,0.0
Mn2InN2,0.0
Mn2O3F,0.0
Mn2OF3,0.0
