formula,FE
U8Bi2O19,-11.864228118706894
BaGdCrFeO6,-5.150985960499999
TbF3,-4.504522741875
DyF3,-4.501402138125
ErF3,-4.500409982708334
HoF3,-4.495813716874999
YF3,-4.47081408
AcF3,-4.469767524999998
NdF3,-4.454145914583333
SrLa5F17,-4.448057469021741
PrF3,-4.438749333541666
BaTm2F8,-4.43071225090909
BaLu2F8,-4.42824758530303
ThF4,-4.426985403666663
BaEr2F8,-4.420432952727269
Sr4Lu3F17,-4.393681178854167
Er3O2F5,-4.383081383499999
BaY2F8,-4.377043395454558
BaCaLu2F10,-4.376101332738096
LaCeF6,-4.372439173749999
Ba4Er3F17,-4.340021368854167
BaYF5,-4.337345774642858
RbLu3F10,-4.323020997678572
LuOF,-4.319989356388888
Ba4Y3F17,-4.3190548521875
CeTh9O20,-4.318630209999998
Ba4Nd3F17,-4.3181734775
CsLu4F13,-4.317765865601854
Sr7Y6OF30,-4.317192968011365
CsLu3F10,-4.313067708214285
TmOF,-4.307720808333336
CeF3,-4.307296472708333
Ce8U2O21,-4.306902884758063
KEr3F10,-4.305046597571429
RbEr3F10,-4.302387105178571
Ca20Er10F69,-4.300509548162177
Na3Th10BeF45,-4.298286919731151
KHo3F10,-4.2972709323035705
KTb3F10,-4.293677896232142
RbTb3F10,-4.293629520535715
RbTh2F9,-4.290536264791666
Ba3Y2F12,-4.2896994079411765
Nd6F17,-4.288231923103864
PmF3,-4.287805607500001
BaThF6,-4.286468899375
Ba2YF7,-4.285321168250002
Y5O4F7,-4.284710813593748
Ba2Y5F19,-4.283915502403845
TmHfF7,-4.283375432500002
LuHfF7,-4.278805633240741
CeTh4O10,-4.276344523000001
Y6O5F8,-4.275648212763159
ErOF,-4.273447405277778
TbHfF7,-4.272601021944445
DyHfF7,-4.272545732499999
HoHfF7,-4.271577319166667
SrThF6,-4.268587644166669
Y7(O2F3)3,-4.26828468488636
Ca13Y6F43,-4.266097257656809
CeHfF7,-4.26605324638888
LaHfF7,-4.263714301944447
RbSm3F10,-4.262896391250001
ThZrF8,-4.2618261365
HoOF,-4.261365872500001
KTh2F9,-4.260291161354163
DyOF,-4.257328304166667
SmHfF7,-4.252798720277779
CeTh3O8,-4.250468873333335
TbOF,-4.249943015833334
Sr2ScF7,-4.24306132
NdHfF7,-4.242399606666666
ThO2,-4.2402188066666655
LuZrF7,-4.2339246054629545
Ce6Th4O19,-4.228876828017241
TmZrF7,-4.227339064722222
KEr2F7,-4.227279734349999
RbGd3F10,-4.226316850535715
YOF,-4.223913480833335
GdHfF7,-4.223510666388888
Sm3Th5F27,-4.221626685785713
KDy2F7,-4.21976895155
LaHf2F11,-4.217713854107144
Ba2PrF7,-4.217063702916666
DyZrF7,-4.2165736308333335
TbZrF7,-4.216563426388889
Sr2LaF7,-4.214525899250002
KTb2F7,-4.213409384808332
Th5OF19,-4.213346357658325
CeTh2O6,-4.212505247222221
BaHfF6,-4.21196331125
SrF2,-4.210395051666666
LaZrF7,-4.207440723611111
Th6OF24,-4.206053043185483
SmZrF7,-4.202579321666666
La3O2F5,-4.202424446249992
GdZrF7,-4.200542256388881
PuF3,-4.191929446562497
LaOF,-4.1904450875
Ba3YF9,-4.1861876634615385
TmF3,-4.183769093125001
LaTh4OF19,-4.181129984299998
PrZrF7,-4.176939527685184
Th3TlF13,-4.171677012794114
Ce3Th3O11,-4.170181940147057
Sr5Zr3F22,-4.169240545833333
BaF2,-4.163984115000002
Ba3ZrF10,-4.1626768017857145
Ca3NdF9,-4.160775510641029
GdF3,-4.158415573125001
SrZrF6,-4.14338262875
Ca5ThF14,-4.142019390666674
Y2Th8O19,-4.141728050603456
NdZr2F11,-4.141066542857142
CeThO4,-4.1374605116666645
Tb3TlF10,-4.13584204202381
NaY3F10,-4.134796753928571
CeZr2F11,-4.1249158405357145
GdOF,-4.121971784166668
NdOF,-4.118928871666665
Sr5Al2F16,-4.1181959045652174
Y3TlF10,-4.116886856250001
YZr3F15,-4.109718102236843
AcOF,-4.108767859999996
PrZr3F15,-4.108388424298222
YTh9O20,-4.106012318999998
NdZr3F15,-4.10580883131579
La6Zr8F47,-4.105249623022572
Sr10Al2ClF25,-4.104935561907895
GdZr3F15,-4.1021375478947375
Y2Th5O13,-4.101133511375002
NdTh9O20,-4.100465793249994
TmPaO4,-4.100077163333334
