formula,FE
Cu2PS3,-0.23691666666666666
Cu3PS4,-0.3226375
Cu4P2S7,-0.2075923076923077
Cu7P3S11,-0.20299047619047622
Cu7PS6,-0.21357857142857142
CuPS3,-0.26072
CuPS,-0.24639999999999998
Li2PS3,-0.9147166666666666
Li3PS4,-0.9510375
Li4P2S7,-0.8187153846153846
Li7P3S11,-0.8597904761904761
Li7PS6,-1.1047785714285714
LiPS3,-0.599
Na2PS3,-0.87505
Na3PS4,-0.9220375
Na4P2S7,-0.7984846153846153
Na7P3S11,-0.8371238095238095
Na7PS6,-0.9617785714285715
NaPS3,-0.5996
K2PS3,-0.95485
K3PS4,-1.0089375
K4P2S7,-0.8604538461538461
K7P3S11,-0.9029238095238096
K7PS6,-0.9669785714285714
KPS3,-0.6728799999999999
K3PS3,-0.9332571428571429
Rb2PS3,-0.95485
Rb3PS4,-1.0114375
Rb4P2S7,-0.8586846153846154
Rb7P3S11,-0.9009238095238095
Rb7PS6,-0.9449785714285713
RbPS3,-0.68948
Cs2PS3,-1.00335
Cs3PS4,-1.069375
Cs4P2S7,-0.9000692307692308
Cs7P3S11,-0.9514238095238096
Cs7PS6,-1.0092285714285716
CsPS3,-0.7299800000000001
Cs2P8S13,-0.3801
Ag2PS3,-0.19491666666666665
Ag3PS4,-0.1982625
Ag4P2S7,-0.19136153846153844
Ag7P3S11,-0.1779904761904762
Ag7PS6,-0.14307857142857142
AgPS3,-0.18231999999999998
Tl2PS3,-0.4148833333333333
Tl3PS4,-0.4276
Tl4P2S7,-0.38286923076923074
Tl7P3S11,-0.35795714285714286
Tl7PS6,-0.32452857142857144
TlPS3,-0.3415
TlPS4,-0.18553333333333333
Tl2P4S13,-0.16353157894736842
TlP2S7,-0.06449
TlPS,0.056633333333333334
Tl5(PS)3,0.2071909090909091
Tl2PS,0.068025
Ca2P2S7,-0.9492454545454546
Ca2(PS3)3,-0.7570499999999999
Ca3(PS4)2,-1.1932461538461538
Ca4P2S,-1.4588714285714286
Ca(PS3)2,-0.5220222222222222
CaPS,-1.1307
CaPS3,-1.1137000000000001
SrP2,-0.8004666666666668
SrP3,-0.66155
SrP5,-0.3859333333333333
SrP,-1.0553
Sr2P,-0.8436333333333333
Sr3P,-0.59525
Sr2P2S7,-1.0098090909090909
Sr2(PS3)3,-0.7901357142857143
Sr3(PS4)2,-1.2652307692307692
Sr4P2S,-1.4012142857142857
Sr(PS3)2,-0.6547555555555555
SrPS,-1.1519000000000001
SrPS3,-1.17462
Ba2P2S7,-1.0606454545454544
Ba2(PS3)3,-0.8360071428571428
Ba3(PS4)2,-1.3079461538461539
Ba4P2S,-1.3297
Ba(PS3)2,-0.6824333333333333
BaPS,-1.1459333333333335
BaPS3,-1.21084
Ba2P2S5,-1.172188888888889
