formula,target
Au0P0S1,-0.23407036915518264
Au0P1S0,0.002609444083694088
Au0P1S1,-0.25385020394122554
Au0P1S2,-0.2310874048153429
Au0P1S3,-0.211892510823284
Au0P1S4,-0.2011446531117919
Au0P1S5,-0.18120884712099047
Au0P1S6,-0.17035530497205753
Au0P1S7,-0.1757307844393309
Au0P1S8,-0.17731344143805114
Au0P1S9,-0.17770079358769889
Au0P1S10,-0.17389530669158845
Au0P1S11,-0.17355469497781204
Au0P1S12,-0.16992109567515393
Au0P1S13,-0.1743600745354577
Au0P1S14,-0.17047913856477204
Au0P1S15,-0.16530531308457624
Au0P2S1,-0.09387679610769344
Au0P2S3,-0.2380716164147514
Au0P2S5,-0.21472401478353093
Au0P2S7,-0.1952177966201841
Au0P2S9,-0.17800007941697107
Au0P2S11,-0.18262295026526626
Au0P2S13,-0.18049088119553308
Au0P2S15,-0.1756215039983752
Au0P3S1,-0.06426489120148854
Au0P3S2,-0.07373743954203689
Au0P3S4,-0.23335333212191142
Au0P3S5,-0.23181487818211202
Au0P3S7,-0.21441877812989393
Au0P3S8,-0.20630427217997013
Au0P3S10,-0.19437874228944435
Au0P3S11,-0.1923362896641542
Au0P3S13,-0.18888199013700435
Au0P3S14,-0.18511375206187
Au0P4S1,-0.043931002456899806
Au0P4S3,-0.05470878676213706
Au0P4S5,-0.23780494921768117
Au0P4S7,-0.2218486509633298
Au0P4S9,-0.21496591927736877
Au0P4S11,-0.2108710096519065
Au0P4S13,-0.2006574624394182
Au0P4S15,-0.19967773371186773
Au0P5S1,-0.02861491760841495
Au0P5S2,-0.04291363160552895
Au0P5S3,-0.06195743016420281
Au0P5S4,-0.07205993077747841
Au0P5S6,-0.23143875214873705
Au0P5S7,-0.23271988643797722
Au0P5S8,-0.23038656770568622
Au0P5S9,-0.2329756169126884
Au0P5S11,-0.2178095276665372
Au0P5S12,-0.21062817488387092
Au0P5S13,-0.21117162758988528
Au0P5S14,-0.2152294109658832
Au0P6S1,-0.029605153683897788
Au0P6S5,-0.09173664444779503
Au0P6S7,-0.2327781160197904
Au0P6S11,-0.22498635749874496
Au0P6S13,-0.21647911987871093
Au0P7S1,-0.031146092942025274
Au0P7S2,-0.041136186163715865
Au0P7S3,-0.06349996757021785
Au0P7S4,-0.08036247561662618
Au0P7S5,-0.10576620411655765
Au0P7S6,-0.1099895558481594
Au0P7S8,-0.23244842425739048
Au0P7S9,-0.22855643178556917
Au0P7S10,-0.22986878575856554
Au0P7S11,-0.21679413691774346
Au0P7S12,-0.22098976927238576
Au0P7S13,-0.21625736212095442
Au0P8S1,-0.03317042843986077
Au0P8S3,-0.06527487613550877
Au0P8S5,-0.10578841299101653
Au0P8S7,-0.1162863534370514
Au0P8S9,-0.23185104665322648
Au0P8S11,-0.22268901796579763
Au0P9S1,-0.04386228882947116
Au0P9S2,-0.06119468050271019
Au0P9S4,-0.09663980545345602
Au0P9S5,-0.10361361887336948
Au0P9S7,-0.11595385155735215
Au0P9S8,-0.12114443882154995
Au0P9S10,-0.22534636553570273
Au0P9S11,-0.22078142087798686
Au0P10S1,-0.05221476044119278
Au0P10S3,-0.0787215358757685
Au0P10S7,-0.12465483384319494
Au0P10S9,-0.12938558845700218
Au0P11S1,-0.06539568875797402
Au0P11S2,-0.08104019496667761
Au0P11S3,-0.07983965925239188
Au0P11S4,-0.08882590606930046
Au0P11S5,-0.10859886454436514
Au0P11S6,-0.12382813054649162
Au0P11S7,-0.12182785440596548
Au0P11S8,-0.12249108845700216
Au0P11S9,-0.12930767946599317
Au0P12S1,-0.0739133190610043
Au0P12S5,-0.11653008509194619
Au0P12S7,-0.12204199321890692
Au0P13S1,-0.07522762100905628
Au0P13S2,-0.08435733241256503
Au0P13S3,-0.09966239446162709
Au0P13S4,-0.10489727108500374
Au0P13S5,-0.11111736858476917
Au0P13S6,-0.11890885685527057
Au0P13S7,-0.11910786994218363
Au0P14S1,-0.08949044496288025
Au0P14S3,-0.09246274186422447
Au0P14S5,-0.1129018687030719
Au0P15S1,-0.08868234972478499
Au0P15S2,-0.09441715095513356
Au0P15S4,-0.09927263846937368
Au1P0S0,-0.22195404780047098
Au1P0S1,-0.2972834489593741
Au1P0S2,-0.2958545086530601
Au1P0S3,-0.21949298359653768
Au1P0S4,-0.20612382104096455
Au1P0S5,-0.20245264012028566
Au1P0S6,-0.1911323938374834
Au1P0S7,-0.18610591094941345
Au1P0S8,-0.18142332662341953
Au1P0S9,-0.16994937104787186
Au1P0S10,-0.15657052480072378
Au1P0S11,-0.15538086872841633
Au1P0S12,-0.14939684853158533
Au1P0S13,-0.15420973399127524
Au1P0S14,-0.1536579128486408
Au1P0S15,-0.16599398872563614
Au1P1S0,0.02832438697478994
Au1P1S1,-0.08413333333333319
Au1P1S2,-0.16673079648947553
Au1P1S3,-0.11776000000000007
Au1P1S4,-0.17591666666666622
Au1P1S5,-0.1268634538099155
Au1P1S6,-0.08915887502513836
Au1P1S7,-0.07683466808175492
Au1P1S8,-0.0610217690964265
Au1P1S9,-0.07009741293216595
Au1P1S10,-0.07196907563770942
Au1P1S11,-0.07162180551436872
Au1P1S12,-0.07145042574147563
Au1P1S13,-0.06408945106115076
Au1P1S14,-0.06318439724367479
