formula,target
B0P0S1,-0.23407036915518264
B0P1S0,0.002609444083694088
B0P1S1,-0.25385020394122554
B0P1S2,-0.2310874048153429
B0P1S3,-0.211892510823284
B0P1S4,-0.2011446531117919
B0P1S5,-0.18120884712099047
B0P1S6,-0.17035530497205753
B0P1S7,-0.1757307844393309
B0P1S8,-0.17731344143805114
B0P1S9,-0.17770079358769889
B0P1S10,-0.17389530669158845
B0P1S11,-0.17355469497781204
B0P1S12,-0.16992109567515393
B0P1S13,-0.1743600745354577
B0P1S14,-0.17047913856477204
B0P1S15,-0.16530531308457624
B0P2S1,-0.09387679610769344
B0P2S3,-0.2380716164147514
B0P2S5,-0.21472401478353093
B0P2S7,-0.1952177966201841
B0P2S9,-0.17800007941697107
B0P2S11,-0.18262295026526626
B0P2S13,-0.18049088119553308
B0P2S15,-0.1756215039983752
B0P3S1,-0.06426489120148854
B0P3S2,-0.07373743954203689
B0P3S4,-0.23335333212191142
B0P3S5,-0.23181487818211202
B0P3S7,-0.21441877812989393
B0P3S8,-0.20630427217997013
B0P3S10,-0.19437874228944435
B0P3S11,-0.1923362896641542
B0P3S13,-0.18888199013700435
B0P3S14,-0.18511375206187
B0P4S1,-0.043931002456899806
B0P4S3,-0.05470878676213706
B0P4S5,-0.23780494921768117
B0P4S7,-0.2218486509633298
B0P4S9,-0.21496591927736877
B0P4S11,-0.2108710096519065
B0P4S13,-0.2006574624394182
B0P4S15,-0.19967773371186773
B0P5S1,-0.02861491760841495
B0P5S2,-0.04291363160552895
B0P5S3,-0.06195743016420281
B0P5S4,-0.07205993077747841
B0P5S6,-0.23143875214873705
B0P5S7,-0.23271988643797722
B0P5S8,-0.23038656770568622
B0P5S9,-0.2329756169126884
B0P5S11,-0.2178095276665372
B0P5S12,-0.21062817488387092
B0P5S13,-0.21117162758988528
B0P5S14,-0.2152294109658832
B0P6S1,-0.029605153683897788
B0P6S5,-0.09173664444779503
B0P6S7,-0.2327781160197904
B0P6S11,-0.22498635749874496
B0P6S13,-0.21647911987871093
B0P7S1,-0.031146092942025274
B0P7S2,-0.041136186163715865
B0P7S3,-0.06349996757021785
B0P7S4,-0.08036247561662618
B0P7S5,-0.10576620411655765
B0P7S6,-0.1099895558481594
B0P7S8,-0.23244842425739048
B0P7S9,-0.22855643178556917
B0P7S10,-0.22986878575856554
B0P7S11,-0.21679413691774346
B0P7S12,-0.22098976927238576
B0P7S13,-0.21625736212095442
B0P8S1,-0.03317042843986077
B0P8S3,-0.06527487613550877
B0P8S5,-0.10578841299101653
B0P8S7,-0.1162863534370514
B0P8S9,-0.23185104665322648
B0P8S11,-0.22268901796579763
B0P9S1,-0.04386228882947116
B0P9S2,-0.06119468050271019
B0P9S4,-0.09663980545345602
B0P9S5,-0.10361361887336948
B0P9S7,-0.11595385155735215
B0P9S8,-0.12114443882154995
B0P9S10,-0.22534636553570273
B0P9S11,-0.22078142087798686
B0P10S1,-0.05221476044119278
B0P10S3,-0.0787215358757685
B0P10S7,-0.12465483384319494
B0P10S9,-0.12938558845700218
B0P11S1,-0.06539568875797402
B0P11S2,-0.08104019496667761
B0P11S3,-0.07983965925239188
B0P11S4,-0.08882590606930046
B0P11S5,-0.10859886454436514
B0P11S6,-0.12382813054649162
B0P11S7,-0.12182785440596548
B0P11S8,-0.12249108845700216
B0P11S9,-0.12930767946599317
B0P12S1,-0.0739133190610043
B0P12S5,-0.11653008509194619
B0P12S7,-0.12204199321890692
B0P13S1,-0.07522762100905628
B0P13S2,-0.08435733241256503
B0P13S3,-0.09966239446162709
B0P13S4,-0.10489727108500374
B0P13S5,-0.11111736858476917
B0P13S6,-0.11890885685527057
B0P13S7,-0.11910786994218363
B0P14S1,-0.08949044496288025
B0P14S3,-0.09246274186422447
B0P14S5,-0.1129018687030719
B0P15S1,-0.08868234972478499
B0P15S2,-0.09441715095513356
B0P15S4,-0.09927263846937368
B1P0S0,-0.2285819075601643
B1P0S1,-0.21187857803453858
B1P0S2,-0.20244751850240406
B1P0S3,-0.2027408326611984
B1P0S4,-0.2071474513328776
B1P0S5,-0.2071474513328776
B1P0S6,-0.20443633320100946
B1P0S7,-0.20560314515572145
B1P0S8,-0.2109472882792646
B1P0S9,-0.21032754542212173
B1P0S10,-0.21370027269484904
B1P0S11,-0.2132795957717721
B1P0S12,-0.2132795957717721
B1P0S13,-0.210313063440945
B1P0S14,-0.21067519980458138
B1P0S15,-0.20794037440775598
B1P1S0,-0.13878894475246964
B1P1S1,-0.18726207129128178
B1P1S2,-0.20922578696522773
B1P1S3,-0.20646141179872754
B1P1S4,-0.20272341179872755
B1P1S5,-0.20612451417967992
B1P1S6,-0.20524721331387905
B1P1S7,-0.2004262373898031
B1P1S8,-0.2006627463641621
B1P1S9,-0.20349393077974653
B1P1S10,-0.20306890385666965
B1P1S11,-0.20306890385666965
B1P1S12,-0.20064025724012827
B1P1S13,-0.2045550126513837
B1P1S14,-0.2045550126513837
B1P1S15,-0.2045550126513837
B1P2S0,-0.13206588658563656
B1P2S1,-0.1283237626963679
B1P2S2,-0.19165420846039918
B1P2S3,-0.2071179406448814
B1P2S4,-0.20292744751301325
B1P2S5,-0.20205014664721235
B1P2S6,-0.2051096594677252
B1P2S7,-0.20167938738980312
B1P2S8,-0.20167938738980312
B1P2S9,-0.20771135055996634
B1P2S10,-0.20702420770282348
B1P2S11,-0.20049465724012827
B1P2S12,-0.20100239360376462
B1P2S13,-0.20100239360376462
B1P2S14,-0.20100239360376462
B1P2S15,-0.20378189360376464
B1P3S0,-0.1252609828872881
B1P3S1,-0.11979282763143283
B1P3S2,-0.12972246237169258
B1P3S3,-0.1918582441746849
B1P3S4,-0.20415032484401557
B1P3S5,-0.20205014664721235
B1P3S6,-0.20167938738980312
B1P3S7,-0.20167938738980312
B1P3S8,-0.2050521146625304
B1P3S9,-0.20581283773945352
B1P3S10,-0.2045955610862821
B1P3S11,-0.2041006974499185
B1P3S12,-0.20377194744991847
B1P3S13,-0.20377194744991847
B1P3S14,-0.20363629360376465
B1P3S15,-0.20500316633103735
B1P4S0,-0.1101836344024396
B1P4S1,-0.12438682763143284
B1P4S2,-0.12740609548857573
B1P4S3,-0.13148185955783975
B1P4S4,-0.18368995612939687
B1P4S5,-0.19802325341544413
B1P4S6,-0.20167938738980312
B1P4S7,-0.2050521146625304
B1P4S8,-0.20581283773945352
B1P4S9,-0.20338419112291212
B1P4S10,-0.2028893274865485
B1P4S11,-0.20305918462940564
B1P4S12,-0.20377194744991847
B1P4S13,-0.2065514474499185
B1P4S14,-0.2077727201771912
B1P4S15,-0.22321846533554165
B1P5S0,-0.1140904915452968
B1P5S1,-0.1227179704885757
B1P5S2,-0.12308159873532894
B1P5S3,-0.12404400441298463
B1P5S4,-0.13040886155584178
B1P5S5,-0.18687218405147482
B1P5S6,-0.20570864350868426
B1P5S7,-0.20581283773945352
B1P5S8,-0.20338419112291212
B1P5S9,-0.2028893274865485
B1P5S10,-0.2037463274865485
B1P5S11,-0.20583868462940566
B1P5S12,-0.20583868462940566
B1P5S13,-0.2077727201771912
B1P5S14,-0.22321846533554165
B1P6S0,-0.1129047415452968
B1P6S1,-0.12503767614125635
B1P6S2,-0.12171359007732029
B1P6S3,-0.1257136959714262
B1P6S4,-0.1289155050623353
B1P6S5,-0.1288981782225084
B1P6S6,-0.19100563440112517
B1P6S7,-0.20404071996906598
B1P6S8,-0.2028893274865485
B1P6S9,-0.2037463274865485
B1P6S10,-0.20652582748654852
B1P6S11,-0.20583868462940566
B1P6S12,-0.20705995735667837
B1P6S13,-0.2213199525150288
B1P7S0,-0.11334401048469074
B1P7S1,-0.12503767614125635
B1P7S2,-0.12725375051688076
B1P7S3,-0.12490748233506258
B1P7S4,-0.1307632853653656
B1P7S5,-0.1339613616890419
B1P7S6,-0.13310725454618477
B1P7S7,-0.18808212414822015
B1P7S8,-0.20440285633270236
B1P7S9,-0.20652582748654852
B1P7S10,-0.20583868462940566
B1P7S11,-0.2116137300839511
B1P7S12,-0.22250570251502885
B1P8S0,-0.11334401048469074
B1P8S1,-0.12907074632107654
B1P8S2,-0.12644753688051713
B1P8S3,-0.12948106718354743
B1P8S4,-0.13411636588484613
B1P8S5,-0.13192150454618476
B1P8S6,-0.13696942662410683
B1P8S7,-0.13815517662410684
B1P8S8,-0.191745147957744
B1P8S9,-0.2064952134755595
B1P8S10,-0.2116137300839511
B1P8S11,-0.22250570251502885
B1P9S0,-0.11451033001516028
B1P9S1,-0.12812724949567975
B1P9S2,-0.13452970354718377
B1P9S3,-0.13048691133939158
B1P9S4,-0.13225498080676634
B1P9S5,-0.14070742662410687
B1P9S6,-0.13696942662410683
B1P9S7,-0.14430387900505923
B1P9S8,-0.14548962900505924
B1P9S9,-0.20137611822431953
B1P9S10,-0.21997801203883835
B1P10S0,-0.11777976399784426
B1P10S1,-0.12778805252598277
B1P10S2,-0.13452970354718377
B1P10S3,-0.12862552626131177
B1P10S4,-0.13359780764659315
B1P10S5,-0.13788515389683415
B1P10S6,-0.14430387900505923
B1P10S7,-0.14430387900505923
B1P10S8,-0.15393484927163478
B1P10S9,-0.15722970641449188
B1P11S0,-0.11744056702814731
B1P11S1,-0.13116077979871002
B1P11S2,-0.1324927626249481
B1P11S3,-0.1387220847028702
B1P11S4,-0.13367344833923384
B1P11S5,-0.14463735526564078
B1P11S6,-0.14430387900505923
B1P11S7,-0.15393484927163478
B1P11S8,-0.15722970641449188
B1P12S0,-0.12081329430087458
B1P12S1,-0.12954451579955129
B1P12S2,-0.13754068470287018
B1P12S3,-0.14150158470287022
B1P12S4,-0.13943723405351954
B1P12S5,-0.14463735526564078
B1P12S6,-0.15236289696078772
B1P12S7,-0.15532427784306335
B1P13S0,-0.12123688744457298
B1P13S1,-0.12904965216318767
B1P13S2,-0.1409886489885845
B1P13S3,-0.14150158470287022
B1P13S4,-0.14605653708382257
B1P13S5,-0.15056323029412108
B1P13S6,-0.15565775410364488
B1P14S0,-0.11870216666535219
B1P14S1,-0.13731918787747335
B1P14S2,-0.1409358989885845
B1P14S3,-0.1550819489088397
B1P14S4,-0.15630322163611243
B1P14S5,-0.1545494424153332
B1P15S0,-0.1270244523796379
B1P15S1,-0.13731918787747335
B1P15S2,-0.1539005489088397
B1P15S3,-0.15630322163611243
B1P15S4,-0.1595980787789695
B2P0S1,-0.1204552184038183
B2P0S3,-0.21944494495928052
B2P0S5,-0.20546543192859767
B2P0S7,-0.20514410400651975
B2P0S9,-0.21150793246840877
B2P0S11,-0.21216954160926793
B2P0S13,-0.21389634980458141
B2P0S15,-0.2166758498045814
B2P1S0,-0.11292954784104774
B2P1S1,-0.11829106409146402
B2P1S2,-0.18965966592997638
B2P1S3,-0.21308905977224535
B2P1S4,-0.21213892194691275
B2P1S5,-0.20885827946439522
B2P1S6,-0.20885827946439522
B2P1S7,-0.20722144678041254
B2P1S8,-0.20722144678041254
B2P1S9,-0.21365368687365266
B2P1S10,-0.21385772258793836
B2P1S11,-0.21291967120949223
B2P1S12,-0.21299115605797708
B2P1S13,-0.206927917962739
B2P1S14,-0.20869077693709798
B2P1S15,-0.20869077693709798
B2P2S1,-0.12838481035353527
B2P2S3,-0.21195038623262705
B2P2S5,-0.20951480831054908
B2P2S7,-0.20722144678041254
B2P2S9,-0.21385772258793836
B2P2S11,-0.21299115605797708
B2P2S13,-0.20970741796273898
B2P2S15,-0.21548246341728444
B2P3S0,-0.13900293680208675
B2P3S1,-0.13479353009213008
B2P3S2,-0.13644550089983112
B2P3S3,-0.19566451119100198
B2P3S4,-0.20951480831054908
B2P3S5,-0.2107589756265664
B2P3S6,-0.21161597562656642
B2P3S7,-0.21059417405313982
B2P3S8,-0.21079820976742553
B2P3S9,-0.20986015838897942
B2P3S10,-0.21299115605797708
B2P3S11,-0.21299115605797708
B2P3S12,-0.2157706560579771
B2P3S13,-0.20970741796273898
B2P3S14,-0.21548246341728444
B2P3S15,-0.22523270251502886
B2P4S1,-0.1335182725163725
B2P4S3,-0.13778278241831265
B2P4S5,-0.21161597562656642
B2P4S7,-0.2151927386135794
B2P4S9,-0.20993164323746427
B2P4S11,-0.2157706560579771
B2P4S13,-0.21933838822931453
B2P5S0,-0.13189411507732032
B2P5S1,-0.13288170611961136
B2P5S2,-0.13288170611961136
B2P5S3,-0.13982474220852248
B2P5S4,-0.13747489588817616
B2P5S5,-0.2002386373814782
B2P5S6,-0.2151927386135794
B2P5S7,-0.2146434767088175
B2P5S8,-0.21058817208361813
B2P5S9,-0.2127111432374643
B2P5S10,-0.2127111432374643
B2P5S11,-0.2127111432374643
B2P5S12,-0.22540162632455268
B2P5S13,-0.22523270251502886
B2P6S1,-0.13288170611961136
B2P6S3,-0.13465262316090343
B2P6S5,-0.14171830606133629
B2P6S7,-0.21432617208361812
B2P6S9,-0.21336767208361812
B2P6S11,-0.22234211350403982
B2P7S0,-0.11500322531153055
B2P7S1,-0.1285552392864445
B2P7S2,-0.12957958149423676
B2P7S3,-0.1341837784639337
B2P7S4,-0.13889603333406356
B2P7S5,-0.14171830606133629
B2P7S6,-0.14733257662410681
B2P7S7,-0.1962923684705645
B2P7S8,-0.20730443398838003
B2P7S9,-0.21185820671565275
B2P7S10,-0.21693540425495556
B2P7S11,-0.21957373255165882
B2P8S1,-0.13274888993579517
B2P8S3,-0.1343878141782194
B2P8S5,-0.14733257662410681
B2P8S7,-0.15309636233839255
B2P8S9,-0.21693540425495556
B2P9S0,-0.11921338791559317
B2P9S1,-0.1312455342359395
B2P9S2,-0.13349663560679087
B2P9S3,-0.13470651547692072
B2P9S4,-0.13913503603969127
B2P9S5,-0.14660266103969127
B2P9S6,-0.15309636233839255
B2P9S7,-0.1615060598776953
B2P9S8,-0.16272733260496802
B2P9S9,-0.20853970870051
B2P10S1,-0.1327453686515239
B2P10S3,-0.1390079564942367
B2P10S5,-0.14840119675397698
B2P10S7,-0.16272733260496802
B2P11S0,-0.1219446920281473
B2P11S1,-0.13375121280736807
B2P11S2,-0.13733240714358735
B2P11S3,-0.1417874564942367
B2P11S4,-0.14477174220852243
B2P11S5,-0.1568108942932798
B2P11S6,-0.1580321670205525
B2P11S7,-0.16533504689068237
B2P12S1,-0.13714358239611263
B2P12S3,-0.14683609285787308
B2P12S5,-0.1543270717824573
B2P13S0,-0.12289494148702175
B2P13S1,-0.14268636811039834
B2P13S2,-0.14565469285787308
B2P13S3,-0.1582300761114616
B2P13S4,-0.15670855663094216
B2P13S5,-0.1576219289253144
B2P14S1,-0.15109606564970116
B2P14S3,-0.1617571929945784
B2P15S0,-0.13507315201333756
B2P15S1,-0.15408035136398682
B2P15S2,-0.16124425728029268
B2P15S3,-0.16274620598159145
B3P0S1,-0.11890468707199224
B3P0S2,-0.13432143174048172
B3P0S4,-0.22739539514243073
B3P0S5,-0.2098878649559505
B3P0S7,-0.20290709130810708
B3P0S8,-0.2062103804633962
B3P0S10,-0.2115275720218378
B3P0S11,-0.21419829536866644
B3P0S13,-0.21557335830572938
B3P0S14,-0.21557335830572938
B3P1S0,-0.11775400110305918
B3P1S1,-0.11121332546342538
B3P1S2,-0.11296227135087128
B3P1S3,-0.19070951743402795
B3P1S4,-0.21012504951583505
B3P1S5,-0.207392133498519
B3P1S6,-0.20957714713488268
B3P1S7,-0.21353622762456845
B3P1S8,-0.21543028319399898
B3P1S9,-0.21524174747971325
B3P1S10,-0.21056569610126716
B3P1S11,-0.2091612590383301
B3P1S12,-0.21500027185884293
B3P1S13,-0.21500027185884293
B3P1S14,-0.21955404458611563
B3P1S15,-0.2221703557617821
B3P2S0,-0.111685768104118
B3P2S1,-0.1170012951603951
B3P2S2,-0.12170727418137414
B3P2S3,-0.18548661327152374
B3P2S4,-0.20625641921280471
B3P2S5,-0.20750956921280472
B3P2S6,-0.2135174776245684
B3P2S7,-0.2158982763258671
B3P2S8,-0.21524174747971325
B3P2S9,-0.21430369610126715
B3P2S10,-0.2091612590383301
B3P2S11,-0.2119407590383301
B3P2S12,-0.2119407590383301
B3P2S13,-0.21955404458611563
B3P2S14,-0.2221703557617821
B3P2S15,-0.22727449688732324
B3P3S1,-0.13367801503218996
B3P3S2,-0.13024780531413022
B3P3S4,-0.20732103349851902
B3P3S5,-0.2135174776245684
B3P3S7,-0.2158982763258671
B3P3S8,-0.2153490144211052
B3P3S10,-0.2156787590383301
B3P3S11,-0.2119407590383301
B3P3S13,-0.215655747703174
B3P3S14,-0.22727449688732324
B3P4S0,-0.14484120040515036
B3P4S1,-0.13324695922965918
B3P4S2,-0.13020425316905315
B3P4S3,-0.13315298406315906
B3P4S4,-0.19876741210675292
B3P4S5,-0.21606806204015286
B3P4S6,-0.2158982763258671
B3P4S7,-0.2153490144211052
B3P4S8,-0.21633528788448395
B3P4S9,-0.21633528788448395
B3P4S10,-0.2156787590383301
B3P4S11,-0.2203504565776329
B3P4S12,-0.215655747703174
B3P4S13,-0.22300148406681036
B3P5S0,-0.1430870408313908
B3P5S1,-0.13125391983571982
B3P5S2,-0.12965060906315906
B3P5S3,-0.14206718809596836
B3P5S4,-0.14374819891847918
B3P5S5,-0.20131799652233734
B3P5S6,-0.2153490144211052
B3P5S7,-0.21633528788448395
B3P5S8,-0.21633528788448395
B3P5S9,-0.21633528788448395
B3P5S10,-0.2247449854237868
B3P5S11,-0.215655747703174
B3P5S12,-0.22161552692395323
B3P6S1,-0.13092586663891664
B3P6S2,-0.13856481309596835
B3P6S4,-0.14429865346393372
B3P6S5,-0.14451799562177586
B3P6S7,-0.21633528788448395
B3P6S8,-0.21633528788448395
B3P6S10,-0.21984624083504214
B3P6S11,-0.22013905577010706
B3P7S0,-0.13722012096792097
B3P7S1,-0.13879040400505926
B3P7S2,-0.13740347326912852
B3P7S3,-0.14077620054185577
B3P7S4,-0.14475523571501595
B3P7S5,-0.15540493052021073
B3P7S6,-0.15234541769969792
B3P7S7,-0.20613899509394115
B3P7S8,-0.22128989018569153
B3P7S9,-0.21984624083504214
B3P7S10,-0.22013905577010706
B3P8S0,-0.13591003755484282
B3P8S1,-0.1424521096327649
B3P8S2,-0.14077620054185577
B3P8S3,-0.14123278279293802
B3P8S4,-0.14908028279293803
B3P8S5,-0.15258265779293803
B3P8S6,-0.15687975086653114
B3P8S7,-0.16373940095328646
B3P8S8,-0.20509617531722665
B3P8S9,-0.22013905577010706
B3P9S1,-0.14514698690549216
B3P9S2,-0.14123278279293802
B3P9S4,-0.14301704469769994
B3P9S5,-0.15791340295128845
B3P9S7,-0.16159787048375596
B3P9S8,-0.15652532844246397
B3P10S0,-0.12853285761256286
B3P10S1,-0.1356241056645109
B3P10S2,-0.14250281742497264
B3P10S3,-0.14301704469769994
B3P10S4,-0.15142674223700275
B3P10S5,-0.15791340295128845
B3P10S6,-0.15877559775648328
B3P10S7,-0.15958484126297676
B3P11S0,-0.1293131108593161
B3P11S1,-0.13790874202814726
B3P11S2,-0.14686420313925835
B3P11S3,-0.15142674223700275
B3P11S4,-0.15441102795128844
B3P11S5,-0.15527322275648328
B3P11S6,-0.15676256853570406
B3P12S1,-0.14411999202814726
B3P12S2,-0.15527390067856117
B3P12S4,-0.15527322275648328
B3P12S5,-0.15326019353570405
B3P13S0,-0.13714053293723819
B3P13S1,-0.15252968956745008
B3P13S2,-0.1582581863928469
B3P13S3,-0.16032185912011962
B3P13S4,-0.15326019353570405
B3P14S0,-0.14555023047654098
B3P14S1,-0.15781981943757992
B3P14S2,-0.1584332383408988
B3P14S3,-0.1576216870421975
B3P15S1,-0.15568902722978772
B3P15S2,-0.16210094613310655
B4P0S1,-0.12350243057848573
B4P0S3,-0.14100143174048171
B4P0S5,-0.22354335439984002
B4P0S7,-0.2052378801574157
B4P0S9,-0.2023713827797933
B4P0S11,-0.2033648038324249
B4P0S13,-0.20936817720904827
B4P0S15,-0.21242769002956108
B4P1S0,-0.11672158746669554
B4P1S1,-0.11381428606948597
B4P1S2,-0.11004703801753793
B4P1S3,-0.116745544078144
B4P1S4,-0.19107278648164702
B4P1S5,-0.20772875391698947
B4P1S6,-0.20093685981109533
B4P1S7,-0.20430958708382263
B4P1S8,-0.20331237279810835
B4P1S9,-0.20204015099359704
B4P1S10,-0.20279171738553842
B4P1S11,-0.20229685374917478
B4P1S12,-0.2066620907621618
B4P1S13,-0.2105180155741919
B4P1S14,-0.2126510155741919
B4P1S15,-0.21764352916060545
B4P2S1,-0.11377496182706176
B4P2S3,-0.12416826550671548
B4P2S5,-0.20141924552538107
B4P2S7,-0.20430958708382263
B4P2S9,-0.20344824623169228
B4P2S11,-0.2066620907621618
B4P2S13,-0.2105180155741919
B4P3S0,-0.1133858893162392
B4P3S1,-0.11749615879675873
B4P3S2,-0.12204993152403146
B4P3S3,-0.11903062813297809
B4P3S4,-0.18352622358898413
B4P3S5,-0.19980114552538106
B4P3S6,-0.20317387279810833
B4P3S7,-0.20241019046728126
B4P3S8,-0.20325971051740654
B4P3S9,-0.20276484688104293
B4P3S10,-0.20731861960831566
B4P3S11,-0.21117454442034575
B4P3S12,-0.2105180155741919
B4P3S13,-0.21412457201774832
B4P4S1,-0.1400258721750471
B4P4S3,-0.1378063017205017
B4P4S5,-0.20298533708382263
B4P4S7,-0.20342949623169226
B4P4S9,-0.21117454442034575
B4P4S11,-0.2134803885761899
B4P5S0,-0.14484120040515036
B4P5S1,-0.1337088474247974
B4P5S2,-0.13460817876012876
B4P5S3,-0.13292976274281273
B4P5S4,-0.14124851436618935
B4P5S5,-0.19043962494946573
B4P5S6,-0.20293463259532862
B4P5S7,-0.20808855178724783
B4P5S8,-0.21117454442034575
B4P5S9,-0.21117454442034575
B4P5S10,-0.2134803885761899
B4P5S11,-0.21478110086390217
B4P6S1,-0.1308595423964924
B4P6S3,-0.13774613936618935
B4P6S5,-0.1479180670503473
B4P6S7,-0.21117454442034575
B4P6S9,-0.2134803885761899
B4P7S0,-0.14283908005883006
B4P7S1,-0.13420502031857032
B4P7S2,-0.13652808092463092
B4P7S3,-0.14095633690549214
B4P7S4,-0.14463285422150945
B4P7S5,-0.15270907987086013
B4P7S6,-0.1593120503039358
B4P7S7,-0.19642447890253023
B4P7S8,-0.21257081514961645
B4P7S9,-0.21478110086390217
B4P8S1,-0.14262638395493393
B4P8S3,-0.13909006850722375
B4P8S5,-0.15656500468289022
B4P8S7,-0.16161789445977992
B4P9S0,-0.14294778525363527
B4P9S1,-0.14666206850722377
B4P9S2,-0.13909006850722375
B4P9S3,-0.15304255176081227
B4P9S4,-0.15304255176081227
B4P9S5,-0.16185513455302
B4P9S6,-0.16185513455302
B4P9S7,-0.1668876929945785
B4P10S1,-0.14436429577995102
B4P10S3,-0.15304255176081227
B4P10S5,-0.15835275955302003
B4P11S0,-0.14361386439466967
B4P11S1,-0.15741333812444863
B4P11S2,-0.15809118812444858
B4P11S3,-0.16338131799457847
B4P11S4,-0.15835275955302003
B4P11S5,-0.16056304526730575
B4P12S1,-0.1580818024101629
B4P12S3,-0.16338131799457847
B4P13S0,-0.15183905948087
B4P13S1,-0.15612729418505472
B4P13S2,-0.15731807989934044
B4P13S3,-0.1595283656136261
B4P14S1,-0.1533924687882293
B4P15S0,-0.1508403603466709
B4P15S1,-0.16061502722978765
B5P0S1,-0.12708080503736024
B5P0S2,-0.11757844248324766
B5P0S3,-0.13329134840714837
B5P0S4,-0.14407844970584974
B5P0S6,-0.22989752436320995
B5P0S7,-0.22931402912511473
B5P0S8,-0.22245452604486166
B5P0S9,-0.211390107430143
B5P0S11,-0.20440572966974546
B5P0S12,-0.20824585578047683
B5P0S13,-0.20742371292333395
B5P0S14,-0.20742371292333395
B5P1S0,-0.11294121192557002
B5P1S1,-0.11836806044861561
B5P1S2,-0.1139885284937284
B5P1S3,-0.1189248607448107
B5P1S4,-0.12731033477078477
B5P1S5,-0.19636297840083894
B5P1S6,-0.2145386901141257
B5P1S7,-0.20957245981109537
B5P1S8,-0.20708908708382265
B5P1S9,-0.20615103570537652
B5P1S10,-0.20921273051057132
B5P1S11,-0.21232372299177432
B5P1S12,-0.21070655128847757
B5P1S13,-0.21301239544432174
B5P1S14,-0.21423366817159448
B5P2S0,-0.11997523512394027
B5P2S1,-0.11429485641580633
B5P2S2,-0.12440753390498385
B5P2S3,-0.12656887156732152
B5P2S4,-0.13262634126429126
B5P2S5,-0.19056695908681964
B5P2S6,-0.20578918708382266
B5P2S7,-0.20708908708382265
B5P2S8,-0.20615103570537652
B5P2S9,-0.2102099447962856
B5P2S10,-0.21249350870606004
B5P2S11,-0.21136308013463143
B5P2S12,-0.2136689242904756
B5P2S13,-0.21404513245730875
B5P3S0,-0.12109220316905306
B5P3S1,-0.12118120057165051
B5P3S2,-0.12656887156732152
B5P3S3,-0.12656887156732152
B5P3S4,-0.1325259668054168
B5P3S5,-0.1905039378746984
B5P3S6,-0.20595337279810835
B5P3S7,-0.2051538214196622
B5P3S8,-0.20921273051057132
B5P3S9,-0.21249350870606004
B5P3S10,-0.21136308013463143
B5P3S11,-0.2134803885761899
B5P3S12,-0.2147016613034626
B5P4S0,-0.11979884884004872
B5P4S1,-0.12507646247641244
B5P4S2,-0.12656887156732152
B5P4S3,-0.1327292287101787
B5P4S4,-0.13197961225996221
B5P4S5,-0.1918038378746984
B5P4S6,-0.2050153214196622
B5P4S7,-0.2090742305105713
B5P4S8,-0.21216647299177432
B5P4S9,-0.21134433013463144
B5P4S10,-0.2134803885761899
B5P4S11,-0.2147016613034626
B5P5S1,-0.14440725837218335
B5P5S2,-0.15027350837218337
B5P5S3,-0.14978361719669217
B5P5S4,-0.15431647877677876
B5P5S6,-0.21274161960831567
B5P5S7,-0.21216647299177432
B5P5S8,-0.2136501742904756
B5P5S9,-0.2136501742904756
B5P6S0,-0.14836512231657228
B5P6S1,-0.14560173227328227
B5P6S2,-0.15122892334887336
B5P6S3,-0.1507551675047175
B5P6S4,-0.1475917216172716
B5P6S5,-0.15693843068671096
B5P6S6,-0.19947213474668607
B5P6S7,-0.21447231714761844
