formula,target
Bi0P0S1,-0.23407036915518264
Bi0P1S0,0.002609444083694088
Bi0P1S1,-0.25385020394122554
Bi0P1S2,-0.2310874048153429
Bi0P1S3,-0.211892510823284
Bi0P1S4,-0.2011446531117919
Bi0P1S5,-0.18120884712099047
Bi0P1S6,-0.17035530497205753
Bi0P1S7,-0.1757307844393309
Bi0P1S8,-0.17731344143805114
Bi0P1S9,-0.17770079358769889
Bi0P1S10,-0.17389530669158845
Bi0P1S11,-0.17355469497781204
Bi0P1S12,-0.16992109567515393
Bi0P1S13,-0.1743600745354577
Bi0P1S14,-0.17047913856477204
Bi0P1S15,-0.16530531308457624
Bi0P2S1,-0.09387679610769344
Bi0P2S3,-0.2380716164147514
Bi0P2S5,-0.21472401478353093
Bi0P2S7,-0.1952177966201841
Bi0P2S9,-0.17800007941697107
Bi0P2S11,-0.18262295026526626
Bi0P2S13,-0.18049088119553308
Bi0P2S15,-0.1756215039983752
Bi0P3S1,-0.06426489120148854
Bi0P3S2,-0.07373743954203689
Bi0P3S4,-0.23335333212191142
Bi0P3S5,-0.23181487818211202
Bi0P3S7,-0.21441877812989393
Bi0P3S8,-0.20630427217997013
Bi0P3S10,-0.19437874228944435
Bi0P3S11,-0.1923362896641542
Bi0P3S13,-0.18888199013700435
Bi0P3S14,-0.18511375206187
Bi0P4S1,-0.043931002456899806
Bi0P4S3,-0.05470878676213706
Bi0P4S5,-0.23780494921768117
Bi0P4S7,-0.2218486509633298
Bi0P4S9,-0.21496591927736877
Bi0P4S11,-0.2108710096519065
Bi0P4S13,-0.2006574624394182
Bi0P4S15,-0.19967773371186773
Bi0P5S1,-0.02861491760841495
Bi0P5S2,-0.04291363160552895
Bi0P5S3,-0.06195743016420281
Bi0P5S4,-0.07205993077747841
Bi0P5S6,-0.23143875214873705
Bi0P5S7,-0.23271988643797722
Bi0P5S8,-0.23038656770568622
Bi0P5S9,-0.2329756169126884
Bi0P5S11,-0.2178095276665372
Bi0P5S12,-0.21062817488387092
Bi0P5S13,-0.21117162758988528
Bi0P5S14,-0.2152294109658832
Bi0P6S1,-0.029605153683897788
Bi0P6S5,-0.09173664444779503
Bi0P6S7,-0.2327781160197904
Bi0P6S11,-0.22498635749874496
Bi0P6S13,-0.21647911987871093
Bi0P7S1,-0.031146092942025274
Bi0P7S2,-0.041136186163715865
Bi0P7S3,-0.06349996757021785
Bi0P7S4,-0.08036247561662618
Bi0P7S5,-0.10576620411655765
Bi0P7S6,-0.1099895558481594
Bi0P7S8,-0.23244842425739048
Bi0P7S9,-0.22855643178556917
Bi0P7S10,-0.22986878575856554
Bi0P7S11,-0.21679413691774346
Bi0P7S12,-0.22098976927238576
Bi0P7S13,-0.21625736212095442
Bi0P8S1,-0.03317042843986077
Bi0P8S3,-0.06527487613550877
Bi0P8S5,-0.10578841299101653
Bi0P8S7,-0.1162863534370514
Bi0P8S9,-0.23185104665322648
Bi0P8S11,-0.22268901796579763
Bi0P9S1,-0.04386228882947116
Bi0P9S2,-0.06119468050271019
Bi0P9S4,-0.09663980545345602
Bi0P9S5,-0.10361361887336948
Bi0P9S7,-0.11595385155735215
Bi0P9S8,-0.12114443882154995
Bi0P9S10,-0.22534636553570273
Bi0P9S11,-0.22078142087798686
Bi0P10S1,-0.05221476044119278
Bi0P10S3,-0.0787215358757685
Bi0P10S7,-0.12465483384319494
Bi0P10S9,-0.12938558845700218
Bi0P11S1,-0.06539568875797402
Bi0P11S2,-0.08104019496667761
Bi0P11S3,-0.07983965925239188
Bi0P11S4,-0.08882590606930046
Bi0P11S5,-0.10859886454436514
Bi0P11S6,-0.12382813054649162
Bi0P11S7,-0.12182785440596548
Bi0P11S8,-0.12249108845700216
Bi0P11S9,-0.12930767946599317
Bi0P12S1,-0.0739133190610043
Bi0P12S5,-0.11653008509194619
Bi0P12S7,-0.12204199321890692
Bi0P13S1,-0.07522762100905628
Bi0P13S2,-0.08435733241256503
Bi0P13S3,-0.09966239446162709
Bi0P13S4,-0.10489727108500374
Bi0P13S5,-0.11111736858476917
Bi0P13S6,-0.11890885685527057
Bi0P13S7,-0.11910786994218363
Bi0P14S1,-0.08949044496288025
Bi0P14S3,-0.09246274186422447
Bi0P14S5,-0.1129018687030719
Bi0P15S1,-0.08868234972478499
Bi0P15S2,-0.09441715095513356
Bi0P15S4,-0.09927263846937368
Bi1P0S0,-0.2464548010294401
Bi1P0S1,-0.38370801968676305
Bi1P0S2,-0.32073085406208846
Bi1P0S3,-0.2868939412580796
Bi1P0S4,-0.28246368496795593
Bi1P0S5,-0.2630955258275437
Bi1P0S6,-0.23637640255668824
Bi1P0S7,-0.20194891180506805
Bi1P0S8,-0.1929126938543998
Bi1P0S9,-0.1819958979114023
Bi1P0S10,-0.17591882038352943
Bi1P0S11,-0.17277307915693696
Bi1P0S12,-0.18182050403533517
Bi1P0S13,-0.18858898454649065
Bi1P0S14,-0.19077698733617598
Bi1P0S15,-0.19320724366969455
Bi1P1S0,-0.012511044372294373
Bi1P1S1,-0.12676666666666667
Bi1P1S2,-0.2721684602975969
Bi1P1S3,-0.24853999999999948
Bi1P1S4,-0.3457333333333327
Bi1P1S5,-0.10986934274981129
Bi1P1S6,-0.029224999999999977
Bi1P1S7,-0.11227826768607216
Bi1P1S8,-0.14188296203665626
Bi1P1S9,-0.1503352275299865
Bi1P1S10,-0.1463213240483374
Bi1P1S11,-0.1424781533285343
Bi1P1S12,-0.1351596719401858
Bi1P1S13,-0.13224241706340617
Bi1P1S14,-0.1329890763558423
Bi1P1S15,-0.13176470505474916
Bi1P2S0,0.07308749458874461
Bi1P2S1,0.007046903896103875
Bi1P2S2,-0.1765037484848485
Bi1P2S3,-0.2883506008135136
Bi1P2S4,-0.2502240022071496
Bi1P2S5,-0.16210708219366635
Bi1P2S6,-0.15025045451950012
Bi1P2S7,-0.16601
Bi1P2S8,-0.18234545454545487
Bi1P2S9,-0.15598412793562663
Bi1P2S10,-0.1500080719070147
Bi1P2S11,-0.14646540976559572
Bi1P2S12,-0.14135120577175672
Bi1P2S13,-0.1389485292735645
Bi1P2S14,-0.13581912101183133
Bi1P2S15,-0.13856604964266908
Bi1P3S0,0.08316210714285716
Bi1P3S1,0.09146863831168826
Bi1P3S2,0.11175297878787868
Bi1P3S3,-0.14070478253282664
Bi1P3S4,-0.21385215397498958
Bi1P3S5,-0.21664354813083367
Bi1P3S6,-0.20557474215131266
Bi1P3S7,-0.1851047273788304
Bi1P3S8,-0.17311404611238448
Bi1P3S9,-0.16646011023682214
Bi1P3S10,-0.1576429903449493
Bi1P3S11,-0.14894634969625328
Bi1P3S12,-0.14601748939138787
Bi1P3S13,-0.14491502029637035
Bi1P3S14,-0.14689566166593993
Bi1P3S15,-0.142992554400785
Bi1P4S0,0.0951874761904762
Bi1P4S1,0.10850683989898981
Bi1P4S2,0.1132526075757575
Bi1P4S3,0.11076127424242412
Bi1P4S4,-0.1278917595465422
Bi1P4S5,-0.22617490028729434
Bi1P4S6,-0.21575228367580132
Bi1P4S7,-0.21536354463606566
Bi1P4S8,-0.19588054976510427
Bi1P4S9,-0.17903443907105118
Bi1P4S10,-0.170499835662798
Bi1P4S11,-0.16698622024121407
Bi1P4S12,-0.16323756403519096
Bi1P4S13,-0.16733162363554924
Bi1P4S14,-0.1761369146532518
Bi1P4S15,-0.183108342514967
Bi1P5S0,0.10032469047619046
Bi1P5S1,0.11347855202020193
Bi1P5S2,0.11288138520499098
Bi1P5S3,0.09986278242443822
Bi1P5S4,0.07048809367984958
Bi1P5S5,-0.1327987277629148
Bi1P5S6,-0.213988551042456
Bi1P5S7,-0.21665870814037183
Bi1P5S8,-0.20896139780169098
Bi1P5S9,-0.19579646516240032
Bi1P5S10,-0.19259720613559989
Bi1P5S11,-0.19240362007821032
Bi1P5S12,-0.19777957323248643
Bi1P5S13,-0.20575493737394357
Bi1P5S14,-0.20938851399872924
Bi1P6S0,0.10056589069264067
Bi1P6S1,0.11740358616192878
Bi1P6S2,0.09946843545474125
Bi1P6S3,0.07252873045940988
Bi1P6S4,0.04862377160192749
Bi1P6S5,0.030163655563390863
Bi1P6S6,-0.1419512240261287
Bi1P6S7,-0.21560918740042215
Bi1P6S8,-0.20494023943291834
Bi1P6S9,-0.19672520166916846
Bi1P6S10,-0.19821094685834456
Bi1P6S11,-0.20316660400298875
Bi1P6S12,-0.2169901787034431
Bi1P6S13,-0.22023157497174314
Bi1P7S0,0.09911232005347591
Bi1P7S1,0.10283233944198208
Bi1P7S2,0.07494959974045563
Bi1P7S3,0.05069166090674035
