formula,target
Ca0P0S1,-0.23407036915518264
Ca0P1S0,0.002609444083694088
Ca0P1S1,-0.25385020394122554
Ca0P1S2,-0.2310874048153429
Ca0P1S3,-0.211892510823284
Ca0P1S4,-0.2011446531117919
Ca0P1S5,-0.18120884712099047
Ca0P1S6,-0.17035530497205753
Ca0P1S7,-0.1757307844393309
Ca0P1S8,-0.17731344143805114
Ca0P1S9,-0.17770079358769889
Ca0P1S10,-0.17389530669158845
Ca0P1S11,-0.17355469497781204
Ca0P1S12,-0.16992109567515393
Ca0P1S13,-0.1743600745354577
Ca0P1S14,-0.17047913856477204
Ca0P1S15,-0.16530531308457624
Ca0P2S1,-0.09387679610769344
Ca0P2S3,-0.2380716164147514
Ca0P2S5,-0.21472401478353093
Ca0P2S7,-0.1952177966201841
Ca0P2S9,-0.17800007941697107
Ca0P2S11,-0.18262295026526626
Ca0P2S13,-0.18049088119553308
Ca0P2S15,-0.1756215039983752
Ca0P3S1,-0.06426489120148854
Ca0P3S2,-0.07373743954203689
Ca0P3S4,-0.23335333212191142
Ca0P3S5,-0.23181487818211202
Ca0P3S7,-0.21441877812989393
Ca0P3S8,-0.20630427217997013
Ca0P3S10,-0.19437874228944435
Ca0P3S11,-0.1923362896641542
Ca0P3S13,-0.18888199013700435
Ca0P3S14,-0.18511375206187
Ca0P4S1,-0.043931002456899806
Ca0P4S3,-0.05470878676213706
Ca0P4S5,-0.23780494921768117
Ca0P4S7,-0.2218486509633298
Ca0P4S9,-0.21496591927736877
Ca0P4S11,-0.2108710096519065
Ca0P4S13,-0.2006574624394182
Ca0P4S15,-0.19967773371186773
Ca0P5S1,-0.02861491760841495
Ca0P5S2,-0.04291363160552895
Ca0P5S3,-0.06195743016420281
Ca0P5S4,-0.07205993077747841
Ca0P5S6,-0.23143875214873705
Ca0P5S7,-0.23271988643797722
Ca0P5S8,-0.23038656770568622
Ca0P5S9,-0.2329756169126884
Ca0P5S11,-0.2178095276665372
Ca0P5S12,-0.21062817488387092
Ca0P5S13,-0.21117162758988528
Ca0P5S14,-0.2152294109658832
Ca0P6S1,-0.029605153683897788
Ca0P6S5,-0.09173664444779503
Ca0P6S7,-0.2327781160197904
Ca0P6S11,-0.22498635749874496
Ca0P6S13,-0.21647911987871093
Ca0P7S1,-0.031146092942025274
Ca0P7S2,-0.041136186163715865
Ca0P7S3,-0.06349996757021785
Ca0P7S4,-0.08036247561662618
Ca0P7S5,-0.10576620411655765
Ca0P7S6,-0.1099895558481594
Ca0P7S8,-0.23244842425739048
Ca0P7S9,-0.22855643178556917
Ca0P7S10,-0.22986878575856554
Ca0P7S11,-0.21679413691774346
Ca0P7S12,-0.22098976927238576
Ca0P7S13,-0.21625736212095442
Ca0P8S1,-0.03317042843986077
Ca0P8S3,-0.06527487613550877
Ca0P8S5,-0.10578841299101653
Ca0P8S7,-0.1162863534370514
Ca0P8S9,-0.23185104665322648
Ca0P8S11,-0.22268901796579763
Ca0P9S1,-0.04386228882947116
Ca0P9S2,-0.06119468050271019
Ca0P9S4,-0.09663980545345602
Ca0P9S5,-0.10361361887336948
Ca0P9S7,-0.11595385155735215
Ca0P9S8,-0.12114443882154995
Ca0P9S10,-0.22534636553570273
Ca0P9S11,-0.22078142087798686
Ca0P10S1,-0.05221476044119278
Ca0P10S3,-0.0787215358757685
Ca0P10S7,-0.12465483384319494
Ca0P10S9,-0.12938558845700218
Ca0P11S1,-0.06539568875797402
Ca0P11S2,-0.08104019496667761
Ca0P11S3,-0.07983965925239188
Ca0P11S4,-0.08882590606930046
Ca0P11S5,-0.10859886454436514
Ca0P11S6,-0.12382813054649162
Ca0P11S7,-0.12182785440596548
Ca0P11S8,-0.12249108845700216
Ca0P11S9,-0.12930767946599317
Ca0P12S1,-0.0739133190610043
Ca0P12S5,-0.11653008509194619
Ca0P12S7,-0.12204199321890692
Ca0P13S1,-0.07522762100905628
Ca0P13S2,-0.08435733241256503
Ca0P13S3,-0.09966239446162709
Ca0P13S4,-0.10489727108500374
Ca0P13S5,-0.11111736858476917
Ca0P13S6,-0.11890885685527057
Ca0P13S7,-0.11910786994218363
Ca0P14S1,-0.08949044496288025
Ca0P14S3,-0.09246274186422447
Ca0P14S5,-0.1129018687030719
Ca0P15S1,-0.08868234972478499
Ca0P15S2,-0.09441715095513356
Ca0P15S4,-0.09927263846937368
Ca1P0S0,-0.22195404780047098
Ca1P0S1,-1.2785513436979692
Ca1P0S2,-1.0622835751887
Ca1P0S3,-1.011332172094572
Ca1P0S4,-0.8758200523353835
Ca1P0S5,-0.7257105891986839
Ca1P0S6,-0.6213018227195657
Ca1P0S7,-0.5729681076729254
Ca1P0S8,-0.5648977277909996
Ca1P0S9,-0.5536573535393828
Ca1P0S10,-0.5490405864483039
Ca1P0S11,-0.5310606021345785
Ca1P0S12,-0.5107401936606393
Ca1P0S13,-0.49570518610785486
Ca1P0S14,-0.4812536141744907
Ca1P0S15,-0.47372688593857104
Ca1P1S0,-1.0686684192640699
Ca1P1S1,-1.1307000000000014
Ca1P1S2,-1.1398823863247862
Ca1P1S3,-1.1136999999999981
Ca1P1S4,-0.9362710271173265
Ca1P1S5,-0.7485696340548337
Ca1P1S6,-0.6117477525252516
Ca1P1S7,-0.5396405059855511
Ca1P1S8,-0.5493478416982392
Ca1P1S9,-0.5570980628420077
Ca1P1S10,-0.5600890460825032
Ca1P1S11,-0.564390770191384
Ca1P1S12,-0.553877370082824
Ca1P1S13,-0.5550028677443127
Ca1P1S14,-0.5470946718144256
Ca1P1S15,-0.5427241867109499
Ca1P2S0,-0.8260415249000994
Ca1P2S1,-1.0870545898601391
Ca1P2S2,-1.0253201141108883
Ca1P2S3,-0.8326626264013761
Ca1P2S4,-0.696554634548492
Ca1P2S5,-0.6096593392420435
Ca1P2S6,-0.5220222222222212
Ca1P2S7,-0.5314980683924254
Ca1P2S8,-0.5522743539730989
Ca1P2S9,-0.5560340502579629
Ca1P2S10,-0.5756406300210967
Ca1P2S11,-0.5808013489395022
Ca1P2S12,-0.5719239498220562
Ca1P2S13,-0.5549497629111516
Ca1P2S14,-0.5453835165886747
Ca1P2S15,-0.5456818309378618
Ca1P3S0,-0.6759754160192142
Ca1P3S1,-0.9533879842324334
Ca1P3S2,-0.7734101480294555
Ca1P3S3,-0.6713622271284264
Ca1P3S4,-0.6000148730918196
