formula,target
Ga0P0S1,-0.23407036915518264
Ga0P1S0,0.002609444083694088
Ga0P1S1,-0.25385020394122554
Ga0P1S2,-0.2310874048153429
Ga0P1S3,-0.211892510823284
Ga0P1S4,-0.2011446531117919
Ga0P1S5,-0.18120884712099047
Ga0P1S6,-0.17035530497205753
Ga0P1S7,-0.1757307844393309
Ga0P1S8,-0.17731344143805114
Ga0P1S9,-0.17770079358769889
Ga0P1S10,-0.17389530669158845
Ga0P1S11,-0.17355469497781204
Ga0P1S12,-0.16992109567515393
Ga0P1S13,-0.1743600745354577
Ga0P1S14,-0.17047913856477204
Ga0P1S15,-0.16530531308457624
Ga0P2S1,-0.09387679610769344
Ga0P2S3,-0.2380716164147514
Ga0P2S5,-0.21472401478353093
Ga0P2S7,-0.1952177966201841
Ga0P2S9,-0.17800007941697107
Ga0P2S11,-0.18262295026526626
Ga0P2S13,-0.18049088119553308
Ga0P2S15,-0.1756215039983752
Ga0P3S1,-0.06426489120148854
Ga0P3S2,-0.07373743954203689
Ga0P3S4,-0.23335333212191142
Ga0P3S5,-0.23181487818211202
Ga0P3S7,-0.21441877812989393
Ga0P3S8,-0.20630427217997013
Ga0P3S10,-0.19437874228944435
Ga0P3S11,-0.1923362896641542
Ga0P3S13,-0.18888199013700435
Ga0P3S14,-0.18511375206187
Ga0P4S1,-0.043931002456899806
Ga0P4S3,-0.05470878676213706
Ga0P4S5,-0.23780494921768117
Ga0P4S7,-0.2218486509633298
Ga0P4S9,-0.21496591927736877
Ga0P4S11,-0.2108710096519065
Ga0P4S13,-0.2006574624394182
Ga0P4S15,-0.19967773371186773
Ga0P5S1,-0.02861491760841495
Ga0P5S2,-0.04291363160552895
Ga0P5S3,-0.06195743016420281
Ga0P5S4,-0.07205993077747841
Ga0P5S6,-0.23143875214873705
Ga0P5S7,-0.23271988643797722
Ga0P5S8,-0.23038656770568622
Ga0P5S9,-0.2329756169126884
Ga0P5S11,-0.2178095276665372
Ga0P5S12,-0.21062817488387092
Ga0P5S13,-0.21117162758988528
Ga0P5S14,-0.2152294109658832
Ga0P6S1,-0.029605153683897788
Ga0P6S5,-0.09173664444779503
Ga0P6S7,-0.2327781160197904
Ga0P6S11,-0.22498635749874496
Ga0P6S13,-0.21647911987871093
Ga0P7S1,-0.031146092942025274
Ga0P7S2,-0.041136186163715865
Ga0P7S3,-0.06349996757021785
Ga0P7S4,-0.08036247561662618
Ga0P7S5,-0.10576620411655765
Ga0P7S6,-0.1099895558481594
Ga0P7S8,-0.23244842425739048
Ga0P7S9,-0.22855643178556917
Ga0P7S10,-0.22986878575856554
Ga0P7S11,-0.21679413691774346
Ga0P7S12,-0.22098976927238576
Ga0P7S13,-0.21625736212095442
Ga0P8S1,-0.03317042843986077
Ga0P8S3,-0.06527487613550877
Ga0P8S5,-0.10578841299101653
Ga0P8S7,-0.1162863534370514
Ga0P8S9,-0.23185104665322648
Ga0P8S11,-0.22268901796579763
Ga0P9S1,-0.04386228882947116
Ga0P9S2,-0.06119468050271019
Ga0P9S4,-0.09663980545345602
Ga0P9S5,-0.10361361887336948
Ga0P9S7,-0.11595385155735215
Ga0P9S8,-0.12114443882154995
Ga0P9S10,-0.22534636553570273
Ga0P9S11,-0.22078142087798686
Ga0P10S1,-0.05221476044119278
Ga0P10S3,-0.0787215358757685
Ga0P10S7,-0.12465483384319494
Ga0P10S9,-0.12938558845700218
Ga0P11S1,-0.06539568875797402
Ga0P11S2,-0.08104019496667761
Ga0P11S3,-0.07983965925239188
Ga0P11S4,-0.08882590606930046
Ga0P11S5,-0.10859886454436514
Ga0P11S6,-0.12382813054649162
Ga0P11S7,-0.12182785440596548
Ga0P11S8,-0.12249108845700216
Ga0P11S9,-0.12930767946599317
Ga0P12S1,-0.0739133190610043
Ga0P12S5,-0.11653008509194619
Ga0P12S7,-0.12204199321890692
Ga0P13S1,-0.07522762100905628
Ga0P13S2,-0.08435733241256503
Ga0P13S3,-0.09966239446162709
Ga0P13S4,-0.10489727108500374
Ga0P13S5,-0.11111736858476917
Ga0P13S6,-0.11890885685527057
Ga0P13S7,-0.11910786994218363
Ga0P14S1,-0.08949044496288025
Ga0P14S3,-0.09246274186422447
Ga0P14S5,-0.1129018687030719
Ga0P15S1,-0.08868234972478499
Ga0P15S2,-0.09441715095513356
Ga0P15S4,-0.09927263846937368
Ga1P0S0,-0.21287996987839308
Ga1P0S1,-0.37492408932485655
Ga1P0S2,-0.3605970595268768
Ga1P0S3,-0.3648651549682775
Ga1P0S4,-0.3409409698926805
Ga1P0S5,-0.32977462882016506
Ga1P0S6,-0.2904216092486718
Ga1P0S7,-0.2710388574767938
Ga1P0S8,-0.25893495829876156
Ga1P0S9,-0.2510317726012805
Ga1P0S10,-0.23239385574184138
Ga1P0S11,-0.21654526877553976
Ga1P0S12,-0.20681108666585377
Ga1P0S13,-0.20214868920428544
Ga1P0S14,-0.20739473461577107
Ga1P0S15,-0.21076954381121957
Ga1P1S0,-0.11616228051904232
Ga1P1S1,-0.32856666666666706
Ga1P1S2,-0.30597826111111115
Ga1P1S3,-0.30002
Ga1P1S4,-0.435133333333333
Ga1P1S5,-0.3370337283967492
Ga1P1S6,-0.2743046407869905
Ga1P1S7,-0.22377877090162993
Ga1P1S8,-0.21366891493015053
Ga1P1S9,-0.20034173200849711
Ga1P1S10,-0.19624866283779854
Ga1P1S11,-0.19645167837977293
Ga1P1S12,-0.20087494168643538
Ga1P1S13,-0.19251895071234237
Ga1P1S14,-0.19748620621942556
Ga1P1S15,-0.19290879249030118
Ga1P2S0,-0.05554319357440802
Ga1P2S1,-0.2466984
Ga1P2S2,-0.301219212121212
Ga1P2S3,-0.39707091168831155
Ga1P2S4,-0.356997131141081
Ga1P2S5,-0.2977950907148405
Ga1P2S6,-0.25487967808857787
Ga1P2S7,-0.20524999999999977
Ga1P2S8,-0.21284478834072698
Ga1P2S9,-0.19989631966234656
Ga1P2S10,-0.20125022749699556
Ga1P2S11,-0.20170292724368857
Ga1P2S12,-0.20115037246726444
Ga1P2S13,-0.19574100310468684
Ga1P2S14,-0.1897672114119368
Ga1P2S15,-0.1905070266459288
Ga1P3S0,-0.028127637874552334
Ga1P3S1,-0.22403466753246742
Ga1P3S2,-0.2224473652699037
Ga1P3S3,-0.2955923477557529
Ga1P3S4,-0.29471798191253173
Ga1P3S5,-0.2531844818410346
Ga1P3S6,-0.24096788785071116
Ga1P3S7,-0.22616806628565775
Ga1P3S8,-0.21699271541018317
Ga1P3S9,-0.19785623241213543
Ga1P3S10,-0.1996969323098298
Ga1P3S11,-0.20278909539847842
Ga1P3S12,-0.1943419423943102
Ga1P3S13,-0.1916925046225188
Ga1P3S14,-0.19465495765655902
Ga1P3S15,-0.18700008465291149
Ga1P4S0,-0.005549056090323496
Ga1P4S1,-0.21130902378361216
Ga1P4S2,-0.15844603662632517
Ga1P4S3,-0.1252924455368591
Ga1P4S4,-0.23352840930421476
Ga1P4S5,-0.24088402620908486
Ga1P4S6,-0.23784267517284902
Ga1P4S7,-0.24557424686500276
Ga1P4S8,-0.23596658554025937
Ga1P4S9,-0.22414165093258984
Ga1P4S10,-0.21899874416945286
Ga1P4S11,-0.20054419882125094
Ga1P4S12,-0.19897375853403548
Ga1P4S13,-0.20372403061200917
Ga1P4S14,-0.19750888269542627
Ga1P4S15,-0.20106228855767555
Ga1P5S0,0.017287347621161103
Ga1P5S1,-0.16612009651088505
Ga1P5S2,-0.12487484434638288
Ga1P5S3,-0.11976153334627192
Ga1P5S4,-0.12317574510248955
Ga1P5S5,-0.2171403165111805
Ga1P5S6,-0.2504573116892738
Ga1P5S7,-0.24414315678951234
Ga1P5S8,-0.2427432355952267
Ga1P5S9,-0.2467402373810915
Ga1P5S10,-0.2410950877409311
Ga1P5S11,-0.23977731518770173
Ga1P5S12,-0.2302319866585425
Ga1P5S13,-0.2190152320822623
Ga1P5S14,-0.22481333429367323
Ga1P6S0,0.014730243725057214
Ga1P6S1,-0.12672170953966913
Ga1P6S2,-0.12170062646163608
Ga1P6S3,-0.13041505787794938
Ga1P6S4,-0.14259152050713303
Ga1P6S5,-0.14899490110300775
Ga1P6S6,-0.22758079601475234
Ga1P6S7,-0.25082004667193813
Ga1P6S8,-0.244189225733434
Ga1P6S9,-0.24566726473531617
Ga1P6S10,-0.24014840683482316
Ga1P6S11,-0.24621843755087347
Ga1P6S12,-0.23227254024812466
Ga1P6S13,-0.23605980814379965
Ga1P7S0,0.01820220915668441
Ga1P7S1,-0.12594711871186948
Ga1P7S2,-0.13110722372058628
Ga1P7S3,-0.14643508107989361
Ga1P7S4,-0.1520930749174286
Ga1P7S5,-0.15867182780767558
Ga1P7S6,-0.1754646150090019
Ga1P7S7,-0.23892636933943237
Ga1P7S8,-0.25299858927214847
Ga1P7S9,-0.24871161630636293
Ga1P7S10,-0.25653202280813425
Ga1P7S11,-0.2436406063693099
Ga1P7S12,-0.24707485157233536
Ga1P8S0,0.015414631234606487
Ga1P8S1,-0.12923880421460207
Ga1P8S2,-0.1439397838682817
Ga1P8S3,-0.16259621568646349
Ga1P8S4,-0.16660507066481842
Ga1P8S5,-0.16346029616175012
Ga1P8S6,-0.16048956452316165
Ga1P8S7,-0.17042299979203798
Ga1P8S8,-0.2397229815269009
