formula,target
Ge0P0S1,-0.23407036915518264
Ge0P1S0,0.002609444083694088
Ge0P1S1,-0.25385020394122554
Ge0P1S2,-0.2310874048153429
Ge0P1S3,-0.211892510823284
Ge0P1S4,-0.2011446531117919
Ge0P1S5,-0.18120884712099047
Ge0P1S6,-0.17035530497205753
Ge0P1S7,-0.1757307844393309
Ge0P1S8,-0.17731344143805114
Ge0P1S9,-0.17770079358769889
Ge0P1S10,-0.17389530669158845
Ge0P1S11,-0.17355469497781204
Ge0P1S12,-0.16992109567515393
Ge0P1S13,-0.1743600745354577
Ge0P1S14,-0.17047913856477204
Ge0P1S15,-0.16530531308457624
Ge0P2S1,-0.09387679610769344
Ge0P2S3,-0.2380716164147514
Ge0P2S5,-0.21472401478353093
Ge0P2S7,-0.1952177966201841
Ge0P2S9,-0.17800007941697107
Ge0P2S11,-0.18262295026526626
Ge0P2S13,-0.18049088119553308
Ge0P2S15,-0.1756215039983752
Ge0P3S1,-0.06426489120148854
Ge0P3S2,-0.07373743954203689
Ge0P3S4,-0.23335333212191142
Ge0P3S5,-0.23181487818211202
Ge0P3S7,-0.21441877812989393
Ge0P3S8,-0.20630427217997013
Ge0P3S10,-0.19437874228944435
Ge0P3S11,-0.1923362896641542
Ge0P3S13,-0.18888199013700435
Ge0P3S14,-0.18511375206187
Ge0P4S1,-0.043931002456899806
Ge0P4S3,-0.05470878676213706
Ge0P4S5,-0.23780494921768117
Ge0P4S7,-0.2218486509633298
Ge0P4S9,-0.21496591927736877
Ge0P4S11,-0.2108710096519065
Ge0P4S13,-0.2006574624394182
Ge0P4S15,-0.19967773371186773
Ge0P5S1,-0.02861491760841495
Ge0P5S2,-0.04291363160552895
Ge0P5S3,-0.06195743016420281
Ge0P5S4,-0.07205993077747841
Ge0P5S6,-0.23143875214873705
Ge0P5S7,-0.23271988643797722
Ge0P5S8,-0.23038656770568622
Ge0P5S9,-0.2329756169126884
Ge0P5S11,-0.2178095276665372
Ge0P5S12,-0.21062817488387092
Ge0P5S13,-0.21117162758988528
Ge0P5S14,-0.2152294109658832
Ge0P6S1,-0.029605153683897788
Ge0P6S5,-0.09173664444779503
Ge0P6S7,-0.2327781160197904
Ge0P6S11,-0.22498635749874496
Ge0P6S13,-0.21647911987871093
Ge0P7S1,-0.031146092942025274
Ge0P7S2,-0.041136186163715865
Ge0P7S3,-0.06349996757021785
Ge0P7S4,-0.08036247561662618
Ge0P7S5,-0.10576620411655765
Ge0P7S6,-0.1099895558481594
Ge0P7S8,-0.23244842425739048
Ge0P7S9,-0.22855643178556917
Ge0P7S10,-0.22986878575856554
Ge0P7S11,-0.21679413691774346
Ge0P7S12,-0.22098976927238576
Ge0P7S13,-0.21625736212095442
Ge0P8S1,-0.03317042843986077
Ge0P8S3,-0.06527487613550877
Ge0P8S5,-0.10578841299101653
Ge0P8S7,-0.1162863534370514
Ge0P8S9,-0.23185104665322648
Ge0P8S11,-0.22268901796579763
Ge0P9S1,-0.04386228882947116
Ge0P9S2,-0.06119468050271019
Ge0P9S4,-0.09663980545345602
Ge0P9S5,-0.10361361887336948
Ge0P9S7,-0.11595385155735215
Ge0P9S8,-0.12114443882154995
Ge0P9S10,-0.22534636553570273
Ge0P9S11,-0.22078142087798686
Ge0P10S1,-0.05221476044119278
Ge0P10S3,-0.0787215358757685
Ge0P10S7,-0.12465483384319494
Ge0P10S9,-0.12938558845700218
Ge0P11S1,-0.06539568875797402
Ge0P11S2,-0.08104019496667761
Ge0P11S3,-0.07983965925239188
Ge0P11S4,-0.08882590606930046
Ge0P11S5,-0.10859886454436514
Ge0P11S6,-0.12382813054649162
Ge0P11S7,-0.12182785440596548
Ge0P11S8,-0.12249108845700216
Ge0P11S9,-0.12930767946599317
Ge0P12S1,-0.0739133190610043
Ge0P12S5,-0.11653008509194619
Ge0P12S7,-0.12204199321890692
Ge0P13S1,-0.07522762100905628
Ge0P13S2,-0.08435733241256503
Ge0P13S3,-0.09966239446162709
Ge0P13S4,-0.10489727108500374
Ge0P13S5,-0.11111736858476917
Ge0P13S6,-0.11890885685527057
Ge0P13S7,-0.11910786994218363
Ge0P14S1,-0.08949044496288025
Ge0P14S3,-0.09246274186422447
Ge0P14S5,-0.1129018687030719
Ge0P15S1,-0.08868234972478499
Ge0P15S2,-0.09441715095513356
Ge0P15S4,-0.09927263846937368
Ge1P0S0,-0.22195404780047098
Ge1P0S1,-0.22321854488537773
Ge1P0S2,-0.2516360367880658
Ge1P0S3,-0.25897074699832334
Ge1P0S4,-0.2580065639708417
Ge1P0S5,-0.2548662022610602
Ge1P0S6,-0.25342836347257836
Ge1P0S7,-0.24104049919492282
Ge1P0S8,-0.23362959049213597
Ge1P0S9,-0.21388193161436939
Ge1P0S10,-0.20375896248186795
Ge1P0S11,-0.19724345457690742
Ge1P0S12,-0.18970717342023305
Ge1P0S13,-0.1901410125119119
Ge1P0S14,-0.19144828684913295
Ge1P0S15,-0.20015745899185092
Ge1P1S0,0.058138528201184786
Ge1P1S1,-0.09576666666666668
Ge1P1S2,-0.23562608782051286
Ge1P1S3,-0.27074
Ge1P1S4,-0.22129759726187107
Ge1P1S5,-0.21330781149617487
Ge1P1S6,-0.20020525247806034
Ge1P1S7,-0.17624872631431182
Ge1P1S8,-0.15997507654043597
Ge1P1S9,-0.1455372969798005
Ge1P1S10,-0.1428940720459108
Ge1P1S11,-0.1421093748431136
Ge1P1S12,-0.14160211379827609
Ge1P1S13,-0.14066116192661832
Ge1P1S14,-0.14167493129450534
Ge1P1S15,-0.14633367002244405
Ge1P2S0,0.07241960079365081
Ge1P2S1,0.11672949292929286
Ge1P2S2,-0.1611363033910533
Ge1P2S3,-0.23083476739992018
Ge1P2S4,-0.21226461509666783
Ge1P2S5,-0.2158984033283966
Ge1P2S6,-0.22737777777777782
Ge1P2S7,-0.18261000000000027
Ge1P2S8,-0.1478909090909094
Ge1P2S9,-0.15381736737542664
Ge1P2S10,-0.14750368416387544
Ge1P2S11,-0.1493968539532192
Ge1P2S12,-0.1473139863404398
Ge1P2S13,-0.15047068724180881
Ge1P2S14,-0.14791084920724276
Ge1P2S15,-0.1544474100902452
Ge1P3S0,0.09447116886446885
Ge1P3S1,0.11717422784992779
Ge1P3S2,0.10337362106782105
Ge1P3S3,-0.13950597834796774
Ge1P3S4,-0.2183329477325305
Ge1P3S5,-0.2225562157753151
Ge1P3S6,-0.20449411757416996
Ge1P3S7,-0.1886845485902127
Ge1P3S8,-0.1622757444953741
Ge1P3S9,-0.15454841482896214
Ge1P3S10,-0.15272457659165764
Ge1P3S11,-0.1506164506561552
Ge1P3S12,-0.15371122401272636
Ge1P3S13,-0.15743567833611197
Ge1P3S14,-0.16326433359770623
Ge1P3S15,-0.1738181943942196
Ge1P4S0,0.12700616450216443
Ge1P4S1,0.11802107914862912
Ge1P4S2,0.11380912387318559
Ge1P4S3,0.08622741417748923
Ge1P4S4,-0.1537539060168073
Ge1P4S5,-0.2049125154147195
Ge1P4S6,-0.1973022752827496
Ge1P4S7,-0.18580020583537546
Ge1P4S8,-0.17833687926717245
Ge1P4S9,-0.17462364377521344
Ge1P4S10,-0.16486397948436163
Ge1P4S11,-0.1584007404572038
Ge1P4S12,-0.1529294117647061
Ge1P4S13,-0.17177998509921472
Ge1P4S14,-0.19153132634819614
Ge1P4S15,-0.19603807426921216
Ge1P5S0,0.12258044372294367
Ge1P5S1,0.1281912059884559
Ge1P5S2,0.10798715017188691
Ge1P5S3,0.07708189955861137
Ge1P5S4,0.036649595276292385
Ge1P5S5,-0.13959539219995692
Ge1P5S6,-0.1891889314910064
Ge1P5S7,-0.18280775038628377
Ge1P5S8,-0.18313900870505478
Ge1P5S9,-0.18060143416026694
Ge1P5S10,-0.17709119988563204
Ge1P5S11,-0.17617540162527534
Ge1P5S12,-0.1891382003485679
Ge1P5S13,-0.2003771403618398
Ge1P5S14,-0.20003197554066168
Ge1P6S0,0.12542489610389604
Ge1P6S1,0.11432251367243863
Ge1P6S2,0.0911197717808336
Ge1P6S3,0.05270274987468673
Ge1P6S4,0.03581356652661069
Ge1P6S5,0.0169713511586453
Ge1P6S6,-0.13042528735272296
Ge1P6S7,-0.18292708089303195
Ge1P6S8,-0.18599232814760053
Ge1P6S9,-0.18179436733782206
Ge1P6S10,-0.18474836538731296
Ge1P6S11,-0.1906725172518743
Ge1P6S12,-0.2018822906030158
Ge1P6S13,-0.2019055126912304
Ge1P7S0,0.12901881066972234
Ge1P7S1,0.10924905086580085
Ge1P7S2,0.07463101156299846
Ge1P7S3,0.0615039819093188
Ge1P7S4,0.029781032813316757
Ge1P7S5,0.016305055742296938
Ge1P7S6,0.014714705525846729
Ge1P7S7,-0.13836634396350125
Ge1P7S8,-0.1862940849696914
Ge1P7S9,-0.18513349878944577
Ge1P7S10,-0.19158858651742133
Ge1P7S11,-0.20211703567988604
Ge1P7S12,-0.20308949556356964
Ge1P8S0,0.12594962885154054
Ge1P8S1,0.09532606818181819
Ge1P8S2,0.06811111372750064
Ge1P8S3,0.04329001644145333
Ge1P8S4,0.029578302448583435
Ge1P8S5,0.01960668197097023
Ge1P8S6,0.004126150369238628
Ge1P8S7,-0.009782505729564524
Ge1P8S8,-0.13592228775658463
Ge1P8S9,-0.19215027108132662
Ge1P8S10,-0.20160455128038457
Ge1P8S11,-0.2045874306407044
Ge1P9S0,0.11491992105933274
Ge1P9S1,0.07686247554112559
Ge1P9S2,0.04912955215573904
Ge1P9S3,0.03174274522933212
Ge1P9S4,0.027840076003459918
Ge1P9S5,0.0071164878680659086
Ge1P9S6,0.0001607177234530355
Ge1P9S7,-0.008599328240387031
Ge1P9S8,-0.01746592516590734
Ge1P9S9,-0.14451729733336835
Ge1P9S10,-0.20450668975001612
Ge1P10S0,0.10132015049656222
Ge1P10S1,0.05310859978354983
Ge1P10S2,0.035101043930630814
Ge1P10S3,0.032294400740487623
Ge1P10S4,0.008826898181282114
