formula,target
In0P0S1,-0.23407036915518264
In0P1S0,0.002609444083694088
In0P1S1,-0.25385020394122554
In0P1S2,-0.2310874048153429
In0P1S3,-0.211892510823284
In0P1S4,-0.2011446531117919
In0P1S5,-0.18120884712099047
In0P1S6,-0.17035530497205753
In0P1S7,-0.1757307844393309
In0P1S8,-0.17731344143805114
In0P1S9,-0.17770079358769889
In0P1S10,-0.17389530669158845
In0P1S11,-0.17355469497781204
In0P1S12,-0.16992109567515393
In0P1S13,-0.1743600745354577
In0P1S14,-0.17047913856477204
In0P1S15,-0.16530531308457624
In0P2S1,-0.09387679610769344
In0P2S3,-0.2380716164147514
In0P2S5,-0.21472401478353093
In0P2S7,-0.1952177966201841
In0P2S9,-0.17800007941697107
In0P2S11,-0.18262295026526626
In0P2S13,-0.18049088119553308
In0P2S15,-0.1756215039983752
In0P3S1,-0.06426489120148854
In0P3S2,-0.07373743954203689
In0P3S4,-0.23335333212191142
In0P3S5,-0.23181487818211202
In0P3S7,-0.21441877812989393
In0P3S8,-0.20630427217997013
In0P3S10,-0.19437874228944435
In0P3S11,-0.1923362896641542
In0P3S13,-0.18888199013700435
In0P3S14,-0.18511375206187
In0P4S1,-0.043931002456899806
In0P4S3,-0.05470878676213706
In0P4S5,-0.23780494921768117
In0P4S7,-0.2218486509633298
In0P4S9,-0.21496591927736877
In0P4S11,-0.2108710096519065
In0P4S13,-0.2006574624394182
In0P4S15,-0.19967773371186773
In0P5S1,-0.02861491760841495
In0P5S2,-0.04291363160552895
In0P5S3,-0.06195743016420281
In0P5S4,-0.07205993077747841
In0P5S6,-0.23143875214873705
In0P5S7,-0.23271988643797722
In0P5S8,-0.23038656770568622
In0P5S9,-0.2329756169126884
In0P5S11,-0.2178095276665372
In0P5S12,-0.21062817488387092
In0P5S13,-0.21117162758988528
In0P5S14,-0.2152294109658832
In0P6S1,-0.029605153683897788
In0P6S5,-0.09173664444779503
In0P6S7,-0.2327781160197904
In0P6S11,-0.22498635749874496
In0P6S13,-0.21647911987871093
In0P7S1,-0.031146092942025274
In0P7S2,-0.041136186163715865
In0P7S3,-0.06349996757021785
In0P7S4,-0.08036247561662618
In0P7S5,-0.10576620411655765
In0P7S6,-0.1099895558481594
In0P7S8,-0.23244842425739048
In0P7S9,-0.22855643178556917
In0P7S10,-0.22986878575856554
In0P7S11,-0.21679413691774346
In0P7S12,-0.22098976927238576
In0P7S13,-0.21625736212095442
In0P8S1,-0.03317042843986077
In0P8S3,-0.06527487613550877
In0P8S5,-0.10578841299101653
In0P8S7,-0.1162863534370514
In0P8S9,-0.23185104665322648
In0P8S11,-0.22268901796579763
In0P9S1,-0.04386228882947116
In0P9S2,-0.06119468050271019
In0P9S4,-0.09663980545345602
In0P9S5,-0.10361361887336948
In0P9S7,-0.11595385155735215
In0P9S8,-0.12114443882154995
In0P9S10,-0.22534636553570273
In0P9S11,-0.22078142087798686
In0P10S1,-0.05221476044119278
In0P10S3,-0.0787215358757685
In0P10S7,-0.12465483384319494
In0P10S9,-0.12938558845700218
In0P11S1,-0.06539568875797402
In0P11S2,-0.08104019496667761
In0P11S3,-0.07983965925239188
In0P11S4,-0.08882590606930046
In0P11S5,-0.10859886454436514
In0P11S6,-0.12382813054649162
In0P11S7,-0.12182785440596548
In0P11S8,-0.12249108845700216
In0P11S9,-0.12930767946599317
In0P12S1,-0.0739133190610043
In0P12S5,-0.11653008509194619
In0P12S7,-0.12204199321890692
In0P13S1,-0.07522762100905628
In0P13S2,-0.08435733241256503
In0P13S3,-0.09966239446162709
In0P13S4,-0.10489727108500374
In0P13S5,-0.11111736858476917
In0P13S6,-0.11890885685527057
In0P13S7,-0.11910786994218363
In0P14S1,-0.08949044496288025
In0P14S3,-0.09246274186422447
In0P14S5,-0.1129018687030719
In0P15S1,-0.08868234972478499
In0P15S2,-0.09441715095513356
In0P15S4,-0.09927263846937368
In1P0S0,-0.21287996987839308
In1P0S1,-0.3375365752747254
In1P0S2,-0.33468813569267
In1P0S3,-0.36723718648077075
In1P0S4,-0.3379450416104364
In1P0S5,-0.3173214299281129
In1P0S6,-0.27251258435059095
In1P0S7,-0.2619434367366378
In1P0S8,-0.24291241122708537
In1P0S9,-0.23166196004926434
In1P0S10,-0.21534366343157177
In1P0S11,-0.2011654200880818
In1P0S12,-0.19027540705900564
In1P0S13,-0.18443175586546234
In1P0S14,-0.1815685925961551
In1P0S15,-0.18638286643734658
In1P1S0,-0.1158251680801654
In1P1S1,-0.2554666666666669
In1P1S2,-0.3113269419580422
In1P1S3,-0.3097600000000005
In1P1S4,-0.3805833333333337
In1P1S5,-0.3075577458874457
In1P1S6,-0.2452460169913419
In1P1S7,-0.2261242115440117
In1P1S8,-0.19402153380867523
In1P1S9,-0.1952788345706582
In1P1S10,-0.1862761212271389
In1P1S11,-0.1769649290193466
In1P1S12,-0.1739974367280122
In1P1S13,-0.17134785015641388
In1P1S14,-0.17556267022842992
In1P1S15,-0.17190716643217463
In1P2S0,-0.07556405665825397
In1P2S1,-0.15115955713146506
In1P2S2,-0.29859113419913436
In1P2S3,-0.35727453095238126
In1P2S4,-0.32520569969279073
In1P2S5,-0.26504006263997426
In1P2S6,-0.236103003222268
In1P2S7,-0.20212000000000038
In1P2S8,-0.19898447492572802
In1P2S9,-0.19332479588973125
In1P2S10,-0.18027204307587838
In1P2S11,-0.19100470573877446
In1P2S12,-0.17323540337904267
In1P2S13,-0.1811737663624817
In1P2S14,-0.17426893758532483
In1P2S15,-0.17269792865730757
In1P3S0,-0.05597531856301587
In1P3S1,-0.15991226146046938
In1P3S2,-0.16142089436090232
In1P3S3,-0.2445497326839826
In1P3S4,-0.2659649140829756
In1P3S5,-0.2392400085607203
In1P3S6,-0.21378311628632823
In1P3S7,-0.199472140387064
In1P3S8,-0.19974370082335974
In1P3S9,-0.1959499049414982
In1P3S10,-0.1887454671348603
In1P3S11,-0.17709590312211007
In1P3S12,-0.1765772697177435
In1P3S13,-0.17499724595110766
In1P3S14,-0.16940294022963617
In1P3S15,-0.17339672954081525
In1P4S0,-0.038858326420225776
In1P4S1,-0.1433983459842789
In1P4S2,-0.060565452910685796
In1P4S3,-0.021335530207537583
In1P4S4,-0.1688804495134725
In1P4S5,-0.226648986433209
In1P4S6,-0.2216564084503732
In1P4S7,-0.2198959222719145
In1P4S8,-0.1972378671165436
In1P4S9,-0.18531880272606646
In1P4S10,-0.1837731753278026
In1P4S11,-0.1738635380849628
In1P4S12,-0.17854019426239387
In1P4S13,-0.1746049645839197
In1P4S14,-0.18332714493000118
In1P4S15,-0.17921627421817948
In1P5S0,-0.008610892946836441
In1P5S1,-0.06114205726773227
In1P5S2,-0.028262710282725534
In1P5S3,-0.02368544788708024
In1P5S4,-0.027585742213582766
In1P5S5,-0.16215307217283925
In1P5S6,-0.21615135411386
In1P5S7,-0.22269713814094405
In1P5S8,-0.21209124440379015
In1P5S9,-0.20391499071654162
In1P5S10,-0.19914874933099225
In1P5S11,-0.20256857743735446
In1P5S12,-0.20463269259423064
In1P5S13,-0.21135017244609533
In1P5S14,-0.21396203413937281
In1P6S0,-0.0037005087477022447
In1P6S1,-0.02755192019532756
In1P6S2,-0.013793880732013084
In1P6S3,-0.031081391211076493
In1P6S4,-0.05439929913998967
In1P6S5,-0.05749255076973247
In1P6S6,-0.1656962054764637
In1P6S7,-0.21343224943731864
In1P6S8,-0.21754379810306637
In1P6S9,-0.2165857398339877
In1P6S10,-0.2302960712748895
In1P6S11,-0.2377257511030078
In1P6S12,-0.2341542014977798
In1P6S13,-0.2324331060547983
In1P7S0,0.00322267198822849
In1P7S1,-0.00809156687919923
In1P7S2,-0.025348676925362214
In1P7S3,-0.05563040657904187
In1P7S4,-0.06893258656376301
In1P7S5,-0.07301921991921045
In1P7S6,-0.08107349647402817
In1P7S7,-0.18265258445043078
In1P7S8,-0.22206910625136808
In1P7S9,-0.22868936394104689
In1P7S10,-0.24320119608197108
In1P7S11,-0.24165284218164018
In1P7S12,-0.23952541648660933
In1P8S0,0.0032056018583583585
In1P8S1,-0.018035458225434696
In1P8S2,-0.033735935265061724
In1P8S3,-0.05731122259635787
In1P8S4,-0.0822536365213218
In1P8S5,-0.09286433886497057
In1P8S6,-0.0929321072469498
In1P8S7,-0.10416235178722204
In1P8S8,-0.19494930476726574
In1P8S9,-0.24019223519380525
In1P8S10,-0.24605591416864872
In1P8S11,-0.2433577374025355
In1P9S0,-0.01005570102764452
In1P9S1,-0.025122836016271317
