formula,target
La0P0S1,-0.23407036915518264
La0P1S0,0.002609444083694088
La0P1S1,-0.25385020394122554
La0P1S2,-0.2310874048153429
La0P1S3,-0.211892510823284
La0P1S4,-0.2011446531117919
La0P1S5,-0.18120884712099047
La0P1S6,-0.17035530497205753
La0P1S7,-0.1757307844393309
La0P1S8,-0.17731344143805114
La0P1S9,-0.17770079358769889
La0P1S10,-0.17389530669158845
La0P1S11,-0.17355469497781204
La0P1S12,-0.16992109567515393
La0P1S13,-0.1743600745354577
La0P1S14,-0.17047913856477204
La0P1S15,-0.16530531308457624
La0P2S1,-0.09387679610769344
La0P2S3,-0.2380716164147514
La0P2S5,-0.21472401478353093
La0P2S7,-0.1952177966201841
La0P2S9,-0.17800007941697107
La0P2S11,-0.18262295026526626
La0P2S13,-0.18049088119553308
La0P2S15,-0.1756215039983752
La0P3S1,-0.06426489120148854
La0P3S2,-0.07373743954203689
La0P3S4,-0.23335333212191142
La0P3S5,-0.23181487818211202
La0P3S7,-0.21441877812989393
La0P3S8,-0.20630427217997013
La0P3S10,-0.19437874228944435
La0P3S11,-0.1923362896641542
La0P3S13,-0.18888199013700435
La0P3S14,-0.18511375206187
La0P4S1,-0.043931002456899806
La0P4S3,-0.05470878676213706
La0P4S5,-0.23780494921768117
La0P4S7,-0.2218486509633298
La0P4S9,-0.21496591927736877
La0P4S11,-0.2108710096519065
La0P4S13,-0.2006574624394182
La0P4S15,-0.19967773371186773
La0P5S1,-0.02861491760841495
La0P5S2,-0.04291363160552895
La0P5S3,-0.06195743016420281
La0P5S4,-0.07205993077747841
La0P5S6,-0.23143875214873705
La0P5S7,-0.23271988643797722
La0P5S8,-0.23038656770568622
La0P5S9,-0.2329756169126884
La0P5S11,-0.2178095276665372
La0P5S12,-0.21062817488387092
La0P5S13,-0.21117162758988528
La0P5S14,-0.2152294109658832
La0P6S1,-0.029605153683897788
La0P6S5,-0.09173664444779503
La0P6S7,-0.2327781160197904
La0P6S11,-0.22498635749874496
La0P6S13,-0.21647911987871093
La0P7S1,-0.031146092942025274
La0P7S2,-0.041136186163715865
La0P7S3,-0.06349996757021785
La0P7S4,-0.08036247561662618
La0P7S5,-0.10576620411655765
La0P7S6,-0.1099895558481594
La0P7S8,-0.23244842425739048
La0P7S9,-0.22855643178556917
La0P7S10,-0.22986878575856554
La0P7S11,-0.21679413691774346
La0P7S12,-0.22098976927238576
La0P7S13,-0.21625736212095442
La0P8S1,-0.03317042843986077
La0P8S3,-0.06527487613550877
La0P8S5,-0.10578841299101653
La0P8S7,-0.1162863534370514
La0P8S9,-0.23185104665322648
La0P8S11,-0.22268901796579763
La0P9S1,-0.04386228882947116
La0P9S2,-0.06119468050271019
La0P9S4,-0.09663980545345602
La0P9S5,-0.10361361887336948
La0P9S7,-0.11595385155735215
La0P9S8,-0.12114443882154995
La0P9S10,-0.22534636553570273
La0P9S11,-0.22078142087798686
La0P10S1,-0.05221476044119278
La0P10S3,-0.0787215358757685
La0P10S7,-0.12465483384319494
La0P10S9,-0.12938558845700218
La0P11S1,-0.06539568875797402
La0P11S2,-0.08104019496667761
La0P11S3,-0.07983965925239188
La0P11S4,-0.08882590606930046
La0P11S5,-0.10859886454436514
La0P11S6,-0.12382813054649162
La0P11S7,-0.12182785440596548
La0P11S8,-0.12249108845700216
La0P11S9,-0.12930767946599317
La0P12S1,-0.0739133190610043
La0P12S5,-0.11653008509194619
La0P12S7,-0.12204199321890692
La0P13S1,-0.07522762100905628
La0P13S2,-0.08435733241256503
La0P13S3,-0.09966239446162709
La0P13S4,-0.10489727108500374
La0P13S5,-0.11111736858476917
La0P13S6,-0.11890885685527057
La0P13S7,-0.11910786994218363
La0P14S1,-0.08949044496288025
La0P14S3,-0.09246274186422447
La0P14S5,-0.1129018687030719
La0P15S1,-0.08868234972478499
La0P15S2,-0.09441715095513356
La0P15S4,-0.09927263846937368
La1P0S0,-0.23082248373120687
La1P0S1,-1.676033462801089
La1P0S2,-1.1288082263292265
La1P0S3,-1.0421525491869241
La1P0S4,-0.9203027918426604
La1P0S5,-0.8131082664097853
La1P0S6,-0.6940506422591516
La1P0S7,-0.630915142827503
La1P0S8,-0.5918230173142907
La1P0S9,-0.5663980879789889
La1P0S10,-0.5520994943411854
La1P0S11,-0.5286689193924842
La1P0S12,-0.5161314185677928
La1P0S13,-0.496803592078441
La1P0S14,-0.48560400222635985
La1P0S15,-0.4727424180793407
La1P1S0,-1.313096681313132
La1P1S1,-1.700033333333332
La1P1S2,-1.140344097746697
La1P1S3,-0.9912999999999991
La1P1S4,-1.1708666666666678
La1P1S5,-0.9157480706709964
La1P1S6,-0.7399010882281465
La1P1S7,-0.6366684138262328
La1P1S8,-0.6035938650250511
La1P1S9,-0.5875443178290063
La1P1S10,-0.5800269438037194
La1P1S11,-0.567729887093969
La1P1S12,-0.575119622147735
La1P1S13,-0.5700180668596626
La1P1S14,-0.572065536269819
La1P1S15,-0.5876745223848394
La1P2S0,-1.0758112815379066
La1P2S1,-1.1557588134032633
La1P2S2,-1.0490382520396266
La1P2S3,-1.0238766902597412
La1P2S4,-0.8853347028005628
La1P2S5,-0.7423395948146886
La1P2S6,-0.6377658360275693
La1P2S7,-0.5998900000000006
La1P2S8,-0.5928779118259192
La1P2S9,-0.5883120030042628
La1P2S10,-0.5973356566820608
La1P2S11,-0.5873282528108973
La1P2S12,-0.5762931672299838
La1P2S13,-0.5702350472518195
La1P2S14,-0.5835368591206183
La1P2S15,-0.5570134801812912
La1P3S0,-0.8599783212343213
La1P3S1,-1.0253034496336992
La1P3S2,-0.9924166122979367
La1P3S3,-0.8703748455513789
La1P3S4,-0.68248089894769
La1P3S5,-0.6321444848997497
La1P3S6,-0.6041184476570217
La1P3S7,-0.6016299929839167
La1P3S8,-0.5909444433149325
La1P3S9,-0.598568316551835
La1P3S10,-0.605016066929407
La1P3S11,-0.5963066696721235
La1P3S12,-0.5809053493889325
La1P3S13,-0.5862216196891518
La1P3S14,-0.5719151859416814
