formula,target
Mn0P0S1,-0.23407036915518264
Mn0P1S0,0.002609444083694088
Mn0P1S1,-0.25385020394122554
Mn0P1S2,-0.2310874048153429
Mn0P1S3,-0.211892510823284
Mn0P1S4,-0.2011446531117919
Mn0P1S5,-0.18120884712099047
Mn0P1S6,-0.17035530497205753
Mn0P1S7,-0.1757307844393309
Mn0P1S8,-0.17731344143805114
Mn0P1S9,-0.17770079358769889
Mn0P1S10,-0.17389530669158845
Mn0P1S11,-0.17355469497781204
Mn0P1S12,-0.16992109567515393
Mn0P1S13,-0.1743600745354577
Mn0P1S14,-0.17047913856477204
Mn0P1S15,-0.16530531308457624
Mn0P2S1,-0.09387679610769344
Mn0P2S3,-0.2380716164147514
Mn0P2S5,-0.21472401478353093
Mn0P2S7,-0.1952177966201841
Mn0P2S9,-0.17800007941697107
Mn0P2S11,-0.18262295026526626
Mn0P2S13,-0.18049088119553308
Mn0P2S15,-0.1756215039983752
Mn0P3S1,-0.06426489120148854
Mn0P3S2,-0.07373743954203689
Mn0P3S4,-0.23335333212191142
Mn0P3S5,-0.23181487818211202
Mn0P3S7,-0.21441877812989393
Mn0P3S8,-0.20630427217997013
Mn0P3S10,-0.19437874228944435
Mn0P3S11,-0.1923362896641542
Mn0P3S13,-0.18888199013700435
Mn0P3S14,-0.18511375206187
Mn0P4S1,-0.043931002456899806
Mn0P4S3,-0.05470878676213706
Mn0P4S5,-0.23780494921768117
Mn0P4S7,-0.2218486509633298
Mn0P4S9,-0.21496591927736877
Mn0P4S11,-0.2108710096519065
Mn0P4S13,-0.2006574624394182
Mn0P4S15,-0.19967773371186773
Mn0P5S1,-0.02861491760841495
Mn0P5S2,-0.04291363160552895
Mn0P5S3,-0.06195743016420281
Mn0P5S4,-0.07205993077747841
Mn0P5S6,-0.23143875214873705
Mn0P5S7,-0.23271988643797722
Mn0P5S8,-0.23038656770568622
Mn0P5S9,-0.2329756169126884
Mn0P5S11,-0.2178095276665372
Mn0P5S12,-0.21062817488387092
Mn0P5S13,-0.21117162758988528
Mn0P5S14,-0.2152294109658832
Mn0P6S1,-0.029605153683897788
Mn0P6S5,-0.09173664444779503
Mn0P6S7,-0.2327781160197904
Mn0P6S11,-0.22498635749874496
Mn0P6S13,-0.21647911987871093
Mn0P7S1,-0.031146092942025274
Mn0P7S2,-0.041136186163715865
Mn0P7S3,-0.06349996757021785
Mn0P7S4,-0.08036247561662618
Mn0P7S5,-0.10576620411655765
Mn0P7S6,-0.1099895558481594
Mn0P7S8,-0.23244842425739048
Mn0P7S9,-0.22855643178556917
Mn0P7S10,-0.22986878575856554
Mn0P7S11,-0.21679413691774346
Mn0P7S12,-0.22098976927238576
Mn0P7S13,-0.21625736212095442
Mn0P8S1,-0.03317042843986077
Mn0P8S3,-0.06527487613550877
Mn0P8S5,-0.10578841299101653
Mn0P8S7,-0.1162863534370514
Mn0P8S9,-0.23185104665322648
Mn0P8S11,-0.22268901796579763
Mn0P9S1,-0.04386228882947116
Mn0P9S2,-0.06119468050271019
Mn0P9S4,-0.09663980545345602
Mn0P9S5,-0.10361361887336948
Mn0P9S7,-0.11595385155735215
Mn0P9S8,-0.12114443882154995
Mn0P9S10,-0.22534636553570273
Mn0P9S11,-0.22078142087798686
Mn0P10S1,-0.05221476044119278
Mn0P10S3,-0.0787215358757685
Mn0P10S7,-0.12465483384319494
Mn0P10S9,-0.12938558845700218
Mn0P11S1,-0.06539568875797402
Mn0P11S2,-0.08104019496667761
Mn0P11S3,-0.07983965925239188
Mn0P11S4,-0.08882590606930046
Mn0P11S5,-0.10859886454436514
Mn0P11S6,-0.12382813054649162
Mn0P11S7,-0.12182785440596548
Mn0P11S8,-0.12249108845700216
Mn0P11S9,-0.12930767946599317
Mn0P12S1,-0.0739133190610043
Mn0P12S5,-0.11653008509194619
Mn0P12S7,-0.12204199321890692
Mn0P13S1,-0.07522762100905628
Mn0P13S2,-0.08435733241256503
Mn0P13S3,-0.09966239446162709
Mn0P13S4,-0.10489727108500374
Mn0P13S5,-0.11111736858476917
Mn0P13S6,-0.11890885685527057
Mn0P13S7,-0.11910786994218363
Mn0P14S1,-0.08949044496288025
Mn0P14S3,-0.09246274186422447
Mn0P14S5,-0.1129018687030719
Mn0P15S1,-0.08868234972478499
Mn0P15S2,-0.09441715095513356
Mn0P15S4,-0.09927263846937368
Mn1P0S0,-0.21075335952795915
Mn1P0S1,-0.37580946596789006
Mn1P0S2,-0.3182550821781418
Mn1P0S3,-0.3326009746800843
Mn1P0S4,-0.30853353997134614
Mn1P0S5,-0.30133058632836884
Mn1P0S6,-0.2944590745519014
Mn1P0S7,-0.26940866748866876
Mn1P0S8,-0.24807011016538488
Mn1P0S9,-0.22485657933479494
Mn1P0S10,-0.20770632081706558
Mn1P0S11,-0.2000638762963386
Mn1P0S12,-0.19138228728229112
Mn1P0S13,-0.18666137338676114
Mn1P0S14,-0.18300180675494096
Mn1P0S15,-0.1828293944480528
Mn1P1S0,-0.18236553102453104
Mn1P1S1,-0.4211666666666665
Mn1P1S2,-0.40701025820845815
Mn1P1S3,-0.3739800000000001
Mn1P1S4,-0.35805173051393036
Mn1P1S5,-0.31641926739241133
Mn1P1S6,-0.30385933698115575
Mn1P1S7,-0.27587072388591777
Mn1P1S8,-0.23192434939309053
Mn1P1S9,-0.2167483275443511
Mn1P1S10,-0.18802172863933456
Mn1P1S11,-0.18161696550802142
Mn1P1S12,-0.16596206307710168
Mn1P1S13,-0.15746748558435017
Mn1P1S14,-0.14762960980861226
Mn1P1S15,-0.14559229634869753
Mn1P2S0,-0.09206067953785975
Mn1P2S1,-0.31450312399267377
Mn1P2S2,-0.333907806121656
Mn1P2S3,-0.34503459073149045
