formula,target
Ni0P0S1,-0.23407036915518264
Ni0P1S0,0.002609444083694088
Ni0P1S1,-0.25385020394122554
Ni0P1S2,-0.2310874048153429
Ni0P1S3,-0.211892510823284
Ni0P1S4,-0.2011446531117919
Ni0P1S5,-0.18120884712099047
Ni0P1S6,-0.17035530497205753
Ni0P1S7,-0.1757307844393309
Ni0P1S8,-0.17731344143805114
Ni0P1S9,-0.17770079358769889
Ni0P1S10,-0.17389530669158845
Ni0P1S11,-0.17355469497781204
Ni0P1S12,-0.16992109567515393
Ni0P1S13,-0.1743600745354577
Ni0P1S14,-0.17047913856477204
Ni0P1S15,-0.16530531308457624
Ni0P2S1,-0.09387679610769344
Ni0P2S3,-0.2380716164147514
Ni0P2S5,-0.21472401478353093
Ni0P2S7,-0.1952177966201841
Ni0P2S9,-0.17800007941697107
Ni0P2S11,-0.18262295026526626
Ni0P2S13,-0.18049088119553308
Ni0P2S15,-0.1756215039983752
Ni0P3S1,-0.06426489120148854
Ni0P3S2,-0.07373743954203689
Ni0P3S4,-0.23335333212191142
Ni0P3S5,-0.23181487818211202
Ni0P3S7,-0.21441877812989393
Ni0P3S8,-0.20630427217997013
Ni0P3S10,-0.19437874228944435
Ni0P3S11,-0.1923362896641542
Ni0P3S13,-0.18888199013700435
Ni0P3S14,-0.18511375206187
Ni0P4S1,-0.043931002456899806
Ni0P4S3,-0.05470878676213706
Ni0P4S5,-0.23780494921768117
Ni0P4S7,-0.2218486509633298
Ni0P4S9,-0.21496591927736877
Ni0P4S11,-0.2108710096519065
Ni0P4S13,-0.2006574624394182
Ni0P4S15,-0.19967773371186773
Ni0P5S1,-0.02861491760841495
Ni0P5S2,-0.04291363160552895
Ni0P5S3,-0.06195743016420281
Ni0P5S4,-0.07205993077747841
Ni0P5S6,-0.23143875214873705
Ni0P5S7,-0.23271988643797722
Ni0P5S8,-0.23038656770568622
Ni0P5S9,-0.2329756169126884
Ni0P5S11,-0.2178095276665372
Ni0P5S12,-0.21062817488387092
Ni0P5S13,-0.21117162758988528
Ni0P5S14,-0.2152294109658832
Ni0P6S1,-0.029605153683897788
Ni0P6S5,-0.09173664444779503
Ni0P6S7,-0.2327781160197904
Ni0P6S11,-0.22498635749874496
Ni0P6S13,-0.21647911987871093
Ni0P7S1,-0.031146092942025274
Ni0P7S2,-0.041136186163715865
Ni0P7S3,-0.06349996757021785
Ni0P7S4,-0.08036247561662618
Ni0P7S5,-0.10576620411655765
Ni0P7S6,-0.1099895558481594
Ni0P7S8,-0.23244842425739048
Ni0P7S9,-0.22855643178556917
Ni0P7S10,-0.22986878575856554
Ni0P7S11,-0.21679413691774346
Ni0P7S12,-0.22098976927238576
Ni0P7S13,-0.21625736212095442
Ni0P8S1,-0.03317042843986077
Ni0P8S3,-0.06527487613550877
Ni0P8S5,-0.10578841299101653
Ni0P8S7,-0.1162863534370514
Ni0P8S9,-0.23185104665322648
Ni0P8S11,-0.22268901796579763
Ni0P9S1,-0.04386228882947116
Ni0P9S2,-0.06119468050271019
Ni0P9S4,-0.09663980545345602
Ni0P9S5,-0.10361361887336948
Ni0P9S7,-0.11595385155735215
Ni0P9S8,-0.12114443882154995
Ni0P9S10,-0.22534636553570273
Ni0P9S11,-0.22078142087798686
Ni0P10S1,-0.05221476044119278
Ni0P10S3,-0.0787215358757685
Ni0P10S7,-0.12465483384319494
Ni0P10S9,-0.12938558845700218
Ni0P11S1,-0.06539568875797402
Ni0P11S2,-0.08104019496667761
Ni0P11S3,-0.07983965925239188
Ni0P11S4,-0.08882590606930046
Ni0P11S5,-0.10859886454436514
Ni0P11S6,-0.12382813054649162
Ni0P11S7,-0.12182785440596548
Ni0P11S8,-0.12249108845700216
Ni0P11S9,-0.12930767946599317
Ni0P12S1,-0.0739133190610043
Ni0P12S5,-0.11653008509194619
Ni0P12S7,-0.12204199321890692
Ni0P13S1,-0.07522762100905628
Ni0P13S2,-0.08435733241256503
Ni0P13S3,-0.09966239446162709
Ni0P13S4,-0.10489727108500374
Ni0P13S5,-0.11111736858476917
Ni0P13S6,-0.11890885685527057
Ni0P13S7,-0.11910786994218363
Ni0P14S1,-0.08949044496288025
Ni0P14S3,-0.09246274186422447
Ni0P14S5,-0.1129018687030719
Ni0P15S1,-0.08868234972478499
Ni0P15S2,-0.09441715095513356
Ni0P15S4,-0.09927263846937368
Ni1P0S0,-0.21512033351475673
Ni1P0S1,-0.41949748210955684
Ni1P0S2,-0.32544322449772467
Ni1P0S3,-0.3199409541362147
Ni1P0S4,-0.28402324990390587
Ni1P0S5,-0.2547291592997301
Ni1P0S6,-0.2336653935086928
Ni1P0S7,-0.2155991445212768
Ni1P0S8,-0.20750391417650108
Ni1P0S9,-0.1954620467143966
Ni1P0S10,-0.18794338330539415
Ni1P0S11,-0.18229087453844733
Ni1P0S12,-0.17815585935069392
Ni1P0S13,-0.1757368294720758
Ni1P0S14,-0.16503454988479008
Ni1P0S15,-0.16385600132870215
Ni1P1S0,-0.12403451400266402
Ni1P1S1,-0.4614666666666665
Ni1P1S2,-0.3947729865800866
Ni1P1S3,-0.28096000000000027
Ni1P1S4,-0.3114873846542346
Ni1P1S5,-0.2789997365079364
Ni1P1S6,-0.21753685007215012
Ni1P1S7,-0.19348392092352104
Ni1P1S8,-0.19149188261607678
Ni1P1S9,-0.18403563826500297
Ni1P1S10,-0.1817108398565486
Ni1P1S11,-0.18222049714582803
Ni1P1S12,-0.1886416661942288
Ni1P1S13,-0.1400865942965359
Ni1P1S14,-0.13983683493929527
Ni1P1S15,-0.1386430631874317
Ni1P2S0,-0.029551017465867458
Ni1P2S1,-0.30013269783549784
Ni1P2S2,-0.2850014760683762
Ni1P2S3,-0.3039901313797314
Ni1P2S4,-0.2769351691558441
Ni1P2S5,-0.2216418802669553
Ni1P2S6,-0.17894444444444468
Ni1P2S7,-0.18525528595195662
Ni1P2S8,-0.18390103265427377
Ni1P2S9,-0.18158177088107957
Ni1P2S10,-0.1828556908963585
Ni1P2S11,-0.17887055533999877
Ni1P2S12,-0.14365919284169557
Ni1P2S13,-0.14000418810406995
Ni1P2S14,-0.13779022600244603
Ni1P2S15,-0.13062934220253422
Ni1P3S0,-0.017077139895192515
Ni1P3S1,-0.2272655645021645
Ni1P3S2,-0.20823752359307351
Ni1P3S3,-0.23545921327430736
Ni1P3S4,-0.23977080248917745
Ni1P3S5,-0.18871771673881682
Ni1P3S6,-0.18830405290722357
Ni1P3S7,-0.18557640312367366
Ni1P3S8,-0.18292054574738972
Ni1P3S9,-0.1853185249596808
Ni1P3S10,-0.18274811537734706
Ni1P3S11,-0.16318444651710512
