formula,target
Rb0P0S1,-0.23407036915518264
Rb0P1S0,0.002609444083694088
Rb0P1S1,-0.25385020394122554
Rb0P1S2,-0.2310874048153429
Rb0P1S3,-0.211892510823284
Rb0P1S4,-0.2011446531117919
Rb0P1S5,-0.18120884712099047
Rb0P1S6,-0.17035530497205753
Rb0P1S7,-0.1757307844393309
Rb0P1S8,-0.17731344143805114
Rb0P1S9,-0.17770079358769889
Rb0P1S10,-0.17389530669158845
Rb0P1S11,-0.17355469497781204
Rb0P1S12,-0.16992109567515393
Rb0P1S13,-0.1743600745354577
Rb0P1S14,-0.17047913856477204
Rb0P1S15,-0.16530531308457624
Rb0P2S1,-0.09387679610769344
Rb0P2S3,-0.2380716164147514
Rb0P2S5,-0.21472401478353093
Rb0P2S7,-0.1952177966201841
Rb0P2S9,-0.17800007941697107
Rb0P2S11,-0.18262295026526626
Rb0P2S13,-0.18049088119553308
Rb0P2S15,-0.1756215039983752
Rb0P3S1,-0.06426489120148854
Rb0P3S2,-0.07373743954203689
Rb0P3S4,-0.23335333212191142
Rb0P3S5,-0.23181487818211202
Rb0P3S7,-0.21441877812989393
Rb0P3S8,-0.20630427217997013
Rb0P3S10,-0.19437874228944435
Rb0P3S11,-0.1923362896641542
Rb0P3S13,-0.18888199013700435
Rb0P3S14,-0.18511375206187
Rb0P4S1,-0.043931002456899806
Rb0P4S3,-0.05470878676213706
Rb0P4S5,-0.23780494921768117
Rb0P4S7,-0.2218486509633298
Rb0P4S9,-0.21496591927736877
Rb0P4S11,-0.2108710096519065
Rb0P4S13,-0.2006574624394182
Rb0P4S15,-0.19967773371186773
Rb0P5S1,-0.02861491760841495
Rb0P5S2,-0.04291363160552895
Rb0P5S3,-0.06195743016420281
Rb0P5S4,-0.07205993077747841
Rb0P5S6,-0.23143875214873705
Rb0P5S7,-0.23271988643797722
Rb0P5S8,-0.23038656770568622
Rb0P5S9,-0.2329756169126884
Rb0P5S11,-0.2178095276665372
Rb0P5S12,-0.21062817488387092
Rb0P5S13,-0.21117162758988528
Rb0P5S14,-0.2152294109658832
Rb0P6S1,-0.029605153683897788
Rb0P6S5,-0.09173664444779503
Rb0P6S7,-0.2327781160197904
Rb0P6S11,-0.22498635749874496
Rb0P6S13,-0.21647911987871093
Rb0P7S1,-0.031146092942025274
Rb0P7S2,-0.041136186163715865
Rb0P7S3,-0.06349996757021785
Rb0P7S4,-0.08036247561662618
Rb0P7S5,-0.10576620411655765
Rb0P7S6,-0.1099895558481594
Rb0P7S8,-0.23244842425739048
Rb0P7S9,-0.22855643178556917
Rb0P7S10,-0.22986878575856554
Rb0P7S11,-0.21679413691774346
Rb0P7S12,-0.22098976927238576
Rb0P7S13,-0.21625736212095442
Rb0P8S1,-0.03317042843986077
Rb0P8S3,-0.06527487613550877
Rb0P8S5,-0.10578841299101653
Rb0P8S7,-0.1162863534370514
Rb0P8S9,-0.23185104665322648
Rb0P8S11,-0.22268901796579763
Rb0P9S1,-0.04386228882947116
Rb0P9S2,-0.06119468050271019
Rb0P9S4,-0.09663980545345602
Rb0P9S5,-0.10361361887336948
Rb0P9S7,-0.11595385155735215
Rb0P9S8,-0.12114443882154995
Rb0P9S10,-0.22534636553570273
Rb0P9S11,-0.22078142087798686
Rb0P10S1,-0.05221476044119278
Rb0P10S3,-0.0787215358757685
Rb0P10S7,-0.12465483384319494
Rb0P10S9,-0.12938558845700218
Rb0P11S1,-0.06539568875797402
Rb0P11S2,-0.08104019496667761
Rb0P11S3,-0.07983965925239188
Rb0P11S4,-0.08882590606930046
Rb0P11S5,-0.10859886454436514
Rb0P11S6,-0.12382813054649162
Rb0P11S7,-0.12182785440596548
Rb0P11S8,-0.12249108845700216
Rb0P11S9,-0.12930767946599317
Rb0P12S1,-0.0739133190610043
Rb0P12S5,-0.11653008509194619
Rb0P12S7,-0.12204199321890692
Rb0P13S1,-0.07522762100905628
Rb0P13S2,-0.08435733241256503
Rb0P13S3,-0.09966239446162709
Rb0P13S4,-0.10489727108500374
Rb0P13S5,-0.11111736858476917
Rb0P13S6,-0.11890885685527057
Rb0P13S7,-0.11910786994218363
Rb0P14S1,-0.08949044496288025
Rb0P14S3,-0.09246274186422447
Rb0P14S5,-0.1129018687030719
Rb0P15S1,-0.08868234972478499
Rb0P15S2,-0.09441715095513356
Rb0P15S4,-0.09927263846937368
Rb1P0S0,-0.22195404780047098
Rb1P0S1,-0.9747806296092796
Rb1P0S2,-0.9215815349816843
Rb1P0S3,-0.828429653840604
Rb1P0S4,-0.7449166073509821
Rb1P0S5,-0.7182878823940761
Rb1P0S6,-0.6570021079866207
Rb1P0S7,-0.5891923844160651
Rb1P0S8,-0.5324857680854662
Rb1P0S9,-0.4991861148959742
Rb1P0S10,-0.49381454462180385
Rb1P0S11,-0.4917386029048006
Rb1P0S12,-0.4923420962754821
Rb1P0S13,-0.4781170522233871
Rb1P0S14,-0.4706247577493711
Rb1P0S15,-0.46296183045788025
Rb1P1S0,-0.9640196071428565
Rb1P1S1,-1.0076503985347984
Rb1P1S2,-0.8297648658424909
Rb1P1S3,-0.6894800000000015
Rb1P1S4,-0.7027095867292149
Rb1P1S5,-0.7218564147744065
Rb1P1S6,-0.6963038508944271
Rb1P1S7,-0.6410632900675349
Rb1P1S8,-0.6072626127395998
Rb1P1S9,-0.6074645695272566
Rb1P1S10,-0.6108007327213723
Rb1P1S11,-0.6015997487267464
Rb1P1S12,-0.5754092660337597
Rb1P1S13,-0.5807046615247153
Rb1P1S14,-0.5485328066187338
Rb1P1S15,-0.5214830799800473
Rb1P2S0,-0.9068221086080578
Rb1P2S1,-0.8360852438644687
Rb1P2S2,-0.7254276054029315
Rb1P2S3,-0.6973626450209235
Rb1P2S4,-0.7000245852092348
Rb1P2S5,-0.6875833823460163
Rb1P2S6,-0.6576945309804233
Rb1P2S7,-0.6188963855656042
Rb1P2S8,-0.6142746709474739
Rb1P2S9,-0.6125431277409727
Rb1P2S10,-0.6096485013311425
Rb1P2S11,-0.5930499107426801
Rb1P2S12,-0.5859815420191778
Rb1P2S13,-0.5573420139668723
Rb1P2S14,-0.5395417248750559
Rb1P2S15,-0.5136701182355654
Rb1P3S0,-0.7796908214590965
Rb1P3S1,-0.7276846134615391
Rb1P3S2,-0.7238866539952821
Rb1P3S3,-0.7008477832042225
Rb1P3S4,-0.6495467475089239
Rb1P3S5,-0.6413070438330678
Rb1P3S6,-0.6211310775455541
Rb1P3S7,-0.6156670561891328
Rb1P3S8,-0.6181302536513369
Rb1P3S9,-0.6142866558783839
Rb1P3S10,-0.5945054271277743
Rb1P3S11,-0.5866866130162923
Rb1P3S12,-0.5697863903753624
Rb1P3S13,-0.5453211944863527
Rb1P3S14,-0.5266941948065692
Rb1P3S15,-0.5033022242633355
Rb1P4S0,-0.6542201580521811
Rb1P4S1,-0.7106673730423171
Rb1P4S2,-0.678413239254605
Rb1P4S3,-0.6319548701117771
Rb1P4S4,-0.6287722226674085
Rb1P4S5,-0.6128318014605452
Rb1P4S6,-0.6076690270869656
Rb1P4S7,-0.6190833501711913
