formula,target
Sc0P0S1,-0.23407036915518264
Sc0P1S0,0.002609444083694088
Sc0P1S1,-0.25385020394122554
Sc0P1S2,-0.2310874048153429
Sc0P1S3,-0.211892510823284
Sc0P1S4,-0.2011446531117919
Sc0P1S5,-0.18120884712099047
Sc0P1S6,-0.17035530497205753
Sc0P1S7,-0.1757307844393309
Sc0P1S8,-0.17731344143805114
Sc0P1S9,-0.17770079358769889
Sc0P1S10,-0.17389530669158845
Sc0P1S11,-0.17355469497781204
Sc0P1S12,-0.16992109567515393
Sc0P1S13,-0.1743600745354577
Sc0P1S14,-0.17047913856477204
Sc0P1S15,-0.16530531308457624
Sc0P2S1,-0.09387679610769344
Sc0P2S3,-0.2380716164147514
Sc0P2S5,-0.21472401478353093
Sc0P2S7,-0.1952177966201841
Sc0P2S9,-0.17800007941697107
Sc0P2S11,-0.18262295026526626
Sc0P2S13,-0.18049088119553308
Sc0P2S15,-0.1756215039983752
Sc0P3S1,-0.06426489120148854
Sc0P3S2,-0.07373743954203689
Sc0P3S4,-0.23335333212191142
Sc0P3S5,-0.23181487818211202
Sc0P3S7,-0.21441877812989393
Sc0P3S8,-0.20630427217997013
Sc0P3S10,-0.19437874228944435
Sc0P3S11,-0.1923362896641542
Sc0P3S13,-0.18888199013700435
Sc0P3S14,-0.18511375206187
Sc0P4S1,-0.043931002456899806
Sc0P4S3,-0.05470878676213706
Sc0P4S5,-0.23780494921768117
Sc0P4S7,-0.2218486509633298
Sc0P4S9,-0.21496591927736877
Sc0P4S11,-0.2108710096519065
Sc0P4S13,-0.2006574624394182
Sc0P4S15,-0.19967773371186773
Sc0P5S1,-0.02861491760841495
Sc0P5S2,-0.04291363160552895
Sc0P5S3,-0.06195743016420281
Sc0P5S4,-0.07205993077747841
Sc0P5S6,-0.23143875214873705
Sc0P5S7,-0.23271988643797722
Sc0P5S8,-0.23038656770568622
Sc0P5S9,-0.2329756169126884
Sc0P5S11,-0.2178095276665372
Sc0P5S12,-0.21062817488387092
Sc0P5S13,-0.21117162758988528
Sc0P5S14,-0.2152294109658832
Sc0P6S1,-0.029605153683897788
Sc0P6S5,-0.09173664444779503
Sc0P6S7,-0.2327781160197904
Sc0P6S11,-0.22498635749874496
Sc0P6S13,-0.21647911987871093
Sc0P7S1,-0.031146092942025274
Sc0P7S2,-0.041136186163715865
Sc0P7S3,-0.06349996757021785
Sc0P7S4,-0.08036247561662618
Sc0P7S5,-0.10576620411655765
Sc0P7S6,-0.1099895558481594
Sc0P7S8,-0.23244842425739048
Sc0P7S9,-0.22855643178556917
Sc0P7S10,-0.22986878575856554
Sc0P7S11,-0.21679413691774346
Sc0P7S12,-0.22098976927238576
Sc0P7S13,-0.21625736212095442
Sc0P8S1,-0.03317042843986077
Sc0P8S3,-0.06527487613550877
Sc0P8S5,-0.10578841299101653
Sc0P8S7,-0.1162863534370514
Sc0P8S9,-0.23185104665322648
Sc0P8S11,-0.22268901796579763
Sc0P9S1,-0.04386228882947116
Sc0P9S2,-0.06119468050271019
Sc0P9S4,-0.09663980545345602
Sc0P9S5,-0.10361361887336948
Sc0P9S7,-0.11595385155735215
Sc0P9S8,-0.12114443882154995
Sc0P9S10,-0.22534636553570273
Sc0P9S11,-0.22078142087798686
Sc0P10S1,-0.05221476044119278
Sc0P10S3,-0.0787215358757685
Sc0P10S7,-0.12465483384319494
Sc0P10S9,-0.12938558845700218
Sc0P11S1,-0.06539568875797402
Sc0P11S2,-0.08104019496667761
Sc0P11S3,-0.07983965925239188
Sc0P11S4,-0.08882590606930046
Sc0P11S5,-0.10859886454436514
Sc0P11S6,-0.12382813054649162
Sc0P11S7,-0.12182785440596548
Sc0P11S8,-0.12249108845700216
Sc0P11S9,-0.12930767946599317
Sc0P12S1,-0.0739133190610043
Sc0P12S5,-0.11653008509194619
Sc0P12S7,-0.12204199321890692
Sc0P13S1,-0.07522762100905628
Sc0P13S2,-0.08435733241256503
Sc0P13S3,-0.09966239446162709
Sc0P13S4,-0.10489727108500374
Sc0P13S5,-0.11111736858476917
Sc0P13S6,-0.11890885685527057
Sc0P13S7,-0.11910786994218363
Sc0P14S1,-0.08949044496288025
Sc0P14S3,-0.09246274186422447
Sc0P14S5,-0.1129018687030719
Sc0P15S1,-0.08868234972478499
Sc0P15S2,-0.09441715095513356
Sc0P15S4,-0.09927263846937368
Sc1P0S0,-0.2150008902080634
Sc1P0S1,-1.6123158123404389
Sc1P0S2,-1.067460876348652
Sc1P0S3,-0.9504778340548341
Sc1P0S4,-0.8925876642864445
Sc1P0S5,-0.7655617262187076
Sc1P0S6,-0.6591457243001667
Sc1P0S7,-0.5939323691862062
Sc1P0S8,-0.5422293590272301
Sc1P0S9,-0.5108469979126137
Sc1P0S10,-0.5076061787701291
Sc1P0S11,-0.5029159688286087
Sc1P0S12,-0.4964257616226568
Sc1P0S13,-0.48620092770452805
Sc1P0S14,-0.4733229690217248
Sc1P0S15,-0.46970926288919196
Sc1P1S0,-1.539950000000002
Sc1P1S1,-1.5096000000000032
Sc1P1S2,-0.9935468306138313
Sc1P1S3,-0.9898400000000008
Sc1P1S4,-0.9786500000000015
Sc1P1S5,-0.843328308730159
Sc1P1S6,-0.6697622960317456
Sc1P1S7,-0.5709045030621418
Sc1P1S8,-0.5288939523767076
Sc1P1S9,-0.5286233296791439
Sc1P1S10,-0.5247237411650866
Sc1P1S11,-0.5260068910679186
Sc1P1S12,-0.5153724174642348
Sc1P1S13,-0.5240638037036665
Sc1P1S14,-0.532278050570611
Sc1P1S15,-0.5408973790536951
Sc1P2S0,-1.0062964177017433
Sc1P2S1,-1.0554259857697859
Sc1P2S2,-1.0162639064352321
Sc1P2S3,-0.9288687865079375
Sc1P2S4,-0.8036648366541354
Sc1P2S5,-0.6738546551834126
