formula,target
Sn0P0S1,-0.23407036915518264
Sn0P1S0,0.002609444083694088
Sn0P1S1,-0.25385020394122554
Sn0P1S2,-0.2310874048153429
Sn0P1S3,-0.211892510823284
Sn0P1S4,-0.2011446531117919
Sn0P1S5,-0.18120884712099047
Sn0P1S6,-0.17035530497205753
Sn0P1S7,-0.1757307844393309
Sn0P1S8,-0.17731344143805114
Sn0P1S9,-0.17770079358769889
Sn0P1S10,-0.17389530669158845
Sn0P1S11,-0.17355469497781204
Sn0P1S12,-0.16992109567515393
Sn0P1S13,-0.1743600745354577
Sn0P1S14,-0.17047913856477204
Sn0P1S15,-0.16530531308457624
Sn0P2S1,-0.09387679610769344
Sn0P2S3,-0.2380716164147514
Sn0P2S5,-0.21472401478353093
Sn0P2S7,-0.1952177966201841
Sn0P2S9,-0.17800007941697107
Sn0P2S11,-0.18262295026526626
Sn0P2S13,-0.18049088119553308
Sn0P2S15,-0.1756215039983752
Sn0P3S1,-0.06426489120148854
Sn0P3S2,-0.07373743954203689
Sn0P3S4,-0.23335333212191142
Sn0P3S5,-0.23181487818211202
Sn0P3S7,-0.21441877812989393
Sn0P3S8,-0.20630427217997013
Sn0P3S10,-0.19437874228944435
Sn0P3S11,-0.1923362896641542
Sn0P3S13,-0.18888199013700435
Sn0P3S14,-0.18511375206187
Sn0P4S1,-0.043931002456899806
Sn0P4S3,-0.05470878676213706
Sn0P4S5,-0.23780494921768117
Sn0P4S7,-0.2218486509633298
Sn0P4S9,-0.21496591927736877
Sn0P4S11,-0.2108710096519065
Sn0P4S13,-0.2006574624394182
Sn0P4S15,-0.19967773371186773
Sn0P5S1,-0.02861491760841495
Sn0P5S2,-0.04291363160552895
Sn0P5S3,-0.06195743016420281
Sn0P5S4,-0.07205993077747841
Sn0P5S6,-0.23143875214873705
Sn0P5S7,-0.23271988643797722
Sn0P5S8,-0.23038656770568622
Sn0P5S9,-0.2329756169126884
Sn0P5S11,-0.2178095276665372
Sn0P5S12,-0.21062817488387092
Sn0P5S13,-0.21117162758988528
Sn0P5S14,-0.2152294109658832
Sn0P6S1,-0.029605153683897788
Sn0P6S5,-0.09173664444779503
Sn0P6S7,-0.2327781160197904
Sn0P6S11,-0.22498635749874496
Sn0P6S13,-0.21647911987871093
Sn0P7S1,-0.031146092942025274
Sn0P7S2,-0.041136186163715865
Sn0P7S3,-0.06349996757021785
Sn0P7S4,-0.08036247561662618
Sn0P7S5,-0.10576620411655765
Sn0P7S6,-0.1099895558481594
Sn0P7S8,-0.23244842425739048
Sn0P7S9,-0.22855643178556917
Sn0P7S10,-0.22986878575856554
Sn0P7S11,-0.21679413691774346
Sn0P7S12,-0.22098976927238576
Sn0P7S13,-0.21625736212095442
Sn0P8S1,-0.03317042843986077
Sn0P8S3,-0.06527487613550877
Sn0P8S5,-0.10578841299101653
Sn0P8S7,-0.1162863534370514
Sn0P8S9,-0.23185104665322648
Sn0P8S11,-0.22268901796579763
Sn0P9S1,-0.04386228882947116
Sn0P9S2,-0.06119468050271019
Sn0P9S4,-0.09663980545345602
Sn0P9S5,-0.10361361887336948
Sn0P9S7,-0.11595385155735215
Sn0P9S8,-0.12114443882154995
Sn0P9S10,-0.22534636553570273
Sn0P9S11,-0.22078142087798686
Sn0P10S1,-0.05221476044119278
Sn0P10S3,-0.0787215358757685
Sn0P10S7,-0.12465483384319494
Sn0P10S9,-0.12938558845700218
Sn0P11S1,-0.06539568875797402
Sn0P11S2,-0.08104019496667761
Sn0P11S3,-0.07983965925239188
Sn0P11S4,-0.08882590606930046
Sn0P11S5,-0.10859886454436514
Sn0P11S6,-0.12382813054649162
Sn0P11S7,-0.12182785440596548
Sn0P11S8,-0.12249108845700216
Sn0P11S9,-0.12930767946599317
Sn0P12S1,-0.0739133190610043
Sn0P12S5,-0.11653008509194619
Sn0P12S7,-0.12204199321890692
Sn0P13S1,-0.07522762100905628
Sn0P13S2,-0.08435733241256503
Sn0P13S3,-0.09966239446162709
Sn0P13S4,-0.10489727108500374
Sn0P13S5,-0.11111736858476917
Sn0P13S6,-0.11890885685527057
Sn0P13S7,-0.11910786994218363
Sn0P14S1,-0.08949044496288025
Sn0P14S3,-0.09246274186422447
Sn0P14S5,-0.1129018687030719
Sn0P15S1,-0.08868234972478499
Sn0P15S2,-0.09441715095513356
Sn0P15S4,-0.09927263846937368
Sn1P0S0,-0.21063643141685462
Sn1P0S1,-0.28343268447385966
Sn1P0S2,-0.28956503541458545
Sn1P0S3,-0.2917511165142048
Sn1P0S4,-0.2899055041932439
Sn1P0S5,-0.25594038157983234
Sn1P0S6,-0.22743135608368242
Sn1P0S7,-0.19636576283442217
Sn1P0S8,-0.18220683904301754
Sn1P0S9,-0.17488390970000067
Sn1P0S10,-0.16547864343277977
Sn1P0S11,-0.16444513926521534
Sn1P0S12,-0.16665906513504553
Sn1P0S13,-0.16706910977863726
Sn1P0S14,-0.16938965122964408
Sn1P0S15,-0.17192456189740768
Sn1P1S0,-0.044099999999999945
Sn1P1S1,-0.17329999999999987
Sn1P1S2,-0.3349289855477855
Sn1P1S3,-0.38965999999999945
Sn1P1S4,-0.32182877007437
Sn1P1S5,-0.27612530428008514
Sn1P1S6,-0.2611829857864358
Sn1P1S7,-0.26666678311688313
Sn1P1S8,-0.21969379191919194
Sn1P1S9,-0.1903106566675154
Sn1P1S10,-0.18860225159578975
Sn1P1S11,-0.16623329075630242
Sn1P1S12,-0.17096555533290236
Sn1P1S13,-0.16925689039783742
Sn1P1S14,-0.16659530294346173
Sn1P1S15,-0.16033842918820082
Sn1P2S0,-0.018320683982683994
Sn1P2S1,-0.11659980757575752
Sn1P2S2,-0.30906433806193795
Sn1P2S3,-0.3395026463702964
Sn1P2S4,-0.29258680082177874
Sn1P2S5,-0.28912880151515113
Sn1P2S6,-0.30888888888888827
Sn1P2S7,-0.24557000000000045
Sn1P2S8,-0.20267272727272714
Sn1P2S9,-0.1841503361768949
Sn1P2S10,-0.17801891550802126
Sn1P2S11,-0.17648952345301744
Sn1P2S12,-0.1741189507874478
Sn1P2S13,-0.17193183722747837
Sn1P2S14,-0.1653053647643893
Sn1P2S15,-0.1530838623784626
Sn1P3S0,-0.02610000000000001
Sn1P3S1,-0.13149122424242413
Sn1P3S2,-0.0687772272727273
Sn1P3S3,-0.20415069408129705
Sn1P3S4,-0.28489658813637325
