formula,target
W0P0S1,-0.23407036915518264
W0P1S0,0.002609444083694088
W0P1S1,-0.25385020394122554
W0P1S2,-0.2310874048153429
W0P1S3,-0.211892510823284
W0P1S4,-0.2011446531117919
W0P1S5,-0.18120884712099047
W0P1S6,-0.17035530497205753
W0P1S7,-0.1757307844393309
W0P1S8,-0.17731344143805114
W0P1S9,-0.17770079358769889
W0P1S10,-0.17389530669158845
W0P1S11,-0.17355469497781204
W0P1S12,-0.16992109567515393
W0P1S13,-0.1743600745354577
W0P1S14,-0.17047913856477204
W0P1S15,-0.16530531308457624
W0P2S1,-0.09387679610769344
W0P2S3,-0.2380716164147514
W0P2S5,-0.21472401478353093
W0P2S7,-0.1952177966201841
W0P2S9,-0.17800007941697107
W0P2S11,-0.18262295026526626
W0P2S13,-0.18049088119553308
W0P2S15,-0.1756215039983752
W0P3S1,-0.06426489120148854
W0P3S2,-0.07373743954203689
W0P3S4,-0.23335333212191142
W0P3S5,-0.23181487818211202
W0P3S7,-0.21441877812989393
W0P3S8,-0.20630427217997013
W0P3S10,-0.19437874228944435
W0P3S11,-0.1923362896641542
W0P3S13,-0.18888199013700435
W0P3S14,-0.18511375206187
W0P4S1,-0.043931002456899806
W0P4S3,-0.05470878676213706
W0P4S5,-0.23780494921768117
W0P4S7,-0.2218486509633298
W0P4S9,-0.21496591927736877
W0P4S11,-0.2108710096519065
W0P4S13,-0.2006574624394182
W0P4S15,-0.19967773371186773
W0P5S1,-0.02861491760841495
W0P5S2,-0.04291363160552895
W0P5S3,-0.06195743016420281
W0P5S4,-0.07205993077747841
W0P5S6,-0.23143875214873705
W0P5S7,-0.23271988643797722
W0P5S8,-0.23038656770568622
W0P5S9,-0.2329756169126884
W0P5S11,-0.2178095276665372
W0P5S12,-0.21062817488387092
W0P5S13,-0.21117162758988528
W0P5S14,-0.2152294109658832
W0P6S1,-0.029605153683897788
W0P6S5,-0.09173664444779503
W0P6S7,-0.2327781160197904
W0P6S11,-0.22498635749874496
W0P6S13,-0.21647911987871093
W0P7S1,-0.031146092942025274
W0P7S2,-0.041136186163715865
W0P7S3,-0.06349996757021785
W0P7S4,-0.08036247561662618
W0P7S5,-0.10576620411655765
W0P7S6,-0.1099895558481594
W0P7S8,-0.23244842425739048
W0P7S9,-0.22855643178556917
W0P7S10,-0.22986878575856554
W0P7S11,-0.21679413691774346
W0P7S12,-0.22098976927238576
W0P7S13,-0.21625736212095442
W0P8S1,-0.03317042843986077
W0P8S3,-0.06527487613550877
W0P8S5,-0.10578841299101653
W0P8S7,-0.1162863534370514
W0P8S9,-0.23185104665322648
W0P8S11,-0.22268901796579763
W0P9S1,-0.04386228882947116
W0P9S2,-0.06119468050271019
W0P9S4,-0.09663980545345602
W0P9S5,-0.10361361887336948
W0P9S7,-0.11595385155735215
W0P9S8,-0.12114443882154995
W0P9S10,-0.22534636553570273
W0P9S11,-0.22078142087798686
W0P10S1,-0.05221476044119278
W0P10S3,-0.0787215358757685
W0P10S7,-0.12465483384319494
W0P10S9,-0.12938558845700218
W0P11S1,-0.06539568875797402
W0P11S2,-0.08104019496667761
W0P11S3,-0.07983965925239188
W0P11S4,-0.08882590606930046
W0P11S5,-0.10859886454436514
W0P11S6,-0.12382813054649162
W0P11S7,-0.12182785440596548
W0P11S8,-0.12249108845700216
W0P11S9,-0.12930767946599317
W0P12S1,-0.0739133190610043
W0P12S5,-0.11653008509194619
W0P12S7,-0.12204199321890692
W0P13S1,-0.07522762100905628
W0P13S2,-0.08435733241256503
W0P13S3,-0.09966239446162709
W0P13S4,-0.10489727108500374
W0P13S5,-0.11111736858476917
W0P13S6,-0.11890885685527057
W0P13S7,-0.11910786994218363
W0P14S1,-0.08949044496288025
W0P14S3,-0.09246274186422447
W0P14S5,-0.1129018687030719
W0P15S1,-0.08868234972478499
W0P15S2,-0.09441715095513356
W0P15S4,-0.09927263846937368
W1P0S0,-0.22195404780047098
W1P0S1,-0.31092559345197296
W1P0S2,-0.2842958308941059
W1P0S3,-0.2701622908243977
W1P0S4,-0.27171039577076705
W1P0S5,-0.2545990165986405
W1P0S6,-0.22484915620641832
W1P0S7,-0.22465245590777477
W1P0S8,-0.21488442595738466
W1P0S9,-0.2141730515663989
W1P0S10,-0.2056058658300849
W1P0S11,-0.20518926863527767
W1P0S12,-0.19516899171555135
W1P0S13,-0.19311408078551132
W1P0S14,-0.2005234406951235
W1P0S15,-0.20844941394578928
W1P1S0,-0.07060763280347103
W1P1S1,-0.04776666666666661
W1P1S2,-0.26009224249016394
W1P1S3,-0.25015071072182044
W1P1S4,-0.2498711921980325
W1P1S5,-0.23408383988528683
W1P1S6,-0.21335319648461287
W1P1S7,-0.23254078958155713
W1P1S8,-0.23381930279503804
W1P1S9,-0.21823008750171424
W1P1S10,-0.20144578942004007
W1P1S11,-0.18989525927912826
W1P1S12,-0.17963043654211294
W1P1S13,-0.17825326708120734
W1P1S14,-0.17887182440943122
W1P1S15,-0.17757636672457225
W1P2S0,-0.02433720516150514
W1P2S1,-0.041545616386554594
W1P2S2,-0.17784355514039624
W1P2S3,-0.2562252196109791
W1P2S4,-0.2475072577090524
W1P2S5,-0.22929195911079822
W1P2S6,-0.2270444444444448
W1P2S7,-0.25480999999999937
W1P2S8,-0.2517090909090915
W1P2S9,-0.21762675204843338
W1P2S10,-0.20147514112406356
W1P2S11,-0.1886324980080464
W1P2S12,-0.18123763787529973
W1P2S13,-0.17806907221456725
W1P2S14,-0.17793940566825672
W1P2S15,-0.17804221487642038
W1P3S0,-0.002950515984015963
W1P3S1,-0.002124197474747459
W1P3S2,0.032418377007469676
W1P3S3,-0.15954237010511854
W1P3S4,-0.23603500853774734
W1P3S5,-0.23170143860483375
W1P3S6,-0.2430778285299066
W1P3S7,-0.23997334724687075
W1P3S8,-0.22724865018534973
W1P3S9,-0.2110269504052193
W1P3S10,-0.19889791813030452
W1P3S11,-0.19154573175214884
W1P3S12,-0.187567026090009
W1P3S13,-0.18522874541413178
W1P3S14,-0.1850945705273055
W1P3S15,-0.18393272175487055
W1P4S0,0.010748553607503621
W1P4S1,0.023074278955521596
W1P4S2,0.04123291594728805
W1P4S3,0.045280498992021065
W1P4S4,-0.1557649799796953
W1P4S5,-0.24589723940172312
W1P4S6,-0.23939602317568912
W1P4S7,-0.23246606469124295
W1P4S8,-0.2213538651312913
W1P4S9,-0.20991565050914004
W1P4S10,-0.19925792268467699
W1P4S11,-0.19289518648224843
W1P4S12,-0.20428235294117655
W1P4S13,-0.1933090842442388
W1P4S14,-0.19745098254052462
W1P4S15,-0.1990179410504357
W1P5S0,0.03664416580086582
W1P5S1,0.03199757864570072
W1P5S2,0.052936553104575186
W1P5S3,0.039548274821746915
W1P5S4,-0.004625482662762064
W1P5S5,-0.15487741718078962
W1P5S6,-0.23279225680518323
W1P5S7,-0.22630319162811752
W1P5S8,-0.20992116566233918
W1P5S9,-0.1997772920957269
W1P5S10,-0.19450821643234653
W1P5S11,-0.20784029886614946
W1P5S12,-0.20952701395666612
W1P5S13,-0.21239245149791738
W1P5S14,-0.21322972956783506
W1P6S0,0.04910414307359311
W1P6S1,0.04904108405695613
W1P6S2,0.042149116885238945
W1P6S3,0.000995457355063246
W1P6S4,-0.016493276012223047
W1P6S5,-0.02721628327391561
W1P6S6,-0.1505251560391449
W1P6S7,-0.21881376226278043
W1P6S8,-0.20807817852024152
W1P6S9,-0.20308411187189146
W1P6S10,-0.20813786888251076
W1P6S11,-0.21778080998437419
W1P6S12,-0.2211851603935625
W1P6S13,-0.22158202547351175
W1P7S0,0.04280933773024364
W1P7S1,0.03224836634623547
W1P7S2,-0.0054636957813428266
W1P7S3,-0.012364269951616998
W1P7S4,-0.025850570240217273
W1P7S5,-0.03231111236312704
W1P7S6,-0.051500616564807714
W1P7S7,-0.14804085164598044
W1P7S8,-0.21616247046266437
W1P7S9,-0.20588902812107054
W1P7S10,-0.21917196234298897
W1P7S11,-0.22571927768791242
W1P7S12,-0.23082710850729937
W1P8S0,0.051381611414454194
W1P8S1,0.005071432760376887
W1P8S2,-0.0180714566760037
W1P8S3,-0.025183654961378456
W1P8S4,-0.03467629290807228
W1P8S5,-0.05293522351667937
W1P8S6,-0.04148312331296152
W1P8S7,-0.0677527010097745
W1P8S8,-0.14403705311551188
W1P8S9,-0.21950271293295628
W1P8S10,-0.22765641426767252
W1P8S11,-0.23325113492591004
W1P9S0,0.03311034365280405
W1P9S1,-0.006346969692725562
W1P9S2,-0.035762512689924426
W1P9S3,-0.03213102247262537
W1P9S4,-0.04914001139546726
W1P9S5,-0.04907410905271197
W1P9S6,-0.059884085625159116
W1P9S7,-0.06323052960275016
W1P9S8,-0.05913733047525226
W1P9S9,-0.16496432117717158
W1P9S10,-0.23433721232529084
W1P10S0,0.014284410535920927
W1P10S1,-0.033656683460656964
W1P10S2,-0.04610484600203715
W1P10S3,-0.035365795327221755
W1P10S4,-0.04779384078176723
W1P10S5,-0.06518464177489174
W1P10S6,-0.06175106321619552
W1P10S7,-0.05913733047525226
W1P10S8,-0.06612210498505618
W1P10S9,-0.07484536202471412
W1P11S0,0.001777555253776168
W1P11S1,-0.035902038311688284
W1P11S2,-0.031622825630252066
W1P11S3,-0.04118543079959253
W1P11S4,-0.062447365100585656
W1P11S5,-0.06217751114752117
W1P11S6,-0.0575970967090185
W1P11S7,-0.05502276184780128
W1P11S8,-0.06872217678219608
W1P12S0,-0.0009473489840912286
W1P12S1,-0.02624535127323653
W1P12S2,-0.051489774955436704
W1P12S3,-0.05945702196333075
W1P12S4,-0.06130528387479389
W1P12S5,-0.05811644965019497
W1P12S6,-0.053184023879886834
W1P12S7,-0.05263123242263409
W1P13S0,-0.01862951132175356
W1P13S1,-0.0462161916857652
W1P13S2,-0.061039021963330754
W1P13S3,-0.06067327738128741
W1P13S4,-0.05487144965019497
W1P13S5,-0.054001881022743975
W1P13S6,-0.047885337457949644
W1P14S0,-0.030968991841234063
W1P14S1,-0.055244712312197575
W1P14S2,-0.05742009021551202
W1P14S3,-0.05506092023843027
W1P14S4,-0.05504446925803811
W1P14S5,-0.04680808854020072
W1P15S0,-0.0451224448990122
W1P15S1,-0.0551849463397799
W1P15S2,-0.056832390826665566
W1P15S3,-0.054318999561068414
W1P15S4,-0.051740058237170435
W2P0S1,-0.12215051916759707
W2P0S3,-0.3065699616442381
W2P0S5,-0.2692628815192634
W2P0S7,-0.25163499892890057
W2P0S9,-0.24777892482190159
W2P0S11,-0.24116411788047698
W2P0S13,-0.2484915243618783
W2P0S15,-0.2539248187061649
W2P1S0,-0.09304647249172396
W2P1S1,-0.0651148043990323
W2P1S2,-0.15408825307079388
W2P1S3,-0.21441815845616388
W2P1S4,-0.24214243446013065
W2P1S5,-0.24060951165141195
W2P1S6,-0.2486360612198346
W2P1S7,-0.25078153848507884
W2P1S8,-0.2377991567201891
W2P1S9,-0.22347215295837639
W2P1S10,-0.22088654663320004
W2P1S11,-0.21851544314209181
W2P1S12,-0.22153771184573937
W2P1S13,-0.22409466143558884
W2P1S14,-0.23000839287088903
W2P1S15,-0.2347828515715795
W2P2S1,-0.056222368920295314
W2P2S3,-0.2266164764506135
W2P2S5,-0.254322602700851
W2P2S7,-0.252678301273881
W2P2S9,-0.22894199900896323
W2P2S11,-0.23033347800836929
W2P2S13,-0.2327124810096165
W2P2S15,-0.23938443440914095
W2P3S0,-0.03751529489432131
W2P3S1,-0.01724999999999993
W2P3S2,-0.015203376889776877
W2P3S3,-0.17840628221812593
W2P3S4,-0.2719771356954709
W2P3S5,-0.2579959669428526
W2P3S6,-0.24789234930101728
W2P3S7,-0.2296045964089488
W2P3S8,-0.22771890015088975
W2P3S9,-0.22974703327947427
W2P3S10,-0.2323035662303641
W2P3S11,-0.22825710083475184
W2P3S12,-0.23229697325448895
W2P3S13,-0.2402716986338396
W2P3S14,-0.23998006479337664
W2P3S15,-0.23956993950483643
W2P4S1,-0.0012551177988677606
W2P4S3,0.0266468683176301
W2P4S5,-0.23963121071858143
