formula,target
Zn0P0S1,-0.23407036915518264
Zn0P1S0,0.002609444083694088
Zn0P1S1,-0.25385020394122554
Zn0P1S2,-0.2310874048153429
Zn0P1S3,-0.211892510823284
Zn0P1S4,-0.2011446531117919
Zn0P1S5,-0.18120884712099047
Zn0P1S6,-0.17035530497205753
Zn0P1S7,-0.1757307844393309
Zn0P1S8,-0.17731344143805114
Zn0P1S9,-0.17770079358769889
Zn0P1S10,-0.17389530669158845
Zn0P1S11,-0.17355469497781204
Zn0P1S12,-0.16992109567515393
Zn0P1S13,-0.1743600745354577
Zn0P1S14,-0.17047913856477204
Zn0P1S15,-0.16530531308457624
Zn0P2S1,-0.09387679610769344
Zn0P2S3,-0.2380716164147514
Zn0P2S5,-0.21472401478353093
Zn0P2S7,-0.1952177966201841
Zn0P2S9,-0.17800007941697107
Zn0P2S11,-0.18262295026526626
Zn0P2S13,-0.18049088119553308
Zn0P2S15,-0.1756215039983752
Zn0P3S1,-0.06426489120148854
Zn0P3S2,-0.07373743954203689
Zn0P3S4,-0.23335333212191142
Zn0P3S5,-0.23181487818211202
Zn0P3S7,-0.21441877812989393
Zn0P3S8,-0.20630427217997013
Zn0P3S10,-0.19437874228944435
Zn0P3S11,-0.1923362896641542
Zn0P3S13,-0.18888199013700435
Zn0P3S14,-0.18511375206187
Zn0P4S1,-0.043931002456899806
Zn0P4S3,-0.05470878676213706
Zn0P4S5,-0.23780494921768117
Zn0P4S7,-0.2218486509633298
Zn0P4S9,-0.21496591927736877
Zn0P4S11,-0.2108710096519065
Zn0P4S13,-0.2006574624394182
Zn0P4S15,-0.19967773371186773
Zn0P5S1,-0.02861491760841495
Zn0P5S2,-0.04291363160552895
Zn0P5S3,-0.06195743016420281
Zn0P5S4,-0.07205993077747841
Zn0P5S6,-0.23143875214873705
Zn0P5S7,-0.23271988643797722
Zn0P5S8,-0.23038656770568622
Zn0P5S9,-0.2329756169126884
Zn0P5S11,-0.2178095276665372
Zn0P5S12,-0.21062817488387092
Zn0P5S13,-0.21117162758988528
Zn0P5S14,-0.2152294109658832
Zn0P6S1,-0.029605153683897788
Zn0P6S5,-0.09173664444779503
Zn0P6S7,-0.2327781160197904
Zn0P6S11,-0.22498635749874496
Zn0P6S13,-0.21647911987871093
Zn0P7S1,-0.031146092942025274
Zn0P7S2,-0.041136186163715865
Zn0P7S3,-0.06349996757021785
Zn0P7S4,-0.08036247561662618
Zn0P7S5,-0.10576620411655765
Zn0P7S6,-0.1099895558481594
Zn0P7S8,-0.23244842425739048
Zn0P7S9,-0.22855643178556917
Zn0P7S10,-0.22986878575856554
Zn0P7S11,-0.21679413691774346
Zn0P7S12,-0.22098976927238576
Zn0P7S13,-0.21625736212095442
Zn0P8S1,-0.03317042843986077
Zn0P8S3,-0.06527487613550877
Zn0P8S5,-0.10578841299101653
Zn0P8S7,-0.1162863534370514
Zn0P8S9,-0.23185104665322648
Zn0P8S11,-0.22268901796579763
Zn0P9S1,-0.04386228882947116
Zn0P9S2,-0.06119468050271019
Zn0P9S4,-0.09663980545345602
Zn0P9S5,-0.10361361887336948
Zn0P9S7,-0.11595385155735215
Zn0P9S8,-0.12114443882154995
Zn0P9S10,-0.22534636553570273
Zn0P9S11,-0.22078142087798686
Zn0P10S1,-0.05221476044119278
Zn0P10S3,-0.0787215358757685
Zn0P10S7,-0.12465483384319494
Zn0P10S9,-0.12938558845700218
Zn0P11S1,-0.06539568875797402
Zn0P11S2,-0.08104019496667761
Zn0P11S3,-0.07983965925239188
Zn0P11S4,-0.08882590606930046
Zn0P11S5,-0.10859886454436514
Zn0P11S6,-0.12382813054649162
Zn0P11S7,-0.12182785440596548
Zn0P11S8,-0.12249108845700216
Zn0P11S9,-0.12930767946599317
Zn0P12S1,-0.0739133190610043
Zn0P12S5,-0.11653008509194619
Zn0P12S7,-0.12204199321890692
Zn0P13S1,-0.07522762100905628
Zn0P13S2,-0.08435733241256503
Zn0P13S3,-0.09966239446162709
Zn0P13S4,-0.10489727108500374
Zn0P13S5,-0.11111736858476917
Zn0P13S6,-0.11890885685527057
Zn0P13S7,-0.11910786994218363
Zn0P14S1,-0.08949044496288025
Zn0P14S3,-0.09246274186422447
Zn0P14S5,-0.1129018687030719
Zn0P15S1,-0.08868234972478499
Zn0P15S2,-0.09441715095513356
Zn0P15S4,-0.09927263846937368
Zn1P0S0,-0.22195404780047098
Zn1P0S1,-0.43317286003163474
Zn1P0S2,-0.37718181355837166
Zn1P0S3,-0.3594876277795304
Zn1P0S4,-0.3394581706215697
Zn1P0S5,-0.3113609673683903
Zn1P0S6,-0.295487932737524
Zn1P0S7,-0.2513152591326114
Zn1P0S8,-0.21599415011698814
Zn1P0S9,-0.1975599031964766
Zn1P0S10,-0.1807402653398028
Zn1P0S11,-0.16561138458343333
Zn1P0S12,-0.16029463705385588
Zn1P0S13,-0.1591240758534464
Zn1P0S14,-0.15792853304166585
Zn1P0S15,-0.16744575796627686
Zn1P1S0,-0.0735618939393939
Zn1P1S1,-0.3387666666666672
Zn1P1S2,-0.3988082637362636
Zn1P1S3,-0.44514000000000015
Zn1P1S4,-0.3932045540792541
Zn1P1S5,-0.2947652693377656
Zn1P1S6,-0.19266456002325844
Zn1P1S7,-0.15755771565444376
Zn1P1S8,-0.15500422706543554
Zn1P1S9,-0.16671096961373683
Zn1P1S10,-0.15083576057657513
Zn1P1S11,-0.154099112097311
