formula,target
Au0P0S1,-0.0006458160536697566
Au0P1S0,0.11996618979040541
Au0P1S1,-0.2795319558397885
Au0P1S2,-0.28594184755064134
Au0P1S3,-0.2595276771795937
Au0P1S4,-0.238233071935526
Au0P1S5,-0.22252818072220437
Au0P1S6,-0.2112128938499065
Au0P1S7,-0.20323407962989715
Au0P1S8,-0.19782970236223618
Au0P1S9,-0.1944630234876803
Au0P1S10,-0.1927524275076976
Au0P1S11,-0.19242117173628281
Au0P1S12,-0.19326395988080125
Au0P1S13,-0.19512492791155522
Au0P1S14,-0.19788300942218018
Au0P1S15,-0.2014420524105709
Au0P2S1,-0.21505402580236788
Au0P2S3,-0.3031442808343807
Au0P2S5,-0.2821781676813986
Au0P2S7,-0.2634371009657208
Au0P2S9,-0.2517696169689496
Au0P2S11,-0.24629292195458063
Au0P2S13,-0.24578654963367885
Au0P2S15,-0.24929026661262765
Au0P3S1,-0.17477145778975767
Au0P3S2,-0.24228365087786807
Au0P3S4,-0.31188939437469754
Au0P3S5,-0.3093792823008341
Au0P3S7,-0.2993861395675451
Au0P3S8,-0.2946782785529942
Au0P3S10,-0.2879436092347405
Au0P3S11,-0.28608943412907506
Au0P3S13,-0.2853304861793736
Au0P3S14,-0.28632570730610607
Au0P4S1,-0.14508402676503196
Au0P4S3,-0.2550441717378913
Au0P4S5,-0.32031171970035766
Au0P4S7,-0.32079442333018016
Au0P4S9,-0.31772078841983786
Au0P4S11,-0.31586186102199576
Au0P4S13,-0.3165614834853905
Au0P4S15,-0.32007113377902807
Au0P5S1,-0.12360141484435305
Au0P5S2,-0.20109113046699878
Au0P5S3,-0.24276650833088276
Au0P5S4,-0.2654275014511386
Au0P5S6,-0.32975780947555444
Au0P5S7,-0.33336915591931715
Au0P5S8,-0.3353105648821262
Au0P5S9,-0.33647976148684744
Au0P5S11,-0.33845822923688085
Au0P5S12,-0.3397977878682157
Au0P5S13,-0.3415567614286801
Au0P5S14,-0.34380274640354025
Au0P6S1,-0.10794067417700515
Au0P6S5,-0.2758898781722784
Au0P6S7,-0.3405508810734762
Au0P6S11,-0.35589500706009913
Au0P6S13,-0.361859663167478
Au0P7S1,-0.09647803694271384
Au0P7S2,-0.17062194945644127
Au0P7S3,-0.2187199831961213
Au0P7S4,-0.25059410571692486
Au0P7S5,-0.2721891745644307
Au0P7S6,-0.2871867298092968
Au0P7S8,-0.3527602784347992
Au0P7S9,-0.35930139407247697
Au0P7S10,-0.3647657172296581
Au0P7S11,-0.36961343687773485
Au0P7S12,-0.3741601782085242
Au0P7S13,-0.37862332110773167
Au0P8S1,-0.08814458446089213
Au0P8S3,-0.20870380324313875
Au0P8S5,-0.26781114366601866
Au0P8S7,-0.29959122575433406
Au0P8S9,-0.3663682782692752
Au0P8S11,-0.38065384889082254
Au0P9S1,-0.08222473941052666
Au0P9S2,-0.15090397572348901
Au0P9S4,-0.23643399048768232
Au0P9S5,-0.2634404602391984
Au0P9S7,-0.3002079524079123
Au0P9S8,-0.31319495316423285
Au0P9S10,-0.381318164955904
Au0P9S11,-0.38977423278650314
Au0P10S1,-0.07822605780497094
Au0P10S3,-0.19341030107492196
Au0P10S7,-0.3003295716439377
Au0P10S9,-0.32800565087317124
Au0P11S1,-0.07579971862968371
Au0P11S2,-0.1392587922013615
Au0P11S3,-0.18799424208685767
Au0P11S4,-0.22598187067522169
Au0P11S5,-0.25608194349957314
Au0P11S6,-0.2803603537579026
Au0P11S7,-0.30032072876573557
Au0P11S8,-0.31706732301281115
Au0P11S9,-0.3314184715328551
Au0P12S1,-0.07469170594431529
Au0P12S5,-0.2534126957713725
Au0P12S7,-0.30042039853053826
Au0P13S1,-0.07471218357841769
Au0P13S2,-0.13366101478335246
Au0P13S3,-0.18106902598769137
Au0P13S4,-0.21966167725005825
Au0P13S5,-0.25150080619329185
Au0P13S6,-0.2781465831842984
Au0P13S7,-0.30078404965827243
Au0P14S1,-0.07571579101174497
Au0P14S3,-0.17933912599519275
Au0P14S5,-0.2503579472057891
Au0P15S1,-0.07758864507540997
Au0P15S2,-0.13274176468177645
Au0P15S4,-0.2172007392622778
Au1P0S0,0.10736717007141028
Au1P0S1,-0.10016730988128542
Au1P0S2,-0.14349605330311022
Au1P0S3,-0.17454467407535101
Au1P0S4,-0.18113863224437743
Au1P0S5,-0.18043278597486145
Au1P0S6,-0.17804455903221128
Au1P0S7,-0.17566131045025069
Au1P0S8,-0.1736550659853906
Au1P0S9,-0.17201561651004937
Au1P0S10,-0.17065490706639352
Au1P0S11,-0.16949361457922707
Au1P0S12,-0.168478296837546
Au1P0S13,-0.16757902432137595
Au1P0S14,-0.16678320062245178
Au1P0S15,-0.16608996345821392
Au1P1S0,-0.15556498094759375
Au1P1S1,-0.4033644782672159
Au1P1S2,-0.44271053263800797
Au1P1S3,-0.46521875931133216
Au1P1S4,-0.46294422298336113
Au1P1S5,-0.4557983880643278
Au1P1S6,-0.44601157240071965
Au1P1S7,-0.4359137760400349
Au1P1S8,-0.42644987129809486
Au1P1S9,-0.41799275235806976
Au1P1S10,-0.4105136890691494
Au1P1S11,-0.4037849481315773
Au1P1S12,-0.39758539758435385
Au1P1S13,-0.3918459977587855
Au1P1S14,-0.38653665676771787
Au1P1S15,-0.38163047050901666
Au1P2S0,-0.2235680082613405
Au1P2S1,-0.4002988363025667
Au1P2S2,-0.47879974962045624
Au1P2S3,-0.5273586490251786
Au1P2S4,-0.5238362103287045
Au1P2S5,-0.5169412067070052
Au1P2S6,-0.5066785841788819
Au1P2S7,-0.49539968024806047
Au1P2S8,-0.48433037005332347
Au1P2S9,-0.473915539754314
Au1P2S10,-0.4639773371015168
Au1P2S11,-0.4550013960437953
Au1P2S12,-0.44665340675701115
Au1P2S13,-0.43886074553021803
Au1P2S14,-0.4316083076089059
Au1P2S15,-0.4248760977710624
Au1P3S0,-0.25411466468781063
Au1P3S1,-0.42239525760701213
Au1P3S2,-0.46286970150571227
Au1P3S3,-0.517627600438374
Au1P3S4,-0.5615869673439501
Au1P3S5,-0.5589967250386767
Au1P3S6,-0.5514993837449952
Au1P3S7,-0.5417351872890461
Au1P3S8,-0.5313109443785148
Au1P3S9,-0.5209524553468472
Au1P3S10,-0.5105899437541693
Au1P3S11,-0.5009934311267494
Au1P3S12,-0.4918288001734167
Au1P3S13,-0.4830840822547562
Au1P3S14,-0.47480313980012856
Au1P3S15,-0.4670075919038782
Au1P4S0,-0.25866633740120126
Au1P4S1,-0.42429742670014337
Au1P4S2,-0.46709297988917853
Au1P4S3,-0.49215209009207905
Au1P4S4,-0.5344562259982815
Au1P4S5,-0.5863311566697722
Au1P4S6,-0.5829108755304572
Au1P4S7,-0.5760067140709921
Au1P4S8,-0.5675190742366711
Au1P4S9,-0.5584127085739884
