formula,target
Bi0P0S1,-0.0006458160536697566
Bi0P1S0,0.11996618979040541
Bi0P1S1,-0.2795319558397885
Bi0P1S2,-0.28594184755064134
Bi0P1S3,-0.2595276771795937
Bi0P1S4,-0.238233071935526
Bi0P1S5,-0.22252818072220437
Bi0P1S6,-0.2112128938499065
Bi0P1S7,-0.20323407962989715
Bi0P1S8,-0.19782970236223618
Bi0P1S9,-0.1944630234876803
Bi0P1S10,-0.1927524275076976
Bi0P1S11,-0.19242117173628281
Bi0P1S12,-0.19326395988080125
Bi0P1S13,-0.19512492791155522
Bi0P1S14,-0.19788300942218018
Bi0P1S15,-0.2014420524105709
Bi0P2S1,-0.21505402580236788
Bi0P2S3,-0.3031442808343807
Bi0P2S5,-0.2821781676813986
Bi0P2S7,-0.2634371009657208
Bi0P2S9,-0.2517696169689496
Bi0P2S11,-0.24629292195458063
Bi0P2S13,-0.24578654963367885
Bi0P2S15,-0.24929026661262765
Bi0P3S1,-0.17477145778975767
Bi0P3S2,-0.24228365087786807
Bi0P3S4,-0.31188939437469754
Bi0P3S5,-0.3093792823008341
Bi0P3S7,-0.2993861395675451
Bi0P3S8,-0.2946782785529942
Bi0P3S10,-0.2879436092347405
Bi0P3S11,-0.28608943412907506
Bi0P3S13,-0.2853304861793736
Bi0P3S14,-0.28632570730610607
Bi0P4S1,-0.14508402676503196
Bi0P4S3,-0.2550441717378913
Bi0P4S5,-0.32031171970035766
Bi0P4S7,-0.32079442333018016
Bi0P4S9,-0.31772078841983786
Bi0P4S11,-0.31586186102199576
Bi0P4S13,-0.3165614834853905
Bi0P4S15,-0.32007113377902807
Bi0P5S1,-0.12360141484435305
Bi0P5S2,-0.20109113046699878
Bi0P5S3,-0.24276650833088276
Bi0P5S4,-0.2654275014511386
Bi0P5S6,-0.32975780947555444
Bi0P5S7,-0.33336915591931715
Bi0P5S8,-0.3353105648821262
Bi0P5S9,-0.33647976148684744
Bi0P5S11,-0.33845822923688085
Bi0P5S12,-0.3397977878682157
Bi0P5S13,-0.3415567614286801
Bi0P5S14,-0.34380274640354025
Bi0P6S1,-0.10794067417700515
Bi0P6S5,-0.2758898781722784
Bi0P6S7,-0.3405508810734762
Bi0P6S11,-0.35589500706009913
Bi0P6S13,-0.361859663167478
Bi0P7S1,-0.09647803694271384
Bi0P7S2,-0.17062194945644127
Bi0P7S3,-0.2187199831961213
Bi0P7S4,-0.25059410571692486
Bi0P7S5,-0.2721891745644307
Bi0P7S6,-0.2871867298092968
Bi0P7S8,-0.3527602784347992
Bi0P7S9,-0.35930139407247697
Bi0P7S10,-0.3647657172296581
Bi0P7S11,-0.36961343687773485
Bi0P7S12,-0.3741601782085242
Bi0P7S13,-0.37862332110773167
Bi0P8S1,-0.08814458446089213
Bi0P8S3,-0.20870380324313875
Bi0P8S5,-0.26781114366601866
Bi0P8S7,-0.29959122575433406
Bi0P8S9,-0.3663682782692752
Bi0P8S11,-0.38065384889082254
Bi0P9S1,-0.08222473941052666
Bi0P9S2,-0.15090397572348901
Bi0P9S4,-0.23643399048768232
Bi0P9S5,-0.2634404602391984
Bi0P9S7,-0.3002079524079123
Bi0P9S8,-0.31319495316423285
Bi0P9S10,-0.381318164955904
Bi0P9S11,-0.38977423278650314
Bi0P10S1,-0.07822605780497094
Bi0P10S3,-0.19341030107492196
Bi0P10S7,-0.3003295716439377
Bi0P10S9,-0.32800565087317124
Bi0P11S1,-0.07579971862968371
Bi0P11S2,-0.1392587922013615
Bi0P11S3,-0.18799424208685767
Bi0P11S4,-0.22598187067522169
Bi0P11S5,-0.25608194349957314
Bi0P11S6,-0.2803603537579026
Bi0P11S7,-0.30032072876573557
Bi0P11S8,-0.31706732301281115
Bi0P11S9,-0.3314184715328551
Bi0P12S1,-0.07469170594431529
Bi0P12S5,-0.2534126957713725
Bi0P12S7,-0.30042039853053826
Bi0P13S1,-0.07471218357841769
Bi0P13S2,-0.13366101478335246
Bi0P13S3,-0.18106902598769137
Bi0P13S4,-0.21966167725005825
Bi0P13S5,-0.25150080619329185
Bi0P13S6,-0.2781465831842984
Bi0P13S7,-0.30078404965827243
Bi0P14S1,-0.07571579101174497
Bi0P14S3,-0.17933912599519275
Bi0P14S5,-0.2503579472057891
Bi0P15S1,-0.07758864507540997
Bi0P15S2,-0.13274176468177645
Bi0P15S4,-0.2172007392622778
Bi1P0S0,-0.0010468320628478356
Bi1P0S1,-0.5426209633410884
Bi1P0S2,-0.6069858386636817
Bi1P0S3,-0.5720233082168953
Bi1P0S4,-0.538342175419746
Bi1P0S5,-0.5125738903309975
Bi1P0S6,-0.49387884457228604
Bi1P0S7,-0.4805543620701884
Bi1P0S8,-0.4711947928290767
