formula,target
Ca0P0S1,-0.0006458160536697566
Ca0P1S0,0.11996618979040541
Ca0P1S1,-0.2795319558397885
Ca0P1S2,-0.28594184755064134
Ca0P1S3,-0.2595276771795937
Ca0P1S4,-0.238233071935526
Ca0P1S5,-0.22252818072220437
Ca0P1S6,-0.2112128938499065
Ca0P1S7,-0.20323407962989715
Ca0P1S8,-0.19782970236223618
Ca0P1S9,-0.1944630234876803
Ca0P1S10,-0.1927524275076976
Ca0P1S11,-0.19242117173628281
Ca0P1S12,-0.19326395988080125
Ca0P1S13,-0.19512492791155522
Ca0P1S14,-0.19788300942218018
Ca0P1S15,-0.2014420524105709
Ca0P2S1,-0.21505402580236788
Ca0P2S3,-0.3031442808343807
Ca0P2S5,-0.2821781676813986
Ca0P2S7,-0.2634371009657208
Ca0P2S9,-0.2517696169689496
Ca0P2S11,-0.24629292195458063
Ca0P2S13,-0.24578654963367885
Ca0P2S15,-0.24929026661262765
Ca0P3S1,-0.17477145778975767
Ca0P3S2,-0.24228365087786807
Ca0P3S4,-0.31188939437469754
Ca0P3S5,-0.3093792823008341
Ca0P3S7,-0.2993861395675451
Ca0P3S8,-0.2946782785529942
Ca0P3S10,-0.2879436092347405
Ca0P3S11,-0.28608943412907506
Ca0P3S13,-0.2853304861793736
Ca0P3S14,-0.28632570730610607
Ca0P4S1,-0.14508402676503196
Ca0P4S3,-0.2550441717378913
Ca0P4S5,-0.32031171970035766
Ca0P4S7,-0.32079442333018016
Ca0P4S9,-0.31772078841983786
Ca0P4S11,-0.31586186102199576
Ca0P4S13,-0.3165614834853905
Ca0P4S15,-0.32007113377902807
Ca0P5S1,-0.12360141484435305
Ca0P5S2,-0.20109113046699878
Ca0P5S3,-0.24276650833088276
Ca0P5S4,-0.2654275014511386
Ca0P5S6,-0.32975780947555444
Ca0P5S7,-0.33336915591931715
Ca0P5S8,-0.3353105648821262
Ca0P5S9,-0.33647976148684744
Ca0P5S11,-0.33845822923688085
Ca0P5S12,-0.3397977878682157
Ca0P5S13,-0.3415567614286801
Ca0P5S14,-0.34380274640354025
Ca0P6S1,-0.10794067417700515
Ca0P6S5,-0.2758898781722784
Ca0P6S7,-0.3405508810734762
Ca0P6S11,-0.35589500706009913
Ca0P6S13,-0.361859663167478
Ca0P7S1,-0.09647803694271384
Ca0P7S2,-0.17062194945644127
Ca0P7S3,-0.2187199831961213
Ca0P7S4,-0.25059410571692486
Ca0P7S5,-0.2721891745644307
Ca0P7S6,-0.2871867298092968
Ca0P7S8,-0.3527602784347992
Ca0P7S9,-0.35930139407247697
Ca0P7S10,-0.3647657172296581
Ca0P7S11,-0.36961343687773485
Ca0P7S12,-0.3741601782085242
Ca0P7S13,-0.37862332110773167
Ca0P8S1,-0.08814458446089213
Ca0P8S3,-0.20870380324313875
Ca0P8S5,-0.26781114366601866
Ca0P8S7,-0.29959122575433406
Ca0P8S9,-0.3663682782692752
Ca0P8S11,-0.38065384889082254
Ca0P9S1,-0.08222473941052666
Ca0P9S2,-0.15090397572348901
Ca0P9S4,-0.23643399048768232
Ca0P9S5,-0.2634404602391984
Ca0P9S7,-0.3002079524079123
Ca0P9S8,-0.31319495316423285
Ca0P9S10,-0.381318164955904
Ca0P9S11,-0.38977423278650314
Ca0P10S1,-0.07822605780497094
Ca0P10S3,-0.19341030107492196
Ca0P10S7,-0.3003295716439377
Ca0P10S9,-0.32800565087317124
Ca0P11S1,-0.07579971862968371
Ca0P11S2,-0.1392587922013615
Ca0P11S3,-0.18799424208685767
Ca0P11S4,-0.22598187067522169
Ca0P11S5,-0.25608194349957314
Ca0P11S6,-0.2803603537579026
Ca0P11S7,-0.30032072876573557
Ca0P11S8,-0.31706732301281115
Ca0P11S9,-0.3314184715328551
Ca0P12S1,-0.07469170594431529
Ca0P12S5,-0.2534126957713725
Ca0P12S7,-0.30042039853053826
Ca0P13S1,-0.07471218357841769
Ca0P13S2,-0.13366101478335246
Ca0P13S3,-0.18106902598769137
Ca0P13S4,-0.21966167725005825
Ca0P13S5,-0.25150080619329185
Ca0P13S6,-0.2781465831842984
Ca0P13S7,-0.30078404965827243
Ca0P14S1,-0.07571579101174497
Ca0P14S3,-0.17933912599519275
Ca0P14S5,-0.2503579472057891
Ca0P15S1,-0.07758864507540997
Ca0P15S2,-0.13274176468177645
Ca0P15S4,-0.2172007392622778
Ca1P0S0,0.026022789686812153
Ca1P0S1,-2.1307336264309447
Ca1P0S2,-1.8092699156459648
Ca1P0S3,-1.4476979781783608
Ca1P0S4,-1.1836061772824074
Ca1P0S5,-1.002761807885951
Ca1P0S6,-0.8767583844512549
Ca1P0S7,-0.7860029132413648
Ca1P0S8,-0.718561598671738
Ca1P0S9,-0.6671563528884801
Ca1P0S10,-0.6272056043025134
Ca1P0S11,-0.5957155389039914
Ca1P0S12,-0.5706586409525749
Ca1P0S13,-0.5506167497020743
Ca1P0S14,-0.5345691193547552
Ca1P0S15,-0.5217622440392297
Ca1P1S0,-1.2666864110011513
Ca1P1S1,-1.6581732657965644
Ca1P1S2,-1.4612734224622823
Ca1P1S3,-1.2723450651643156
Ca1P1S4,-1.1575397415865352
Ca1P1S5,-1.068269423376817
Ca1P1S6,-0.9932097004285371
Ca1P1S7,-0.9317442905280028
Ca1P1S8,-0.8806663540504651
Ca1P1S9,-0.8381483224146309
Ca1P1S10,-0.802656557915051
Ca1P1S11,-0.7729272884648403
Ca1P1S12,-0.7478954939847227
Ca1P1S13,-0.7268567064889468
Ca1P1S14,-0.7092407689935782
Ca1P1S15,-0.6943429001300252
Ca1P2S0,-1.01844467737871
Ca1P2S1,-1.1968706115684962
Ca1P2S2,-1.114280107380749
Ca1P2S3,-1.0830409271746124
Ca1P2S4,-1.041689902017689
Ca1P2S5,-1.0058457483544685
Ca1P2S6,-0.9665799755013558
Ca1P2S7,-0.929712063137691
Ca1P2S8,-0.8953923855193457
Ca1P2S9,-0.8644118198921067
Ca1P2S10,-0.8369487139953935
Ca1P2S11,-0.8128400339782793
Ca1P2S12,-0.7916981441067951
Ca1P2S13,-0.7733846720481529
Ca1P2S14,-0.7577245191346131
Ca1P2S15,-0.7440920555987711
Ca1P3S0,-0.7836018305139135
Ca1P3S1,-0.9641366236290589
Ca1P3S2,-0.872347111788718
Ca1P3S3,-0.8718121130544888
Ca1P3S4,-0.9478569811108261
Ca1P3S5,-0.9451917504569639
Ca1P3S6,-0.9310595170898736
Ca1P3S7,-0.9132425789605637
Ca1P3S8,-0.8931328403122714
Ca1P3S9,-0.8727846679647364
Ca1P3S10,-0.8533380038083833
Ca1P3S11,-0.8353134381024794
Ca1P3S12,-0.8187717706646982
Ca1P3S13,-0.8039912068968621
Ca1P3S14,-0.7911087378750161
Ca1P3S15,-0.7795675443157728
Ca1P4S0,-0.6223984736545142
Ca1P4S1,-0.810468543118505
Ca1P4S2,-0.7494588157567754
Ca1P4S3,-0.7190306370088151
Ca1P4S4,-0.7923560425456427
Ca1P4S5,-0.889520481291266
Ca1P4S6,-0.8929062199909557
Ca1P4S7,-0.8895041311985161
Ca1P4S8,-0.8809499409786535
Ca1P4S9,-0.869808518469705
Ca1P4S10,-0.857709940694011
Ca1P4S11,-0.84556773664562
Ca1P4S12,-0.8337158612271606
