formula,target
Cu0P0S1,-0.0006458160536697566
Cu0P1S0,0.11996618979040541
Cu0P1S1,-0.2795319558397885
Cu0P1S2,-0.28594184755064134
Cu0P1S3,-0.2595276771795937
Cu0P1S4,-0.238233071935526
Cu0P1S5,-0.22252818072220437
Cu0P1S6,-0.2112128938499065
Cu0P1S7,-0.20323407962989715
Cu0P1S8,-0.19782970236223618
Cu0P1S9,-0.1944630234876803
Cu0P1S10,-0.1927524275076976
Cu0P1S11,-0.19242117173628281
Cu0P1S12,-0.19326395988080125
Cu0P1S13,-0.19512492791155522
Cu0P1S14,-0.19788300942218018
Cu0P1S15,-0.2014420524105709
Cu0P2S1,-0.21505402580236788
Cu0P2S3,-0.3031442808343807
Cu0P2S5,-0.2821781676813986
Cu0P2S7,-0.2634371009657208
Cu0P2S9,-0.2517696169689496
Cu0P2S11,-0.24629292195458063
Cu0P2S13,-0.24578654963367885
Cu0P2S15,-0.24929026661262765
Cu0P3S1,-0.17477145778975767
Cu0P3S2,-0.24228365087786807
Cu0P3S4,-0.31188939437469754
Cu0P3S5,-0.3093792823008341
Cu0P3S7,-0.2993861395675451
Cu0P3S8,-0.2946782785529942
Cu0P3S10,-0.2879436092347405
Cu0P3S11,-0.28608943412907506
Cu0P3S13,-0.2853304861793736
Cu0P3S14,-0.28632570730610607
Cu0P4S1,-0.14508402676503196
Cu0P4S3,-0.2550441717378913
Cu0P4S5,-0.32031171970035766
Cu0P4S7,-0.32079442333018016
Cu0P4S9,-0.31772078841983786
Cu0P4S11,-0.31586186102199576
Cu0P4S13,-0.3165614834853905
Cu0P4S15,-0.32007113377902807
Cu0P5S1,-0.12360141484435305
Cu0P5S2,-0.20109113046699878
Cu0P5S3,-0.24276650833088276
Cu0P5S4,-0.2654275014511386
Cu0P5S6,-0.32975780947555444
Cu0P5S7,-0.33336915591931715
Cu0P5S8,-0.3353105648821262
Cu0P5S9,-0.33647976148684744
Cu0P5S11,-0.33845822923688085
Cu0P5S12,-0.3397977878682157
Cu0P5S13,-0.3415567614286801
Cu0P5S14,-0.34380274640354025
Cu0P6S1,-0.10794067417700515
Cu0P6S5,-0.2758898781722784
Cu0P6S7,-0.3405508810734762
Cu0P6S11,-0.35589500706009913
Cu0P6S13,-0.361859663167478
Cu0P7S1,-0.09647803694271384
Cu0P7S2,-0.17062194945644127
Cu0P7S3,-0.2187199831961213
Cu0P7S4,-0.25059410571692486
Cu0P7S5,-0.2721891745644307
Cu0P7S6,-0.2871867298092968
Cu0P7S8,-0.3527602784347992
Cu0P7S9,-0.35930139407247697
Cu0P7S10,-0.3647657172296581
Cu0P7S11,-0.36961343687773485
Cu0P7S12,-0.3741601782085242
Cu0P7S13,-0.37862332110773167
Cu0P8S1,-0.08814458446089213
Cu0P8S3,-0.20870380324313875
Cu0P8S5,-0.26781114366601866
Cu0P8S7,-0.29959122575433406
Cu0P8S9,-0.3663682782692752
Cu0P8S11,-0.38065384889082254
Cu0P9S1,-0.08222473941052666
Cu0P9S2,-0.15090397572348901
Cu0P9S4,-0.23643399048768232
Cu0P9S5,-0.2634404602391984
Cu0P9S7,-0.3002079524079123
Cu0P9S8,-0.31319495316423285
Cu0P9S10,-0.381318164955904
Cu0P9S11,-0.38977423278650314
Cu0P10S1,-0.07822605780497094
Cu0P10S3,-0.19341030107492196
Cu0P10S7,-0.3003295716439377
Cu0P10S9,-0.32800565087317124
Cu0P11S1,-0.07579971862968371
Cu0P11S2,-0.1392587922013615
Cu0P11S3,-0.18799424208685767
Cu0P11S4,-0.22598187067522169
Cu0P11S5,-0.25608194349957314
Cu0P11S6,-0.2803603537579026
Cu0P11S7,-0.30032072876573557
Cu0P11S8,-0.31706732301281115
Cu0P11S9,-0.3314184715328551
Cu0P12S1,-0.07469170594431529
Cu0P12S5,-0.2534126957713725
Cu0P12S7,-0.30042039853053826
Cu0P13S1,-0.07471218357841769
Cu0P13S2,-0.13366101478335246
Cu0P13S3,-0.18106902598769137
Cu0P13S4,-0.21966167725005825
Cu0P13S5,-0.25150080619329185
Cu0P13S6,-0.2781465831842984
Cu0P13S7,-0.30078404965827243
Cu0P14S1,-0.07571579101174497
Cu0P14S3,-0.17933912599519275
Cu0P14S5,-0.2503579472057891
Cu0P15S1,-0.07758864507540997
Cu0P15S2,-0.13274176468177645
Cu0P15S4,-0.2172007392622778
Cu1P0S0,0.031227978784570398
Cu1P0S1,-0.27758819771044985
Cu1P0S2,-0.30861784301561834
Cu1P0S3,-0.2709035066367349
Cu1P0S4,-0.23486212594802214
Cu1P0S5,-0.20655423924070448
Cu1P0S6,-0.18535659022901352
Cu1P0S7,-0.16964187419906485
Cu1P0S8,-0.15800495701272455
Cu1P0S9,-0.1494192865340025
Cu1P0S10,-0.14316595200295446
Cu1P0S11,-0.13874288092745846
Cu1P0S12,-0.1357949081700961
Cu1P0S13,-0.134065843802761
Cu1P0S14,-0.13336672063032573
Cu1P0S15,-0.13355487225594964
Cu1P1S0,-0.1545608408929694
Cu1P1S1,-0.3035866845644124
Cu1P1S2,-0.3942803898166404
Cu1P1S3,-0.40073957386107195
Cu1P1S4,-0.38391336444135893
Cu1P1S5,-0.36621301301569387
Cu1P1S6,-0.3493267228699146
Cu1P1S7,-0.334475493510223
Cu1P1S8,-0.3215630624001351
Cu1P1S9,-0.3105005443308474
Cu1P1S10,-0.3012916044469136
Cu1P1S11,-0.2937344386733237
Cu1P1S12,-0.2876371004559971
Cu1P1S13,-0.2828297846550193
Cu1P1S14,-0.279166548265813
Cu1P1S15,-0.2765232635469377
Cu1P2S0,-0.14389425401144484
Cu1P2S1,-0.25738257692756994
Cu1P2S2,-0.3334022823779852
Cu1P2S3,-0.40496211087306466
Cu1P2S4,-0.4050864787090971
Cu1P2S5,-0.3998734810754382
Cu1P2S6,-0.39124840468760425
Cu1P2S7,-0.38172313365467625
Cu1P2S8,-0.37195835227887264
Cu1P2S9,-0.36254652280295285
Cu1P2S10,-0.3540609540281844
Cu1P2S11,-0.34661785743310525
Cu1P2S12,-0.3402358515999281
Cu1P2S13,-0.33488544467581094
Cu1P2S14,-0.33051481851906617
Cu1P2S15,-0.327063350983437
Cu1P3S0,-0.11125654111930405
Cu1P3S1,-0.2269335524087004
Cu1P3S2,-0.28405383207174195
Cu1P3S3,-0.3540039020472333
Cu1P3S4,-0.4147966640666646
Cu1P3S5,-0.4204854580368118
Cu1P3S6,-0.4199499755984649
Cu1P3S7,-0.41630142156631433
Cu1P3S8,-0.41062218303959264
Cu1P3S9,-0.4039571500977732
Cu1P3S10,-0.3972782227018279
Cu1P3S11,-0.3909617031228759
Cu1P3S12,-0.38521368515653664
Cu1P3S13,-0.38013989799727543
Cu1P3S14,-0.37578643014143287
Cu1P3S15,-0.37216393074220666
Cu1P4S0,-0.08127918524355149
Cu1P4S1,-0.20311195564462192
Cu1P4S2,-0.26444074958815655
Cu1P4S3,-0.3159461497443915
Cu1P4S4,-0.3660879955342079
Cu1P4S5,-0.4310695605794812
Cu1P4S6,-0.4377801439407174
Cu1P4S7,-0.4398680094669133
Cu1P4S8,-0.43857721146760853
Cu1P4S9,-0.43520951190278356
Cu1P4S10,-0.43098583112592637
Cu1P4S11,-0.4264713162521293
Cu1P4S12,-0.4220197731802632
Cu1P4S13,-0.4178511769319838
Cu1P4S14,-0.4140996409951685
Cu1P4S15,-0.41084365565365133
Cu1P5S0,-0.05868386761314981
Cu1P5S1,-0.18435309609863992
Cu1P5S2,-0.2466939682472158
Cu1P5S3,-0.3033285208282489
Cu1P5S4,-0.3326171061109119
