formula,target
Fe0P0S1,-0.0006458160536697566
Fe0P1S0,0.11996618979040541
Fe0P1S1,-0.2795319558397885
Fe0P1S2,-0.28594184755064134
Fe0P1S3,-0.2595276771795937
Fe0P1S4,-0.238233071935526
Fe0P1S5,-0.22252818072220437
Fe0P1S6,-0.2112128938499065
Fe0P1S7,-0.20323407962989715
Fe0P1S8,-0.19782970236223618
Fe0P1S9,-0.1944630234876803
Fe0P1S10,-0.1927524275076976
Fe0P1S11,-0.19242117173628281
Fe0P1S12,-0.19326395988080125
Fe0P1S13,-0.19512492791155522
Fe0P1S14,-0.19788300942218018
Fe0P1S15,-0.2014420524105709
Fe0P2S1,-0.21505402580236788
Fe0P2S3,-0.3031442808343807
Fe0P2S5,-0.2821781676813986
Fe0P2S7,-0.2634371009657208
Fe0P2S9,-0.2517696169689496
Fe0P2S11,-0.24629292195458063
Fe0P2S13,-0.24578654963367885
Fe0P2S15,-0.24929026661262765
Fe0P3S1,-0.17477145778975767
Fe0P3S2,-0.24228365087786807
Fe0P3S4,-0.31188939437469754
Fe0P3S5,-0.3093792823008341
Fe0P3S7,-0.2993861395675451
Fe0P3S8,-0.2946782785529942
Fe0P3S10,-0.2879436092347405
Fe0P3S11,-0.28608943412907506
Fe0P3S13,-0.2853304861793736
Fe0P3S14,-0.28632570730610607
Fe0P4S1,-0.14508402676503196
Fe0P4S3,-0.2550441717378913
Fe0P4S5,-0.32031171970035766
Fe0P4S7,-0.32079442333018016
Fe0P4S9,-0.31772078841983786
Fe0P4S11,-0.31586186102199576
Fe0P4S13,-0.3165614834853905
Fe0P4S15,-0.32007113377902807
Fe0P5S1,-0.12360141484435305
Fe0P5S2,-0.20109113046699878
Fe0P5S3,-0.24276650833088276
Fe0P5S4,-0.2654275014511386
Fe0P5S6,-0.32975780947555444
Fe0P5S7,-0.33336915591931715
Fe0P5S8,-0.3353105648821262
Fe0P5S9,-0.33647976148684744
Fe0P5S11,-0.33845822923688085
Fe0P5S12,-0.3397977878682157
Fe0P5S13,-0.3415567614286801
Fe0P5S14,-0.34380274640354025
Fe0P6S1,-0.10794067417700515
Fe0P6S5,-0.2758898781722784
Fe0P6S7,-0.3405508810734762
Fe0P6S11,-0.35589500706009913
Fe0P6S13,-0.361859663167478
Fe0P7S1,-0.09647803694271384
Fe0P7S2,-0.17062194945644127
Fe0P7S3,-0.2187199831961213
Fe0P7S4,-0.25059410571692486
Fe0P7S5,-0.2721891745644307
Fe0P7S6,-0.2871867298092968
Fe0P7S8,-0.3527602784347992
Fe0P7S9,-0.35930139407247697
Fe0P7S10,-0.3647657172296581
Fe0P7S11,-0.36961343687773485
Fe0P7S12,-0.3741601782085242
Fe0P7S13,-0.37862332110773167
Fe0P8S1,-0.08814458446089213
Fe0P8S3,-0.20870380324313875
Fe0P8S5,-0.26781114366601866
Fe0P8S7,-0.29959122575433406
Fe0P8S9,-0.3663682782692752
Fe0P8S11,-0.38065384889082254
Fe0P9S1,-0.08222473941052666
Fe0P9S2,-0.15090397572348901
Fe0P9S4,-0.23643399048768232
Fe0P9S5,-0.2634404602391984
Fe0P9S7,-0.3002079524079123
Fe0P9S8,-0.31319495316423285
Fe0P9S10,-0.381318164955904
Fe0P9S11,-0.38977423278650314
Fe0P10S1,-0.07822605780497094
Fe0P10S3,-0.19341030107492196
Fe0P10S7,-0.3003295716439377
Fe0P10S9,-0.32800565087317124
Fe0P11S1,-0.07579971862968371
Fe0P11S2,-0.1392587922013615
Fe0P11S3,-0.18799424208685767
Fe0P11S4,-0.22598187067522169
Fe0P11S5,-0.25608194349957314
Fe0P11S6,-0.2803603537579026
Fe0P11S7,-0.30032072876573557
Fe0P11S8,-0.31706732301281115
Fe0P11S9,-0.3314184715328551
Fe0P12S1,-0.07469170594431529
Fe0P12S5,-0.2534126957713725
Fe0P12S7,-0.30042039853053826
Fe0P13S1,-0.07471218357841769
Fe0P13S2,-0.13366101478335246
Fe0P13S3,-0.18106902598769137
Fe0P13S4,-0.21966167725005825
Fe0P13S5,-0.25150080619329185
Fe0P13S6,-0.2781465831842984
Fe0P13S7,-0.30078404965827243
Fe0P14S1,-0.07571579101174497
Fe0P14S3,-0.17933912599519275
Fe0P14S5,-0.2503579472057891
Fe0P15S1,-0.07758864507540997
Fe0P15S2,-0.13274176468177645
Fe0P15S4,-0.2172007392622778
Fe1P0S0,0.10013990152342545
Fe1P0S1,-0.684962992158594
Fe1P0S2,-0.6832844864174346
Fe1P0S3,-0.5883892610047659
Fe1P0S4,-0.5059401276106807
Fe1P0S5,-0.44405549049859494
Fe1P0S6,-0.39842775113853723
Fe1P0S7,-0.3644500868854863
Fe1P0S8,-0.33879681681606644
Fe1P0S9,-0.31922214927765924
Fe1P0S10,-0.3042102633088082
Fe1P0S11,-0.29271821135180276
Fe1P0S12,-0.28401006953534325
Fe1P0S13,-0.27755261594213665
Fe1P0S14,-0.2729493435165695
Fe1P0S15,-0.26989804610056756
Fe1P1S0,-0.5326647753202924
Fe1P1S1,-0.6369923910546053
Fe1P1S2,-0.6445711646411065
Fe1P1S3,-0.6332754776822013
Fe1P1S4,-0.5990928539430783
Fe1P1S5,-0.5640410629201728
Fe1P1S6,-0.5327340367353652
Fe1P1S7,-0.5069935680750585
Fe1P1S8,-0.4855200553972854
Fe1P1S9,-0.4675663436290396
Fe1P1S10,-0.45268364398020144
Fe1P1S11,-0.4404435184757942
Fe1P1S12,-0.430471429305044
Fe1P1S13,-0.42245030151332974
Fe1P1S14,-0.41611446268945684
Fe1P1S15,-0.41124141800211234
Fe1P2S0,-0.43503805548020014
Fe1P2S1,-0.47663663788883304
Fe1P2S2,-0.5365030713662096
Fe1P2S3,-0.5916303582194131
Fe1P2S4,-0.5887178781470158
Fe1P2S5,-0.5747111422086264
Fe1P2S6,-0.5572121748852075
Fe1P2S7,-0.5410410962670335
Fe1P2S8,-0.5259597346592434
Fe1P2S9,-0.5121428146748744
Fe1P2S10,-0.4998759938783548
Fe1P2S11,-0.48921456999541424
Fe1P2S12,-0.48010602095817045
Fe1P2S13,-0.4724503490474552
Fe1P2S14,-0.4661301167446369
Fe1P2S15,-0.46102533206410157
Fe1P3S0,-0.35861102528165634
Fe1P3S1,-0.4063614858970146
Fe1P3S2,-0.46008717753151473
Fe1P3S3,-0.532145691853248
Fe1P3S4,-0.5804384227921399
Fe1P3S5,-0.5819752752125087
Fe1P3S6,-0.5758248127568784
Fe1P3S7,-0.5681520760827325
Fe1P3S8,-0.5592515115512575
Fe1P3S9,-0.5498381780316566
Fe1P3S10,-0.5406716233026825
Fe1P3S11,-0.5321523000847017
Fe1P3S12,-0.5244775646189167
Fe1P3S13,-0.5177286257670225
Fe1P3S14,-0.5119201833812874
Fe1P3S15,-0.5070293352988012
Fe1P4S0,-0.29825376171049267
Fe1P4S1,-0.356783244418024
Fe1P4S2,-0.4183439822257238
Fe1P4S3,-0.48075211221249126
Fe1P4S4,-0.5319044204963579
Fe1P4S5,-0.5804713618246571
Fe1P4S6,-0.5838904863398452
Fe1P4S7,-0.5839315727689892
Fe1P4S8,-0.5810891515596207
Fe1P4S9,-0.5763572303922373
Fe1P4S10,-0.5707796949611335
Fe1P4S11,-0.5649896181919284
Fe1P4S12,-0.5593684723822369
Fe1P4S13,-0.5541411674761432
Fe1P4S14,-0.5494340592592124
Fe1P4S15,-0.5453110676010284
Fe1P5S0,-0.2547400599623346
Fe1P5S1,-0.3209980738437481
Fe1P5S2,-0.3854003425502821
Fe1P5S3,-0.45454423587193915
Fe1P5S4,-0.4923760567428547
Fe1P5S5,-0.5350934171007722
Fe1P5S6,-0.5848511992533587
Fe1P5S7,-0.5915515652784091
Fe1P5S8,-0.5942572643586149
Fe1P5S9,-0.5940660629070966
