formula,target
Hf0P0S1,-0.0006458160536697566
Hf0P1S0,0.11996618979040541
Hf0P1S1,-0.2795319558397885
Hf0P1S2,-0.28594184755064134
Hf0P1S3,-0.2595276771795937
Hf0P1S4,-0.238233071935526
Hf0P1S5,-0.22252818072220437
Hf0P1S6,-0.2112128938499065
Hf0P1S7,-0.20323407962989715
Hf0P1S8,-0.19782970236223618
Hf0P1S9,-0.1944630234876803
Hf0P1S10,-0.1927524275076976
Hf0P1S11,-0.19242117173628281
Hf0P1S12,-0.19326395988080125
Hf0P1S13,-0.19512492791155522
Hf0P1S14,-0.19788300942218018
Hf0P1S15,-0.2014420524105709
Hf0P2S1,-0.21505402580236788
Hf0P2S3,-0.3031442808343807
Hf0P2S5,-0.2821781676813986
Hf0P2S7,-0.2634371009657208
Hf0P2S9,-0.2517696169689496
Hf0P2S11,-0.24629292195458063
Hf0P2S13,-0.24578654963367885
Hf0P2S15,-0.24929026661262765
Hf0P3S1,-0.17477145778975767
Hf0P3S2,-0.24228365087786807
Hf0P3S4,-0.31188939437469754
Hf0P3S5,-0.3093792823008341
Hf0P3S7,-0.2993861395675451
Hf0P3S8,-0.2946782785529942
Hf0P3S10,-0.2879436092347405
Hf0P3S11,-0.28608943412907506
Hf0P3S13,-0.2853304861793736
Hf0P3S14,-0.28632570730610607
Hf0P4S1,-0.14508402676503196
Hf0P4S3,-0.2550441717378913
Hf0P4S5,-0.32031171970035766
Hf0P4S7,-0.32079442333018016
Hf0P4S9,-0.31772078841983786
Hf0P4S11,-0.31586186102199576
Hf0P4S13,-0.3165614834853905
Hf0P4S15,-0.32007113377902807
Hf0P5S1,-0.12360141484435305
Hf0P5S2,-0.20109113046699878
Hf0P5S3,-0.24276650833088276
Hf0P5S4,-0.2654275014511386
Hf0P5S6,-0.32975780947555444
Hf0P5S7,-0.33336915591931715
Hf0P5S8,-0.3353105648821262
Hf0P5S9,-0.33647976148684744
Hf0P5S11,-0.33845822923688085
Hf0P5S12,-0.3397977878682157
Hf0P5S13,-0.3415567614286801
Hf0P5S14,-0.34380274640354025
Hf0P6S1,-0.10794067417700515
Hf0P6S5,-0.2758898781722784
Hf0P6S7,-0.3405508810734762
Hf0P6S11,-0.35589500706009913
Hf0P6S13,-0.361859663167478
Hf0P7S1,-0.09647803694271384
Hf0P7S2,-0.17062194945644127
Hf0P7S3,-0.2187199831961213
Hf0P7S4,-0.25059410571692486
Hf0P7S5,-0.2721891745644307
Hf0P7S6,-0.2871867298092968
Hf0P7S8,-0.3527602784347992
Hf0P7S9,-0.35930139407247697
Hf0P7S10,-0.3647657172296581
Hf0P7S11,-0.36961343687773485
Hf0P7S12,-0.3741601782085242
Hf0P7S13,-0.37862332110773167
Hf0P8S1,-0.08814458446089213
Hf0P8S3,-0.20870380324313875
Hf0P8S5,-0.26781114366601866
Hf0P8S7,-0.29959122575433406
Hf0P8S9,-0.3663682782692752
Hf0P8S11,-0.38065384889082254
Hf0P9S1,-0.08222473941052666
Hf0P9S2,-0.15090397572348901
Hf0P9S4,-0.23643399048768232
Hf0P9S5,-0.2634404602391984
Hf0P9S7,-0.3002079524079123
Hf0P9S8,-0.31319495316423285
Hf0P9S10,-0.381318164955904
Hf0P9S11,-0.38977423278650314
Hf0P10S1,-0.07822605780497094
Hf0P10S3,-0.19341030107492196
Hf0P10S7,-0.3003295716439377
Hf0P10S9,-0.32800565087317124
Hf0P11S1,-0.07579971862968371
Hf0P11S2,-0.1392587922013615
Hf0P11S3,-0.18799424208685767
Hf0P11S4,-0.22598187067522169
Hf0P11S5,-0.25608194349957314
Hf0P11S6,-0.2803603537579026
Hf0P11S7,-0.30032072876573557
Hf0P11S8,-0.31706732301281115
Hf0P11S9,-0.3314184715328551
Hf0P12S1,-0.07469170594431529
Hf0P12S5,-0.2534126957713725
Hf0P12S7,-0.30042039853053826
Hf0P13S1,-0.07471218357841769
Hf0P13S2,-0.13366101478335246
Hf0P13S3,-0.18106902598769137
Hf0P13S4,-0.21966167725005825
Hf0P13S5,-0.25150080619329185
Hf0P13S6,-0.2781465831842984
Hf0P13S7,-0.30078404965827243
Hf0P14S1,-0.07571579101174497
Hf0P14S3,-0.17933912599519275
Hf0P14S5,-0.2503579472057891
Hf0P15S1,-0.07758864507540997
Hf0P15S2,-0.13274176468177645
Hf0P15S4,-0.2172007392622778
Hf1P0S0,-0.0319203404727999
Hf1P0S1,-1.7458339250673547
Hf1P0S2,-1.7265337438616855
Hf1P0S3,-1.4193658114825203
Hf1P0S4,-1.122958247902343
Hf1P0S5,-0.9006269120285828
Hf1P0S6,-0.7438730296002675
Hf1P0S7,-0.633101146825948
Hf1P0S8,-0.5529270806312542
Hf1P0S9,-0.4931642968620412
Hf1P0S10,-0.44730940948174336
Hf1P0S11,-0.41119023039990266
Hf1P0S12,-0.38207817717647463
Hf1P0S13,-0.35814619297884276
Hf1P0S14,-0.33814138031737984
Hf1P0S15,-0.32118518900745996
Hf1P1S0,-1.4008029389583125
Hf1P1S1,-1.5366073515426124
Hf1P1S2,-1.3848122560652265
Hf1P1S3,-1.1955803466676618
Hf1P1S4,-1.047757818126699
Hf1P1S5,-0.9300858028782826
Hf1P1S6,-0.8376610658536574
Hf1P1S7,-0.7653021861224857
Hf1P1S8,-0.7078777385950813
Hf1P1S9,-0.6610922423780675
Hf1P1S10,-0.6222923908805886
Hf1P1S11,-0.5897573999944535
Hf1P1S12,-0.5624278599548713
Hf1P1S13,-0.5390574085889509
Hf1P1S14,-0.5185605065303924
Hf1P1S15,-0.5004143041226963
Hf1P2S0,-1.1636397868932982
Hf1P2S1,-1.1640710106185375
Hf1P2S2,-1.030975688859174
Hf1P2S3,-0.9895612085308603
Hf1P2S4,-0.9286501708452701
Hf1P2S5,-0.8712376236700377
Hf1P2S6,-0.8176499309840389
Hf1P2S7,-0.7701972418535102
Hf1P2S8,-0.7287679230134263
Hf1P2S9,-0.6919761277561586
Hf1P2S10,-0.6593053705285601
Hf1P2S11,-0.6305071811398248
Hf1P2S12,-0.6056082174878279
Hf1P2S13,-0.5837497847449732
Hf1P2S14,-0.5639431750151416
Hf1P2S15,-0.5459249328645667
Hf1P3S0,-0.8859121379321708
Hf1P3S1,-0.8842656319335811
Hf1P3S2,-0.7974565355191412
Hf1P3S3,-0.7906415747417778
Hf1P3S4,-0.837430038025126
Hf1P3S5,-0.8183549935845245
Hf1P3S6,-0.7916610585575566
Hf1P3S7,-0.7630660017654489
Hf1P3S8,-0.7348835580005075
Hf1P3S9,-0.7072111808162561
Hf1P3S10,-0.6807988482235505
Hf1P3S11,-0.6563500877426158
Hf1P3S12,-0.6346489644558138
Hf1P3S13,-0.6151319305279741
Hf1P3S14,-0.5968894600112254
Hf1P3S15,-0.579865261187857
Hf1P4S0,-0.6677933021101028
Hf1P4S1,-0.6958727072817045
Hf1P4S2,-0.6582357987465233
Hf1P4S3,-0.6678362060044887
Hf1P4S4,-0.7081514808495231
Hf1P4S5,-0.7739850762685219
Hf1P4S6,-0.7660648480634972
Hf1P4S7,-0.7516805204307312
Hf1P4S8,-0.7341986294006874
Hf1P4S9,-0.7144089810665399
Hf1P4S10,-0.693795623555043
Hf1P4S11,-0.6736696332840025
Hf1P4S12,-0.6553338909894966
Hf1P4S13,-0.638441487406139
Hf1P4S14,-0.6221408459148164
Hf1P4S15,-0.6065342238975262
Hf1P5S0,-0.5209341479216951
Hf1P5S1,-0.5717871416851803
Hf1P5S2,-0.5639989300890086
Hf1P5S3,-0.5957008331941311
Hf1P5S4,-0.6315442151347963
Hf1P5S5,-0.6728557865593106
Hf1P5S6,-0.7419497947760993
Hf1P5S7,-0.7383142593624163
Hf1P5S8,-0.7294205458102782
Hf1P5S9,-0.7163162479107837
Hf1P5S10,-0.7008909608212981
Hf1P5S11,-0.6848341195744114
Hf1P5S12,-0.6697963666962067
Hf1P5S13,-0.6555855152367773
Hf1P5S14,-0.6413893125981092
Hf1P6S0,-0.4239056261157089
Hf1P6S1,-0.48730537757272774
Hf1P6S2,-0.4965899825437553
Hf1P6S3,-0.5404515025797486
Hf1P6S4,-0.5865861745671246
Hf1P6S5,-0.6157498991905584
Hf1P6S6,-0.6511728519935043
Hf1P6S7,-0.7223156637528593
Hf1P6S8,-0.7203148200111058
Hf1P6S9,-0.7128593333470533
Hf1P6S10,-0.7020354254595375
Hf1P6S11,-0.6897527499939569
Hf1P6S12,-0.6778850343315754
Hf1P6S13,-0.6663467228549177
Hf1P7S0,-0.3581661479546886
Hf1P7S1,-0.42738220226924006
Hf1P7S2,-0.44628205301382484
Hf1P7S3,-0.4966055322413988
Hf1P7S4,-0.5485649855039789
Hf1P7S5,-0.5844075969797968
Hf1P7S6,-0.6037575527547263
Hf1P7S7,-0.6359270004368782
Hf1P7S8,-0.7084751105455469
Hf1P7S9,-0.705757579590759
Hf1P7S10,-0.6989568790978313
Hf1P7S11,-0.6900987936397853
Hf1P7S12,-0.6811922220477842
Hf1P8S0,-0.311935480754051
Hf1P8S1,-0.383097838989224
Hf1P8S2,-0.4073036950721437
Hf1P8S3,-0.46077045444271825
Hf1P8S4,-0.5158154849936718
Hf1P8S5,-0.5559483355125893
Hf1P8S6,-0.5800325621358515
Hf1P8S7,-0.5937498527408277
Hf1P8S8,-0.6239052980745861
Hf1P8S9,-0.6962112992215375
Hf1P8S10,-0.6928992830616295
Hf1P8S11,-0.6871085790048864
Hf1P9S0,-0.2781667846816601
Hf1P9S1,-0.349126554249062
Hf1P9S2,-0.37612003761844715
Hf1P9S3,-0.43076496920185425
Hf1P9S4,-0.4871821257942952
Hf1P9S5,-0.5299866083542942
Hf1P9S6,-0.5574369900469328
Hf1P9S7,-0.5747237276759932
Hf1P9S8,-0.5846832463313612
Hf1P9S9,-0.6122981424116869
Hf1P9S10,-0.6847676942866592
Hf1P10S0,-0.2526251813332424
Hf1P10S1,-0.32218777474204907
Hf1P10S2,-0.35046514078389024
Hf1P10S3,-0.40510561432701164
Hf1P10S4,-0.46180425301986183
Hf1P10S5,-0.5061644339874842
Hf1P10S6,-0.5359793508387424
Hf1P10S7,-0.5559839188973914
Hf1P10S8,-0.5687468908742928
Hf1P10S9,-0.5747715698728001
Hf1P11S0,-0.2327010344500613
Hf1P11S1,-0.3002174095782266
Hf1P11S2,-0.3288758066822324
Hf1P11S3,-0.38280315211861826
Hf1P11S4,-0.43908830276087274
Hf1P11S5,-0.4842292043889944
Hf1P11S6,-0.515670570806626
Hf1P11S7,-0.5377365407809149
Hf1P11S8,-0.5527459891118407
Hf1P12S0,-0.21673626799952794
Hf1P12S1,-0.28187464839429144
Hf1P12S2,-0.3103772932402964
Hf1P12S3,-0.3631785226772062
Hf1P12S4,-0.4186142184296756
Hf1P12S5,-0.46399832521505147
Hf1P12S6,-0.4965217764365215
Hf1P12S7,-0.5201434853681377
Hf1P13S0,-0.20364481695820302
Hf1P13S1,-0.26624634456906826
Hf1P13S2,-0.2942734156232145
Hf1P13S3,-0.34571559346315983
Hf1P13S4,-0.4000326441145998
Hf1P13S5,-0.4452861655928394
Hf1P13S6,-0.4784882616753737
Hf1P14S0,-0.1926950296845873
Hf1P14S1,-0.2527021670568528
Hf1P14S2,-0.28006925486352974
Hf1P14S3,-0.3300338332727717
Hf1P14S4,-0.383074550614218
Hf1P14S5,-0.42794009181942394
Hf1P15S0,-0.18338163779675243
Hf1P15S1,-0.24079765208941328
Hf1P15S2,-0.26740648321374993
Hf1P15S3,-0.31584854960030617
Hf1P15S4,-0.36753086413078717
Hf2P0S1,-1.292781784030863
Hf2P0S3,-1.8423361333107557
Hf2P0S5,-1.611284258093363
Hf2P0S7,-1.2803639218361098
Hf2P0S9,-1.0047436782196923
Hf2P0S11,-0.8055989083567023
Hf2P0S13,-0.6657698196083199
Hf2P0S15,-0.566534051358446
Hf2P1S0,-1.08554130644902
Hf2P1S1,-1.5269175673657522
Hf2P1S2,-1.7098373869876138
Hf2P1S3,-1.7110846333834844
Hf2P1S4,-1.6055825968422845
Hf2P1S5,-1.479914616258807
Hf2P1S6,-1.353938335394142
Hf2P1S7,-1.2371542889529739
Hf2P1S8,-1.1331077289833078
Hf2P1S9,-1.0415027519945694
Hf2P1S10,-0.9621195677292794
Hf2P1S11,-0.8936452904452202
Hf2P1S12,-0.8346161202231539
Hf2P1S13,-0.7836224644884708
Hf2P1S14,-0.7393722129620062
Hf2P1S15,-0.7007764520281917
Hf2P2S1,-1.5757417258938127
Hf2P2S3,-1.5183488987455007
Hf2P2S5,-1.305665513732199
Hf2P2S7,-1.1276633181517641
Hf2P2S9,-0.9857416159803393
Hf2P2S11,-0.8721934549689343
Hf2P2S13,-0.7827955599492689
Hf2P2S15,-0.7122140186614698
Hf2P3S0,-1.29874669738774
Hf2P3S1,-1.4302553192126821
Hf2P3S2,-1.3599624858665624
Hf2P3S3,-1.2882030200707588
Hf2P3S4,-1.2376415510889023
Hf2P3S5,-1.1589976498602077
Hf2P3S6,-1.0938764829961753
Hf2P3S7,-1.036916504872466
Hf2P3S8,-0.9860325737547564
Hf2P3S9,-0.9379440936674169
Hf2P3S10,-0.8933834505070648
Hf2P3S11,-0.8522543690056898
Hf2P3S12,-0.8145722107250287
Hf2P3S13,-0.7802505885849308
Hf2P3S14,-0.7490026120512623
Hf2P3S15,-0.7205443945214973
Hf2P4S1,-1.2640955146477137
Hf2P4S3,-1.0966911253603544
Hf2P4S5,-1.0365234266974588
Hf2P4S7,-0.9595445246324964
Hf2P4S9,-0.894380397024896
Hf2P4S11,-0.8313676314028663
Hf2P4S13,-0.7741883002773867
Hf2P5S0,-1.0359207027572128
Hf2P5S1,-1.1002982322627881
Hf2P5S2,-1.0215996603314008
Hf2P5S3,-0.9544257276615189
Hf2P5S4,-0.8944528752763398
Hf2P5S5,-0.877913543379303
Hf2P5S6,-0.9130448158283779
Hf2P5S7,-0.8935633414018866
Hf2P5S8,-0.8754641863747228
Hf2P5S9,-0.8547681809852601
Hf2P5S10,-0.8328452705512028
Hf2P5S11,-0.8101928825105646
Hf2P5S12,-0.7875933559556807
Hf2P5S13,-0.7656436125761498
Hf2P6S1,-0.9541335878207473
Hf2P6S3,-0.8371962001472866
