formula,target
Hg0P0S1,-0.0006458160536697566
Hg0P1S0,0.11996618979040541
Hg0P1S1,-0.2795319558397885
Hg0P1S2,-0.28594184755064134
Hg0P1S3,-0.2595276771795937
Hg0P1S4,-0.238233071935526
Hg0P1S5,-0.22252818072220437
Hg0P1S6,-0.2112128938499065
Hg0P1S7,-0.20323407962989715
Hg0P1S8,-0.19782970236223618
Hg0P1S9,-0.1944630234876803
Hg0P1S10,-0.1927524275076976
Hg0P1S11,-0.19242117173628281
Hg0P1S12,-0.19326395988080125
Hg0P1S13,-0.19512492791155522
Hg0P1S14,-0.19788300942218018
Hg0P1S15,-0.2014420524105709
Hg0P2S1,-0.21505402580236788
Hg0P2S3,-0.3031442808343807
Hg0P2S5,-0.2821781676813986
Hg0P2S7,-0.2634371009657208
Hg0P2S9,-0.2517696169689496
Hg0P2S11,-0.24629292195458063
Hg0P2S13,-0.24578654963367885
Hg0P2S15,-0.24929026661262765
Hg0P3S1,-0.17477145778975767
Hg0P3S2,-0.24228365087786807
Hg0P3S4,-0.31188939437469754
Hg0P3S5,-0.3093792823008341
Hg0P3S7,-0.2993861395675451
Hg0P3S8,-0.2946782785529942
Hg0P3S10,-0.2879436092347405
Hg0P3S11,-0.28608943412907506
Hg0P3S13,-0.2853304861793736
Hg0P3S14,-0.28632570730610607
Hg0P4S1,-0.14508402676503196
Hg0P4S3,-0.2550441717378913
Hg0P4S5,-0.32031171970035766
Hg0P4S7,-0.32079442333018016
Hg0P4S9,-0.31772078841983786
Hg0P4S11,-0.31586186102199576
Hg0P4S13,-0.3165614834853905
Hg0P4S15,-0.32007113377902807
Hg0P5S1,-0.12360141484435305
Hg0P5S2,-0.20109113046699878
Hg0P5S3,-0.24276650833088276
Hg0P5S4,-0.2654275014511386
Hg0P5S6,-0.32975780947555444
Hg0P5S7,-0.33336915591931715
Hg0P5S8,-0.3353105648821262
Hg0P5S9,-0.33647976148684744
Hg0P5S11,-0.33845822923688085
Hg0P5S12,-0.3397977878682157
Hg0P5S13,-0.3415567614286801
Hg0P5S14,-0.34380274640354025
Hg0P6S1,-0.10794067417700515
Hg0P6S5,-0.2758898781722784
Hg0P6S7,-0.3405508810734762
Hg0P6S11,-0.35589500706009913
Hg0P6S13,-0.361859663167478
Hg0P7S1,-0.09647803694271384
Hg0P7S2,-0.17062194945644127
Hg0P7S3,-0.2187199831961213
Hg0P7S4,-0.25059410571692486
Hg0P7S5,-0.2721891745644307
Hg0P7S6,-0.2871867298092968
Hg0P7S8,-0.3527602784347992
Hg0P7S9,-0.35930139407247697
Hg0P7S10,-0.3647657172296581
Hg0P7S11,-0.36961343687773485
Hg0P7S12,-0.3741601782085242
Hg0P7S13,-0.37862332110773167
Hg0P8S1,-0.08814458446089213
Hg0P8S3,-0.20870380324313875
Hg0P8S5,-0.26781114366601866
Hg0P8S7,-0.29959122575433406
Hg0P8S9,-0.3663682782692752
Hg0P8S11,-0.38065384889082254
Hg0P9S1,-0.08222473941052666
Hg0P9S2,-0.15090397572348901
Hg0P9S4,-0.23643399048768232
Hg0P9S5,-0.2634404602391984
Hg0P9S7,-0.3002079524079123
Hg0P9S8,-0.31319495316423285
Hg0P9S10,-0.381318164955904
Hg0P9S11,-0.38977423278650314
Hg0P10S1,-0.07822605780497094
Hg0P10S3,-0.19341030107492196
Hg0P10S7,-0.3003295716439377
Hg0P10S9,-0.32800565087317124
Hg0P11S1,-0.07579971862968371
Hg0P11S2,-0.1392587922013615
Hg0P11S3,-0.18799424208685767
Hg0P11S4,-0.22598187067522169
Hg0P11S5,-0.25608194349957314
Hg0P11S6,-0.2803603537579026
Hg0P11S7,-0.30032072876573557
Hg0P11S8,-0.31706732301281115
Hg0P11S9,-0.3314184715328551
Hg0P12S1,-0.07469170594431529
Hg0P12S5,-0.2534126957713725
Hg0P12S7,-0.30042039853053826
Hg0P13S1,-0.07471218357841769
Hg0P13S2,-0.13366101478335246
Hg0P13S3,-0.18106902598769137
Hg0P13S4,-0.21966167725005825
Hg0P13S5,-0.25150080619329185
Hg0P13S6,-0.2781465831842984
Hg0P13S7,-0.30078404965827243
Hg0P14S1,-0.07571579101174497
Hg0P14S3,-0.17933912599519275
Hg0P14S5,-0.2503579472057891
Hg0P15S1,-0.07758864507540997
Hg0P15S2,-0.13274176468177645
Hg0P15S4,-0.2172007392622778
Hg1P0S0,0.06521150705441103
Hg1P0S1,-0.2747834102250182
Hg1P0S2,-0.33140992700722616
Hg1P0S3,-0.29169146307562854
Hg1P0S4,-0.2527054381288548
Hg1P0S5,-0.22501236558186666
Hg1P0S6,-0.20701137209615805
Hg1P0S7,-0.19573080397762488
Hg1P0S8,-0.1888904338454761
Hg1P0S9,-0.18498550342732145
Hg1P0S10,-0.1830592730769376
Hg1P0S11,-0.18250415043609225
Hg1P0S12,-0.18292941044587097
Hg1P0S13,-0.18407925926116664
Hg1P0S14,-0.18578291713684325
Hg1P0S15,-0.18792409803845678
Hg1P1S0,-0.009050937943788195
Hg1P1S1,-0.2881144596770502
Hg1P1S2,-0.41002346872341755
Hg1P1S3,-0.43094438404630975
Hg1P1S4,-0.4271301097671958
Hg1P1S5,-0.41926900500754216
Hg1P1S6,-0.41075459866344566
Hg1P1S7,-0.40309478513835606
Hg1P1S8,-0.39680987616632557
Hg1P1S9,-0.3919282586405648
Hg1P1S10,-0.38806894277480286
Hg1P1S11,-0.38497370419923516
Hg1P1S12,-0.38252501706495434
Hg1P1S13,-0.3806871879675704
Hg1P1S14,-0.3793788474554899
Hg1P1S15,-0.3785327462340524
Hg1P2S0,-0.06874621806820591
Hg1P2S1,-0.2476435551343209
Hg1P2S2,-0.3386207061064128
Hg1P2S3,-0.42840321117779956
Hg1P2S4,-0.4439923239398854
Hg1P2S5,-0.4494361886972107
Hg1P2S6,-0.44932551097237905
Hg1P2S7,-0.44673555338195625
Hg1P2S8,-0.4434459349578357
Hg1P2S9,-0.44029825216674523
Hg1P2S10,-0.4372444274487055
Hg1P2S11,-0.43426622664027803
Hg1P2S12,-0.43146396142253896
Hg1P2S13,-0.42899069374611876
Hg1P2S14,-0.4268665040967491
Hg1P2S15,-0.4250930179344854
Hg1P3S0,-0.05615427050127608
Hg1P3S1,-0.21683478125816746
Hg1P3S2,-0.29378153473698587
Hg1P3S3,-0.3761674223740268
Hg1P3S4,-0.4537298941355842
Hg1P3S5,-0.46918407039554344
Hg1P3S6,-0.4762907815256815
Hg1P3S7,-0.47873334725132366
Hg1P3S8,-0.4789419809404113
Hg1P3S9,-0.478244595280487
Hg1P3S10,-0.4768095293457729
Hg1P3S11,-0.4747903654137895
Hg1P3S12,-0.4724562942511421
Hg1P3S13,-0.470111304666447
Hg1P3S14,-0.467868716882367
Hg1P3S15,-0.46579852558543666
Hg1P4S0,-0.04599310090181019
Hg1P4S1,-0.2033677434155774
Hg1P4S2,-0.2857465019385914
Hg1P4S3,-0.3535482343792319
Hg1P4S4,-0.4144216896537881
Hg1P4S5,-0.4902089840392102
Hg1P4S6,-0.5033769028269888
Hg1P4S7,-0.5103764521670127
Hg1P4S8,-0.5139756123100138
Hg1P4S9,-0.5158021571903605
Hg1P4S10,-0.5161702835969847
Hg1P4S11,-0.515358882824216
Hg1P4S12,-0.5137682159895065
Hg1P4S13,-0.5118209501690467
Hg1P4S14,-0.5097120884764491
Hg1P4S15,-0.5075746157949763
Hg1P5S0,-0.04233553308171145
Hg1P5S1,-0.19563862088409179
Hg1P5S2,-0.2787243730419604
Hg1P5S3,-0.35100292331544036
Hg1P5S4,-0.3931219861278431
Hg1P5S5,-0.44596268038114717
Hg1P5S6,-0.5195026420103384
Hg1P5S7,-0.5306799678965146
Hg1P5S8,-0.5376691684337668
Hg1P5S9,-0.5422343183561672
Hg1P5S10,-0.5447593854351546
Hg1P5S11,-0.5455962752640543
Hg1P5S12,-0.5452344552694396
Hg1P5S13,-0.5441812698008824
Hg1P5S14,-0.5426967335217218
Hg1P6S0,-0.043184449198105934
Hg1P6S1,-0.1919637093576072
Hg1P6S2,-0.2734040323364816
Hg1P6S3,-0.3472481204899208
Hg1P6S4,-0.3931121025072494
Hg1P6S5,-0.4249116731403253
Hg1P6S6,-0.4716388176486228
Hg1P6S7,-0.5439553441771422
Hg1P6S8,-0.5540483048677659
Hg1P6S9,-0.5612589304425846
Hg1P6S10,-0.5659890911564003
Hg1P6S11,-0.5686238714748866
Hg1P6S12,-0.5697071075220549
Hg1P6S13,-0.5698015633380397
Hg1P7S0,-0.046561536284986715
Hg1P7S1,-0.19030830672537324
Hg1P7S2,-0.26863637388723216
Hg1P7S3,-0.3420920850735434
Hg1P7S4,-0.389925423964806
Hg1P7S5,-0.42451833950031614
Hg1P7S6,-0.4486204740476152
Hg1P7S7,-0.49120705386868246
Hg1P7S8,-0.5633086747561346
Hg1P7S9,-0.5729088383549618
Hg1P7S10,-0.5797275064974643
Hg1P7S11,-0.5841513950171653
Hg1P7S12,-0.586749436547204
Hg1P8S0,-0.051218576457435994
Hg1P8S1,-0.19011489992050334
Hg1P8S2,-0.26492400868486765
Hg1P8S3,-0.3370740087162243
Hg1P8S4,-0.3858615983715319
Hg1P8S5,-0.42233085939949633
Hg1P8S6,-0.4487270074276156
Hg1P8S7,-0.4677460546120711
Hg1P8S8,-0.5081198385858053
Hg1P8S9,-0.5807539144850911
Hg1P8S10,-0.5894885632809171
Hg1P8S11,-0.5956112810136371
Hg1P9S0,-0.056453075697871835
Hg1P9S1,-0.19085431568957112
Hg1P9S2,-0.262096086871615
Hg1P9S3,-0.33244961456679467
Hg1P9S4,-0.3815138129073138
Hg1P9S5,-0.41919997381549967
Hg1P9S6,-0.44730768710838975
Hg1P9S7,-0.4682215437808054
Hg1P9S8,-0.48423357997891137
Hg1P9S9,-0.52356652377987
Hg1P9S10,-0.5963571664333356
Hg1P10S0,-0.06188819444698068
Hg1P10S1,-0.192165687317717
Hg1P10S2,-0.25994571440942016
Hg1P10S3,-0.3282478220981473
Hg1P10S4,-0.37712604561493146
Hg1P10S5,-0.41553620386623535
Hg1P10S6,-0.4448939668989468
Hg1P10S7,-0.4673145403111245
Hg1P10S8,-0.48490749706950675
Hg1P10S9,-0.49914629494626817
Hg1P11S0,-0.0673292296782173
Hg1P11S1,-0.19383864165895004
Hg1P11S2,-0.25833854075414153
Hg1P11S3,-0.32447968183568743
Hg1P11S4,-0.37285910119642396
Hg1P11S5,-0.4116260734499687
Hg1P11S6,-0.4418723345580804
Hg1P11S7,-0.4654677348438039
Hg1P11S8,-0.48437157864674074
Hg1P12S0,-0.07268109132166467
Hg1P12S1,-0.19575091263342848
Hg1P12S2,-0.25718741439609927
Hg1P12S3,-0.3211497168974573
Hg1P12S4,-0.3688241365204368
Hg1P12S5,-0.40767691951608886
Hg1P12S6,-0.4385277218637572
Hg1P12S7,-0.46303175793736884
Hg1P13S0,-0.07790257905365339
Hg1P13S1,-0.19781939323880404
Hg1P13S2,-0.25641314755128464
Hg1P13S3,-0.3182302417563564
Hg1P13S4,-0.36506523908353483
Hg1P13S5,-0.4038030071119435
Hg1P13S6,-0.4350348342335729
Hg1P14S0,-0.08298129323811021
Hg1P14S1,-0.19999204652958857
Hg1P14S2,-0.2559558943764516
Hg1P14S3,-0.31569149695475807
Hg1P14S4,-0.3616031521849312
Hg1P14S5,-0.40007800135073146
Hg1P15S0,-0.08791989155648117
Hg1P15S1,-0.20223640432726464
Hg1P15S2,-0.2557700206454454
Hg1P15S3,-0.3135046910768784
Hg1P15S4,-0.3584449132396408
Hg2P0S1,-0.14712124139000982
Hg2P0S3,-0.3353336281041496
Hg2P0S5,-0.31733561901738994
Hg2P0S7,-0.2774089522721339
Hg2P0S9,-0.24595951826262386
Hg2P0S11,-0.22579951456862768
Hg2P0S13,-0.21441175892238584
Hg2P0S15,-0.20915495291451025
Hg2P1S0,0.052022090004811394
Hg2P1S1,-0.23334812425256724
Hg2P1S2,-0.3084679812703407
Hg2P1S3,-0.41131786988697794
Hg2P1S4,-0.4337207731591557
Hg2P1S5,-0.4395154720611645
Hg2P1S6,-0.4395670214992651
Hg2P1S7,-0.4332527604494999
Hg2P1S8,-0.4258099012015849
Hg2P1S9,-0.41869922566764795
Hg2P1S10,-0.41209051284484677
Hg2P1S11,-0.406235896018019
Hg2P1S12,-0.40120895610555396
Hg2P1S13,-0.3969954764478587
Hg2P1S14,-0.3935418290456173
