formula,target
Ir0P0S1,-0.0006458160536697566
Ir0P1S0,0.11996618979040541
Ir0P1S1,-0.2795319558397885
Ir0P1S2,-0.28594184755064134
Ir0P1S3,-0.2595276771795937
Ir0P1S4,-0.238233071935526
Ir0P1S5,-0.22252818072220437
Ir0P1S6,-0.2112128938499065
Ir0P1S7,-0.20323407962989715
Ir0P1S8,-0.19782970236223618
Ir0P1S9,-0.1944630234876803
Ir0P1S10,-0.1927524275076976
Ir0P1S11,-0.19242117173628281
Ir0P1S12,-0.19326395988080125
Ir0P1S13,-0.19512492791155522
Ir0P1S14,-0.19788300942218018
Ir0P1S15,-0.2014420524105709
Ir0P2S1,-0.21505402580236788
Ir0P2S3,-0.3031442808343807
Ir0P2S5,-0.2821781676813986
Ir0P2S7,-0.2634371009657208
Ir0P2S9,-0.2517696169689496
Ir0P2S11,-0.24629292195458063
Ir0P2S13,-0.24578654963367885
Ir0P2S15,-0.24929026661262765
Ir0P3S1,-0.17477145778975767
Ir0P3S2,-0.24228365087786807
Ir0P3S4,-0.31188939437469754
Ir0P3S5,-0.3093792823008341
Ir0P3S7,-0.2993861395675451
Ir0P3S8,-0.2946782785529942
Ir0P3S10,-0.2879436092347405
Ir0P3S11,-0.28608943412907506
Ir0P3S13,-0.2853304861793736
Ir0P3S14,-0.28632570730610607
Ir0P4S1,-0.14508402676503196
Ir0P4S3,-0.2550441717378913
Ir0P4S5,-0.32031171970035766
Ir0P4S7,-0.32079442333018016
Ir0P4S9,-0.31772078841983786
Ir0P4S11,-0.31586186102199576
Ir0P4S13,-0.3165614834853905
Ir0P4S15,-0.32007113377902807
Ir0P5S1,-0.12360141484435305
Ir0P5S2,-0.20109113046699878
Ir0P5S3,-0.24276650833088276
Ir0P5S4,-0.2654275014511386
Ir0P5S6,-0.32975780947555444
Ir0P5S7,-0.33336915591931715
Ir0P5S8,-0.3353105648821262
Ir0P5S9,-0.33647976148684744
Ir0P5S11,-0.33845822923688085
Ir0P5S12,-0.3397977878682157
Ir0P5S13,-0.3415567614286801
Ir0P5S14,-0.34380274640354025
Ir0P6S1,-0.10794067417700515
Ir0P6S5,-0.2758898781722784
Ir0P6S7,-0.3405508810734762
Ir0P6S11,-0.35589500706009913
Ir0P6S13,-0.361859663167478
Ir0P7S1,-0.09647803694271384
Ir0P7S2,-0.17062194945644127
Ir0P7S3,-0.2187199831961213
Ir0P7S4,-0.25059410571692486
Ir0P7S5,-0.2721891745644307
Ir0P7S6,-0.2871867298092968
Ir0P7S8,-0.3527602784347992
Ir0P7S9,-0.35930139407247697
Ir0P7S10,-0.3647657172296581
Ir0P7S11,-0.36961343687773485
Ir0P7S12,-0.3741601782085242
Ir0P7S13,-0.37862332110773167
Ir0P8S1,-0.08814458446089213
Ir0P8S3,-0.20870380324313875
Ir0P8S5,-0.26781114366601866
Ir0P8S7,-0.29959122575433406
Ir0P8S9,-0.3663682782692752
Ir0P8S11,-0.38065384889082254
Ir0P9S1,-0.08222473941052666
Ir0P9S2,-0.15090397572348901
Ir0P9S4,-0.23643399048768232
Ir0P9S5,-0.2634404602391984
Ir0P9S7,-0.3002079524079123
Ir0P9S8,-0.31319495316423285
Ir0P9S10,-0.381318164955904
Ir0P9S11,-0.38977423278650314
Ir0P10S1,-0.07822605780497094
Ir0P10S3,-0.19341030107492196
Ir0P10S7,-0.3003295716439377
Ir0P10S9,-0.32800565087317124
Ir0P11S1,-0.07579971862968371
