formula,target
K0P0S1,-0.0006458160536697566
K0P1S0,0.11996618979040541
K0P1S1,-0.2795319558397885
K0P1S2,-0.28594184755064134
K0P1S3,-0.2595276771795937
K0P1S4,-0.238233071935526
K0P1S5,-0.22252818072220437
K0P1S6,-0.2112128938499065
K0P1S7,-0.20323407962989715
K0P1S8,-0.19782970236223618
K0P1S9,-0.1944630234876803
K0P1S10,-0.1927524275076976
K0P1S11,-0.19242117173628281
K0P1S12,-0.19326395988080125
K0P1S13,-0.19512492791155522
K0P1S14,-0.19788300942218018
K0P1S15,-0.2014420524105709
K0P2S1,-0.21505402580236788
K0P2S3,-0.3031442808343807
K0P2S5,-0.2821781676813986
K0P2S7,-0.2634371009657208
K0P2S9,-0.2517696169689496
K0P2S11,-0.24629292195458063
K0P2S13,-0.24578654963367885
K0P2S15,-0.24929026661262765
K0P3S1,-0.17477145778975767
K0P3S2,-0.24228365087786807
K0P3S4,-0.31188939437469754
K0P3S5,-0.3093792823008341
K0P3S7,-0.2993861395675451
K0P3S8,-0.2946782785529942
K0P3S10,-0.2879436092347405
K0P3S11,-0.28608943412907506
K0P3S13,-0.2853304861793736
K0P3S14,-0.28632570730610607
K0P4S1,-0.14508402676503196
K0P4S3,-0.2550441717378913
K0P4S5,-0.32031171970035766
K0P4S7,-0.32079442333018016
K0P4S9,-0.31772078841983786
K0P4S11,-0.31586186102199576
K0P4S13,-0.3165614834853905
K0P4S15,-0.32007113377902807
K0P5S1,-0.12360141484435305
K0P5S2,-0.20109113046699878
K0P5S3,-0.24276650833088276
K0P5S4,-0.2654275014511386
K0P5S6,-0.32975780947555444
K0P5S7,-0.33336915591931715
K0P5S8,-0.3353105648821262
K0P5S9,-0.33647976148684744
K0P5S11,-0.33845822923688085
K0P5S12,-0.3397977878682157
K0P5S13,-0.3415567614286801
K0P5S14,-0.34380274640354025
K0P6S1,-0.10794067417700515
K0P6S5,-0.2758898781722784
K0P6S7,-0.3405508810734762
K0P6S11,-0.35589500706009913
K0P6S13,-0.361859663167478
K0P7S1,-0.09647803694271384
K0P7S2,-0.17062194945644127
K0P7S3,-0.2187199831961213
K0P7S4,-0.25059410571692486
K0P7S5,-0.2721891745644307
K0P7S6,-0.2871867298092968
K0P7S8,-0.3527602784347992
K0P7S9,-0.35930139407247697
K0P7S10,-0.3647657172296581
K0P7S11,-0.36961343687773485
K0P7S12,-0.3741601782085242
K0P7S13,-0.37862332110773167
K0P8S1,-0.08814458446089213
K0P8S3,-0.20870380324313875
K0P8S5,-0.26781114366601866
K0P8S7,-0.29959122575433406
K0P8S9,-0.3663682782692752
K0P8S11,-0.38065384889082254
K0P9S1,-0.08222473941052666
K0P9S2,-0.15090397572348901
K0P9S4,-0.23643399048768232
K0P9S5,-0.2634404602391984
K0P9S7,-0.3002079524079123
K0P9S8,-0.31319495316423285
K0P9S10,-0.381318164955904
K0P9S11,-0.38977423278650314
K0P10S1,-0.07822605780497094
K0P10S3,-0.19341030107492196
K0P10S7,-0.3003295716439377
K0P10S9,-0.32800565087317124
K0P11S1,-0.07579971862968371
K0P11S2,-0.1392587922013615
K0P11S3,-0.18799424208685767
K0P11S4,-0.22598187067522169
K0P11S5,-0.25608194349957314
K0P11S6,-0.2803603537579026
K0P11S7,-0.30032072876573557
K0P11S8,-0.31706732301281115
K0P11S9,-0.3314184715328551
K0P12S1,-0.07469170594431529
K0P12S5,-0.2534126957713725
K0P12S7,-0.30042039853053826
K0P13S1,-0.07471218357841769
K0P13S2,-0.13366101478335246
K0P13S3,-0.18106902598769137
K0P13S4,-0.21966167725005825
K0P13S5,-0.25150080619329185
K0P13S6,-0.2781465831842984
K0P13S7,-0.30078404965827243
K0P14S1,-0.07571579101174497
K0P14S3,-0.17933912599519275
K0P14S5,-0.2503579472057891
K0P15S1,-0.07758864507540997
K0P15S2,-0.13274176468177645
K0P15S4,-0.2172007392622778
K1P0S0,0.049279326526850076
K1P0S1,-1.2994292734981339
K1P0S2,-1.0440017128986843
K1P0S3,-0.8568851351387021
K1P0S4,-0.7257049190910168
K1P0S5,-0.6406799803039562
K1P0S6,-0.5841633130708018
K1P0S7,-0.5446923497109195
K1P0S8,-0.5158794100730006
K1P0S9,-0.4941643662115751
K1P0S10,-0.47746707384233134
K1P0S11,-0.4644992221211034
K1P0S12,-0.45441735071569744
K1P0S13,-0.4466419151207144
K1P0S14,-0.44075823380825885
K1P0S15,-0.4364594134289057
K1P1S0,-0.5527871261309658
K1P1S1,-1.0484523171722429
K1P1S2,-0.910597056086569
K1P1S3,-0.8419135723137767
K1P1S4,-0.7946561884171545
K1P1S5,-0.7671008492358949
K1P1S6,-0.7455162718176058
K1P1S7,-0.7234994192052489
K1P1S8,-0.7025192735320174
K1P1S9,-0.6833933173232207
K1P1S10,-0.6663612369922371
K1P1S11,-0.6514066959265841
K1P1S12,-0.6384060180222878
K1P1S13,-0.6271978546403938
K1P1S14,-0.6176154967402796
K1P1S15,-0.6095927253538685
K1P2S0,-0.41363704159409553
K1P2S1,-0.7007090829174134
K1P2S2,-0.7266832232741284
K1P2S3,-0.7800239302254468
K1P2S4,-0.7651210824058121
K1P2S5,-0.7656858781922068
K1P2S6,-0.7660861679275367
K1P2S7,-0.7587118571262113
K1P2S8,-0.7473491886965103
K1P2S9,-0.7345060527402617
K1P2S10,-0.7215079482274348
K1P2S11,-0.7090490256456642
K1P2S12,-0.6974792405530394
K1P2S13,-0.686958476742033
K1P2S14,-0.6775412986934835
K1P2S15,-0.6693959985188738
K1P3S0,-0.3283355722292305
K1P3S1,-0.6119312377845647
K1P3S2,-0.5948468381594381
K1P3S3,-0.6468080691599885
K1P3S4,-0.7392009929149057
K1P3S5,-0.7568056583013023
K1P3S6,-0.7724757166318508
K1P3S7,-0.7768133873113333
K1P3S8,-0.7741927303946537
K1P3S9,-0.7678162992044806
K1P3S10,-0.759563936316938
K1P3S11,-0.750553424786006
K1P3S12,-0.7414530832467683
K1P3S13,-0.7326608566182838
K1P3S14,-0.7244094565163517
K1P3S15,-0.7170704310811665
K1P4S0,-0.28277792709612304
K1P4S1,-0.5536068771954032
K1P4S2,-0.545333480806829
K1P4S3,-0.5458823626531427
K1P4S4,-0.6177256655637762
K1P4S5,-0.739822422383544
K1P4S6,-0.7664158035589663
K1P4S7,-0.7801620316974749
K1P4S8,-0.78527568521737
K1P4S9,-0.7851340877948138
K1P4S10,-0.7818520594355169
K1P4S11,-0.7767747694185667
K1P4S12,-0.7707682036304069
K1P4S13,-0.7643942700796209
K1P4S14,-0.7580186574851655
K1P4S15,-0.7521793370158423
K1P5S0,-0.25910897678484623
K1P5S1,-0.5133913865167764
K1P5S2,-0.5092973716032433
K1P5S3,-0.51511805193242
K1P5S4,-0.5342917635188413
K1P5S5,-0.6262153680212862
K1P5S6,-0.7562387129199984
K1P5S7,-0.7772168885498518
K1P5S8,-0.788736761820307
K1P5S9,-0.794085688764224
K1P5S10,-0.7954239188419506
K1P5S11,-0.7941920988279471
K1P5S12,-0.7913632514694381
K1P5S13,-0.7876013568330704
K1P5S14,-0.7833629653241112
K1P6S0,-0.2456207233601908
K1P6S1,-0.48247801092510634
K1P6S2,-0.4799559402968132
K1P6S3,-0.488176219388864
K1P6S4,-0.5103451020010121
K1P6S5,-0.5501181397777918
K1P6S6,-0.6438184414956084
K1P6S7,-0.7679703367337278
K1P6S8,-0.7847213592913328
K1P6S9,-0.7948144308417399
K1P6S10,-0.8003412481178658
K1P6S11,-0.8027497274333344
K1P6S12,-0.8030540106834869
K1P6S13,-0.8019717572145313
K1P7S0,-0.23704363192061928
K1P7S1,-0.4588658082930399
K1P7S2,-0.45713234064824504
K1P7S3,-0.4665128589684342
K1P7S4,-0.49020152938975725
K1P7S5,-0.5321392825561381
K1P7S6,-0.5746868838985556
K1P7S7,-0.6582483410198349
K1P7S8,-0.7781951806069736
K1P7S9,-0.7922242052057539
K1P7S10,-0.8013653252651238
K1P7S11,-0.8070225312962933
K1P7S12,-0.8102084193710479
K1P8S0,-0.23117341757951992
K1P8S1,-0.440678356463887
K1P8S2,-0.4395880045206012
K1P8S3,-0.44963594236699567
K1P8S4,-0.47404346978215783
K1P8S5,-0.517074722284874
K1P8S6,-0.5617019053252823
K1P8S7,-0.5950285956541347
K1P8S8,-0.6711946740762958
K1P8S9,-0.7885205024496065
K1P8S10,-0.8007278280905826
K1P8S11,-0.8092215201362667
K1P9S0,-0.22705159800866603
K1P9S1,-0.4263986390893112
K1P9S2,-0.4259025700898422
K1P9S3,-0.43639307824681894
K1P9S4,-0.4610344935729862
K1P9S5,-0.5044873832163393
K1P9S6,-0.5503754203764206
K1P9S7,-0.5857575196359099
K1P9S8,-0.6123832533014383
K1P9S9,-0.6834979191030545
K1P9S10,-0.7990769388864178
K1P10S0,-0.22421806376772335
K1P10S1,-0.4157371858023552
K1P10S2,-0.4162908229065624
K1P10S3,-0.4274220393936452
K1P10S4,-0.4523099867938013
K1P10S5,-0.49595254046669346
K1P10S6,-0.5426780155119848
K1P10S7,-0.5796294391646175
K1P10S8,-0.6082165584703927
K1P10S9,-0.6303816841777546
K1P11S0,-0.2224209870931435
K1P11S1,-0.4072371907567538
K1P11S2,-0.40873241234639024
K1P11S3,-0.4203709814212848
K1P11S4,-0.44535338118269463
K1P11S5,-0.4888759913713381
K1P11S6,-0.5360386968235102
K1P11S7,-0.5741250069575046
K1P11S8,-0.6042596641258692
K1P12S0,-0.22150273617211336
K1P12S1,-0.40044209180884593
K1P12S2,-0.4027552665099954
K1P12S3,-0.4147856572734371
K1P12S4,-0.43973968758459847
K1P12S5,-0.4829330490893031
K1P12S6,-0.5302309956772326
K1P12S7,-0.5691098700634522
K1P13S0,-0.22135292064280365
K1P13S1,-0.3950710524104838
K1P13S2,-0.3981037728017859
K1P13S3,-0.41044480122147986
K1P13S4,-0.43528304802049056
K1P13S5,-0.47801833277373373
K1P13S6,-0.5252291507821059
K1P14S0,-0.22188773467850798
K1P14S1,-0.39091194144562835
K1P14S2,-0.39458467143021914
K1P14S3,-0.4071780243059039
K1P14S4,-0.43184443206132417
K1P14S5,-0.47405513512261843
K1P15S0,-0.22304007090781375
K1P15S1,-0.38780040179747144
K1P15S2,-0.3920480962864029
K1P15S3,-0.4048511568293798
K1P15S4,-0.4293107429091829
K2P0S1,-1.1263892799651618
K2P0S3,-1.1491410453696496
K2P0S5,-0.9562706943771528
K2P0S7,-0.8028870089515903
K2P0S9,-0.7047593335518357
K2P0S11,-0.6439978561260816
K2P0S13,-0.60559304955964
K2P0S15,-0.5808931947791501
K2P1S0,-0.48883174040658794
K2P1S1,-1.082551583109665
K2P1S2,-1.1610786734774392
K2P1S3,-1.0704664029603062
K2P1S4,-1.020390290000007
K2P1S5,-0.9690208195022747
K2P1S6,-0.9267099513053012
K2P1S7,-0.887581238052072
K2P1S8,-0.8596060960774767
K2P1S9,-0.8349139277891748
K2P1S10,-0.8163924516402994
K2P1S11,-0.7998271722946648
K2P1S12,-0.7848869140303004
K2P1S13,-0.7712170590486117
K2P1S14,-0.7588137013105432
K2P1S15,-0.7476447104588195
K2P2S1,-0.9731173895223519
K2P2S3,-0.9660664670655318
K2P2S5,-0.8953326629353457
K2P2S7,-0.8435703198321333
K2P2S9,-0.8156779674157868
K2P2S11,-0.8002900066993909
K2P2S13,-0.78416527171111
K2P2S15,-0.7682111115837553
K2P3S0,-0.4711930151743926
K2P3S1,-0.7790999538087895
K2P3S2,-0.7794921249573715
K2P3S3,-0.8230066403590213
K2P3S4,-0.8775487160021317
K2P3S5,-0.854003474830088
K2P3S6,-0.8409037843308442
K2P3S7,-0.8233005324406073
K2P3S8,-0.819032035289857
K2P3S9,-0.8130553944877761
K2P3S10,-0.8134846488497878
K2P3S11,-0.8123453266943839
K2P3S12,-0.8098532758573556
K2P3S13,-0.8059434259515287
K2P3S14,-0.8012151856611138
K2P3S15,-0.7960909592210271
K2P4S1,-0.7168462071086212
K2P4S3,-0.7048519161141258
K2P4S5,-0.8227401344000913
K2P4S7,-0.8063148306955977
K2P4S9,-0.8090246684292004
K2P4S11,-0.8199949305599231
K2P4S13,-0.8220228173475559
K2P5S0,-0.37323483570263916
K2P5S1,-0.66912274461113
K2P5S2,-0.6709541618225696
K2P5S3,-0.6641898134726058
K2P5S4,-0.653055997172056
K2P5S5,-0.7052114964377665
K2P5S6,-0.7984245015922145
K2P5S7,-0.791530783982124
K2P5S8,-0.7994443283701688
K2P5S9,-0.8039955436691832
K2P5S10,-0.8156509220830674
K2P5S11,-0.8243891258991769
K2P5S12,-0.8304579542073206
K2P5S13,-0.8337445967231126
K2P6S1,-0.6324587497271653
K2P6S3,-0.6329477166936298
K2P6S5,-0.6189706544257578
K2P6S7,-0.7783669034448885
K2P6S9,-0.7983230534693959
K2P6S11,-0.8263774897437187
K2P7S0,-0.31987311701217147
K2P7S1,-0.6032014845801821
K2P7S2,-0.6077467139734208
K2P7S3,-0.6068425746527403
K2P7S4,-0.6028671246163705
K2P7S5,-0.5986712551271698
K2P7S6,-0.6056155111460663
K2P7S7,-0.6653407018430708
K2P7S8,-0.7796477811439662
K2P7S9,-0.7907477838526917
K2P7S10,-0.8095884722574838
K2P7S11,-0.8251415188003334
K2P8S1,-0.5793183368577537
K2P8S3,-0.5844537587168673
K2P8S5,-0.5802502913588807
K2P8S7,-0.5916214931694865
K2P8S9,-0.781812665478264
K2P9S0,-0.2971288175115234
K2P9S1,-0.560066231751453
K2P9S2,-0.5649465735351378
K2P9S3,-0.5663149422598379
K2P9S4,-0.5655305522112288
K2P9S5,-0.5650206971566858
K2P9S6,-0.5756741972281381
K2P9S7,-0.5796241346741555
K2P9S8,-0.5989356305207486
K2P9S9,-0.6713248923513359
K2P10S1,-0.5442168722282226
K2P10S3,-0.551319213435404
K2P10S5,-0.5523192130110257
K2P10S7,-0.5694221566877972
K2P11S0,-0.2885702289237798
K2P11S1,-0.5305458330922884
K2P11S2,-0.5353384620957294
K2P11S3,-0.5378621285408378
K2P11S4,-0.5388509797780083
K2P11S5,-0.540485747729278
K2P11S6,-0.5531370357280985
K2P11S7,-0.5594400978413027
K2P12S1,-0.5186965756966635
K2P12S3,-0.5258367455299655
K2P12S5,-0.5295971085674906
K2P13S0,-0.28631467959146784
K2P13S1,-0.5087167886962374
K2P13S2,-0.5129572710761381
K2P13S3,-0.5158493422528749
K2P13S4,-0.5178119754587093
