formula,target
La0P0S1,-0.0006458160536697566
La0P1S0,0.11996618979040541
La0P1S1,-0.2795319558397885
La0P1S2,-0.28594184755064134
La0P1S3,-0.2595276771795937
La0P1S4,-0.238233071935526
La0P1S5,-0.22252818072220437
La0P1S6,-0.2112128938499065
La0P1S7,-0.20323407962989715
La0P1S8,-0.19782970236223618
La0P1S9,-0.1944630234876803
La0P1S10,-0.1927524275076976
La0P1S11,-0.19242117173628281
La0P1S12,-0.19326395988080125
La0P1S13,-0.19512492791155522
La0P1S14,-0.19788300942218018
La0P1S15,-0.2014420524105709
La0P2S1,-0.21505402580236788
La0P2S3,-0.3031442808343807
La0P2S5,-0.2821781676813986
La0P2S7,-0.2634371009657208
La0P2S9,-0.2517696169689496
La0P2S11,-0.24629292195458063
La0P2S13,-0.24578654963367885
La0P2S15,-0.24929026661262765
La0P3S1,-0.17477145778975767
La0P3S2,-0.24228365087786807
La0P3S4,-0.31188939437469754
La0P3S5,-0.3093792823008341
La0P3S7,-0.2993861395675451
La0P3S8,-0.2946782785529942
La0P3S10,-0.2879436092347405
La0P3S11,-0.28608943412907506
La0P3S13,-0.2853304861793736
La0P3S14,-0.28632570730610607
La0P4S1,-0.14508402676503196
La0P4S3,-0.2550441717378913
La0P4S5,-0.32031171970035766
La0P4S7,-0.32079442333018016
La0P4S9,-0.31772078841983786
La0P4S11,-0.31586186102199576
La0P4S13,-0.3165614834853905
La0P4S15,-0.32007113377902807
La0P5S1,-0.12360141484435305
La0P5S2,-0.20109113046699878
La0P5S3,-0.24276650833088276
La0P5S4,-0.2654275014511386
La0P5S6,-0.32975780947555444
La0P5S7,-0.33336915591931715
La0P5S8,-0.3353105648821262
La0P5S9,-0.33647976148684744
La0P5S11,-0.33845822923688085
La0P5S12,-0.3397977878682157
La0P5S13,-0.3415567614286801
La0P5S14,-0.34380274640354025
La0P6S1,-0.10794067417700515
La0P6S5,-0.2758898781722784
La0P6S7,-0.3405508810734762
La0P6S11,-0.35589500706009913
La0P6S13,-0.361859663167478
La0P7S1,-0.09647803694271384
La0P7S2,-0.17062194945644127
La0P7S3,-0.2187199831961213
La0P7S4,-0.25059410571692486
La0P7S5,-0.2721891745644307
La0P7S6,-0.2871867298092968
La0P7S8,-0.3527602784347992
La0P7S9,-0.35930139407247697
La0P7S10,-0.3647657172296581
La0P7S11,-0.36961343687773485
La0P7S12,-0.3741601782085242
La0P7S13,-0.37862332110773167
La0P8S1,-0.08814458446089213
La0P8S3,-0.20870380324313875
La0P8S5,-0.26781114366601866
La0P8S7,-0.29959122575433406
La0P8S9,-0.3663682782692752
La0P8S11,-0.38065384889082254
La0P9S1,-0.08222473941052666
La0P9S2,-0.15090397572348901
La0P9S4,-0.23643399048768232
La0P9S5,-0.2634404602391984
La0P9S7,-0.3002079524079123
La0P9S8,-0.31319495316423285
La0P9S10,-0.381318164955904
La0P9S11,-0.38977423278650314
La0P10S1,-0.07822605780497094
La0P10S3,-0.19341030107492196
La0P10S7,-0.3003295716439377
La0P10S9,-0.32800565087317124
La0P11S1,-0.07579971862968371
La0P11S2,-0.1392587922013615
La0P11S3,-0.18799424208685767
La0P11S4,-0.22598187067522169
La0P11S5,-0.25608194349957314
La0P11S6,-0.2803603537579026
La0P11S7,-0.30032072876573557
La0P11S8,-0.31706732301281115
La0P11S9,-0.3314184715328551
La0P12S1,-0.07469170594431529
La0P12S5,-0.2534126957713725
La0P12S7,-0.30042039853053826
La0P13S1,-0.07471218357841769
La0P13S2,-0.13366101478335246
La0P13S3,-0.18106902598769137
La0P13S4,-0.21966167725005825
La0P13S5,-0.25150080619329185
La0P13S6,-0.2781465831842984
La0P13S7,-0.30078404965827243
La0P14S1,-0.07571579101174497
La0P14S3,-0.17933912599519275
La0P14S5,-0.2503579472057891
La0P15S1,-0.07758864507540997
La0P15S2,-0.13274176468177645
La0P15S4,-0.2172007392622778
La1P0S0,0.049842304512567104
La1P0S1,-2.3656746218896725
La1P0S2,-2.1549555686765554
La1P0S3,-1.6932523338416263
La1P0S4,-1.3373952231751047
La1P0S5,-1.1019880022917297
La1P0S6,-0.9446417013734032
La1P0S7,-0.8342901167204795
La1P0S8,-0.753078255318742
La1P0S9,-0.690850589365867
La1P0S10,-0.6415923583982142
La1P0S11,-0.6015658746200443
La1P0S12,-0.5683437489888704
La1P0S13,-0.5402889659552692
La1P0S14,-0.5162622377310898
La1P0S15,-0.49544979882627294
La1P1S0,-1.7158393574016322
La1P1S1,-1.9516603186680168
La1P1S2,-1.6379737522848354
La1P1S3,-1.3838015656602494
La1P1S4,-1.2285791627456557
La1P1S5,-1.1162011180858773
La1P1S6,-1.0254933187459263
La1P1S7,-0.951362964746262
La1P1S8,-0.8899318164333917
La1P1S9,-0.8382909458118109
La1P1S10,-0.7943558060317668
La1P1S11,-0.7565825356403816
La1P1S12,-0.723636487131095
La1P1S13,-0.6947559838273561
La1P1S14,-0.6693173963869847
La1P1S15,-0.6465813363472166
La1P2S0,-1.3267510120728543
La1P2S1,-1.3268331857191322
La1P2S2,-1.2052120570111837
La1P2S3,-1.1484884211644295
La1P2S4,-1.0901111513513724
La1P2S5,-1.0424444544500653
La1P2S6,-0.9928881706288841
La1P2S7,-0.9452844681209369
La1P2S8,-0.9012205320259077
La1P2S9,-0.8610638256720979
La1P2S10,-0.8247906845650468
