formula,target
Mg0P0S1,-0.0006458160536697566
Mg0P1S0,0.11996618979040541
Mg0P1S1,-0.2795319558397885
Mg0P1S2,-0.28594184755064134
Mg0P1S3,-0.2595276771795937
Mg0P1S4,-0.238233071935526
Mg0P1S5,-0.22252818072220437
Mg0P1S6,-0.2112128938499065
Mg0P1S7,-0.20323407962989715
Mg0P1S8,-0.19782970236223618
Mg0P1S9,-0.1944630234876803
Mg0P1S10,-0.1927524275076976
Mg0P1S11,-0.19242117173628281
Mg0P1S12,-0.19326395988080125
Mg0P1S13,-0.19512492791155522
Mg0P1S14,-0.19788300942218018
Mg0P1S15,-0.2014420524105709
Mg0P2S1,-0.21505402580236788
Mg0P2S3,-0.3031442808343807
Mg0P2S5,-0.2821781676813986
Mg0P2S7,-0.2634371009657208
Mg0P2S9,-0.2517696169689496
Mg0P2S11,-0.24629292195458063
Mg0P2S13,-0.24578654963367885
Mg0P2S15,-0.24929026661262765
Mg0P3S1,-0.17477145778975767
Mg0P3S2,-0.24228365087786807
Mg0P3S4,-0.31188939437469754
Mg0P3S5,-0.3093792823008341
Mg0P3S7,-0.2993861395675451
Mg0P3S8,-0.2946782785529942
Mg0P3S10,-0.2879436092347405
Mg0P3S11,-0.28608943412907506
Mg0P3S13,-0.2853304861793736
Mg0P3S14,-0.28632570730610607
Mg0P4S1,-0.14508402676503196
Mg0P4S3,-0.2550441717378913
Mg0P4S5,-0.32031171970035766
Mg0P4S7,-0.32079442333018016
Mg0P4S9,-0.31772078841983786
Mg0P4S11,-0.31586186102199576
Mg0P4S13,-0.3165614834853905
Mg0P4S15,-0.32007113377902807
Mg0P5S1,-0.12360141484435305
Mg0P5S2,-0.20109113046699878
Mg0P5S3,-0.24276650833088276
Mg0P5S4,-0.2654275014511386
Mg0P5S6,-0.32975780947555444
Mg0P5S7,-0.33336915591931715
Mg0P5S8,-0.3353105648821262
Mg0P5S9,-0.33647976148684744
Mg0P5S11,-0.33845822923688085
Mg0P5S12,-0.3397977878682157
Mg0P5S13,-0.3415567614286801
Mg0P5S14,-0.34380274640354025
Mg0P6S1,-0.10794067417700515
Mg0P6S5,-0.2758898781722784
Mg0P6S7,-0.3405508810734762
Mg0P6S11,-0.35589500706009913
Mg0P6S13,-0.361859663167478
Mg0P7S1,-0.09647803694271384
Mg0P7S2,-0.17062194945644127
Mg0P7S3,-0.2187199831961213
Mg0P7S4,-0.25059410571692486
Mg0P7S5,-0.2721891745644307
Mg0P7S6,-0.2871867298092968
Mg0P7S8,-0.3527602784347992
Mg0P7S9,-0.35930139407247697
Mg0P7S10,-0.3647657172296581
Mg0P7S11,-0.36961343687773485
Mg0P7S12,-0.3741601782085242
Mg0P7S13,-0.37862332110773167
Mg0P8S1,-0.08814458446089213
Mg0P8S3,-0.20870380324313875
Mg0P8S5,-0.26781114366601866
Mg0P8S7,-0.29959122575433406
Mg0P8S9,-0.3663682782692752
Mg0P8S11,-0.38065384889082254
Mg0P9S1,-0.08222473941052666
Mg0P9S2,-0.15090397572348901
Mg0P9S4,-0.23643399048768232
Mg0P9S5,-0.2634404602391984
Mg0P9S7,-0.3002079524079123
Mg0P9S8,-0.31319495316423285
Mg0P9S10,-0.381318164955904
Mg0P9S11,-0.38977423278650314
Mg0P10S1,-0.07822605780497094
Mg0P10S3,-0.19341030107492196
Mg0P10S7,-0.3003295716439377
Mg0P10S9,-0.32800565087317124
Mg0P11S1,-0.07579971862968371
Mg0P11S2,-0.1392587922013615
Mg0P11S3,-0.18799424208685767
Mg0P11S4,-0.22598187067522169
Mg0P11S5,-0.25608194349957314
Mg0P11S6,-0.2803603537579026
Mg0P11S7,-0.30032072876573557
Mg0P11S8,-0.31706732301281115
Mg0P11S9,-0.3314184715328551
Mg0P12S1,-0.07469170594431529
Mg0P12S5,-0.2534126957713725
Mg0P12S7,-0.30042039853053826
Mg0P13S1,-0.07471218357841769
Mg0P13S2,-0.13366101478335246
Mg0P13S3,-0.18106902598769137
Mg0P13S4,-0.21966167725005825
Mg0P13S5,-0.25150080619329185
Mg0P13S6,-0.2781465831842984
Mg0P13S7,-0.30078404965827243
Mg0P14S1,-0.07571579101174497
Mg0P14S3,-0.17933912599519275
Mg0P14S5,-0.2503579472057891
Mg0P15S1,-0.07758864507540997
Mg0P15S2,-0.13274176468177645
Mg0P15S4,-0.2172007392622778
Mg1P0S0,0.10022498587840634
Mg1P0S1,-1.4635194796271094
Mg1P0S2,-1.2720906121181605
Mg1P0S3,-1.0625804874658316
Mg1P0S4,-0.9002913907352766
Mg1P0S5,-0.7824584679403436
Mg1P0S6,-0.6963396252917436
Mg1P0S7,-0.6320759974719785
Mg1P0S8,-0.5830963559782479
Mg1P0S9,-0.5450961706075983
Mg1P0S10,-0.515211663379868
Mg1P0S11,-0.4914900378590188
Mg1P0S12,-0.4725641811072476
Mg1P0S13,-0.457452341591162
Mg1P0S14,-0.4454325568748383
Mg1P0S15,-0.43596215766870994
Mg1P1S0,-0.7072330694237896
Mg1P1S1,-1.1294501610873775
Mg1P1S2,-1.0325111479876505
Mg1P1S3,-0.9516966281482084
Mg1P1S4,-0.896728168732632
Mg1P1S5,-0.8400208561823025
