formula,target
Mo0P0S1,-0.0006458160536697566
Mo0P1S0,0.11996618979040541
Mo0P1S1,-0.2795319558397885
Mo0P1S2,-0.28594184755064134
Mo0P1S3,-0.2595276771795937
Mo0P1S4,-0.238233071935526
Mo0P1S5,-0.22252818072220437
Mo0P1S6,-0.2112128938499065
Mo0P1S7,-0.20323407962989715
Mo0P1S8,-0.19782970236223618
Mo0P1S9,-0.1944630234876803
Mo0P1S10,-0.1927524275076976
Mo0P1S11,-0.19242117173628281
Mo0P1S12,-0.19326395988080125
Mo0P1S13,-0.19512492791155522
Mo0P1S14,-0.19788300942218018
Mo0P1S15,-0.2014420524105709
Mo0P2S1,-0.21505402580236788
Mo0P2S3,-0.3031442808343807
Mo0P2S5,-0.2821781676813986
Mo0P2S7,-0.2634371009657208
Mo0P2S9,-0.2517696169689496
Mo0P2S11,-0.24629292195458063
Mo0P2S13,-0.24578654963367885
Mo0P2S15,-0.24929026661262765
Mo0P3S1,-0.17477145778975767
Mo0P3S2,-0.24228365087786807
Mo0P3S4,-0.31188939437469754
Mo0P3S5,-0.3093792823008341
Mo0P3S7,-0.2993861395675451
Mo0P3S8,-0.2946782785529942
Mo0P3S10,-0.2879436092347405
Mo0P3S11,-0.28608943412907506
Mo0P3S13,-0.2853304861793736
Mo0P3S14,-0.28632570730610607
Mo0P4S1,-0.14508402676503196
Mo0P4S3,-0.2550441717378913
Mo0P4S5,-0.32031171970035766
Mo0P4S7,-0.32079442333018016
Mo0P4S9,-0.31772078841983786
Mo0P4S11,-0.31586186102199576
Mo0P4S13,-0.3165614834853905
Mo0P4S15,-0.32007113377902807
Mo0P5S1,-0.12360141484435305
Mo0P5S2,-0.20109113046699878
Mo0P5S3,-0.24276650833088276
Mo0P5S4,-0.2654275014511386
Mo0P5S6,-0.32975780947555444
Mo0P5S7,-0.33336915591931715
Mo0P5S8,-0.3353105648821262
Mo0P5S9,-0.33647976148684744
Mo0P5S11,-0.33845822923688085
Mo0P5S12,-0.3397977878682157
Mo0P5S13,-0.3415567614286801
Mo0P5S14,-0.34380274640354025
Mo0P6S1,-0.10794067417700515
Mo0P6S5,-0.2758898781722784
Mo0P6S7,-0.3405508810734762
Mo0P6S11,-0.35589500706009913
Mo0P6S13,-0.361859663167478
Mo0P7S1,-0.09647803694271384
Mo0P7S2,-0.17062194945644127
Mo0P7S3,-0.2187199831961213
Mo0P7S4,-0.25059410571692486
Mo0P7S5,-0.2721891745644307
Mo0P7S6,-0.2871867298092968
Mo0P7S8,-0.3527602784347992
Mo0P7S9,-0.35930139407247697
Mo0P7S10,-0.3647657172296581
Mo0P7S11,-0.36961343687773485
Mo0P7S12,-0.3741601782085242
Mo0P7S13,-0.37862332110773167
Mo0P8S1,-0.08814458446089213
Mo0P8S3,-0.20870380324313875
Mo0P8S5,-0.26781114366601866
Mo0P8S7,-0.29959122575433406
Mo0P8S9,-0.3663682782692752
Mo0P8S11,-0.38065384889082254
Mo0P9S1,-0.08222473941052666
Mo0P9S2,-0.15090397572348901
Mo0P9S4,-0.23643399048768232
Mo0P9S5,-0.2634404602391984
Mo0P9S7,-0.3002079524079123
Mo0P9S8,-0.31319495316423285
Mo0P9S10,-0.381318164955904
Mo0P9S11,-0.38977423278650314
Mo0P10S1,-0.07822605780497094
Mo0P10S3,-0.19341030107492196
Mo0P10S7,-0.3003295716439377
Mo0P10S9,-0.32800565087317124
Mo0P11S1,-0.07579971862968371
Mo0P11S2,-0.1392587922013615
Mo0P11S3,-0.18799424208685767
Mo0P11S4,-0.22598187067522169
Mo0P11S5,-0.25608194349957314
Mo0P11S6,-0.2803603537579026
Mo0P11S7,-0.30032072876573557
Mo0P11S8,-0.31706732301281115
Mo0P11S9,-0.3314184715328551
Mo0P12S1,-0.07469170594431529
Mo0P12S5,-0.2534126957713725
Mo0P12S7,-0.30042039853053826
Mo0P13S1,-0.07471218357841769
Mo0P13S2,-0.13366101478335246
Mo0P13S3,-0.18106902598769137
Mo0P13S4,-0.21966167725005825
Mo0P13S5,-0.25150080619329185
Mo0P13S6,-0.2781465831842984
Mo0P13S7,-0.30078404965827243
Mo0P14S1,-0.07571579101174497
Mo0P14S3,-0.17933912599519275
Mo0P14S5,-0.2503579472057891
Mo0P15S1,-0.07758864507540997
Mo0P15S2,-0.13274176468177645
Mo0P15S4,-0.2172007392622778
Mo1P0S0,0.030977670864826168
Mo1P0S1,-0.7528795674385095
Mo1P0S2,-0.8461378779309083
Mo1P0S3,-0.7659347586248948
Mo1P0S4,-0.6509226012025568
Mo1P0S5,-0.5533023861841403
Mo1P0S6,-0.4802934395269596
Mo1P0S7,-0.42723330693587924
Mo1P0S8,-0.38850562219900897
Mo1P0S9,-0.3598103023455457
Mo1P0S10,-0.3381778826619676
Mo1P0S11,-0.3216052589652503
Mo1P0S12,-0.30873547152473313
Mo1P0S13,-0.29863545864765495
Mo1P0S14,-0.290651461364542
Mo1P0S15,-0.2843163538235287
Mo1P1S0,-0.5822923905332668
Mo1P1S1,-0.8094244905964111
Mo1P1S2,-0.8315342332881659
Mo1P1S3,-0.783542470407067
Mo1P1S4,-0.7194362589216785
Mo1P1S5,-0.6603173156532647
Mo1P1S6,-0.6112311739519616
Mo1P1S7,-0.5713894992753732
Mo1P1S8,-0.5392349130850167
Mo1P1S9,-0.5132081395697495
Mo1P1S10,-0.4920791530795863
Mo1P1S11,-0.474604227070199
Mo1P1S12,-0.46017702494113755
Mo1P1S13,-0.4479827446361204
Mo1P1S14,-0.43764509757040115
Mo1P1S15,-0.4287987927072192
Mo1P2S0,-0.5197855563443513
Mo1P2S1,-0.677878962051562
Mo1P2S2,-0.6960004869374599
Mo1P2S3,-0.7138544707477588
Mo1P2S4,-0.6912158658960821
Mo1P2S5,-0.6621018407342414
Mo1P2S6,-0.6330499685477293
Mo1P2S7,-0.6058633376859035
Mo1P2S8,-0.581564518635356
Mo1P2S9,-0.560296100731097
Mo1P2S10,-0.5419711383384364
Mo1P2S11,-0.525930566081535
Mo1P2S12,-0.5121599604176656
Mo1P2S13,-0.49997072854939417
Mo1P2S14,-0.4892324593166406
Mo1P2S15,-0.4796939729345453
Mo1P3S0,-0.4413186109221001
Mo1P3S1,-0.5611383368854013
Mo1P3S2,-0.5812074102690452
Mo1P3S3,-0.6155656884540672
Mo1P3S4,-0.6575964970393258
Mo1P3S5,-0.6510148591715301
Mo1P3S6,-0.6382281043838172
Mo1P3S7,-0.6223394127554258
Mo1P3S8,-0.6059021937594288
Mo1P3S9,-0.590088224613077
Mo1P3S10,-0.5755456795838887
Mo1P3S11,-0.5620454105599572
Mo1P3S12,-0.5500251283164134
Mo1P3S13,-0.5389088641828501
Mo1P3S14,-0.52877016551976
Mo1P3S15,-0.5194662193365117
Mo1P4S0,-0.356987152647926
Mo1P4S1,-0.4722386923057136
Mo1P4S2,-0.5101760943135024
Mo1P4S3,-0.550002689769969
Mo1P4S4,-0.5900237503998353
Mo1P4S5,-0.6408562154193951
Mo1P4S6,-0.6406472985903071
Mo1P4S7,-0.6340755663479888
Mo1P4S8,-0.6245584668022552
Mo1P4S9,-0.6138649941186676
Mo1P4S10,-0.6030964270806918
Mo1P4S11,-0.5923270063018878
Mo1P4S12,-0.5823331842651621
Mo1P4S13,-0.5726273426133575
Mo1P4S14,-0.5634424608809264
Mo1P4S15,-0.5547282525105183
Mo1P5S0,-0.2907527415638034
Mo1P5S1,-0.40717018908140046
Mo1P5S2,-0.4562802751076065
Mo1P5S3,-0.5091800264296308
Mo1P5S4,-0.5452721617483033
Mo1P5S5,-0.5811277211430761
Mo1P5S6,-0.6364692351452306
Mo1P5S7,-0.6375921976203845
Mo1P5S8,-0.6341776327620268
Mo1P5S9,-0.6282917989589129
Mo1P5S10,-0.6212866906028672
Mo1P5S11,-0.6134335359405928
Mo1P5S12,-0.6057496886926921
Mo1P5S13,-0.5978110720124091
Mo1P5S14,-0.5899698064413074
Mo1P6S0,-0.24295891699685068
Mo1P6S1,-0.36006408144627267
Mo1P6S2,-0.41509515983153156
Mo1P6S3,-0.47533722978891246
Mo1P6S4,-0.5197830854653132
Mo1P6S5,-0.5460141283696179
Mo1P6S6,-0.5788244355434077
Mo1P6S7,-0.6359360445802412
Mo1P6S8,-0.6377422529739359
Mo1P6S9,-0.6361754497915854
Mo1P6S10,-0.6327050342082986
Mo1P6S11,-0.6277212513474899
Mo1P6S12,-0.6224068020417688
Mo1P6S13,-0.6163799710750684
Mo1P7S0,-0.2090679215527872
Mo1P7S1,-0.32552554689696045
Mo1P7S2,-0.38309433838395335
Mo1P7S3,-0.4470945021572843
Mo1P7S4,-0.49672296124535664
Mo1P7S5,-0.5286751287750499
Mo1P7S6,-0.548419179156588
Mo1P7S7,-0.5780175345308325
Mo1P7S8,-0.6372443018147053
Mo1P7S9,-0.6394603380020945
Mo1P7S10,-0.6391999677929495
Mo1P7S11,-0.6369175246140125
Mo1P7S12,-0.6339044287960299
Mo1P8S0,-0.18489043353559598
Mo1P8S1,-0.29967448191555157
Mo1P8S2,-0.3577407891896377
Mo1P8S3,-0.42327582818508325
Mo1P8S4,-0.47596822968961483
Mo1P8S5,-0.5118715129649763
Mo1P8S6,-0.5357861961954269
Mo1P8S7,-0.5499440002732621
Mo1P8S8,-0.5781230250154907
Mo1P8S9,-0.6394737819180254
Mo1P8S10,-0.6420696292670522
Mo1P8S11,-0.6422646007519359
Mo1P9S0,-0.16741056267467602
Mo1P9S1,-0.2799022540503695
Mo1P9S2,-0.33727822303504607
Mo1P9S3,-0.4029720833077963
Mo1P9S4,-0.4573029178746968
Mo1P9S5,-0.4958745234121714
Mo1P9S6,-0.5228904331612311
Mo1P9S7,-0.5401831441173482
Mo1P9S8,-0.5510951624023197
Mo1P9S9,-0.5787868276854238
Mo1P9S10,-0.6422655785786677
Mo1P10S0,-0.15459379238140358
Mo1P10S1,-0.2644956701300776
Mo1P10S2,-0.32052969580080537
Mo1P10S3,-0.3855462170660856
Mo1P10S4,-0.4405583823598268
Mo1P10S5,-0.4808691283845812
Mo1P10S6,-0.5101653583959733
Mo1P10S7,-0.5299209278775343
Mo1P10S8,-0.5432962821048346
Mo1P10S9,-0.5521470145605987
Mo1P11S0,-0.145084012869377
Mo1P11S1,-0.2522785400713229
Mo1P11S2,-0.3066281241853126
Mo1P11S3,-0.3704618301999506
Mo1P11S4,-0.42550677076209276
Mo1P11S5,-0.46687768485338255
Mo1P11S6,-0.49782150548656023
Mo1P11S7,-0.5194987070381392
Mo1P11S8,-0.5348857838106071
Mo1P12S0,-0.1379701862305558
Mo1P12S1,-0.24244406497874094
Mo1P12S2,-0.2949508039964549
Mo1P12S3,-0.35730539994844257
Mo1P12S4,-0.4119436826765498
Mo1P12S5,-0.45387657151639393
Mo1P12S6,-0.48597924054748765
Mo1P12S7,-0.5091428887022263
Mo1P13S0,-0.1326305431349687
Mo1P13S1,-0.23442779012640824
Mo1P13S2,-0.285042508921588
Mo1P13S3,-0.34575528441379844
Mo1P13S4,-0.3996910424658948
Mo1P13S5,-0.4418196216607866
Mo1P13S6,-0.4747030427208553
Mo1P14S0,-0.1286327472254084
Mo1P14S1,-0.2278269689464294
Mo1P14S2,-0.276564761157579
Mo1P14S3,-0.33555896822043607
Mo1P14S4,-0.388596122869292
Mo1P14S5,-0.4306513517858529
Mo1P15S0,-0.12567037745400844
Mo1P15S1,-0.2223489050831755
Mo1P15S2,-0.26926200437700043
Mo1P15S3,-0.32651648267272837
Mo1P15S4,-0.3785291220475432
Mo2P0S1,-0.49252261644496265
Mo2P0S3,-0.8258000538314838
Mo2P0S5,-0.8165715595579284
Mo2P0S7,-0.7034289715729192
Mo2P0S9,-0.5877091491235716
Mo2P0S11,-0.4971790003142398
Mo2P0S13,-0.43169872370069884
Mo2P0S15,-0.3852581057627744
Mo2P1S0,-0.42823911040343376
Mo2P1S1,-0.7103564350249585
Mo2P1S2,-0.8337424337966476
Mo2P1S3,-0.8772985218839379
Mo2P1S4,-0.8819624627736775
Mo2P1S5,-0.8551984194435969
Mo2P1S6,-0.8153218864808486
Mo2P1S7,-0.768553820119081
Mo2P1S8,-0.721943537628625
Mo2P1S9,-0.6785883564616408
Mo2P1S10,-0.6396061775588165
Mo2P1S11,-0.6052378007943869
Mo2P1S12,-0.575229210135921
Mo2P1S13,-0.5491168585690145
Mo2P1S14,-0.5263890689678301
Mo2P1S15,-0.5066414561961635
Mo2P2S1,-0.7566201629773095
Mo2P2S3,-0.8387024930636505
Mo2P2S5,-0.8119305164071925
Mo2P2S7,-0.7490616010641882
Mo2P2S9,-0.6807618297809785
Mo2P2S11,-0.6222868060894289
Mo2P2S13,-0.5751528604534029
Mo2P2S15,-0.5375625861237969
Mo2P3S0,-0.5324784097104835
Mo2P3S1,-0.6984181868552624
Mo2P3S2,-0.7409066869735903
Mo2P3S3,-0.7630873599009655
Mo2P3S4,-0.7776851428499748
Mo2P3S5,-0.7624862853020241
Mo2P3S6,-0.7464284908915613
Mo2P3S7,-0.7243026182903987
Mo2P3S8,-0.7002540627587707
Mo2P3S9,-0.6762556592759732
Mo2P3S10,-0.6532249057870803
Mo2P3S11,-0.6316661537559687
Mo2P3S12,-0.6117104771756003
Mo2P3S13,-0.5933022013215469
Mo2P3S14,-0.5763529027763832
Mo2P3S15,-0.5609128473403142
Mo2P4S1,-0.6554939982483297
Mo2P4S3,-0.681447949137667
Mo2P4S5,-0.7136514889563234
Mo2P4S7,-0.6979587923519965
Mo2P4S9,-0.6677654459506988
Mo2P4S11,-0.635648622771904
Mo2P4S13,-0.6055069817152245
Mo2P5S0,-0.486959100912571
Mo2P5S1,-0.599953149029343
Mo2P5S2,-0.6152313219993972
Mo2P5S3,-0.6183651705525568
Mo2P5S4,-0.6205680648684918
Mo2P5S5,-0.6351441435792049
Mo2P5S6,-0.6738840419064687
Mo2P5S7,-0.6719699599421163
Mo2P5S8,-0.6657780280182214
Mo2P5S9,-0.6570033838671455
Mo2P5S10,-0.646770673818396
Mo2P5S11,-0.6358386246509588
Mo2P5S12,-0.6245905748263865
Mo2P5S13,-0.6132229174320774
Mo2P6S1,-0.5423655067156467
Mo2P6S3,-0.5614251605310994
Mo2P6S5,-0.5751348921059315
Mo2P6S7,-0.6472933815910528
Mo2P6S9,-0.6450590975390269
Mo2P6S11,-0.633377729184285
Mo2P7S0,-0.39645194797800754
Mo2P7S1,-0.48934145604359425
Mo2P7S2,-0.5033834162290276
Mo2P7S3,-0.5139321334953811
Mo2P7S4,-0.5283642734867239
Mo2P7S5,-0.5400387222660887
Mo2P7S6,-0.5552553397698042
Mo2P7S7,-0.5826115398882905
Mo2P7S8,-0.6338132576697619
Mo2P7S9,-0.6359119523940029
Mo2P7S10,-0.6351196217822738
Mo2P7S11,-0.6323035798645528
Mo2P8S1,-0.44204245045019785
Mo2P8S3,-0.4727690721941288
Mo2P8S5,-0.5088270924075204
Mo2P8S7,-0.5425680957539287
Mo2P8S9,-0.6260519983761881
Mo2P9S0,-0.3152096402789859
Mo2P9S1,-0.40104881859512664
Mo2P9S2,-0.4195998382336219
Mo2P9S3,-0.4373446014535278
Mo2P9S4,-0.46032967495649646
Mo2P9S5,-0.4811523244202832
Mo2P9S6,-0.5056447620383956
Mo2P9S7,-0.5229012294229354
Mo2P9S8,-0.5343515063159203
Mo2P9S9,-0.5627179623660605
Mo2P10S1,-0.36605819550667085
Mo2P10S3,-0.4069221843719868
Mo2P10S5,-0.4566185763126904
Mo2P10S7,-0.5045859972936012
Mo2P11S0,-0.2541580856297916
Mo2P11S1,-0.3364078136090014
Mo2P11S2,-0.3585131504355945
Mo2P11S3,-0.38077354583288037
Mo2P11S4,-0.40867267673632235
Mo2P11S5,-0.4348404903271974
Mo2P11S6,-0.46477696812230607
Mo2P11S7,-0.48758697189778055
Mo2P12S1,-0.3113451388685352
Mo2P12S3,-0.35824265993776294
Mo2P12S5,-0.4154682851414133
Mo2P13S0,-0.2107498596652927
Mo2P13S1,-0.29015348719220224
Mo2P13S2,-0.31414333606957034
Mo2P13S3,-0.3387653409335276
Mo2P13S4,-0.3691392013427226
Mo2P13S5,-0.39819596224965903
Mo2P14S1,-0.2722011633768694
Mo2P14S3,-0.32186839801647005
Mo2P15S0,-0.1803446130435883
Mo2P15S1,-0.2569532173255855
Mo2P15S2,-0.28157594299873634
Mo2P15S3,-0.30716048264426876
Mo3P0S1,-0.3178969586135134
Mo3P0S2,-0.5964485222646188
Mo3P0S4,-0.7988711303582
Mo3P0S5,-0.8372243169166671
Mo3P0S7,-0.8302003986186816
Mo3P0S8,-0.8011907003987442
Mo3P0S10,-0.7214199943794453
Mo3P0S11,-0.678364549203543
Mo3P0S13,-0.5968234049249953
Mo3P0S14,-0.56031254722828
Mo3P1S0,-0.2870484092096992
Mo3P1S1,-0.5826050545918557
Mo3P1S2,-0.7288622968784958
Mo3P1S3,-0.8322630049782895
Mo3P1S4,-0.8670579907810192
Mo3P1S5,-0.8930694379816667
Mo3P1S6,-0.8957352689110167
Mo3P1S7,-0.8803670668250066
Mo3P1S8,-0.8554632845094173
Mo3P1S9,-0.8238915148012176
Mo3P1S10,-0.7882565890468543
Mo3P1S11,-0.7516958519450595
Mo3P1S12,-0.715877935943183
Mo3P1S13,-0.6818379012838303
Mo3P1S14,-0.6500937028105411
Mo3P1S15,-0.6208934130020163
Mo3P2S0,-0.5084898341179093
Mo3P2S1,-0.6778145242402832
Mo3P2S2,-0.7681237670893604
Mo3P2S3,-0.8324145027089789
Mo3P2S4,-0.8613695124921961
Mo3P2S5,-0.8752601880590697
Mo3P2S6,-0.8720286685441855
Mo3P2S7,-0.8544437229477473
Mo3P2S8,-0.831851885211643
Mo3P2S9,-0.804856574716003
Mo3P2S10,-0.7742924059533807
Mo3P2S11,-0.7430429806944179
Mo3P2S12,-0.7123939012217962
Mo3P2S13,-0.6831491369434174
Mo3P2S14,-0.6556952702902031
Mo3P2S15,-0.6302434577924143
Mo3P3S1,-0.7201828657043392
Mo3P3S2,-0.7838890528145206
Mo3P3S4,-0.8374491883313404
Mo3P3S5,-0.8436048289649083
Mo3P3S7,-0.8209083790029306
Mo3P3S8,-0.8022365853199664
Mo3P3S10,-0.7559102606766612
Mo3P3S11,-0.7302346180329436
Mo3P3S13,-0.6803170282119604
Mo3P3S14,-0.6570748439237754
Mo3P4S0,-0.5268729347134367
Mo3P4S1,-0.6728800658919288
Mo3P4S2,-0.7337359931670755
Mo3P4S3,-0.7617926437869953
Mo3P4S4,-0.7878010359233332
Mo3P4S5,-0.8041136911809075
Mo3P4S6,-0.7985203736207467
Mo3P4S7,-0.7838751489923846
Mo3P4S8,-0.7699408533907284
Mo3P4S9,-0.7543584778264163
Mo3P4S10,-0.7352091150023705
Mo3P4S11,-0.7149920399426777
Mo3P4S12,-0.6946062713858907
Mo3P4S13,-0.6746275192094571
Mo3P5S0,-0.5343613131422997
Mo3P5S1,-0.6624546996639857
Mo3P5S2,-0.7057662849297981
Mo3P5S3,-0.7228783773729897
Mo3P5S4,-0.7268507778532923
Mo3P5S5,-0.7393925100281957
Mo3P5S6,-0.7573361220468836
Mo3P5S7,-0.7460808460525731
Mo3P5S8,-0.7371285681519502
Mo3P5S9,-0.7272637043970558
Mo3P5S10,-0.7135850182702406
Mo3P5S11,-0.6984934612474272
Mo3P5S12,-0.6827989625045191
Mo3P6S1,-0.6380327912000764
Mo3P6S2,-0.6688800778778469
Mo3P6S4,-0.6801376074425092
Mo3P6S5,-0.6756873451930829
Mo3P6S7,-0.7092363104022152
Mo3P6S8,-0.7051354891081636
