formula,target
Pb0P0S1,-0.0006458160536697566
Pb0P1S0,0.11996618979040541
Pb0P1S1,-0.2795319558397885
Pb0P1S2,-0.28594184755064134
Pb0P1S3,-0.2595276771795937
Pb0P1S4,-0.238233071935526
Pb0P1S5,-0.22252818072220437
Pb0P1S6,-0.2112128938499065
Pb0P1S7,-0.20323407962989715
Pb0P1S8,-0.19782970236223618
Pb0P1S9,-0.1944630234876803
Pb0P1S10,-0.1927524275076976
Pb0P1S11,-0.19242117173628281
Pb0P1S12,-0.19326395988080125
Pb0P1S13,-0.19512492791155522
Pb0P1S14,-0.19788300942218018
Pb0P1S15,-0.2014420524105709
Pb0P2S1,-0.21505402580236788
Pb0P2S3,-0.3031442808343807
Pb0P2S5,-0.2821781676813986
Pb0P2S7,-0.2634371009657208
Pb0P2S9,-0.2517696169689496
Pb0P2S11,-0.24629292195458063
Pb0P2S13,-0.24578654963367885
Pb0P2S15,-0.24929026661262765
Pb0P3S1,-0.17477145778975767
Pb0P3S2,-0.24228365087786807
Pb0P3S4,-0.31188939437469754
Pb0P3S5,-0.3093792823008341
Pb0P3S7,-0.2993861395675451
Pb0P3S8,-0.2946782785529942
Pb0P3S10,-0.2879436092347405
Pb0P3S11,-0.28608943412907506
Pb0P3S13,-0.2853304861793736
Pb0P3S14,-0.28632570730610607
Pb0P4S1,-0.14508402676503196
Pb0P4S3,-0.2550441717378913
Pb0P4S5,-0.32031171970035766
Pb0P4S7,-0.32079442333018016
Pb0P4S9,-0.31772078841983786
Pb0P4S11,-0.31586186102199576
Pb0P4S13,-0.3165614834853905
Pb0P4S15,-0.32007113377902807
Pb0P5S1,-0.12360141484435305
Pb0P5S2,-0.20109113046699878
Pb0P5S3,-0.24276650833088276
Pb0P5S4,-0.2654275014511386
Pb0P5S6,-0.32975780947555444
Pb0P5S7,-0.33336915591931715
Pb0P5S8,-0.3353105648821262
Pb0P5S9,-0.33647976148684744
Pb0P5S11,-0.33845822923688085
Pb0P5S12,-0.3397977878682157
Pb0P5S13,-0.3415567614286801
Pb0P5S14,-0.34380274640354025
Pb0P6S1,-0.10794067417700515
Pb0P6S5,-0.2758898781722784
Pb0P6S7,-0.3405508810734762
Pb0P6S11,-0.35589500706009913
Pb0P6S13,-0.361859663167478
Pb0P7S1,-0.09647803694271384
Pb0P7S2,-0.17062194945644127
Pb0P7S3,-0.2187199831961213
Pb0P7S4,-0.25059410571692486
Pb0P7S5,-0.2721891745644307
Pb0P7S6,-0.2871867298092968
Pb0P7S8,-0.3527602784347992
Pb0P7S9,-0.35930139407247697
Pb0P7S10,-0.3647657172296581
Pb0P7S11,-0.36961343687773485
Pb0P7S12,-0.3741601782085242
Pb0P7S13,-0.37862332110773167
Pb0P8S1,-0.08814458446089213
Pb0P8S3,-0.20870380324313875
Pb0P8S5,-0.26781114366601866
Pb0P8S7,-0.29959122575433406
Pb0P8S9,-0.3663682782692752
Pb0P8S11,-0.38065384889082254
Pb0P9S1,-0.08222473941052666
Pb0P9S2,-0.15090397572348901
Pb0P9S4,-0.23643399048768232
Pb0P9S5,-0.2634404602391984
Pb0P9S7,-0.3002079524079123
Pb0P9S8,-0.31319495316423285
Pb0P9S10,-0.381318164955904
Pb0P9S11,-0.38977423278650314
Pb0P10S1,-0.07822605780497094
Pb0P10S3,-0.19341030107492196
Pb0P10S7,-0.3003295716439377
Pb0P10S9,-0.32800565087317124
Pb0P11S1,-0.07579971862968371
Pb0P11S2,-0.1392587922013615
Pb0P11S3,-0.18799424208685767
Pb0P11S4,-0.22598187067522169
Pb0P11S5,-0.25608194349957314
Pb0P11S6,-0.2803603537579026
Pb0P11S7,-0.30032072876573557
Pb0P11S8,-0.31706732301281115
Pb0P11S9,-0.3314184715328551
Pb0P12S1,-0.07469170594431529
Pb0P12S5,-0.2534126957713725
Pb0P12S7,-0.30042039853053826
Pb0P13S1,-0.07471218357841769
Pb0P13S2,-0.13366101478335246
Pb0P13S3,-0.18106902598769137
Pb0P13S4,-0.21966167725005825
Pb0P13S5,-0.25150080619329185
Pb0P13S6,-0.2781465831842984
Pb0P13S7,-0.30078404965827243
Pb0P14S1,-0.07571579101174497
Pb0P14S3,-0.17933912599519275
Pb0P14S5,-0.2503579472057891
Pb0P15S1,-0.07758864507540997
Pb0P15S2,-0.13274176468177645
Pb0P15S4,-0.2172007392622778
Pb1P0S0,0.10014715177865696
Pb1P0S1,-0.5698861067466932
Pb1P0S2,-0.610979673791085
Pb1P0S3,-0.5566517965524282
Pb1P0S4,-0.5018800039597783
Pb1P0S5,-0.4584909342084058
Pb1P0S6,-0.42605344855901783
Pb1P0S7,-0.40212686704414335
Pb1P0S8,-0.38451651147371946
Pb1P0S9,-0.37159168662093534
Pb1P0S10,-0.362196137958819
Pb1P0S11,-0.355514024554506
Pb1P0S12,-0.35096350621358485
Pb1P0S13,-0.348122527221319
Pb1P0S14,-0.34667894732951854
Pb1P0S15,-0.3463972458799752
Pb1P1S0,-0.0878765961561474
Pb1P1S1,-0.45896168639888424
Pb1P1S2,-0.593111277455533
Pb1P1S3,-0.6081637092085831
Pb1P1S4,-0.5961170070796563
Pb1P1S5,-0.5767236894818549
Pb1P1S6,-0.557256597975434
Pb1P1S7,-0.540263126604357
Pb1P1S8,-0.5255732300158619
Pb1P1S9,-0.5132020290181142
Pb1P1S10,-0.5029735564638188
Pb1P1S11,-0.4945993963447257
Pb1P1S12,-0.4878963549818738
Pb1P1S13,-0.482664354546367
Pb1P1S14,-0.478713656990591
Pb1P1S15,-0.4758830669996865
Pb1P2S0,-0.10765877604909302
Pb1P2S1,-0.35404905014946075
Pb1P2S2,-0.5101005723015275
Pb1P2S3,-0.5882620474908384
Pb1P2S4,-0.603600314538733
Pb1P2S5,-0.603099845682525
Pb1P2S6,-0.5962486176978956
Pb1P2S7,-0.5877825778419287
Pb1P2S8,-0.5785139891637322
Pb1P2S9,-0.5694558882885284
Pb1P2S10,-0.5611158412356566
Pb1P2S11,-0.553629809991376
Pb1P2S12,-0.5471534310227087
Pb1P2S13,-0.5417040787309609
Pb1P2S14,-0.5372324427521837
Pb1P2S15,-0.5336745173821448
Pb1P3S0,-0.09605238266574534
Pb1P3S1,-0.30097888380223947
Pb1P3S2,-0.42255927960589534
Pb1P3S3,-0.525034844975683
Pb1P3S4,-0.5913188097626996
Pb1P3S5,-0.60544047229212
Pb1P3S6,-0.6098021210539584
Pb1P3S7,-0.6099106607392547
Pb1P3S8,-0.606951772904325
Pb1P3S9,-0.6024865582816152
Pb1P3S10,-0.5974572075662365
Pb1P3S11,-0.592304502371172
Pb1P3S12,-0.5874428354208004
Pb1P3S13,-0.5830730506408037
Pb1P3S14,-0.5792760666445689
Pb1P3S15,-0.5760848585229159
Pb1P4S0,-0.08597667399277054
Pb1P4S1,-0.26636063761704853
Pb1P4S2,-0.3862461692822917
Pb1P4S3,-0.45724274246247254
Pb1P4S4,-0.5383601013773015
Pb1P4S5,-0.5995209504040329
Pb1P4S6,-0.6126784828455498
Pb1P4S7,-0.6201736148694715
Pb1P4S8,-0.6231015615850906
Pb1P4S9,-0.6232687505324208
Pb1P4S10,-0.6218576766106259
Pb1P4S11,-0.619501173571676
Pb1P4S12,-0.6167896121894882
Pb1P4S13,-0.6140597859459259
Pb1P4S14,-0.611496363854787
Pb1P4S15,-0.6092139651386255
Pb1P5S0,-0.08024742619811032
Pb1P5S1,-0.24398990178280366
Pb1P5S2,-0.3590945192595484
Pb1P5S3,-0.4341881260698853
Pb1P5S4,-0.4819380856378823
Pb1P5S5,-0.551326616085434
Pb1P5S6,-0.6110819751653483
Pb1P5S7,-0.6243126496704405
Pb1P5S8,-0.6323785606646377
Pb1P5S9,-0.6368132573878785
Pb1P5S10,-0.6389094196360415
Pb1P5S11,-0.6394080427398934
Pb1P5S12,-0.6390095895958399
Pb1P5S13,-0.6381444951161526
Pb1P5S14,-0.637074296234202
Pb1P6S0,-0.07793009211024993
Pb1P6S1,-0.22934830579555865
Pb1P6S2,-0.33857428020588876
Pb1P6S3,-0.41488344473391214
Pb1P6S4,-0.4669071548635183
Pb1P6S5,-0.501318298808414
Pb1P6S6,-0.5644943496382429
Pb1P6S7,-0.6251339878710123
Pb1P6S8,-0.6371247299493604
Pb1P6S9,-0.6453470172698862
Pb1P6S10,-0.650682161863187
Pb1P6S11,-0.6539208877512788
Pb1P6S12,-0.6558249767163165
Pb1P6S13,-0.6568846978215467
Pb1P7S0,-0.07790217093229801
Pb1P7S1,-0.219750548803768
Pb1P7S2,-0.32292986407606217
Pb1P7S3,-0.3988342654913797
Pb1P7S4,-0.45329955094853214
Pb1P7S5,-0.49134592635916097
Pb1P7S6,-0.5184494334100331
Pb1P7S7,-0.5788924407463245
Pb1P7S8,-0.6393987911116346
Pb1P7S9,-0.6504278679037453
Pb1P7S10,-0.6586721466058211
Pb1P7S11,-0.6644498798629974
Pb1P7S12,-0.6685495562524791
Pb1P8S0,-0.0793685664236814
Pb1P8S1,-0.21357440708146425
Pb1P8S2,-0.3109612144760894
Pb1P8S3,-0.3855682629955097
Pb1P8S4,-0.44126974134358465
Pb1P8S5,-0.48180501110030227
Pb1P8S6,-0.5118945851276042
Pb1P8S7,-0.5354859597642803
Pb1P8S8,-0.5928933542337369
Pb1P8S9,-0.6536711342597066
Pb1P8S10,-0.6640533779099468
Pb1P8S11,-0.6720637803018066
Pb1P9S0,-0.08182408242791106
Pb1P9S1,-0.20992769113445797
Pb1P9S2,-0.3020367311223512
Pb1P9S3,-0.3749425707274633
Pb1P9S4,-0.43113166382374346
Pb1P9S5,-0.47335817659815504
Pb1P9S6,-0.5057044401145805
Pb1P9S7,-0.5317649230085012
Pb1P9S8,-0.5517520834020232
Pb1P9S9,-0.6070038657760787
Pb1P9S10,-0.6683245287185193
