formula,target
Rb0P0S1,-0.0006458160536697566
Rb0P1S0,0.11996618979040541
Rb0P1S1,-0.2795319558397885
Rb0P1S2,-0.28594184755064134
Rb0P1S3,-0.2595276771795937
Rb0P1S4,-0.238233071935526
Rb0P1S5,-0.22252818072220437
Rb0P1S6,-0.2112128938499065
Rb0P1S7,-0.20323407962989715
Rb0P1S8,-0.19782970236223618
Rb0P1S9,-0.1944630234876803
Rb0P1S10,-0.1927524275076976
Rb0P1S11,-0.19242117173628281
Rb0P1S12,-0.19326395988080125
Rb0P1S13,-0.19512492791155522
Rb0P1S14,-0.19788300942218018
Rb0P1S15,-0.2014420524105709
Rb0P2S1,-0.21505402580236788
Rb0P2S3,-0.3031442808343807
Rb0P2S5,-0.2821781676813986
Rb0P2S7,-0.2634371009657208
Rb0P2S9,-0.2517696169689496
Rb0P2S11,-0.24629292195458063
Rb0P2S13,-0.24578654963367885
Rb0P2S15,-0.24929026661262765
Rb0P3S1,-0.17477145778975767
Rb0P3S2,-0.24228365087786807
Rb0P3S4,-0.31188939437469754
Rb0P3S5,-0.3093792823008341
Rb0P3S7,-0.2993861395675451
Rb0P3S8,-0.2946782785529942
Rb0P3S10,-0.2879436092347405
Rb0P3S11,-0.28608943412907506
Rb0P3S13,-0.2853304861793736
Rb0P3S14,-0.28632570730610607
Rb0P4S1,-0.14508402676503196
Rb0P4S3,-0.2550441717378913
Rb0P4S5,-0.32031171970035766
Rb0P4S7,-0.32079442333018016
Rb0P4S9,-0.31772078841983786
Rb0P4S11,-0.31586186102199576
Rb0P4S13,-0.3165614834853905
Rb0P4S15,-0.32007113377902807
Rb0P5S1,-0.12360141484435305
Rb0P5S2,-0.20109113046699878
Rb0P5S3,-0.24276650833088276
Rb0P5S4,-0.2654275014511386
Rb0P5S6,-0.32975780947555444
Rb0P5S7,-0.33336915591931715
Rb0P5S8,-0.3353105648821262
Rb0P5S9,-0.33647976148684744
Rb0P5S11,-0.33845822923688085
Rb0P5S12,-0.3397977878682157
Rb0P5S13,-0.3415567614286801
Rb0P5S14,-0.34380274640354025
Rb0P6S1,-0.10794067417700515
Rb0P6S5,-0.2758898781722784
Rb0P6S7,-0.3405508810734762
Rb0P6S11,-0.35589500706009913
Rb0P6S13,-0.361859663167478
Rb0P7S1,-0.09647803694271384
Rb0P7S2,-0.17062194945644127
Rb0P7S3,-0.2187199831961213
Rb0P7S4,-0.25059410571692486
Rb0P7S5,-0.2721891745644307
Rb0P7S6,-0.2871867298092968
Rb0P7S8,-0.3527602784347992
Rb0P7S9,-0.35930139407247697
Rb0P7S10,-0.3647657172296581
Rb0P7S11,-0.36961343687773485
Rb0P7S12,-0.3741601782085242
Rb0P7S13,-0.37862332110773167
Rb0P8S1,-0.08814458446089213
Rb0P8S3,-0.20870380324313875
Rb0P8S5,-0.26781114366601866
Rb0P8S7,-0.29959122575433406
Rb0P8S9,-0.3663682782692752
Rb0P8S11,-0.38065384889082254
Rb0P9S1,-0.08222473941052666
Rb0P9S2,-0.15090397572348901
Rb0P9S4,-0.23643399048768232
Rb0P9S5,-0.2634404602391984
Rb0P9S7,-0.3002079524079123
Rb0P9S8,-0.31319495316423285
Rb0P9S10,-0.381318164955904
Rb0P9S11,-0.38977423278650314
Rb0P10S1,-0.07822605780497094
Rb0P10S3,-0.19341030107492196
Rb0P10S7,-0.3003295716439377
Rb0P10S9,-0.32800565087317124
Rb0P11S1,-0.07579971862968371
Rb0P11S2,-0.1392587922013615
Rb0P11S3,-0.18799424208685767
Rb0P11S4,-0.22598187067522169
Rb0P11S5,-0.25608194349957314
Rb0P11S6,-0.2803603537579026
Rb0P11S7,-0.30032072876573557
Rb0P11S8,-0.31706732301281115
Rb0P11S9,-0.3314184715328551
Rb0P12S1,-0.07469170594431529
Rb0P12S5,-0.2534126957713725
Rb0P12S7,-0.30042039853053826
Rb0P13S1,-0.07471218357841769
Rb0P13S2,-0.13366101478335246
Rb0P13S3,-0.18106902598769137
Rb0P13S4,-0.21966167725005825
Rb0P13S5,-0.25150080619329185
Rb0P13S6,-0.2781465831842984
Rb0P13S7,-0.30078404965827243
Rb0P14S1,-0.07571579101174497
Rb0P14S3,-0.17933912599519275
Rb0P14S5,-0.2503579472057891
Rb0P15S1,-0.07758864507540997
Rb0P15S2,-0.13274176468177645
Rb0P15S4,-0.2172007392622778
Rb1P0S0,0.03591892643657002
Rb1P0S1,-1.2588066596602911
Rb1P0S2,-1.0719881535737998
Rb1P0S3,-0.8726402108733935
Rb1P0S4,-0.728519735061644
Rb1P0S5,-0.6354977422399323
Rb1P0S6,-0.5745484522631086
Rb1P0S7,-0.5323720973998485
Rb1P0S8,-0.5015245570241461
Rb1P0S9,-0.47795240864067756
Rb1P0S10,-0.4593692441936774
Rb1P0S11,-0.44441260110577585
Rb1P0S12,-0.4322231784375611
Rb1P0S13,-0.4222303936386125
Rb1P0S14,-0.41403831826975934
Rb1P0S15,-0.4073619211933023
Rb1P1S0,-0.4824387902474121
Rb1P1S1,-0.9983231102079214
Rb1P1S2,-0.9100678004119616
Rb1P1S3,-0.8406001954428461
Rb1P1S4,-0.7860256929893289
Rb1P1S5,-0.7544165370638319
Rb1P1S6,-0.730363562984319
Rb1P1S7,-0.7061337197571889
Rb1P1S8,-0.6828354422806258
Rb1P1S9,-0.6612565395698089
Rb1P1S10,-0.6416501405835202
Rb1P1S11,-0.6240257124115266
Rb1P1S12,-0.6082869493995435
Rb1P1S13,-0.5942980751600719
Rb1P1S14,-0.5819153993662756
Rb1P1S15,-0.5711112408812754
Rb1P2S0,-0.3995689667447071
Rb1P2S1,-0.683884966605202
Rb1P2S2,-0.7088348350721191
Rb1P2S3,-0.7791490434189678
Rb1P2S4,-0.7588207579528444
Rb1P2S5,-0.7561135911020453
Rb1P2S6,-0.7543705927827017
Rb1P2S7,-0.7447225498318093
Rb1P2S8,-0.7307545368746982
Rb1P2S9,-0.7150846747001547
Rb1P2S10,-0.6991190037179706
Rb1P2S11,-0.6836096981589023
Rb1P2S12,-0.6689491783225977
Rb1P2S13,-0.655329362331798
Rb1P2S14,-0.642829857260629
Rb1P2S15,-0.631666944098528
Rb1P3S0,-0.3066346462036076
Rb1P3S1,-0.5870998182146447
Rb1P3S2,-0.5675148851034916
Rb1P3S3,-0.6346340166166311
Rb1P3S4,-0.7339395605607028
Rb1P3S5,-0.7484810791549539
Rb1P3S6,-0.7621090274249145
Rb1P3S7,-0.7641466147848903
Rb1P3S8,-0.7587919282517122
Rb1P3S9,-0.7494126867373683
Rb1P3S10,-0.7379990712228831
Rb1P3S11,-0.7257438430349381
Rb1P3S12,-0.7133676674092125
Rb1P3S13,-0.7013062576952465
Rb1P3S14,-0.6898205510546811
Rb1P3S15,-0.6793356923912353
Rb1P4S0,-0.2591059777295286
Rb1P4S1,-0.526487196530937
Rb1P4S2,-0.5179919837263864
Rb1P4S3,-0.5297747134753903
Rb1P4S4,-0.6023227032446292
Rb1P4S5,-0.7329290456848723
Rb1P4S6,-0.7574574219917418
Rb1P4S7,-0.7688472784700713
Rb1P4S8,-0.7711248238704103
Rb1P4S9,-0.7678537333619169
Rb1P4S10,-0.7612728314369412
Rb1P4S11,-0.7528115638154409
Rb1P4S12,-0.743394682221807
Rb1P4S13,-0.733626241695333
Rb1P4S14,-0.7239030379440496
Rb1P4S15,-0.7148185197850244
