formula,target
Sb0P0S1,-0.0006458160536697566
Sb0P1S0,0.11996618979040541
Sb0P1S1,-0.2795319558397885
Sb0P1S2,-0.28594184755064134
Sb0P1S3,-0.2595276771795937
Sb0P1S4,-0.238233071935526
Sb0P1S5,-0.22252818072220437
Sb0P1S6,-0.2112128938499065
Sb0P1S7,-0.20323407962989715
Sb0P1S8,-0.19782970236223618
Sb0P1S9,-0.1944630234876803
Sb0P1S10,-0.1927524275076976
Sb0P1S11,-0.19242117173628281
Sb0P1S12,-0.19326395988080125
Sb0P1S13,-0.19512492791155522
Sb0P1S14,-0.19788300942218018
Sb0P1S15,-0.2014420524105709
Sb0P2S1,-0.21505402580236788
Sb0P2S3,-0.3031442808343807
Sb0P2S5,-0.2821781676813986
Sb0P2S7,-0.2634371009657208
Sb0P2S9,-0.2517696169689496
Sb0P2S11,-0.24629292195458063
Sb0P2S13,-0.24578654963367885
Sb0P2S15,-0.24929026661262765
Sb0P3S1,-0.17477145778975767
Sb0P3S2,-0.24228365087786807
Sb0P3S4,-0.31188939437469754
Sb0P3S5,-0.3093792823008341
Sb0P3S7,-0.2993861395675451
Sb0P3S8,-0.2946782785529942
Sb0P3S10,-0.2879436092347405
Sb0P3S11,-0.28608943412907506
Sb0P3S13,-0.2853304861793736
Sb0P3S14,-0.28632570730610607
Sb0P4S1,-0.14508402676503196
Sb0P4S3,-0.2550441717378913
Sb0P4S5,-0.32031171970035766
Sb0P4S7,-0.32079442333018016
Sb0P4S9,-0.31772078841983786
Sb0P4S11,-0.31586186102199576
Sb0P4S13,-0.3165614834853905
Sb0P4S15,-0.32007113377902807
Sb0P5S1,-0.12360141484435305
Sb0P5S2,-0.20109113046699878
Sb0P5S3,-0.24276650833088276
Sb0P5S4,-0.2654275014511386
Sb0P5S6,-0.32975780947555444
Sb0P5S7,-0.33336915591931715
Sb0P5S8,-0.3353105648821262
Sb0P5S9,-0.33647976148684744
Sb0P5S11,-0.33845822923688085
Sb0P5S12,-0.3397977878682157
Sb0P5S13,-0.3415567614286801
Sb0P5S14,-0.34380274640354025
Sb0P6S1,-0.10794067417700515
Sb0P6S5,-0.2758898781722784
Sb0P6S7,-0.3405508810734762
Sb0P6S11,-0.35589500706009913
Sb0P6S13,-0.361859663167478
Sb0P7S1,-0.09647803694271384
Sb0P7S2,-0.17062194945644127
Sb0P7S3,-0.2187199831961213
Sb0P7S4,-0.25059410571692486
Sb0P7S5,-0.2721891745644307
Sb0P7S6,-0.2871867298092968
Sb0P7S8,-0.3527602784347992
Sb0P7S9,-0.35930139407247697
Sb0P7S10,-0.3647657172296581
Sb0P7S11,-0.36961343687773485
Sb0P7S12,-0.3741601782085242
Sb0P7S13,-0.37862332110773167
Sb0P8S1,-0.08814458446089213
Sb0P8S3,-0.20870380324313875
Sb0P8S5,-0.26781114366601866
Sb0P8S7,-0.29959122575433406
Sb0P8S9,-0.3663682782692752
Sb0P8S11,-0.38065384889082254
Sb0P9S1,-0.08222473941052666
Sb0P9S2,-0.15090397572348901
Sb0P9S4,-0.23643399048768232
Sb0P9S5,-0.2634404602391984
Sb0P9S7,-0.3002079524079123
Sb0P9S8,-0.31319495316423285
Sb0P9S10,-0.381318164955904
Sb0P9S11,-0.38977423278650314
Sb0P10S1,-0.07822605780497094
Sb0P10S3,-0.19341030107492196
Sb0P10S7,-0.3003295716439377
Sb0P10S9,-0.32800565087317124
Sb0P11S1,-0.07579971862968371
Sb0P11S2,-0.1392587922013615
Sb0P11S3,-0.18799424208685767
Sb0P11S4,-0.22598187067522169
Sb0P11S5,-0.25608194349957314
Sb0P11S6,-0.2803603537579026
Sb0P11S7,-0.30032072876573557
Sb0P11S8,-0.31706732301281115
Sb0P11S9,-0.3314184715328551
Sb0P12S1,-0.07469170594431529
Sb0P12S5,-0.2534126957713725
Sb0P12S7,-0.30042039853053826
Sb0P13S1,-0.07471218357841769
Sb0P13S2,-0.13366101478335246
Sb0P13S3,-0.18106902598769137
Sb0P13S4,-0.21966167725005825
Sb0P13S5,-0.25150080619329185
Sb0P13S6,-0.2781465831842984
Sb0P13S7,-0.30078404965827243
Sb0P14S1,-0.07571579101174497
Sb0P14S3,-0.17933912599519275
Sb0P14S5,-0.2503579472057891
Sb0P15S1,-0.07758864507540997
Sb0P15S2,-0.13274176468177645
Sb0P15S4,-0.2172007392622778
Sb1P0S0,0.03349797080426686
Sb1P0S1,-0.29190839522819745
Sb1P0S2,-0.3185509491340732
Sb1P0S3,-0.31687901587640854
Sb1P0S4,-0.30970190517966534
Sb1P0S5,-0.3027230610780083
Sb1P0S6,-0.29710381156100363
Sb1P0S7,-0.29295280076972063
Sb1P0S8,-0.2901357993934145
Sb1P0S9,-0.2884835733839066
Sb1P0S10,-0.28784410040588226
Sb1P0S11,-0.2880918253354272
Sb1P0S12,-0.2891253753145798
Sb1P0S13,-0.29086290110771773
Sb1P0S14,-0.29323764562677324
Sb1P0S15,-0.2961943380077354
Sb1P1S0,0.1888624420087861
Sb1P1S1,-0.22209960072394908
Sb1P1S2,-0.3255922012017881
Sb1P1S3,-0.3606960274010391
Sb1P1S4,-0.37284718147021756
Sb1P1S5,-0.3757762298443572
Sb1P1S6,-0.37464882775035957
Sb1P1S7,-0.37212799378859684
Sb1P1S8,-0.36941100816942996
Sb1P1S9,-0.3669687912512378
Sb1P1S10,-0.3651298034669824
Sb1P1S11,-0.36397968762275057
Sb1P1S12,-0.36353746997515
Sb1P1S13,-0.3637900055996167
Sb1P1S14,-0.3647091365927624
Sb1P1S15,-0.36626037153138946
Sb1P2S0,0.1766343465857887
Sb1P2S1,-0.14568228761014224
Sb1P2S2,-0.29067896459929043
Sb1P2S3,-0.36062890203189735
Sb1P2S4,-0.38662267742685874
Sb1P2S5,-0.3993303515563529
Sb1P2S6,-0.4046371556674926
Sb1P2S7,-0.40626302031911776
Sb1P2S8,-0.4061638404203419
Sb1P2S9,-0.4052731899890222
Sb1P2S10,-0.4043095318595047
Sb1P2S11,-0.40357746227002345
Sb1P2S12,-0.4032429358570262
Sb1P2S13,-0.4033924232767846
Sb1P2S14,-0.4040659478630173
Sb1P2S15,-0.4052760549388176
Sb1P3S0,0.14558038183904065
Sb1P3S1,-0.1318928308522762
Sb1P3S2,-0.24538475294999618
Sb1P3S3,-0.33334521137416984
Sb1P3S4,-0.388028379111406
Sb1P3S5,-0.4085976775475999
Sb1P3S6,-0.4200305495542216
Sb1P3S7,-0.42627635231300776
Sb1P3S8,-0.4296145792599101
Sb1P3S9,-0.4312352066686743
Sb1P3S10,-0.4321133342676341
Sb1P3S11,-0.432720905272863
Sb1P3S12,-0.43334838234191686
Sb1P3S13,-0.43417458212211335
Sb1P3S14,-0.4353081416107756
Sb1P3S15,-0.43681279493949277
Sb1P4S0,0.12231911984045651
Sb1P4S1,-0.12483510659073205
Sb1P4S2,-0.23199640357410578
Sb1P4S3,-0.2943270861195957
Sb1P4S4,-0.36300760389165354
Sb1P4S5,-0.4106036245887845
Sb1P4S6,-0.42719760937624984
Sb1P4S7,-0.4377367510190775
Sb1P4S8,-0.4445598985742064
Sb1P4S9,-0.44895975426009216
Sb1P4S10,-0.45205475203138945
Sb1P4S11,-0.4544255252516163
Sb1P4S12,-0.4564523219667652
Sb1P4S13,-0.458386175982913
Sb1P4S14,-0.46039310985436055
Sb1P4S15,-0.46258224071636445
Sb1P5S0,0.10439651968219077
Sb1P5S1,-0.12141369939360902
Sb1P5S2,-0.2217172481584081
Sb1P5S3,-0.2849369546029108
Sb1P5S4,-0.328245150415464
Sb1P5S5,-0.38698994197671777
Sb1P5S6,-0.43014011544155684
Sb1P5S7,-0.4444150010318655
Sb1P5S8,-0.4544644832121024
Sb1P5S9,-0.461587802487298
Sb1P5S10,-0.46696723035419163
Sb1P5S11,-0.47124460015799763
Sb1P5S12,-0.47485832025517594
Sb1P5S13,-0.478110771005831
Sb1P5S14,-0.481211719079481
Sb1P6S0,0.09004914737520076
Sb1P6S1,-0.11990013940318067
Sb1P6S2,-0.21363586075204533
Sb1P6S3,-0.27642008870192947
Sb1P6S4,-0.3217543471039497
Sb1P6S5,-0.3546785727141961
Sb1P6S6,-0.40685001334630466
Sb1P6S7,-0.44777059218198756
Sb1P6S8,-0.46067492613214556
Sb1P6S9,-0.4703207443284755
Sb1P6S10,-0.4778999588518419
Sb1P6S11,-0.48407991289751573
Sb1P6S12,-0.48933125667494115
Sb1P6S13,-0.49398914316085474
Sb1P7S0,0.07812275869461893
Sb1P7S1,-0.11961306277769423
Sb1P7S2,-0.20737279896661542
