formula,target
Sc0P0S1,-0.0006458160536697566
Sc0P1S0,0.11996618979040541
Sc0P1S1,-0.2795319558397885
Sc0P1S2,-0.28594184755064134
Sc0P1S3,-0.2595276771795937
Sc0P1S4,-0.238233071935526
Sc0P1S5,-0.22252818072220437
Sc0P1S6,-0.2112128938499065
Sc0P1S7,-0.20323407962989715
Sc0P1S8,-0.19782970236223618
Sc0P1S9,-0.1944630234876803
Sc0P1S10,-0.1927524275076976
Sc0P1S11,-0.19242117173628281
Sc0P1S12,-0.19326395988080125
Sc0P1S13,-0.19512492791155522
Sc0P1S14,-0.19788300942218018
Sc0P1S15,-0.2014420524105709
Sc0P2S1,-0.21505402580236788
Sc0P2S3,-0.3031442808343807
Sc0P2S5,-0.2821781676813986
Sc0P2S7,-0.2634371009657208
Sc0P2S9,-0.2517696169689496
Sc0P2S11,-0.24629292195458063
Sc0P2S13,-0.24578654963367885
Sc0P2S15,-0.24929026661262765
Sc0P3S1,-0.17477145778975767
Sc0P3S2,-0.24228365087786807
Sc0P3S4,-0.31188939437469754
Sc0P3S5,-0.3093792823008341
Sc0P3S7,-0.2993861395675451
Sc0P3S8,-0.2946782785529942
Sc0P3S10,-0.2879436092347405
Sc0P3S11,-0.28608943412907506
Sc0P3S13,-0.2853304861793736
Sc0P3S14,-0.28632570730610607
Sc0P4S1,-0.14508402676503196
Sc0P4S3,-0.2550441717378913
Sc0P4S5,-0.32031171970035766
Sc0P4S7,-0.32079442333018016
Sc0P4S9,-0.31772078841983786
Sc0P4S11,-0.31586186102199576
Sc0P4S13,-0.3165614834853905
Sc0P4S15,-0.32007113377902807
Sc0P5S1,-0.12360141484435305
Sc0P5S2,-0.20109113046699878
Sc0P5S3,-0.24276650833088276
Sc0P5S4,-0.2654275014511386
Sc0P5S6,-0.32975780947555444
Sc0P5S7,-0.33336915591931715
Sc0P5S8,-0.3353105648821262
Sc0P5S9,-0.33647976148684744
Sc0P5S11,-0.33845822923688085
Sc0P5S12,-0.3397977878682157
Sc0P5S13,-0.3415567614286801
Sc0P5S14,-0.34380274640354025
Sc0P6S1,-0.10794067417700515
Sc0P6S5,-0.2758898781722784
Sc0P6S7,-0.3405508810734762
Sc0P6S11,-0.35589500706009913
Sc0P6S13,-0.361859663167478
Sc0P7S1,-0.09647803694271384
Sc0P7S2,-0.17062194945644127
Sc0P7S3,-0.2187199831961213
Sc0P7S4,-0.25059410571692486
Sc0P7S5,-0.2721891745644307
Sc0P7S6,-0.2871867298092968
Sc0P7S8,-0.3527602784347992
Sc0P7S9,-0.35930139407247697
Sc0P7S10,-0.3647657172296581
Sc0P7S11,-0.36961343687773485
Sc0P7S12,-0.3741601782085242
Sc0P7S13,-0.37862332110773167
Sc0P8S1,-0.08814458446089213
Sc0P8S3,-0.20870380324313875
Sc0P8S5,-0.26781114366601866
Sc0P8S7,-0.29959122575433406
Sc0P8S9,-0.3663682782692752
Sc0P8S11,-0.38065384889082254
Sc0P9S1,-0.08222473941052666
Sc0P9S2,-0.15090397572348901
Sc0P9S4,-0.23643399048768232
Sc0P9S5,-0.2634404602391984
Sc0P9S7,-0.3002079524079123
Sc0P9S8,-0.31319495316423285
Sc0P9S10,-0.381318164955904
Sc0P9S11,-0.38977423278650314
Sc0P10S1,-0.07822605780497094
Sc0P10S3,-0.19341030107492196
Sc0P10S7,-0.3003295716439377
Sc0P10S9,-0.32800565087317124
Sc0P11S1,-0.07579971862968371
Sc0P11S2,-0.1392587922013615
Sc0P11S3,-0.18799424208685767
Sc0P11S4,-0.22598187067522169
Sc0P11S5,-0.25608194349957314
Sc0P11S6,-0.2803603537579026
Sc0P11S7,-0.30032072876573557
Sc0P11S8,-0.31706732301281115
Sc0P11S9,-0.3314184715328551
Sc0P12S1,-0.07469170594431529
Sc0P12S5,-0.2534126957713725
Sc0P12S7,-0.30042039853053826
Sc0P13S1,-0.07471218357841769
Sc0P13S2,-0.13366101478335246
Sc0P13S3,-0.18106902598769137
Sc0P13S4,-0.21966167725005825
Sc0P13S5,-0.25150080619329185
Sc0P13S6,-0.2781465831842984
Sc0P13S7,-0.30078404965827243
Sc0P14S1,-0.07571579101174497
Sc0P14S3,-0.17933912599519275
Sc0P14S5,-0.2503579472057891
Sc0P15S1,-0.07758864507540997
Sc0P15S2,-0.13274176468177645
Sc0P15S4,-0.2172007392622778
Sc1P0S0,0.0818278719414478
Sc1P0S1,-2.1141673330403288
Sc1P0S2,-1.9128029051002864
Sc1P0S3,-1.5652544157453523
Sc1P0S4,-1.2896736007390677
Sc1P0S5,-1.0920337724002835
Sc1P0S6,-0.9502312536672264
Sc1P0S7,-0.84601797419238
Sc1P0S8,-0.7673499074632151
Sc1P0S9,-0.7065286955320493
Sc1P0S10,-0.6585647051071489
Sc1P0S11,-0.6201368993431587
Sc1P0S12,-0.5889699596081858
Sc1P0S13,-0.563460983637075
Sc1P0S14,-0.5424513980669226
Sc1P0S15,-0.5250840864011062
Sc1P1S0,-1.6039597500764196
Sc1P1S1,-1.7367687637580822
Sc1P1S2,-1.4780920280543233
Sc1P1S3,-1.3083206260438562
Sc1P1S4,-1.1777896163054402
Sc1P1S5,-1.0736943528538123
Sc1P1S6,-0.987251765637542
Sc1P1S7,-0.9163522051044423
Sc1P1S8,-0.8580972265689748
Sc1P1S9,-0.810033566816182
Sc1P1S10,-0.7700778477502792
Sc1P1S11,-0.7365848703875877
Sc1P1S12,-0.7085320933493022
Sc1P1S13,-0.6847820514135814
Sc1P1S14,-0.6645400157393316
Sc1P1S15,-0.6472185634588966
