formula,target
Sn0P0S1,-0.0006458160536697566
Sn0P1S0,0.11996618979040541
Sn0P1S1,-0.2795319558397885
Sn0P1S2,-0.28594184755064134
Sn0P1S3,-0.2595276771795937
Sn0P1S4,-0.238233071935526
Sn0P1S5,-0.22252818072220437
Sn0P1S6,-0.2112128938499065
Sn0P1S7,-0.20323407962989715
Sn0P1S8,-0.19782970236223618
Sn0P1S9,-0.1944630234876803
Sn0P1S10,-0.1927524275076976
Sn0P1S11,-0.19242117173628281
Sn0P1S12,-0.19326395988080125
Sn0P1S13,-0.19512492791155522
Sn0P1S14,-0.19788300942218018
Sn0P1S15,-0.2014420524105709
Sn0P2S1,-0.21505402580236788
Sn0P2S3,-0.3031442808343807
Sn0P2S5,-0.2821781676813986
Sn0P2S7,-0.2634371009657208
Sn0P2S9,-0.2517696169689496
Sn0P2S11,-0.24629292195458063
Sn0P2S13,-0.24578654963367885
Sn0P2S15,-0.24929026661262765
Sn0P3S1,-0.17477145778975767
Sn0P3S2,-0.24228365087786807
Sn0P3S4,-0.31188939437469754
Sn0P3S5,-0.3093792823008341
Sn0P3S7,-0.2993861395675451
Sn0P3S8,-0.2946782785529942
Sn0P3S10,-0.2879436092347405
Sn0P3S11,-0.28608943412907506
Sn0P3S13,-0.2853304861793736
Sn0P3S14,-0.28632570730610607
Sn0P4S1,-0.14508402676503196
Sn0P4S3,-0.2550441717378913
Sn0P4S5,-0.32031171970035766
Sn0P4S7,-0.32079442333018016
Sn0P4S9,-0.31772078841983786
Sn0P4S11,-0.31586186102199576
Sn0P4S13,-0.3165614834853905
Sn0P4S15,-0.32007113377902807
Sn0P5S1,-0.12360141484435305
Sn0P5S2,-0.20109113046699878
Sn0P5S3,-0.24276650833088276
Sn0P5S4,-0.2654275014511386
Sn0P5S6,-0.32975780947555444
Sn0P5S7,-0.33336915591931715
Sn0P5S8,-0.3353105648821262
Sn0P5S9,-0.33647976148684744
Sn0P5S11,-0.33845822923688085
Sn0P5S12,-0.3397977878682157
Sn0P5S13,-0.3415567614286801
Sn0P5S14,-0.34380274640354025
Sn0P6S1,-0.10794067417700515
Sn0P6S5,-0.2758898781722784
Sn0P6S7,-0.3405508810734762
Sn0P6S11,-0.35589500706009913
Sn0P6S13,-0.361859663167478
Sn0P7S1,-0.09647803694271384
Sn0P7S2,-0.17062194945644127
Sn0P7S3,-0.2187199831961213
Sn0P7S4,-0.25059410571692486
Sn0P7S5,-0.2721891745644307
Sn0P7S6,-0.2871867298092968
Sn0P7S8,-0.3527602784347992
Sn0P7S9,-0.35930139407247697
Sn0P7S10,-0.3647657172296581
Sn0P7S11,-0.36961343687773485
Sn0P7S12,-0.3741601782085242
Sn0P7S13,-0.37862332110773167
Sn0P8S1,-0.08814458446089213
Sn0P8S3,-0.20870380324313875
Sn0P8S5,-0.26781114366601866
Sn0P8S7,-0.29959122575433406
Sn0P8S9,-0.3663682782692752
Sn0P8S11,-0.38065384889082254
Sn0P9S1,-0.08222473941052666
Sn0P9S2,-0.15090397572348901
Sn0P9S4,-0.23643399048768232
Sn0P9S5,-0.2634404602391984
Sn0P9S7,-0.3002079524079123
Sn0P9S8,-0.31319495316423285
Sn0P9S10,-0.381318164955904
Sn0P9S11,-0.38977423278650314
Sn0P10S1,-0.07822605780497094
Sn0P10S3,-0.19341030107492196
Sn0P10S7,-0.3003295716439377
Sn0P10S9,-0.32800565087317124
Sn0P11S1,-0.07579971862968371
Sn0P11S2,-0.1392587922013615
Sn0P11S3,-0.18799424208685767
Sn0P11S4,-0.22598187067522169
Sn0P11S5,-0.25608194349957314
Sn0P11S6,-0.2803603537579026
Sn0P11S7,-0.30032072876573557
Sn0P11S8,-0.31706732301281115
Sn0P11S9,-0.3314184715328551
Sn0P12S1,-0.07469170594431529
Sn0P12S5,-0.2534126957713725
Sn0P12S7,-0.30042039853053826
Sn0P13S1,-0.07471218357841769
Sn0P13S2,-0.13366101478335246
Sn0P13S3,-0.18106902598769137
Sn0P13S4,-0.21966167725005825
Sn0P13S5,-0.25150080619329185
Sn0P13S6,-0.2781465831842984
Sn0P13S7,-0.30078404965827243
Sn0P14S1,-0.07571579101174497
Sn0P14S3,-0.17933912599519275
Sn0P14S5,-0.2503579472057891
Sn0P15S1,-0.07758864507540997
Sn0P15S2,-0.13274176468177645
Sn0P15S4,-0.2172007392622778
Sn1P0S0,0.11591873147349085
Sn1P0S1,-0.5212863108899372
Sn1P0S2,-0.5243160549455219
Sn1P0S3,-0.4649165896303302
Sn1P0S4,-0.4097870081405437
Sn1P0S5,-0.3666117145834872
Sn1P0S6,-0.333790595588617
Sn1P0S7,-0.3088581675308073
Sn1P0S8,-0.28984127903046075
Sn1P0S9,-0.27532014836214547
Sn1P0S10,-0.2642913775524822
Sn1P0S11,-0.25603986104248244
Sn1P0S12,-0.2500468434180676
Sn1P0S13,-0.2459279961756663
Sn1P0S14,-0.24339223886192696
Sn1P0S15,-0.2422142147009796
Sn1P1S0,-0.09396609710370507
Sn1P1S1,-0.39610928345050467
Sn1P1S2,-0.4842619581108034
Sn1P1S3,-0.4937442433773269
Sn1P1S4,-0.47935447604193127
Sn1P1S5,-0.4590983463916265
Sn1P1S6,-0.43934860238583173
Sn1P1S7,-0.42144509948660713
Sn1P1S8,-0.4058749637369323
Sn1P1S9,-0.3926858958341549
Sn1P1S10,-0.381703659833297
Sn1P1S11,-0.37278319234558477
Sn1P1S12,-0.3656972483277484
Sn1P1S13,-0.36023873532228046
Sn1P1S14,-0.3562254602402305
Sn1P1S15,-0.3534992664735196
Sn1P2S0,-0.06690803441661486
Sn1P2S1,-0.255770175339604
Sn1P2S2,-0.39413372006407266
Sn1P2S3,-0.4656111445519687
Sn1P2S4,-0.4771005969990998
Sn1P2S5,-0.47485900661738134
Sn1P2S6,-0.46751728348859023
Sn1P2S7,-0.45789609021056177
Sn1P2S8,-0.4477644263390341
Sn1P2S9,-0.43808494139453735
Sn1P2S10,-0.429282086694436
Sn1P2S11,-0.42166196754352836
Sn1P2S12,-0.4152686437426525
Sn1P2S13,-0.41007934529865464
Sn1P2S14,-0.4060385330087687
Sn1P2S15,-0.40307600469229465
Sn1P3S0,-0.04852561096329544
Sn1P3S1,-0.20409171924927783
Sn1P3S2,-0.31340877976126014
Sn1P3S3,-0.4075095627278227
Sn1P3S4,-0.46832178838872696
Sn1P3S5,-0.4798750865289034
Sn1P3S6,-0.48322095447886315
Sn1P3S7,-0.481579328857484
Sn1P3S8,-0.47731548546533564
Sn1P3S9,-0.4719164610823192
Sn1P3S10,-0.46620112786100276
Sn1P3S11,-0.4608005848858203
Sn1P3S12,-0.4559778390332375
Sn1P3S13,-0.4518707323904202
Sn1P3S14,-0.4485420342612567
Sn1P3S15,-0.44600922506301577
Sn1P4S0,-0.03289144808186606
Sn1P4S1,-0.17129208163002674
Sn1P4S2,-0.27931380539323747
Sn1P4S3,-0.3474395445921641
Sn1P4S4,-0.4205752537569263
Sn1P4S5,-0.4773680191689147
Sn1P4S6,-0.4894359852445721
Sn1P4S7,-0.4948911182993925
Sn1P4S8,-0.49627655787222813
Sn1P4S9,-0.4953268644550961
Sn1P4S10,-0.4930873102170146
Sn1P4S11,-0.4903986615839764
Sn1P4S12,-0.48768138814313866
Sn1P4S13,-0.48519767493000465
Sn1P4S14,-0.48310780404775744
Sn1P4S15,-0.4815056320811032
Sn1P5S0,-0.021983388266022752
Sn1P5S1,-0.14933814035169835
Sn1P5S2,-0.2529846283635009
Sn1P5S3,-0.3254568962964721
Sn1P5S4,-0.370826587630974
Sn1P5S5,-0.4335257393036669
Sn1P5S6,-0.4898295710273739
Sn1P5S7,-0.5013152901786734
Sn1P5S8,-0.5078014891403269
Sn1P5S9,-0.5110957508666385
Sn1P5S10,-0.5123507788191836
Sn1P5S11,-0.5125277372001376
Sn1P5S12,-0.5121504278654002
Sn1P5S13,-0.5115696347415591
Sn1P5S14,-0.5110197539334209
Sn1P6S0,-0.014757494827165374
Sn1P6S1,-0.13411101538656522
Sn1P6S2,-0.23248936993543357
Sn1P6S3,-0.30627909187996405
Sn1P6S4,-0.356118388421095
Sn1P6S5,-0.38965213216367744
Sn1P6S6,-0.4474406575648924
Sn1P6S7,-0.5032918157735173
Sn1P6S8,-0.5142254133578145
Sn1P6S9,-0.5213853469536629
Sn1P6S10,-0.5259533498998852
Sn1P6S11,-0.5289470259292355
Sn1P6S12,-0.5309510519272187
Sn1P6S13,-0.53237458231623
Sn1P7S0,-0.010175895757735365
Sn1P7S1,-0.12347037273004147
Sn1P7S2,-0.21655478439656584
Sn1P7S3,-0.2900822212557451
Sn1P7S4,-0.3426732958839619
Sn1P7S5,-0.3799796672040774
Sn1P7S6,-0.40757498381688895
Sn1P7S7,-0.4615544001602271
Sn1P7S8,-0.5175197792463853
Sn1P7S9,-0.5281084883311974
Sn1P7S10,-0.5357120887617695
Sn1P7S11,-0.5413612903797183
Sn1P7S12,-0.5456706007270355
Sn1P8S0,-0.007516250808565328
Sn1P8S1,-0.11605429245395082
Sn1P8S2,-0.20413986842523724
Sn1P8S3,-0.2765897712276324
Sn1P8S4,-0.33058546654376686
Sn1P8S5,-0.37069914866619924
Sn1P8S6,-0.4014658503635774
Sn1P8S7,-0.4244875666838279
Sn1P8S8,-0.475859271151888
Sn1P8S9,-0.5324016680924495
Sn1P8S10,-0.5427324201678227
Sn1P8S11,-0.5508256036208973
Sn1P9S0,-0.006304492041841581
Sn1P9S1,-0.11099561724400075
Sn1P9S2,-0.19447608060270105
Sn1P9S3,-0.2654060897436451
Sn1P9S4,-0.32002354295008106
Sn1P9S5,-0.36207988682807035
Sn1P9S6,-0.39528482347143046
Sn1P9S7,-0.4209603633827098
Sn1P9S8,-0.44078540683557477
Sn1P9S9,-0.49042786981884023
Sn1P9S10,-0.5477518818741957
Sn1P10S0,-0.006228645369594332
Sn1P10S1,-0.10776809576713886
Sn1P10S2,-0.1870729448412961
Sn1P10S3,-0.25627299522755653
Sn1P10S4,-0.3110017409440825
Sn1P10S5,-0.3542842325838562
Sn1P10S6,-0.3894274617565031
Sn1P10S7,-0.41723474144442374
Sn1P10S8,-0.4392910384788359
Sn1P10S9,-0.4569078939338419
Sn1P11S0,-0.007078675023890035
Sn1P11S1,-0.10599849380005644
Sn1P11S2,-0.1815366226456142
Sn1P11S3,-0.248926108014076
Sn1P11S4,-0.30342372804458206
Sn1P11S5,-0.34748805150680895
Sn1P11S6,-0.3840541815138616
Sn1P11S7,-0.4135982466652923
Sn1P11S8,-0.4375086782474007
Sn1P12S0,-0.008708713691751191
Sn1P12S1,-0.10544304050439868
Sn1P12S2,-0.17760047576702065
Sn1P12S3,-0.24318396738856773
Sn1P12S4,-0.2972292344958912
Sn1P12S5,-0.3417502349737409
Sn1P12S6,-0.37932335346956125
Sn1P12S7,-0.41029758141362993
Sn1P13S0,-0.01101383044368398
Sn1P13S1,-0.10588776338817807
Sn1P13S2,-0.17499310643881827
Sn1P13S3,-0.23880560498479042
Sn1P13S4,-0.2922451588002558
Sn1P13S5,-0.33697396113556954
Sn1P13S6,-0.3752681903126789
Sn1P14S0,-0.013915666482428257
Sn1P14S1,-0.10719069449654028
Sn1P14S2,-0.17353303711503953
Sn1P14S3,-0.23563237036729823
Sn1P14S4,-0.28836520022061585
Sn1P14S5,-0.3331135071753618
Sn1P15S0,-0.017353431007749887
Sn1P15S1,-0.1092434716414652
Sn1P15S2,-0.173076702594547
Sn1P15S3,-0.23353268581750775
Sn1P15S4,-0.2854945489918932
Sn2P0S1,-0.28350709072641767
Sn2P0S3,-0.5275205727902033
Sn2P0S5,-0.4827342170536214
Sn2P0S7,-0.4256814548793517
Sn2P0S9,-0.38103801808597637
Sn2P0S11,-0.3496235062426344
Sn2P0S13,-0.32886667903198663
Sn2P0S15,-0.31632016076586245
Sn2P1S0,0.027797709117307168
Sn2P1S1,-0.28538472849879815
Sn2P1S2,-0.4477995157553336
Sn2P1S3,-0.4936778443493658
Sn2P1S4,-0.5079723571861774
Sn2P1S5,-0.5048016062834781
Sn2P1S6,-0.4941627989609031
Sn2P1S7,-0.481001937762606
Sn2P1S8,-0.467330041528076
Sn2P1S9,-0.4543529336620792
Sn2P1S10,-0.4429179188563668
Sn2P1S11,-0.4329536122456963
Sn2P1S12,-0.4244474515586162
Sn2P1S13,-0.4173930745685749
Sn2P1S14,-0.4116861852374375
Sn2P1S15,-0.4072423246383656
Sn2P2S1,-0.2700871220490988
Sn2P2S3,-0.4410125874080476
Sn2P2S5,-0.4844315540003945
Sn2P2S7,-0.48375298736677785
Sn2P2S9,-0.47135071109623494
Sn2P2S11,-0.4588820222017176
Sn2P2S13,-0.44868699795145683
Sn2P2S15,-0.44166375899352484
Sn2P3S0,-0.05412826375164359
Sn2P3S1,-0.20268215392577227
Sn2P3S2,-0.2756255520726818
Sn2P3S3,-0.37061306163602437
Sn2P3S4,-0.4406892955837355
Sn2P3S5,-0.46382383252294346
Sn2P3S6,-0.4757664568904646
Sn2P3S7,-0.48129636260910436
Sn2P3S8,-0.4825549916511256
Sn2P3S9,-0.48140950528653104
Sn2P3S10,-0.47970000330877915
Sn2P3S11,-0.4775090009585342
Sn2P3S12,-0.47514236978043745
Sn2P3S13,-0.47295332514676314
Sn2P3S14,-0.47105491221912865
Sn2P3S15,-0.4695740596271669
Sn2P4S1,-0.17213050203559344
Sn2P4S3,-0.29946964271989407
Sn2P4S5,-0.4447185430024432
Sn2P4S7,-0.47629754388785384
Sn2P4S9,-0.487124254734145
Sn2P4S11,-0.4910979714493474
Sn2P4S13,-0.4920835581449098
Sn2P5S0,-0.04007983327807252
Sn2P5S1,-0.14910571500986203
Sn2P5S2,-0.20948685479469054
Sn2P5S3,-0.27252222446689
Sn2P5S4,-0.32375512602307666
Sn2P5S5,-0.3944614347164389
Sn2P5S6,-0.45403869953978215
Sn2P5S7,-0.4716324922664997
Sn2P5S8,-0.4835182137701606
Sn2P5S9,-0.4915463207810443
Sn2P5S10,-0.4978798748132467
Sn2P5S11,-0.5025739760647132
Sn2P5S12,-0.506031458823283
Sn2P5S13,-0.5087670375381073
Sn2P6S1,-0.13180526395331826
Sn2P6S3,-0.25120120672026425
Sn2P6S5,-0.34422446294500175
Sn2P6S7,-0.466936260990233
Sn2P6S9,-0.49450828208699193
Sn2P6S11,-0.5117966450997858
Sn2P7S0,-0.02423051207422433
Sn2P7S1,-0.1188066844418928
Sn2P7S2,-0.17195533370674176
Sn2P7S3,-0.23407956604331437
Sn2P7S4,-0.2898679043512147
Sn2P7S5,-0.331503216509491
Sn2P7S6,-0.3629888306019937
Sn2P7S7,-0.42267269277636
Sn2P7S8,-0.4812169832991001
Sn2P7S9,-0.49599136378973807
Sn2P7S10,-0.5085279047162542
Sn2P7S11,-0.5187905579681776
Sn2P8S1,-0.1092058238501028
Sn2P8S3,-0.22046905258209093
Sn2P8S5,-0.3205432922037533
Sn2P8S7,-0.381447923717705
Sn2P8S9,-0.496562843864231
Sn2P9S0,-0.014865925441852168
Sn2P9S1,-0.10231136463818924
Sn2P9S2,-0.15022403840346787
Sn2P9S3,-0.20973644834935135
Sn2P9S4,-0.26613579797968423
Sn2P9S5,-0.31120184011621277
Sn2P9S6,-0.3469935392787702
Sn2P9S7,-0.3760770209739026
Sn2P9S8,-0.39932553217442335
Sn2P9S9,-0.45334707047287337
Sn2P10S1,-0.09759969587615513
Sn2P10S3,-0.201393091996233
Sn2P10S5,-0.3032353485986439
Sn2P10S7,-0.3712873333934341
Sn2P11S0,-0.011338869115743666
Sn2P11S1,-0.09464109540068177
Sn2P11S2,-0.13847627044584854
Sn2P11S3,-0.19498150021705496
Sn2P11S4,-0.25047711123983407
Sn2P11S5,-0.2965969209969641
Sn2P11S6,-0.3349489240108102
Sn2P11S7,-0.367031176656086
Sn2P12S1,-0.09317110453395205
Sn2P12S3,-0.19028939635705666
Sn2P12S5,-0.2912722133339073
Sn2P13S0,-0.01228784795374005
Sn2P13S1,-0.09295309575047828
Sn2P13S2,-0.13352060615840833
Sn2P13S3,-0.18707212526140848
Sn2P13S4,-0.24101189390914013
Sn2P13S5,-0.2871379277047007
Sn2P14S1,-0.09380092031733245
Sn2P14S3,-0.1851298905339781
Sn2P15S0,-0.01665458546927967
Sn2P15S1,-0.09556628788467125
Sn2P15S2,-0.1334804244333836
Sn2P15S3,-0.18429843608849839
Sn3P0S1,-0.1603689663939838
Sn3P0S2,-0.3563011832686859
Sn3P0S4,-0.5148175451496992
Sn3P0S5,-0.5129018462070946
Sn3P0S7,-0.4834772380312331
Sn3P0S8,-0.4653946489990777
Sn3P0S10,-0.431577533649125
Sn3P0S11,-0.41706763138957537
Sn3P0S13,-0.393613608372692
Sn3P0S14,-0.38458523216763063
Sn3P1S0,0.08783264801841084
Sn3P1S1,-0.2156815313793976
Sn3P1S2,-0.3407924432525785
Sn3P1S3,-0.4606172712308185
Sn3P1S4,-0.4921999766255247
Sn3P1S5,-0.5080153625942903
Sn3P1S6,-0.511097158999877
Sn3P1S7,-0.5075009114969351
Sn3P1S8,-0.5006152273201796
Sn3P1S9,-0.4921601003829261
Sn3P1S10,-0.48346555435983063
Sn3P1S11,-0.47502101300750665
Sn3P1S12,-0.4672263446068875
Sn3P1S13,-0.4602978371280565
Sn3P1S14,-0.4543762555027707
Sn3P1S15,-0.4495909192154106
Sn3P2S0,-0.0029653453067588487
Sn3P2S1,-0.22032143371618673
Sn3P2S2,-0.3076541536381934
Sn3P2S3,-0.41162146203973193
Sn3P2S4,-0.4487479715870748
Sn3P2S5,-0.47480632340202533
Sn3P2S6,-0.48764961559479547
Sn3P2S7,-0.49285382521783605
Sn3P2S8,-0.4936957615613652
Sn3P2S9,-0.49177141064751373
Sn3P2S10,-0.48865168572940054
Sn3P2S11,-0.484840547961923
Sn3P2S12,-0.48088384572652887
Sn3P2S13,-0.4771266638844631
Sn3P2S14,-0.47385006707762933
Sn3P2S15,-0.4713558502125582
Sn3P3S1,-0.22193436795197918
Sn3P3S2,-0.28714694526899576
Sn3P3S4,-0.41264614385375753
Sn3P3S5,-0.4458760526365323
Sn3P3S7,-0.4782581963608269
Sn3P3S8,-0.4854571796970554
Sn3P3S10,-0.490836032113003
Sn3P3S11,-0.49118311164124695
Sn3P3S13,-0.4899983758294867
Sn3P3S14,-0.4892756034894745
Sn3P4S0,-0.03847043686450968
Sn3P4S1,-0.17289377877307155
Sn3P4S2,-0.22687146037137051
Sn3P4S3,-0.27676567598270596
Sn3P4S4,-0.35361203470344127
Sn3P4S5,-0.421013343814474
