formula,target
Y0P0S1,-0.0006458160536697566
Y0P1S0,0.11996618979040541
Y0P1S1,-0.2795319558397885
Y0P1S2,-0.28594184755064134
Y0P1S3,-0.2595276771795937
Y0P1S4,-0.238233071935526
Y0P1S5,-0.22252818072220437
Y0P1S6,-0.2112128938499065
Y0P1S7,-0.20323407962989715
Y0P1S8,-0.19782970236223618
Y0P1S9,-0.1944630234876803
Y0P1S10,-0.1927524275076976
Y0P1S11,-0.19242117173628281
Y0P1S12,-0.19326395988080125
Y0P1S13,-0.19512492791155522
Y0P1S14,-0.19788300942218018
Y0P1S15,-0.2014420524105709
Y0P2S1,-0.21505402580236788
Y0P2S3,-0.3031442808343807
Y0P2S5,-0.2821781676813986
Y0P2S7,-0.2634371009657208
Y0P2S9,-0.2517696169689496
Y0P2S11,-0.24629292195458063
Y0P2S13,-0.24578654963367885
Y0P2S15,-0.24929026661262765
Y0P3S1,-0.17477145778975767
Y0P3S2,-0.24228365087786807
Y0P3S4,-0.31188939437469754
Y0P3S5,-0.3093792823008341
Y0P3S7,-0.2993861395675451
Y0P3S8,-0.2946782785529942
Y0P3S10,-0.2879436092347405
Y0P3S11,-0.28608943412907506
Y0P3S13,-0.2853304861793736
Y0P3S14,-0.28632570730610607
Y0P4S1,-0.14508402676503196
Y0P4S3,-0.2550441717378913
Y0P4S5,-0.32031171970035766
Y0P4S7,-0.32079442333018016
Y0P4S9,-0.31772078841983786
Y0P4S11,-0.31586186102199576
Y0P4S13,-0.3165614834853905
Y0P4S15,-0.32007113377902807
Y0P5S1,-0.12360141484435305
Y0P5S2,-0.20109113046699878
Y0P5S3,-0.24276650833088276
Y0P5S4,-0.2654275014511386
Y0P5S6,-0.32975780947555444
Y0P5S7,-0.33336915591931715
Y0P5S8,-0.3353105648821262
Y0P5S9,-0.33647976148684744
Y0P5S11,-0.33845822923688085
Y0P5S12,-0.3397977878682157
Y0P5S13,-0.3415567614286801
Y0P5S14,-0.34380274640354025
Y0P6S1,-0.10794067417700515
Y0P6S5,-0.2758898781722784
Y0P6S7,-0.3405508810734762
Y0P6S11,-0.35589500706009913
Y0P6S13,-0.361859663167478
Y0P7S1,-0.09647803694271384
Y0P7S2,-0.17062194945644127
Y0P7S3,-0.2187199831961213
Y0P7S4,-0.25059410571692486
Y0P7S5,-0.2721891745644307
Y0P7S6,-0.2871867298092968
Y0P7S8,-0.3527602784347992
Y0P7S9,-0.35930139407247697
Y0P7S10,-0.3647657172296581
Y0P7S11,-0.36961343687773485
Y0P7S12,-0.3741601782085242
Y0P7S13,-0.37862332110773167
Y0P8S1,-0.08814458446089213
Y0P8S3,-0.20870380324313875
Y0P8S5,-0.26781114366601866
Y0P8S7,-0.29959122575433406
Y0P8S9,-0.3663682782692752
Y0P8S11,-0.38065384889082254
Y0P9S1,-0.08222473941052666
Y0P9S2,-0.15090397572348901
Y0P9S4,-0.23643399048768232
Y0P9S5,-0.2634404602391984
Y0P9S7,-0.3002079524079123
Y0P9S8,-0.31319495316423285
Y0P9S10,-0.381318164955904
Y0P9S11,-0.38977423278650314
Y0P10S1,-0.07822605780497094
Y0P10S3,-0.19341030107492196
Y0P10S7,-0.3003295716439377
Y0P10S9,-0.32800565087317124
Y0P11S1,-0.07579971862968371
Y0P11S2,-0.1392587922013615
Y0P11S3,-0.18799424208685767
Y0P11S4,-0.22598187067522169
Y0P11S5,-0.25608194349957314
Y0P11S6,-0.2803603537579026
Y0P11S7,-0.30032072876573557
Y0P11S8,-0.31706732301281115
Y0P11S9,-0.3314184715328551
Y0P12S1,-0.07469170594431529
Y0P12S5,-0.2534126957713725
Y0P12S7,-0.30042039853053826
Y0P13S1,-0.07471218357841769
Y0P13S2,-0.13366101478335246
Y0P13S3,-0.18106902598769137
Y0P13S4,-0.21966167725005825
Y0P13S5,-0.25150080619329185
Y0P13S6,-0.2781465831842984
Y0P13S7,-0.30078404965827243
Y0P14S1,-0.07571579101174497
Y0P14S3,-0.17933912599519275
Y0P14S5,-0.2503579472057891
Y0P15S1,-0.07758864507540997
Y0P15S2,-0.13274176468177645
Y0P15S4,-0.2172007392622778
Y1P0S0,0.10031858191037624
Y1P0S1,-2.3307492332493753
Y1P0S2,-2.0827224961028836
Y1P0S3,-1.652332238363618
Y1P0S4,-1.3195542791495172
Y1P0S5,-1.0932957339409812
Y1P0S6,-0.938193337292776
Y1P0S7,-0.8278159158597834
Y1P0S8,-0.7462171367852014
Y1P0S9,-0.6838975621401107
Y1P0S10,-0.6350198052144033
Y1P0S11,-0.595853254234995
Y1P0S12,-0.563921999128922
Y1P0S13,-0.5375264294404339
Y1P0S14,-0.5154650031700772
Y1P0S15,-0.49686648166584535
Y1P1S0,-1.7572902930522178
Y1P1S1,-1.9043613181875607
Y1P1S2,-1.5509002179717188
Y1P1S3,-1.3387076903121709
Y1P1S4,-1.1934625044723786
Y1P1S5,-1.0843951158269163
Y1P1S6,-0.9950188083599368
Y1P1S7,-0.9220298044462263
Y1P1S8,-0.8620169465040093
Y1P1S9,-0.8121729831752189
Y1P1S10,-0.7703359389365243
Y1P1S11,-0.7348684608171185
Y1P1S12,-0.7046326145569952
Y1P1S13,-0.6789424250026201
Y1P1S14,-0.6566181240344877
Y1P1S15,-0.6370082499822106
Y1P2S0,-1.3065406099315173
Y1P2S1,-1.2647368283089655
Y1P2S2,-1.1324381637459942
Y1P2S3,-1.103873632600373
Y1P2S4,-1.049684357212517
Y1P2S5,-1.0036673613201192
Y1P2S6,-0.9554666576170172
Y1P2S7,-0.9096753691586034
Y1P2S8,-0.8678823262272818
Y1P2S9,-0.8303846054918053
Y1P2S10,-0.7969720484916398
Y1P2S11,-0.7672592895205479
Y1P2S12,-0.7410109468727251
Y1P2S13,-0.7182941976937456
Y1P2S14,-0.6979640255219217
Y1P2S15,-0.6795602138418009
Y1P3S0,-0.9499819227746811
Y1P3S1,-0.9613460831938567
Y1P3S2,-0.859647008539324
Y1P3S3,-0.8761049437356268
Y1P3S4,-0.9437573292167941
Y1P3S5,-0.9352032485985918
Y1P3S6,-0.9146769285244782
Y1P3S7,-0.8891461337983084
Y1P3S8,-0.862198426128312
Y1P3S9,-0.8356182718237988
Y1P3S10,-0.8102650161930355
Y1P3S11,-0.7865163303962642
Y1P3S12,-0.7647472857244042
Y1P3S13,-0.7455784224119614
Y1P3S14,-0.7278955442094484
Y1P3S15,-0.7113927679773069
Y1P4S0,-0.7158439808576949
Y1P4S1,-0.7745649552615265
Y1P4S2,-0.7196485488011094
Y1P4S3,-0.720856539080045
Y1P4S4,-0.7842806283428901
Y1P4S5,-0.8772423609026341
Y1P4S6,-0.8756367647969738
Y1P4S7,-0.8651946797822496
Y1P4S8,-0.8501189458362952
Y1P4S9,-0.832832282728591
Y1P4S10,-0.814743633204213
Y1P4S11,-0.7966735485208561
Y1P4S12,-0.7793943284000061
Y1P4S13,-0.7639206993528462
Y1P4S14,-0.7491557236894247
Y1P4S15,-0.7349091933955465
Y1P5S0,-0.5694842547544301
Y1P5S1,-0.6535309686987398
Y1P5S2,-0.6242281407731789
Y1P5S3,-0.6428242881947371
Y1P5S4,-0.6768778948563008
Y1P5S5,-0.7457031745787117
Y1P5S6,-0.8394921750961686
Y1P5S7,-0.8403246980898835
Y1P5S8,-0.8346703297130986
Y1P5S9,-0.8251469906506665
Y1P5S10,-0.8134107608845433
Y1P5S11,-0.8005210091044492
Y1P5S12,-0.7874980602684505
Y1P5S13,-0.7756305369846657
Y1P5S14,-0.7638258480294787
Y1P6S0,-0.474353337772221
Y1P6S1,-0.5719676104450189
Y1P6S2,-0.5584017009219362
Y1P6S3,-0.5871366138985545
Y1P6S4,-0.6298588736448564
Y1P6S5,-0.666358365517697
Y1P6S6,-0.7258776837139407
Y1P6S7,-0.8202797584972322
Y1P6S8,-0.8220600001717799
Y1P6S9,-0.8188937062620341
Y1P6S10,-0.8125249427957844
Y1P6S11,-0.8041342014218765
Y1P6S12,-0.7948953674070289
Y1P6S13,-0.7862881725938033
Y1P7S0,-0.40923502683104784
Y1P7S1,-0.5129240812332677
Y1P7S2,-0.5089735329641596
Y1P7S3,-0.5434149343515017
Y1P7S4,-0.5910890164955747
Y1P7S5,-0.6334403387583082
Y1P7S6,-0.6597110347406175
Y1P7S7,-0.7132020486213358
Y1P7S8,-0.8082034365475002
Y1P7S9,-0.8103268158945289
Y1P7S10,-0.8085822463601869
Y1P7S11,-0.8041910400817535
Y1P7S12,-0.7984108583751934
Y1P8S0,-0.3625874945280265
Y1P8S1,-0.4682945625458461
Y1P8S2,-0.47039592008915543
Y1P8S3,-0.5079496514530555
Y1P8S4,-0.5582912692517341
Y1P8S5,-0.604331639682492
Y1P8S6,-0.63519272685636
Y1P8S7,-0.6549774255298025
Y1P8S8,-0.7044481181357585
Y1P8S9,-0.8000127711497429
Y1P8S10,-0.8022315371380627
Y1P8S11,-0.8013683864359334
Y1P9S0,-0.32794257047072106
Y1P9S1,-0.43351806869238674
Y1P9S2,-0.4395579801677134
Y1P9S3,-0.4786902372493219
Y1P9S4,-0.5302831526635681
Y1P9S5,-0.578564083614733
Y1P9S6,-0.6126724165564238
Y1P9S7,-0.6361029175627051
Y1P9S8,-0.6515924795700041
Y1P9S9,-0.6983203860678941
Y1P9S10,-0.7943791900354207
Y1P10S0,-0.3014897058007988
Y1P10S1,-0.40558495061329736
Y1P10S2,-0.4141186919184896
Y1P10S3,-0.4537990830794121
Y1P10S4,-0.5056750229785789
Y1P10S5,-0.5551558957061111
Y1P10S6,-0.5914944043717663
Y1P10S7,-0.6176655588617743
Y1P10S8,-0.6360835940770517
Y1P10S9,-0.6485914338338467
Y1P11S0,-0.28086793063570537
