formula,target
Zn0P0S1,-0.0006458160536697566
Zn0P1S0,0.11996618979040541
Zn0P1S1,-0.2795319558397885
Zn0P1S2,-0.28594184755064134
Zn0P1S3,-0.2595276771795937
Zn0P1S4,-0.238233071935526
Zn0P1S5,-0.22252818072220437
Zn0P1S6,-0.2112128938499065
Zn0P1S7,-0.20323407962989715
Zn0P1S8,-0.19782970236223618
Zn0P1S9,-0.1944630234876803
Zn0P1S10,-0.1927524275076976
Zn0P1S11,-0.19242117173628281
Zn0P1S12,-0.19326395988080125
Zn0P1S13,-0.19512492791155522
Zn0P1S14,-0.19788300942218018
Zn0P1S15,-0.2014420524105709
Zn0P2S1,-0.21505402580236788
Zn0P2S3,-0.3031442808343807
Zn0P2S5,-0.2821781676813986
Zn0P2S7,-0.2634371009657208
Zn0P2S9,-0.2517696169689496
Zn0P2S11,-0.24629292195458063
Zn0P2S13,-0.24578654963367885
Zn0P2S15,-0.24929026661262765
Zn0P3S1,-0.17477145778975767
Zn0P3S2,-0.24228365087786807
Zn0P3S4,-0.31188939437469754
Zn0P3S5,-0.3093792823008341
Zn0P3S7,-0.2993861395675451
Zn0P3S8,-0.2946782785529942
Zn0P3S10,-0.2879436092347405
Zn0P3S11,-0.28608943412907506
Zn0P3S13,-0.2853304861793736
Zn0P3S14,-0.28632570730610607
Zn0P4S1,-0.14508402676503196
Zn0P4S3,-0.2550441717378913
Zn0P4S5,-0.32031171970035766
Zn0P4S7,-0.32079442333018016
Zn0P4S9,-0.31772078841983786
Zn0P4S11,-0.31586186102199576
Zn0P4S13,-0.3165614834853905
Zn0P4S15,-0.32007113377902807
Zn0P5S1,-0.12360141484435305
Zn0P5S2,-0.20109113046699878
Zn0P5S3,-0.24276650833088276
Zn0P5S4,-0.2654275014511386
Zn0P5S6,-0.32975780947555444
Zn0P5S7,-0.33336915591931715
Zn0P5S8,-0.3353105648821262
Zn0P5S9,-0.33647976148684744
Zn0P5S11,-0.33845822923688085
Zn0P5S12,-0.3397977878682157
Zn0P5S13,-0.3415567614286801
Zn0P5S14,-0.34380274640354025
Zn0P6S1,-0.10794067417700515
Zn0P6S5,-0.2758898781722784
Zn0P6S7,-0.3405508810734762
Zn0P6S11,-0.35589500706009913
Zn0P6S13,-0.361859663167478
Zn0P7S1,-0.09647803694271384
Zn0P7S2,-0.17062194945644127
Zn0P7S3,-0.2187199831961213
Zn0P7S4,-0.25059410571692486
Zn0P7S5,-0.2721891745644307
Zn0P7S6,-0.2871867298092968
Zn0P7S8,-0.3527602784347992
Zn0P7S9,-0.35930139407247697
Zn0P7S10,-0.3647657172296581
Zn0P7S11,-0.36961343687773485
Zn0P7S12,-0.3741601782085242
Zn0P7S13,-0.37862332110773167
Zn0P8S1,-0.08814458446089213
Zn0P8S3,-0.20870380324313875
Zn0P8S5,-0.26781114366601866
Zn0P8S7,-0.29959122575433406
Zn0P8S9,-0.3663682782692752
Zn0P8S11,-0.38065384889082254
Zn0P9S1,-0.08222473941052666
Zn0P9S2,-0.15090397572348901
Zn0P9S4,-0.23643399048768232
Zn0P9S5,-0.2634404602391984
Zn0P9S7,-0.3002079524079123
Zn0P9S8,-0.31319495316423285
Zn0P9S10,-0.381318164955904
Zn0P9S11,-0.38977423278650314
Zn0P10S1,-0.07822605780497094
Zn0P10S3,-0.19341030107492196
Zn0P10S7,-0.3003295716439377
Zn0P10S9,-0.32800565087317124
Zn0P11S1,-0.07579971862968371
Zn0P11S2,-0.1392587922013615
Zn0P11S3,-0.18799424208685767
Zn0P11S4,-0.22598187067522169
Zn0P11S5,-0.25608194349957314
Zn0P11S6,-0.2803603537579026
Zn0P11S7,-0.30032072876573557
Zn0P11S8,-0.31706732301281115
Zn0P11S9,-0.3314184715328551
Zn0P12S1,-0.07469170594431529
Zn0P12S5,-0.2534126957713725
Zn0P12S7,-0.30042039853053826
Zn0P13S1,-0.07471218357841769
Zn0P13S2,-0.13366101478335246
Zn0P13S3,-0.18106902598769137
Zn0P13S4,-0.21966167725005825
Zn0P13S5,-0.25150080619329185
Zn0P13S6,-0.2781465831842984
Zn0P13S7,-0.30078404965827243
Zn0P14S1,-0.07571579101174497
Zn0P14S3,-0.17933912599519275
Zn0P14S5,-0.2503579472057891
Zn0P15S1,-0.07758864507540997
Zn0P15S2,-0.13274176468177645
Zn0P15S4,-0.2172007392622778
Zn1P0S0,-0.012559039695619001
Zn1P0S1,-0.7873474335898001
Zn1P0S2,-0.7015839789799654
Zn1P0S3,-0.5772524563083665
Zn1P0S4,-0.4811983942476856
Zn1P0S5,-0.4124483210271104
Zn1P0S6,-0.3631795189692796
Zn1P0S7,-0.32724984059900175
Zn1P0S8,-0.3005919989634104
Zn1P0S9,-0.28057372829138416
Zn1P0S10,-0.26546607851362414
Zn1P0S11,-0.2541035939949652
Zn1P0S12,-0.24567790089279207
Zn1P0S13,-0.23961224688620153
Zn1P0S14,-0.2354839197362082
Zn1P0S15,-0.2329751855758243
Zn1P1S0,-0.3870941932006551
Zn1P1S1,-0.610288612389186
Zn1P1S2,-0.5968794054445283
Zn1P1S3,-0.579399474897247
Zn1P1S4,-0.5432489828747855
Zn1P1S5,-0.5099329504359936
Zn1P1S6,-0.48048341093692515
Zn1P1S7,-0.4551094124148778
Zn1P1S8,-0.43385748337346397
Zn1P1S9,-0.416293327831851
Zn1P1S10,-0.40189557190616887
Zn1P1S11,-0.39019824843520967
Zn1P1S12,-0.38080817463793315
