formula,target
Ba0P0S1,-0.23407036915518264
Ba0P1S0,0.002609444083694088
Ba0P1S1,-0.25385020394122554
Ba0P1S2,-0.2310874048153429
Ba0P1S3,-0.211892510823284
Ba0P1S4,-0.2011446531117919
Ba0P1S5,-0.18120884712099047
Ba0P1S6,-0.17035530497205753
Ba0P1S7,-0.1757307844393309
Ba0P1S8,-0.17731344143805114
Ba0P1S9,-0.17770079358769889
Ba0P1S10,-0.17389530669158845
Ba0P1S11,-0.17355469497781204
Ba0P1S12,-0.16992109567515393
Ba0P1S13,-0.1743600745354577
Ba0P1S14,-0.17047913856477204
Ba0P1S15,-0.16530531308457624
Ba0P2S1,-0.09387679610769344
Ba0P2S3,-0.2380716164147514
Ba0P2S5,-0.21472401478353093
Ba0P2S7,-0.1952177966201841
Ba0P2S9,-0.17800007941697107
Ba0P2S11,-0.18262295026526626
Ba0P2S13,-0.18049088119553308
Ba0P2S15,-0.1756215039983752
Ba0P3S1,-0.06426489120148854
Ba0P3S2,-0.07373743954203689
Ba0P3S4,-0.23335333212191142
Ba0P3S5,-0.23181487818211202
Ba0P3S7,-0.21441877812989393
Ba0P3S8,-0.20630427217997013
Ba0P3S10,-0.19437874228944435
Ba0P3S11,-0.1923362896641542
Ba0P3S13,-0.18888199013700435
Ba0P3S14,-0.18511375206187
Ba0P4S1,-0.043931002456899806
Ba0P4S3,-0.05470878676213706
Ba0P4S5,-0.23780494921768117
Ba0P4S7,-0.2218486509633298
Ba0P4S9,-0.21496591927736877
Ba0P4S11,-0.2108710096519065
Ba0P4S13,-0.2006574624394182
Ba0P4S15,-0.19967773371186773
Ba0P5S1,-0.02861491760841495
Ba0P5S2,-0.04291363160552895
Ba0P5S3,-0.06195743016420281
Ba0P5S4,-0.07205993077747841
Ba0P5S6,-0.23143875214873705
Ba0P5S7,-0.23271988643797722
Ba0P5S8,-0.23038656770568622
Ba0P5S9,-0.2329756169126884
Ba0P5S11,-0.2178095276665372
Ba0P5S12,-0.21062817488387092
Ba0P5S13,-0.21117162758988528
Ba0P5S14,-0.2152294109658832
Ba0P6S1,-0.029605153683897788
Ba0P6S5,-0.09173664444779503
Ba0P6S7,-0.2327781160197904
Ba0P6S11,-0.22498635749874496
Ba0P6S13,-0.21647911987871093
Ba0P7S1,-0.031146092942025274
Ba0P7S2,-0.041136186163715865
Ba0P7S3,-0.06349996757021785
Ba0P7S4,-0.08036247561662618
Ba0P7S5,-0.10576620411655765
Ba0P7S6,-0.1099895558481594
Ba0P7S8,-0.23244842425739048
Ba0P7S9,-0.22855643178556917
Ba0P7S10,-0.22986878575856554
Ba0P7S11,-0.21679413691774346
Ba0P7S12,-0.22098976927238576
Ba0P7S13,-0.21625736212095442
Ba0P8S1,-0.03317042843986077
Ba0P8S3,-0.06527487613550877
Ba0P8S5,-0.10578841299101653
Ba0P8S7,-0.1162863534370514
Ba0P8S9,-0.23185104665322648
Ba0P8S11,-0.22268901796579763
Ba0P9S1,-0.04386228882947116
Ba0P9S2,-0.06119468050271019
Ba0P9S4,-0.09663980545345602
Ba0P9S5,-0.10361361887336948
Ba0P9S7,-0.11595385155735215
Ba0P9S8,-0.12114443882154995
Ba0P9S10,-0.22534636553570273
Ba0P9S11,-0.22078142087798686
Ba0P10S1,-0.05221476044119278
Ba0P10S3,-0.0787215358757685
Ba0P10S7,-0.12465483384319494
Ba0P10S9,-0.12938558845700218
Ba0P11S1,-0.06539568875797402
Ba0P11S2,-0.08104019496667761
Ba0P11S3,-0.07983965925239188
Ba0P11S4,-0.08882590606930046
Ba0P11S5,-0.10859886454436514
Ba0P11S6,-0.12382813054649162
Ba0P11S7,-0.12182785440596548
Ba0P11S8,-0.12249108845700216
Ba0P11S9,-0.12930767946599317
Ba0P12S1,-0.0739133190610043
Ba0P12S5,-0.11653008509194619
Ba0P12S7,-0.12204199321890692
Ba0P13S1,-0.07522762100905628
Ba0P13S2,-0.08435733241256503
Ba0P13S3,-0.09966239446162709
Ba0P13S4,-0.10489727108500374
Ba0P13S5,-0.11111736858476917
Ba0P13S6,-0.11890885685527057
Ba0P13S7,-0.11910786994218363
Ba0P14S1,-0.08949044496288025
Ba0P14S3,-0.09246274186422447
Ba0P14S5,-0.1129018687030719
Ba0P15S1,-0.08868234972478499
Ba0P15S2,-0.09441715095513356
Ba0P15S4,-0.09927263846937368
Ba1P0S0,-0.23846056340153654
Ba1P0S1,-1.2498733483516486
Ba1P0S2,-1.1081722458485963
Ba1P0S3,-1.0546451202075706
Ba1P0S4,-0.9290337602245796
Ba1P0S5,-0.7875089450288267
Ba1P0S6,-0.6487227520485704
Ba1P0S7,-0.6089848961109324
Ba1P0S8,-0.5960374769584647
Ba1P0S9,-0.5754709969687606
Ba1P0S10,-0.5599420141935034
Ba1P0S11,-0.5479871807256985
Ba1P0S12,-0.5293471283209568
Ba1P0S13,-0.5070825440792781
Ba1P0S14,-0.4994630164442712
Ba1P0S15,-0.48715149702418326
Ba1P1S0,-1.052333896855922
Ba1P1S1,-1.1459333333333321
Ba1P1S2,-1.1264935434981684
Ba1P1S3,-1.2108400000000017
Ba1P1S4,-0.9699281085858575
Ba1P1S5,-0.8177606288828122
Ba1P1S6,-0.7191002126148708
Ba1P1S7,-0.6843939250626572
Ba1P1S8,-0.6581760840814159
Ba1P1S9,-0.6615458524649418
Ba1P1S10,-0.6541606314676726
Ba1P1S11,-0.6527493313447477
Ba1P1S12,-0.6351361759584073
Ba1P1S13,-0.6225442557764906
Ba1P1S14,-0.5975149452042627
Ba1P1S15,-0.5898203929563215
Ba1P2S0,-0.8910369619325117
Ba1P2S1,-1.1073808086691084
Ba1P2S2,-1.0891175710983456
Ba1P2S3,-0.8973053344877335
Ba1P2S4,-0.7537857142857134
Ba1P2S5,-0.7195470685881373
Ba1P2S6,-0.6824333333333342
Ba1P2S7,-0.6475689855851755
Ba1P2S8,-0.6565935472165266
Ba1P2S9,-0.6566024211003998
Ba1P2S10,-0.6592732923489311
Ba1P2S11,-0.6514917626952687
Ba1P2S12,-0.6482486452814474
Ba1P2S13,-0.632433198236473
Ba1P2S14,-0.6036619356534249
Ba1P2S15,-0.5878196017548329
Ba1P3S0,-0.7082402887945384
Ba1P3S1,-1.02289473028638
Ba1P3S2,-0.8617322128047384
Ba1P3S3,-0.766807472256398
Ba1P3S4,-0.7043799325738592
Ba1P3S5,-0.6794506284043449
Ba1P3S6,-0.6560327174147494
Ba1P3S7,-0.6522392588288909
Ba1P3S8,-0.6521295835993388
Ba1P3S9,-0.6586445146010855
Ba1P3S10,-0.6558173226339883
Ba1P3S11,-0.6486437910188542
Ba1P3S12,-0.6428170274110135
Ba1P3S13,-0.6228621546795999
Ba1P3S14,-0.6156033060086803
Ba1P3S15,-0.601560321890631
Ba1P4S0,-0.5796696295321635
Ba1P4S1,-0.8425221172552588
Ba1P4S2,-0.7363065005772002
Ba1P4S3,-0.698908872993536
Ba1P4S4,-0.6721475803452486
Ba1P4S5,-0.6630583030454931
Ba1P4S6,-0.6556262742390742
Ba1P4S7,-0.6532839284311155
Ba1P4S8,-0.6641704240869214
Ba1P4S9,-0.6585228682935919
Ba1P4S10,-0.6600878288089623
Ba1P4S11,-0.6473498170161452
Ba1P4S12,-0.6305743110740482
Ba1P4S13,-0.6245665517779607
Ba1P4S14,-0.620758534979503
Ba1P4S15,-0.5754576867720514
Ba1P5S0,-0.47429451139490914
Ba1P5S1,-0.7424413832839672
Ba1P5S2,-0.7038265159498571
Ba1P5S3,-0.6745448280179062
Ba1P5S4,-0.6516748920188177
Ba1P5S5,-0.6488702073387573
Ba1P5S6,-0.6595293983787116
Ba1P5S7,-0.6655512222489933
Ba1P5S8,-0.6626409682935921
Ba1P5S9,-0.6636359179484778
Ba1P5S10,-0.6538863283774361
Ba1P5S11,-0.6356212105594957
Ba1P5S12,-0.6318398022503985
Ba1P5S13,-0.6222576841152657
Ba1P5S14,-0.5805002536795162
Ba1P6S0,-0.45334108005128715
Ba1P6S1,-0.7028761411795981
Ba1P6S2,-0.6841208278128483
Ba1P6S3,-0.6489474753412057
Ba1P6S4,-0.6447794393282676
Ba1P6S5,-0.643038177850564
Ba1P6S6,-0.6528829161061853
Ba1P6S7,-0.6651875397221635
Ba1P6S8,-0.6639846664864895
Ba1P6S9,-0.6564771125879626
Ba1P6S10,-0.6389978548368559
Ba1P6S11,-0.6353714498314725
Ba1P6S12,-0.6266866471887248
Ba1P6S13,-0.5813759535173461
Ba1P7S0,-0.43400197724298417
Ba1P7S1,-0.6847518820089445
Ba1P7S2,-0.6574896366194011
Ba1P7S3,-0.6381561082186307
Ba1P7S4,-0.6338068922772622
Ba1P7S5,-0.6452251285741096
Ba1P7S6,-0.6544569047774383
Ba1P7S7,-0.6586753904644378
Ba1P7S8,-0.6541211840321702
Ba1P7S9,-0.6410224946864799
Ba1P7S10,-0.6388493855039872
Ba1P7S11,-0.6320410173297638
Ba1P7S12,-0.5892711353198918
Ba1P8S0,-0.4156869050207619
Ba1P8S1,-0.6594146339326484
Ba1P8S2,-0.646295573381538
Ba1P8S3,-0.6337887375665102
Ba1P8S4,-0.6346103249045075
Ba1P8S5,-0.6417829288880715
Ba1P8S6,-0.6522269026745877
Ba1P8S7,-0.6443624073239114
Ba1P8S8,-0.641498415061839
Ba1P8S9,-0.6367385500597617
Ba1P8S10,-0.6303304515402901
Ba1P8S11,-0.5924928235551858
Ba1P9S0,-0.42732328204863584
Ba1P9S1,-0.6554389111598071
Ba1P9S2,-0.6281658223086687
