formula,target
Co0P0S1,-0.23407036915518264
Co0P1S0,0.002609444083694088
Co0P1S1,-0.25385020394122554
Co0P1S2,-0.2310874048153429
Co0P1S3,-0.211892510823284
Co0P1S4,-0.2011446531117919
Co0P1S5,-0.18120884712099047
Co0P1S6,-0.17035530497205753
Co0P1S7,-0.1757307844393309
Co0P1S8,-0.17731344143805114
Co0P1S9,-0.17770079358769889
Co0P1S10,-0.17389530669158845
Co0P1S11,-0.17355469497781204
Co0P1S12,-0.16992109567515393
Co0P1S13,-0.1743600745354577
Co0P1S14,-0.17047913856477204
Co0P1S15,-0.16530531308457624
Co0P2S1,-0.09387679610769344
Co0P2S3,-0.2380716164147514
Co0P2S5,-0.21472401478353093
Co0P2S7,-0.1952177966201841
Co0P2S9,-0.17800007941697107
Co0P2S11,-0.18262295026526626
Co0P2S13,-0.18049088119553308
Co0P2S15,-0.1756215039983752
Co0P3S1,-0.06426489120148854
Co0P3S2,-0.07373743954203689
Co0P3S4,-0.23335333212191142
Co0P3S5,-0.23181487818211202
Co0P3S7,-0.21441877812989393
Co0P3S8,-0.20630427217997013
Co0P3S10,-0.19437874228944435
Co0P3S11,-0.1923362896641542
Co0P3S13,-0.18888199013700435
Co0P3S14,-0.18511375206187
Co0P4S1,-0.043931002456899806
Co0P4S3,-0.05470878676213706
Co0P4S5,-0.23780494921768117
Co0P4S7,-0.2218486509633298
Co0P4S9,-0.21496591927736877
Co0P4S11,-0.2108710096519065
Co0P4S13,-0.2006574624394182
Co0P4S15,-0.19967773371186773
Co0P5S1,-0.02861491760841495
Co0P5S2,-0.04291363160552895
Co0P5S3,-0.06195743016420281
Co0P5S4,-0.07205993077747841
Co0P5S6,-0.23143875214873705
Co0P5S7,-0.23271988643797722
Co0P5S8,-0.23038656770568622
Co0P5S9,-0.2329756169126884
Co0P5S11,-0.2178095276665372
Co0P5S12,-0.21062817488387092
Co0P5S13,-0.21117162758988528
Co0P5S14,-0.2152294109658832
Co0P6S1,-0.029605153683897788
Co0P6S5,-0.09173664444779503
Co0P6S7,-0.2327781160197904
Co0P6S11,-0.22498635749874496
Co0P6S13,-0.21647911987871093
Co0P7S1,-0.031146092942025274
Co0P7S2,-0.041136186163715865
Co0P7S3,-0.06349996757021785
Co0P7S4,-0.08036247561662618
Co0P7S5,-0.10576620411655765
Co0P7S6,-0.1099895558481594
Co0P7S8,-0.23244842425739048
Co0P7S9,-0.22855643178556917
Co0P7S10,-0.22986878575856554
Co0P7S11,-0.21679413691774346
Co0P7S12,-0.22098976927238576
Co0P7S13,-0.21625736212095442
Co0P8S1,-0.03317042843986077
Co0P8S3,-0.06527487613550877
Co0P8S5,-0.10578841299101653
Co0P8S7,-0.1162863534370514
Co0P8S9,-0.23185104665322648
Co0P8S11,-0.22268901796579763
Co0P9S1,-0.04386228882947116
Co0P9S2,-0.06119468050271019
Co0P9S4,-0.09663980545345602
Co0P9S5,-0.10361361887336948
Co0P9S7,-0.11595385155735215
Co0P9S8,-0.12114443882154995
Co0P9S10,-0.22534636553570273
Co0P9S11,-0.22078142087798686
Co0P10S1,-0.05221476044119278
Co0P10S3,-0.0787215358757685
Co0P10S7,-0.12465483384319494
Co0P10S9,-0.12938558845700218
Co0P11S1,-0.06539568875797402
Co0P11S2,-0.08104019496667761
Co0P11S3,-0.07983965925239188
Co0P11S4,-0.08882590606930046
Co0P11S5,-0.10859886454436514
Co0P11S6,-0.12382813054649162
Co0P11S7,-0.12182785440596548
Co0P11S8,-0.12249108845700216
Co0P11S9,-0.12930767946599317
Co0P12S1,-0.0739133190610043
Co0P12S5,-0.11653008509194619
Co0P12S7,-0.12204199321890692
Co0P13S1,-0.07522762100905628
Co0P13S2,-0.08435733241256503
Co0P13S3,-0.09966239446162709
Co0P13S4,-0.10489727108500374
Co0P13S5,-0.11111736858476917
Co0P13S6,-0.11890885685527057
Co0P13S7,-0.11910786994218363
Co0P14S1,-0.08949044496288025
Co0P14S3,-0.09246274186422447
Co0P14S5,-0.1129018687030719
Co0P15S1,-0.08868234972478499
Co0P15S2,-0.09441715095513356
Co0P15S4,-0.09927263846937368
Co1P0S0,-0.22195404780047098
Co1P0S1,-0.43843937769423524
Co1P0S2,-0.34839392655400175
Co1P0S3,-0.32563271479923594
Co1P0S4,-0.2884134048523114
Co1P0S5,-0.26883199847726214
Co1P0S6,-0.24380018490999014
Co1P0S7,-0.22879923549867737
Co1P0S8,-0.20708677496430283
Co1P0S9,-0.19039277703990187
Co1P0S10,-0.18911977864735874
Co1P0S11,-0.1913468437487949
Co1P0S12,-0.190145157837905
Co1P0S13,-0.1873130564554382
Co1P0S14,-0.18252786195351775
Co1P0S15,-0.1816511878907556
Co1P1S0,-0.12799253354978354
Co1P1S1,-0.6981333333333324
Co1P1S2,-0.4112350424426448
Co1P1S3,-0.33416000000000035
Co1P1S4,-0.34341666666666654
Co1P1S5,-0.2859621895743145
Co1P1S6,-0.22616546111111127
Co1P1S7,-0.20786778946608947
Co1P1S8,-0.2020673759671701
Co1P1S9,-0.1899111451026098
Co1P1S10,-0.18384275751503393
Co1P1S11,-0.18211912432942867
Co1P1S12,-0.19102832200510178
Co1P1S13,-0.14339592313177013
Co1P1S14,-0.14015748741607545
Co1P1S15,-0.13779370315053016
Co1P2S0,-0.019916176334776325
Co1P2S1,-0.3147035906926407
Co1P2S2,-0.3096607871794873
Co1P2S3,-0.3323298328282829
Co1P2S4,-0.2943914946248196
Co1P2S5,-0.2357572983044734
Co1P2S6,-0.2005000000000003
Co1P2S7,-0.19682
Co1P2S8,-0.18972036450673507
Co1P2S9,-0.18321283566629443
Co1P2S10,-0.18512560645955348
Co1P2S11,-0.17819501926071857
Co1P2S12,-0.14534623155724558
Co1P2S13,-0.14300094513496472
Co1P2S14,-0.14086514329768948
Co1P2S15,-0.13670205905549548
Co1P3S0,0.0056427965178096826
Co1P3S1,-0.2391372145021645
Co1P3S2,-0.22637007359307362
Co1P3S3,-0.25159666330613834
Co1P3S4,-0.24370019605182414
Co1P3S5,-0.20800770505050525
Co1P3S6,-0.20250384545454544
Co1P3S7,-0.19721812610722608
Co1P3S8,-0.19210110908960312
Co1P3S9,-0.18540078569730917
Co1P3S10,-0.18187916453701092
Co1P3S11,-0.1633832338108743
Co1P3S12,-0.1457001053221975
Co1P3S13,-0.13955405929067483
Co1P3S14,-0.13140456832946884
Co1P3S15,-0.14574401505769768
Co1P4S0,0.005825153288232246
Co1P4S1,-0.20538069253246738
Co1P4S2,-0.1433255869769119
Co1P4S3,-0.12763195601555308
Co1P4S4,-0.15746114791287147
Co1P4S5,-0.20868462265512266
Co1P4S6,-0.20208654152514147
Co1P4S7,-0.19620672595052
Co1P4S8,-0.19616714254307774
Co1P4S9,-0.1853790768695356
Co1P4S10,-0.1858160420810355
Co1P4S11,-0.14433196566773432
Co1P4S12,-0.13893297767413174
Co1P4S13,-0.14116308727388874
Co1P4S14,-0.14651995717234256
Co1P4S15,-0.1543522475393543
Co1P5S0,0.03529465313968799
Co1P5S1,-0.13313635934343426
Co1P5S2,-0.13769750345634757
Co1P5S3,-0.08244512984792983
Co1P5S4,-0.08064113467186405
Co1P5S5,-0.15073171167133523
Co1P5S6,-0.19793410783334303
Co1P5S7,-0.20094638309011242
Co1P5S8,-0.19468595698158045
Co1P5S9,-0.1942245951630412
Co1P5S10,-0.1494190309784126
Co1P5S11,-0.14864633040488914
Co1P5S12,-0.1474191428843945
Co1P5S13,-0.15217128516076284
Co1P5S14,-0.16213810843418702
Co1P6S0,0.03693400378903865
Co1P6S1,-0.1254140112707554
Co1P6S2,-0.09008422104562103
Co1P6S3,-0.08759765098790095
Co1P6S4,-0.10900322379842377
Co1P6S5,-0.10441856455309395
Co1P6S6,-0.15373974886551356
Co1P6S7,-0.19855041236115095
Co1P6S8,-0.20133080535027395
Co1P6S9,-0.1663179049043147
Co1P6S10,-0.16802785677205478
Co1P6S11,-0.16638324130424095
Co1P6S12,-0.16626006893457418
Co1P6S13,-0.1806901747517704
Co1P7S0,0.03270215746869232
Co1P7S1,-0.0872076262404262
Co1P7S2,-0.09867344903984902
Co1P7S3,-0.1078026594294594
Co1P7S4,-0.10470403906093904
Co1P7S5,-0.11067586578388929
Co1P7S6,-0.09542200339194686
Co1P7S7,-0.15744985375938125
Co1P7S8,-0.17905910211388185
Co1P7S9,-0.180291774586198
Co1P7S10,-0.18721143705059984
Co1P7S11,-0.18737253947078034
Co1P7S12,-0.19492770141597304
Co1P8S0,0.03932564361587848
Co1P8S1,-0.09010792578532577
Co1P8S2,-0.10502626835386833
Co1P8S3,-0.10343229852957499
Co1P8S4,-0.11253468585662701
Co1P8S5,-0.10394490621339442
Co1P8S6,-0.10412061046243057
Co1P8S7,-0.09291170065002076
Co1P8S8,-0.15057759589258343
Co1P8S9,-0.19379938863668142
Co1P8S10,-0.19525785264474085
Co1P8S11,-0.19977406060769287
Co1P9S0,0.03174204144027628
Co1P9S1,-0.0890177897272662
Co1P9S2,-0.10011853460461106
Co1P9S3,-0.10502550150046028
Co1P9S4,-0.10864939340066533
Co1P9S5,-0.11380062731613069
Co1P9S6,-0.09655960522094002
Co1P9S7,-0.09510067232763793
Co1P9S8,-0.10530188214205811
Co1P9S9,-0.1602886473581458
Co1P9S10,-0.20214371631112255
Co1P10S0,0.018110163772845675
Co1P10S1,-0.09206500213707859
Co1P10S2,-0.1059189915182856
Co1P10S3,-0.10832594197464038
Co1P10S4,-0.11416006571983227
Co1P10S5,-0.1041656123945198
Co1P10S6,-0.09477928195493873
Co1P10S7,-0.09804390737716014
Co1P10S8,-0.1056953896876601
Co1P10S9,-0.10541663139935396
Co1P11S0,0.005741294788888452
Co1P11S1,-0.09926264866114275
Co1P11S2,-0.10164682044353991
Co1P11S3,-0.1078481460839126
Co1P11S4,-0.0900803045112266
Co1P11S5,-0.10235548225298949
Co1P11S6,-0.09819995103963802
Co1P11S7,-0.08917942936640243
Co1P11S8,-0.0986432382574082
Co1P12S0,-0.0008385464619659577
Co1P12S1,-0.10192963438749071
Co1P12S2,-0.09968473006659657
Co1P12S3,-0.09492608630545575
Co1P12S4,-0.09461555484680435
Co1P12S5,-0.10429709447040743
Co1P12S6,-0.09164165589446671
Co1P12S7,-0.09036954098063957
Co1P13S0,-0.009878168673088166
Co1P13S1,-0.09472194660794997
Co1P13S2,-0.08984618976865923
Co1P13S3,-0.08972170865378169
Co1P13S4,-0.09364283236383496
Co1P13S5,-0.09539735499851024
Co1P13S6,-0.08859781504816133
Co1P14S0,-0.024613740101659575
Co1P14S1,-0.08618783696269328
Co1P14S2,-0.08701041071642492
Co1P14S3,-0.09005882396047361
Co1P14S4,-0.08925380898982334
Co1P14S5,-0.09564419889099546
Co1P15S0,-0.036868397091728324
Co1P15S1,-0.08197428578683094
Co1P15S2,-0.08956135777719007
Co1P15S3,-0.0892142296671852
Co1P15S4,-0.0917090259325813
Co2P0S1,-0.25599298240093227
Co2P0S3,-0.348617352894766
Co2P0S5,-0.2894436732507259
Co2P0S7,-0.27757924334831846
Co2P0S9,-0.2500269639643981
Co2P0S11,-0.24578201732089722
Co2P0S13,-0.2543672608854852
Co2P0S15,-0.25199462274148277
Co2P1S0,-0.16738065498624174
Co2P1S1,-0.23962500000000017
Co2P1S2,-0.47695265396825354
Co2P1S3,-0.369109404037629
Co2P1S4,-0.33757568441835945
Co2P1S5,-0.2652168432874144
Co2P1S6,-0.2095367975331686
Co2P1S7,-0.20221113462093473
Co2P1S8,-0.18873874603174623
Co2P1S9,-0.2011468030969031
Co2P1S10,-0.22972018322788326
Co2P1S11,-0.26440670748666545
Co2P1S12,-0.2586166694615326
Co2P1S13,-0.24446257728009865
Co2P1S14,-0.20687029927028588
Co2P1S15,-0.20842002735434495
Co2P2S1,-0.3805428087301586
Co2P2S3,-0.33490733191253197
Co2P2S5,-0.21510971918374033
Co2P2S7,-0.18557272727272753
Co2P2S9,-0.22663934441114453
Co2P2S11,-0.27273451139036414
Co2P2S13,-0.21875347330461076
Co2P2S15,-0.22252741784032948
Co2P3S0,-0.013874884218121039
Co2P3S1,-0.201391174134199
Co2P3S2,-0.13961336540404035
Co2P3S3,-0.20347242806915303
Co2P3S4,-0.2306077685481186
Co2P3S5,-0.20517702995338002
Co2P3S6,-0.19712250742590753
Co2P3S7,-0.20670117942057953
Co2P3S8,-0.22443063796203802
Co2P3S9,-0.2916642857142861
Co2P3S10,-0.2757807665130193
Co2P3S11,-0.24737603851099024
Co2P3S12,-0.2297599923542917
Co2P3S13,-0.2349132777525879
Co2P3S14,-0.2314018643844973
Co2P3S15,-0.23269215165391874
Co2P4S1,-0.13930213719336212
Co2P4S3,-0.09450819283216784
Co2P4S5,-0.20186073282273298
Co2P4S7,-0.22609183955933992
Co2P4S9,-0.2692278523114313
Co2P4S11,-0.235085930485957
Co2P4S13,-0.25298421052631537
Co2P5S0,0.027015606452319624
Co2P5S1,-0.1304903776612277
Co2P5S2,-0.09132077102064602
Co2P5S3,-0.0912898046606988
Co2P5S4,-0.11681436581065995
Co2P5S5,-0.16443419641339052
Co2P5S6,-0.22421500539110018
Co2P5S7,-0.25793428325884643
Co2P5S8,-0.266511955548545
Co2P5S9,-0.2484582414302587
Co2P5S10,-0.24111506616898748
Co2P5S11,-0.24862735797731667
Co2P5S12,-0.25363467852178756
Co2P5S13,-0.2562519094138059
Co2P6S1,-0.09291861301198802
Co2P6S3,-0.10717217681077094
Co2P6S5,-0.11231751394030803
Co2P6S7,-0.26388696046993937
Co2P6S9,-0.24593693111295298
Co2P6S11,-0.2565575401630703
Co2P7S0,0.026267945207424162
Co2P7S1,-0.09085523575182988
Co2P7S2,-0.0969070144731086
Co2P7S3,-0.10357032277591688
Co2P7S4,-0.11936205969455381
Co2P7S5,-0.1286238873587025
Co2P7S6,-0.11938299921818803
Co2P7S7,-0.19458545741534003
Co2P7S8,-0.24275322149501682
Co2P7S9,-0.24855050234004036
Co2P7S10,-0.2540435370670951
Co2P7S11,-0.25870721026500143
Co2P8S1,-0.09339587522346936
Co2P8S3,-0.11340831330205742
Co2P8S5,-0.12226583138602021
Co2P8S7,-0.11996161727089558
Co2P8S9,-0.2519930815541869
Co2P9S0,0.006273123220639021
Co2P9S1,-0.10313839037498448
Co2P9S2,-0.1173388565921007
Co2P9S3,-0.11733593542175055
Co2P9S4,-0.11561283492139093
Co2P9S5,-0.11846874615779816
Co2P9S6,-0.10669058194017884
Co2P9S7,-0.10654887755447165
Co2P9S8,-0.118291088729846
Co2P9S9,-0.20119317272850978
Co2P10S1,-0.11189889182353592
Co2P10S3,-0.10880333492139094
Co2P10S5,-0.11437560347127931
Co2P10S7,-0.1067713587273923
Co2P11S0,-0.01257035760730496
Co2P11S1,-0.1108701767637419
Co2P11S2,-0.10854241825472428
Co2P11S3,-0.10715830748975826
Co2P11S4,-0.10571745576604337
Co2P11S5,-0.10877346347608359
Co2P11S6,-0.10068603989905861
Co2P11S7,-0.10271173258583519
Co2P12S1,-0.10736126896773675
Co2P12S3,-0.101444856603699
Co2P12S5,-0.10320562611109219
Co2P13S0,-0.02958735894806945
Co2P13S1,-0.11037393761780015
Co2P13S2,-0.0984844735022803
Co2P13S3,-0.09555105271955426
Co2P13S4,-0.10145016975166216
Co2P13S5,-0.09960439534248
Co2P14S1,-0.09799699731180411
Co2P14S3,-0.09072396243256228
Co2P15S0,-0.0427538669070867
Co2P15S1,-0.09545371834953832
Co2P15S2,-0.0917235986554725
Co2P15S3,-0.09286774275244879
Co3P0S1,-0.26427807730120734
Co3P0S2,-0.25959050186830707
Co3P0S4,-0.3696743381161236
Co3P0S5,-0.3452117023255984
Co3P0S7,-0.2950135475165186
Co3P0S8,-0.2763787365432814
Co3P0S10,-0.2729767979856574
Co3P0S11,-0.2766431617856002
Co3P0S13,-0.28299311967214086
Co3P0S14,-0.28099807360066853
Co3P1S0,-0.17169713225896907
Co3P1S1,-0.3252382804834052
Co3P1S2,-0.26532403656299836
Co3P1S3,-0.43709415044414635
Co3P1S4,-0.3727050845876345
Co3P1S5,-0.3551049257520258
Co3P1S6,-0.3337166147463648
Co3P1S7,-0.290178958974359
Co3P1S8,-0.24079155936008437
Co3P1S9,-0.23279781718281725
Co3P1S10,-0.24907328422133432
Co3P1S11,-0.25417316789088107
Co3P1S12,-0.253493021005362
Co3P1S13,-0.2576256561264844
Co3P1S14,-0.26172827092702616
Co3P1S15,-0.2626116688108074
Co3P2S0,-0.17705506970485646
Co3P2S1,-0.29506652020202007
Co3P2S2,-0.26933025587701764
Co3P2S3,-0.43268136777958865
Co3P2S4,-0.3671534501609502
Co3P2S5,-0.3445393297730048
Co3P2S6,-0.2824857114024865
Co3P2S7,-0.2410030388944389
Co3P2S8,-0.21831538461538458
Co3P2S9,-0.2426432433517464
Co3P2S10,-0.2564128226718414
Co3P2S11,-0.26409882990530276
Co3P2S12,-0.2638499251340849
Co3P2S13,-0.26863859248719957
Co3P2S14,-0.26461981789849287
Co3P2S15,-0.2618174394348515
Co3P3S1,-0.2945658006132754
Co3P3S2,-0.30086015865800847
Co3P3S4,-0.34595279844599847
Co3P3S5,-0.28823812394827414
Co3P3S7,-0.22279103096903088
Co3P3S8,-0.249665455040058
Co3P3S10,-0.2621198834437492
Co3P3S11,-0.2641597323652955
Co3P3S13,-0.2632568529976044
Co3P3S14,-0.265830387845213
Co3P4S0,-0.01706056986025669
Co3P4S1,-0.13280566849261846
Co3P4S2,-0.12581533966866465
