formula,target
Cu0P0S1,-0.23407036915518264
Cu0P1S0,0.002609444083694088
Cu0P1S1,-0.25385020394122554
Cu0P1S2,-0.2310874048153429
Cu0P1S3,-0.211892510823284
Cu0P1S4,-0.2011446531117919
Cu0P1S5,-0.18120884712099047
Cu0P1S6,-0.17035530497205753
Cu0P1S7,-0.1757307844393309
Cu0P1S8,-0.17731344143805114
Cu0P1S9,-0.17770079358769889
Cu0P1S10,-0.17389530669158845
Cu0P1S11,-0.17355469497781204
Cu0P1S12,-0.16992109567515393
Cu0P1S13,-0.1743600745354577
Cu0P1S14,-0.17047913856477204
Cu0P1S15,-0.16530531308457624
Cu0P2S1,-0.09387679610769344
Cu0P2S3,-0.2380716164147514
Cu0P2S5,-0.21472401478353093
Cu0P2S7,-0.1952177966201841
Cu0P2S9,-0.17800007941697107
Cu0P2S11,-0.18262295026526626
Cu0P2S13,-0.18049088119553308
Cu0P2S15,-0.1756215039983752
Cu0P3S1,-0.06426489120148854
Cu0P3S2,-0.07373743954203689
Cu0P3S4,-0.23335333212191142
Cu0P3S5,-0.23181487818211202
Cu0P3S7,-0.21441877812989393
Cu0P3S8,-0.20630427217997013
Cu0P3S10,-0.19437874228944435
Cu0P3S11,-0.1923362896641542
Cu0P3S13,-0.18888199013700435
Cu0P3S14,-0.18511375206187
Cu0P4S1,-0.043931002456899806
Cu0P4S3,-0.05470878676213706
Cu0P4S5,-0.23780494921768117
Cu0P4S7,-0.2218486509633298
Cu0P4S9,-0.21496591927736877
Cu0P4S11,-0.2108710096519065
Cu0P4S13,-0.2006574624394182
Cu0P4S15,-0.19967773371186773
Cu0P5S1,-0.02861491760841495
Cu0P5S2,-0.04291363160552895
Cu0P5S3,-0.06195743016420281
Cu0P5S4,-0.07205993077747841
Cu0P5S6,-0.23143875214873705
Cu0P5S7,-0.23271988643797722
Cu0P5S8,-0.23038656770568622
Cu0P5S9,-0.2329756169126884
Cu0P5S11,-0.2178095276665372
Cu0P5S12,-0.21062817488387092
Cu0P5S13,-0.21117162758988528
Cu0P5S14,-0.2152294109658832
Cu0P6S1,-0.029605153683897788
Cu0P6S5,-0.09173664444779503
Cu0P6S7,-0.2327781160197904
Cu0P6S11,-0.22498635749874496
Cu0P6S13,-0.21647911987871093
Cu0P7S1,-0.031146092942025274
Cu0P7S2,-0.041136186163715865
Cu0P7S3,-0.06349996757021785
Cu0P7S4,-0.08036247561662618
Cu0P7S5,-0.10576620411655765
Cu0P7S6,-0.1099895558481594
Cu0P7S8,-0.23244842425739048
Cu0P7S9,-0.22855643178556917
Cu0P7S10,-0.22986878575856554
Cu0P7S11,-0.21679413691774346
Cu0P7S12,-0.22098976927238576
Cu0P7S13,-0.21625736212095442
Cu0P8S1,-0.03317042843986077
Cu0P8S3,-0.06527487613550877
Cu0P8S5,-0.10578841299101653
Cu0P8S7,-0.1162863534370514
Cu0P8S9,-0.23185104665322648
Cu0P8S11,-0.22268901796579763
Cu0P9S1,-0.04386228882947116
Cu0P9S2,-0.06119468050271019
Cu0P9S4,-0.09663980545345602
Cu0P9S5,-0.10361361887336948
Cu0P9S7,-0.11595385155735215
Cu0P9S8,-0.12114443882154995
Cu0P9S10,-0.22534636553570273
Cu0P9S11,-0.22078142087798686
Cu0P10S1,-0.05221476044119278
Cu0P10S3,-0.0787215358757685
Cu0P10S7,-0.12465483384319494
Cu0P10S9,-0.12938558845700218
Cu0P11S1,-0.06539568875797402
Cu0P11S2,-0.08104019496667761
Cu0P11S3,-0.07983965925239188
Cu0P11S4,-0.08882590606930046
Cu0P11S5,-0.10859886454436514
Cu0P11S6,-0.12382813054649162
Cu0P11S7,-0.12182785440596548
Cu0P11S8,-0.12249108845700216
Cu0P11S9,-0.12930767946599317
Cu0P12S1,-0.0739133190610043
Cu0P12S5,-0.11653008509194619
Cu0P12S7,-0.12204199321890692
Cu0P13S1,-0.07522762100905628
Cu0P13S2,-0.08435733241256503
Cu0P13S3,-0.09966239446162709
Cu0P13S4,-0.10489727108500374
Cu0P13S5,-0.11111736858476917
Cu0P13S6,-0.11890885685527057
Cu0P13S7,-0.11910786994218363
Cu0P14S1,-0.08949044496288025
Cu0P14S3,-0.09246274186422447
Cu0P14S5,-0.1129018687030719
Cu0P15S1,-0.08868234972478499
Cu0P15S2,-0.09441715095513356
Cu0P15S4,-0.09927263846937368
Cu1P0S0,-0.21971433351475672
Cu1P0S1,-0.3606877473828803
Cu1P0S2,-0.29244990874958376
Cu1P0S3,-0.25298893424973723
Cu1P0S4,-0.2620773657907882
Cu1P0S5,-0.2573090454646231
Cu1P0S6,-0.25557657859607713
Cu1P0S7,-0.24613233946243818
Cu1P0S8,-0.226997184195165
Cu1P0S9,-0.20536573048423878
Cu1P0S10,-0.19877538073151474
Cu1P0S11,-0.19248870580288296
Cu1P0S12,-0.1858347002018449
Cu1P0S13,-0.18588579707988942
Cu1P0S14,-0.1863080218758365
Cu1P0S15,-0.1949098569498784
Cu1P1S0,-0.06435184567099568
Cu1P1S1,-0.24640000000000023
Cu1P1S2,-0.2802997318488527
Cu1P1S3,-0.26071999999999945
Cu1P1S4,-0.26852175629947955
Cu1P1S5,-0.2413756390187383
Cu1P1S6,-0.20293305043468737
Cu1P1S7,-0.1997032472384513
Cu1P1S8,-0.19361433220087448
Cu1P1S9,-0.19065517969617243
Cu1P1S10,-0.15576896273980578
Cu1P1S11,-0.1562893008658696
Cu1P1S12,-0.15690128782071036
Cu1P1S13,-0.1556459973769093
Cu1P1S14,-0.14504710646261193
Cu1P1S15,-0.14032602756047696
Cu1P2S0,-0.00793212546897546
Cu1P2S1,-0.19478017337662315
Cu1P2S2,-0.2395837918057173
Cu1P2S3,-0.27327731977327785
Cu1P2S4,-0.24763537028469457
Cu1P2S5,-0.2176126756333019
Cu1P2S6,-0.20969767743472556
Cu1P2S7,-0.2069373351208303
Cu1P2S8,-0.1919112788379663
Cu1P2S9,-0.17421017877899533
Cu1P2S10,-0.15488804611149085
Cu1P2S11,-0.15746718797416887
Cu1P2S12,-0.15604312121368477
Cu1P2S13,-0.1420506755639612
Cu1P2S14,-0.14509499402723172
Cu1P2S15,-0.1361498277977611
Cu1P3S0,-0.010463009354680395
Cu1P3S1,-0.17487447965367944
Cu1P3S2,-0.1249020082896635
Cu1P3S3,-0.18776322016814448
Cu1P3S4,-0.22655375606886224
Cu1P3S5,-0.21822803507582017
Cu1P3S6,-0.21928318342134293
Cu1P3S7,-0.19767239664599245
Cu1P3S8,-0.19150720476999783
Cu1P3S9,-0.15345219783460431
Cu1P3S10,-0.15917270198982303
Cu1P3S11,-0.157508797388078
Cu1P3S12,-0.15153283985185775
Cu1P3S13,-0.14775962796367711
Cu1P3S14,-0.1368031524373458
Cu1P3S15,-0.13173519876573364
Cu1P4S0,0.021125116852445808
Cu1P4S1,-0.12042355273410793
Cu1P4S2,-0.09647833200075637
Cu1P4S3,-0.03801083865129539
Cu1P4S4,-0.15980716350993346
Cu1P4S5,-0.221864077029558
Cu1P4S6,-0.21277899732732006
Cu1P4S7,-0.21414195438203007
Cu1P4S8,-0.15914022641273418
Cu1P4S9,-0.15600315188952774
Cu1P4S10,-0.1575178536765264
