formula,target
Fe0P0S1,-0.23407036915518264
Fe0P1S0,0.002609444083694088
Fe0P1S1,-0.25385020394122554
Fe0P1S2,-0.2310874048153429
Fe0P1S3,-0.211892510823284
Fe0P1S4,-0.2011446531117919
Fe0P1S5,-0.18120884712099047
Fe0P1S6,-0.17035530497205753
Fe0P1S7,-0.1757307844393309
Fe0P1S8,-0.17731344143805114
Fe0P1S9,-0.17770079358769889
Fe0P1S10,-0.17389530669158845
Fe0P1S11,-0.17355469497781204
Fe0P1S12,-0.16992109567515393
Fe0P1S13,-0.1743600745354577
Fe0P1S14,-0.17047913856477204
Fe0P1S15,-0.16530531308457624
Fe0P2S1,-0.09387679610769344
Fe0P2S3,-0.2380716164147514
Fe0P2S5,-0.21472401478353093
Fe0P2S7,-0.1952177966201841
Fe0P2S9,-0.17800007941697107
Fe0P2S11,-0.18262295026526626
Fe0P2S13,-0.18049088119553308
Fe0P2S15,-0.1756215039983752
Fe0P3S1,-0.06426489120148854
Fe0P3S2,-0.07373743954203689
Fe0P3S4,-0.23335333212191142
Fe0P3S5,-0.23181487818211202
Fe0P3S7,-0.21441877812989393
Fe0P3S8,-0.20630427217997013
Fe0P3S10,-0.19437874228944435
Fe0P3S11,-0.1923362896641542
Fe0P3S13,-0.18888199013700435
Fe0P3S14,-0.18511375206187
Fe0P4S1,-0.043931002456899806
Fe0P4S3,-0.05470878676213706
Fe0P4S5,-0.23780494921768117
Fe0P4S7,-0.2218486509633298
Fe0P4S9,-0.21496591927736877
Fe0P4S11,-0.2108710096519065
Fe0P4S13,-0.2006574624394182
Fe0P4S15,-0.19967773371186773
Fe0P5S1,-0.02861491760841495
Fe0P5S2,-0.04291363160552895
Fe0P5S3,-0.06195743016420281
Fe0P5S4,-0.07205993077747841
Fe0P5S6,-0.23143875214873705
Fe0P5S7,-0.23271988643797722
Fe0P5S8,-0.23038656770568622
Fe0P5S9,-0.2329756169126884
Fe0P5S11,-0.2178095276665372
Fe0P5S12,-0.21062817488387092
Fe0P5S13,-0.21117162758988528
Fe0P5S14,-0.2152294109658832
Fe0P6S1,-0.029605153683897788
Fe0P6S5,-0.09173664444779503
Fe0P6S7,-0.2327781160197904
Fe0P6S11,-0.22498635749874496
Fe0P6S13,-0.21647911987871093
Fe0P7S1,-0.031146092942025274
Fe0P7S2,-0.041136186163715865
Fe0P7S3,-0.06349996757021785
Fe0P7S4,-0.08036247561662618
Fe0P7S5,-0.10576620411655765
Fe0P7S6,-0.1099895558481594
Fe0P7S8,-0.23244842425739048
Fe0P7S9,-0.22855643178556917
Fe0P7S10,-0.22986878575856554
Fe0P7S11,-0.21679413691774346
Fe0P7S12,-0.22098976927238576
Fe0P7S13,-0.21625736212095442
Fe0P8S1,-0.03317042843986077
Fe0P8S3,-0.06527487613550877
Fe0P8S5,-0.10578841299101653
Fe0P8S7,-0.1162863534370514
Fe0P8S9,-0.23185104665322648
Fe0P8S11,-0.22268901796579763
Fe0P9S1,-0.04386228882947116
Fe0P9S2,-0.06119468050271019
Fe0P9S4,-0.09663980545345602
Fe0P9S5,-0.10361361887336948
Fe0P9S7,-0.11595385155735215
Fe0P9S8,-0.12114443882154995
Fe0P9S10,-0.22534636553570273
Fe0P9S11,-0.22078142087798686
Fe0P10S1,-0.05221476044119278
Fe0P10S3,-0.0787215358757685
Fe0P10S7,-0.12465483384319494
Fe0P10S9,-0.12938558845700218
Fe0P11S1,-0.06539568875797402
Fe0P11S2,-0.08104019496667761
Fe0P11S3,-0.07983965925239188
Fe0P11S4,-0.08882590606930046
Fe0P11S5,-0.10859886454436514
Fe0P11S6,-0.12382813054649162
Fe0P11S7,-0.12182785440596548
Fe0P11S8,-0.12249108845700216
Fe0P11S9,-0.12930767946599317
Fe0P12S1,-0.0739133190610043
Fe0P12S5,-0.11653008509194619
Fe0P12S7,-0.12204199321890692
Fe0P13S1,-0.07522762100905628
Fe0P13S2,-0.08435733241256503
Fe0P13S3,-0.09966239446162709
Fe0P13S4,-0.10489727108500374
Fe0P13S5,-0.11111736858476917
Fe0P13S6,-0.11890885685527057
Fe0P13S7,-0.11910786994218363
Fe0P14S1,-0.08949044496288025
Fe0P14S3,-0.09246274186422447
Fe0P14S5,-0.1129018687030719
Fe0P15S1,-0.08868234972478499
Fe0P15S2,-0.09441715095513356
Fe0P15S4,-0.09927263846937368
Fe1P0S0,-0.21512033351475673
Fe1P0S1,-0.40584431578947355
Fe1P0S2,-0.3487793010528947
Fe1P0S3,-0.35043960456604806
Fe1P0S4,-0.31041544316637104
Fe1P0S5,-0.2799176378851024
Fe1P0S6,-0.26552025659179984
Fe1P0S7,-0.24134012727589746
Fe1P0S8,-0.23548836244161753
Fe1P0S9,-0.21170464324322041
Fe1P0S10,-0.20796505148753883
Fe1P0S11,-0.19629736994926283
Fe1P0S12,-0.18982570848606145
Fe1P0S13,-0.18706156483214062
Fe1P0S14,-0.18314060787506264
Fe1P0S15,-0.1835084576856408
Fe1P1S0,-0.14689536926406924
Fe1P1S1,-0.6923999999999999
Fe1P1S2,-0.4289851843073591
Fe1P1S3,-0.3139199999999996
Fe1P1S4,-0.30805000000000066
Fe1P1S5,-0.2924529185009435
Fe1P1S6,-0.24842587231379723
Fe1P1S7,-0.22226124819624812
Fe1P1S8,-0.2155692812409811
Fe1P1S9,-0.19355588545115007
Fe1P1S10,-0.19152454015788126
Fe1P1S11,-0.1880470266870384
Fe1P1S12,-0.19289018212733253
Fe1P1S13,-0.14960502610310217
Fe1P1S14,-0.1443399252137095
Fe1P1S15,-0.14345951101243087
Fe1P2S0,-0.044074324603174536
Fe1P2S1,-0.3285051264069264
Fe1P2S2,-0.31380824020979015
Fe1P2S3,-0.3174077944222448
Fe1P2S4,-0.29201701085303594
Fe1P2S5,-0.25557391358363857
Fe1P2S6,-0.21625555555555562
Fe1P2S7,-0.22419999999999982
Fe1P2S8,-0.1974934260673966
Fe1P2S9,-0.18889558253968247
Fe1P2S10,-0.18839582266361085
Fe1P2S11,-0.17842491791019438
Fe1P2S12,-0.15080523292429954
Fe1P2S13,-0.14767660570208935
Fe1P2S14,-0.14395465153413825
Fe1P2S15,-0.14229524200586124
Fe1P3S0,-0.014527051150603773
Fe1P3S1,-0.23703152489177484
Fe1P3S2,-0.2189064212121213
Fe1P3S3,-0.25473180089632597
Fe1P3S4,-0.2565487618417358
Fe1P3S5,-0.226163712066365
Fe1P3S6,-0.2209494958596958
Fe1P3S7,-0.20234949624819623
Fe1P3S8,-0.19650400617944144
Fe1P3S9,-0.19202619753840924
Fe1P3S10,-0.18428847229437223
Fe1P3S11,-0.1642255460959748
Fe1P3S12,-0.14591975507351257
Fe1P3S13,-0.14110989066069796
Fe1P3S14,-0.13657868738378912
Fe1P3S15,-0.14898013416614334
Fe1P4S0,-0.0038196624515834956
Fe1P4S1,-0.2089168665584415
Fe1P4S2,-0.15255414231046716
Fe1P4S3,-0.1267801578668064
Fe1P4S4,-0.17182408000300348
Fe1P4S5,-0.2220720282390812
Fe1P4S6,-0.2113519861249861
Fe1P4S7,-0.2018394931702284
Fe1P4S8,-0.20221325790679903
Fe1P4S9,-0.19136590209659612
Fe1P4S10,-0.18815292827066282
Fe1P4S11,-0.14649304892802406
Fe1P4S12,-0.14213593406957664
Fe1P4S13,-0.14932165058948607
Fe1P4S14,-0.1548867929831262
Fe1P4S15,-0.16228639110461254
Fe1P5S0,0.011822536420150204
Fe1P5S1,-0.1422473915889665
Fe1P5S2,-0.13647383894863302
Fe1P5S3,-0.08569742980777391
Fe1P5S4,-0.08608309145952084
Fe1P5S5,-0.15808120964982728
Fe1P5S6,-0.20139444363806125
Fe1P5S7,-0.20366196061454883
Fe1P5S8,-0.1953049654868008
Fe1P5S9,-0.19386145020081386
Fe1P5S10,-0.15679261402649627
Fe1P5S11,-0.15815002920894022
Fe1P5S12,-0.15760690058970944
Fe1P5S13,-0.16178775980191112
Fe1P5S14,-0.17126161124520464
Fe1P6S0,0.01909801910413289
Fe1P6S1,-0.12457955171919582
Fe1P6S2,-0.08373996230991229
Fe1P6S3,-0.08776571140526139
Fe1P6S4,-0.1086341768793298
Fe1P6S5,-0.10251794751261809
Fe1P6S6,-0.15146426615606612
Fe1P6S7,-0.20030122367773262
Fe1P6S8,-0.1979180176296355
Fe1P6S9,-0.17444988295818376
Fe1P6S10,-0.17224159791546584
Fe1P6S11,-0.1825733055642671
Fe1P6S12,-0.18127319955060409
Fe1P6S13,-0.1905951361075456
Fe1P7S0,0.021114838534702328
Fe1P7S1,-0.0856851091522856
Fe1P7S2,-0.09359726252636252
Fe1P7S3,-0.10556979791319789
Fe1P7S4,-0.1037127321123321
Fe1P7S5,-0.10921669961672312
Fe1P7S6,-0.08873078541719716
Fe1P7S7,-0.15900791250538243
Fe1P7S8,-0.18750770431587668
Fe1P7S9,-0.1900147978627151
Fe1P7S10,-0.19004130843796718
Fe1P7S11,-0.19594696546645643
Fe1P7S12,-0.20030862614989065
Fe1P8S0,0.022130497675561488
Fe1P8S1,-0.09185572904872905
Fe1P8S2,-0.1008083243201243
Fe1P8S3,-0.10310146544566542
Fe1P8S4,-0.1037886287470699
Fe1P8S5,-0.10429210390198032
Fe1P8S6,-0.09635764541612496
Fe1P8S7,-0.10059954293889803
Fe1P8S8,-0.16444163818077343
Fe1P8S9,-0.19552625283148214
Fe1P8S10,-0.19813955822241044
Fe1P8S11,-0.20416941135151387
Fe1P9S0,0.015522694645258427
Fe1P9S1,-0.09104975981795983
Fe1P9S2,-0.09969633887223886
Fe1P9S3,-0.09623639127147358
Fe1P9S4,-0.10432769515484511
Fe1P9S5,-0.11016098981775015
Fe1P9S6,-0.10137164145055148
Fe1P9S7,-0.10376749997721574
Fe1P9S8,-0.11659393819240611
Fe1P9S9,-0.16932541554733527
Fe1P9S10,-0.20754688573935517
Fe1P10S0,0.0018908169778278172
Fe1P10S1,-0.0845196131202131
Fe1P10S2,-0.09621456453350569
Fe1P10S3,-0.09807640307236619
Fe1P10S4,-0.11705139759677882
Fe1P10S5,-0.11785017032070094
Fe1P10S6,-0.10650149989396565
Fe1P10S7,-0.10865666364395836
Fe1P10S8,-0.11662892633522301
Fe1P10S9,-0.12402054423677455
Fe1P11S0,-0.006244012323589712
Fe1P11S1,-0.0947875751268339
Fe1P11S2,-0.09939800653556963
Fe1P11S3,-0.10826371064484187
Fe1P11S4,-0.10954930329067214
Fe1P11S5,-0.11080478330704381
Fe1P11S6,-0.11107527719707193
Fe1P11S7,-0.10559271776015518
Fe1P11S8,-0.12341309421466046
Fe1P12S0,-0.011976359726187118
Fe1P12S1,-0.097705063399655
Fe1P12S2,-0.10294922673051059
Fe1P12S3,-0.11002381627768512
Fe1P12S4,-0.10804373630992328
Fe1P12S5,-0.11232520972804283
Fe1P12S6,-0.10652248068216608
Fe1P12S7,-0.10693081030367978
Fe1P13S0,-0.024061948137775502
Fe1P13S1,-0.09817594327186399
Fe1P13S2,-0.10545412696855944
