formula,target
Ir0P0S1,-0.23407036915518264
Ir0P1S0,0.002609444083694088
Ir0P1S1,-0.25385020394122554
Ir0P1S2,-0.2310874048153429
Ir0P1S3,-0.211892510823284
Ir0P1S4,-0.2011446531117919
Ir0P1S5,-0.18120884712099047
Ir0P1S6,-0.17035530497205753
Ir0P1S7,-0.1757307844393309
Ir0P1S8,-0.17731344143805114
Ir0P1S9,-0.17770079358769889
Ir0P1S10,-0.17389530669158845
Ir0P1S11,-0.17355469497781204
Ir0P1S12,-0.16992109567515393
Ir0P1S13,-0.1743600745354577
Ir0P1S14,-0.17047913856477204
Ir0P1S15,-0.16530531308457624
Ir0P2S1,-0.09387679610769344
Ir0P2S3,-0.2380716164147514
Ir0P2S5,-0.21472401478353093
Ir0P2S7,-0.1952177966201841
Ir0P2S9,-0.17800007941697107
Ir0P2S11,-0.18262295026526626
Ir0P2S13,-0.18049088119553308
Ir0P2S15,-0.1756215039983752
Ir0P3S1,-0.06426489120148854
Ir0P3S2,-0.07373743954203689
Ir0P3S4,-0.23335333212191142
Ir0P3S5,-0.23181487818211202
Ir0P3S7,-0.21441877812989393
Ir0P3S8,-0.20630427217997013
Ir0P3S10,-0.19437874228944435
Ir0P3S11,-0.1923362896641542
Ir0P3S13,-0.18888199013700435
Ir0P3S14,-0.18511375206187
Ir0P4S1,-0.043931002456899806
Ir0P4S3,-0.05470878676213706
Ir0P4S5,-0.23780494921768117
Ir0P4S7,-0.2218486509633298
Ir0P4S9,-0.21496591927736877
Ir0P4S11,-0.2108710096519065
Ir0P4S13,-0.2006574624394182
Ir0P4S15,-0.19967773371186773
Ir0P5S1,-0.02861491760841495
Ir0P5S2,-0.04291363160552895
Ir0P5S3,-0.06195743016420281
Ir0P5S4,-0.07205993077747841
Ir0P5S6,-0.23143875214873705
Ir0P5S7,-0.23271988643797722
Ir0P5S8,-0.23038656770568622
Ir0P5S9,-0.2329756169126884
Ir0P5S11,-0.2178095276665372
Ir0P5S12,-0.21062817488387092
Ir0P5S13,-0.21117162758988528
Ir0P5S14,-0.2152294109658832
Ir0P6S1,-0.029605153683897788
Ir0P6S5,-0.09173664444779503
Ir0P6S7,-0.2327781160197904
Ir0P6S11,-0.22498635749874496
Ir0P6S13,-0.21647911987871093
Ir0P7S1,-0.031146092942025274
Ir0P7S2,-0.041136186163715865
Ir0P7S3,-0.06349996757021785
Ir0P7S4,-0.08036247561662618
Ir0P7S5,-0.10576620411655765
Ir0P7S6,-0.1099895558481594
Ir0P7S8,-0.23244842425739048
Ir0P7S9,-0.22855643178556917
Ir0P7S10,-0.22986878575856554
Ir0P7S11,-0.21679413691774346
Ir0P7S12,-0.22098976927238576
Ir0P7S13,-0.21625736212095442
Ir0P8S1,-0.03317042843986077
Ir0P8S3,-0.06527487613550877
Ir0P8S5,-0.10578841299101653
Ir0P8S7,-0.1162863534370514
Ir0P8S9,-0.23185104665322648
Ir0P8S11,-0.22268901796579763
Ir0P9S1,-0.04386228882947116
Ir0P9S2,-0.06119468050271019
Ir0P9S4,-0.09663980545345602
Ir0P9S5,-0.10361361887336948
Ir0P9S7,-0.11595385155735215
Ir0P9S8,-0.12114443882154995
Ir0P9S10,-0.22534636553570273
Ir0P9S11,-0.22078142087798686
Ir0P10S1,-0.05221476044119278
Ir0P10S3,-0.0787215358757685
Ir0P10S7,-0.12465483384319494
Ir0P10S9,-0.12938558845700218
Ir0P11S1,-0.06539568875797402
Ir0P11S2,-0.08104019496667761
Ir0P11S3,-0.07983965925239188
Ir0P11S4,-0.08882590606930046
Ir0P11S5,-0.10859886454436514
Ir0P11S6,-0.12382813054649162
Ir0P11S7,-0.12182785440596548
Ir0P11S8,-0.12249108845700216
Ir0P11S9,-0.12930767946599317
Ir0P12S1,-0.0739133190610043
Ir0P12S5,-0.11653008509194619
Ir0P12S7,-0.12204199321890692
Ir0P13S1,-0.07522762100905628
Ir0P13S2,-0.08435733241256503
Ir0P13S3,-0.09966239446162709
Ir0P13S4,-0.10489727108500374
Ir0P13S5,-0.11111736858476917
Ir0P13S6,-0.11890885685527057
Ir0P13S7,-0.11910786994218363
Ir0P14S1,-0.08949044496288025
Ir0P14S3,-0.09246274186422447
Ir0P14S5,-0.1129018687030719
Ir0P15S1,-0.08868234972478499
Ir0P15S2,-0.09441715095513356
Ir0P15S4,-0.09927263846937368
Ir1P0S0,-0.21287996987839308
Ir1P0S1,-0.3857634978687979
Ir1P0S2,-0.43235081735486686
Ir1P0S3,-0.32160237895992894
Ir1P0S4,-0.2724958444254577
Ir1P0S5,-0.24416370855958644
Ir1P0S6,-0.22135265030220047
Ir1P0S7,-0.20387437595842411
Ir1P0S8,-0.18282843745351648
Ir1P0S9,-0.1715404142942711
Ir1P0S10,-0.1686287459570871
Ir1P0S11,-0.1631505430764109
Ir1P0S12,-0.15699349207326027
Ir1P0S13,-0.1507888281412772
Ir1P0S14,-0.15295009465450254
Ir1P0S15,-0.15080149348937938
Ir1P1S0,-0.04410717615717613
Ir1P1S1,-0.8269666666666651
Ir1P1S2,-0.37923352189170517
Ir1P1S3,-0.2880600000000006
Ir1P1S4,-0.35983333333333367
Ir1P1S5,-0.1492298002109003
Ir1P1S6,-0.07605000000000016
Ir1P1S7,-0.17396716338383855
Ir1P1S8,-0.18192708661616158
Ir1P1S9,-0.16901219966226566
Ir1P1S10,-0.1139172493315507
Ir1P1S11,-0.10167628846937372
Ir1P1S12,-0.09410944494100666
Ir1P1S13,-0.07688923154068154
Ir1P1S14,-0.06079168319877576
Ir1P1S15,-0.05784007086752257
Ir1P2S0,0.03603723791208796
Ir1P2S1,-0.12093508633033631
Ir1P2S2,-0.251436391752692
Ir1P2S3,-0.31774315523088054
Ir1P2S4,-0.21665014219669218
Ir1P2S5,-0.15013074062261283
Ir1P2S6,-0.21477777777777748
Ir1P2S7,-0.21427000000000007
Ir1P2S8,-0.1829454545454542
Ir1P2S9,-0.14175962071033527
Ir1P2S10,-0.10301462935463228
Ir1P2S11,-0.09275728085248085
Ir1P2S12,-0.07633803895255072
Ir1P2S13,-0.058629511974411894
Ir1P2S14,-0.05255546446123535
Ir1P2S15,-0.06179105814966767
Ir1P3S0,0.033623813308913335
Ir1P3S1,-0.039330567099567115
Ir1P3S2,0.04661365606060607
Ir1P3S3,-0.16892850649350646
Ir1P3S4,-0.20898310793650793
Ir1P3S5,-0.23748416230583136
Ir1P3S6,-0.2147208249660468
Ir1P3S7,-0.19307876125965526
Ir1P3S8,-0.17355711097203436
Ir1P3S9,-0.11053411825690641
Ir1P3S10,-0.10322370964656255
Ir1P3S11,-0.08128777681599447
Ir1P3S12,-0.05345294131190446
Ir1P3S13,-0.045634486825867626
Ir1P3S14,-0.055828709704811866
Ir1P3S15,-0.07286658836519518
Ir1P4S0,0.038715836469086475
Ir1P4S1,0.05220300562770563
Ir1P4S2,0.08095900252525251
Ir1P4S3,0.09773947063492061
Ir1P4S4,-0.15692937928533457
Ir1P4S5,-0.2302802621933621
Ir1P4S6,-0.212114018958166
Ir1P4S7,-0.18522007717837702
Ir1P4S8,-0.11363411551455074
Ir1P4S9,-0.10813919785051543
Ir1P4S10,-0.08363096736923208
Ir1P4S11,-0.059921312598839066
Ir1P4S12,-0.03367058823529411
Ir1P4S13,-0.04838841409859489
Ir1P4S14,-0.07499877346028586
Ir1P4S15,-0.111367164588937
Ir1P5S0,0.062186429033384956
Ir1P5S1,0.08122653409090906
Ir1P5S2,0.10032035692640688
Ir1P5S3,0.08964147438672437
Ir1P5S4,0.03131130593149541
Ir1P5S5,-0.14748228954794776
Ir1P5S6,-0.19624114259620648
Ir1P5S7,-0.15848138446482993
Ir1P5S8,-0.13253187542351008
Ir1P5S9,-0.11231475868888591
Ir1P5S10,-0.08363929415094709
Ir1P5S11,-0.06650453745965079
Ir1P5S12,-0.07483624798081176
Ir1P5S13,-0.11087149055090073
Ir1P5S14,-0.1393093049934241
Ir1P6S0,0.07811981936951942
Ir1P6S1,0.11410031818181812
Ir1P6S2,0.10236161378066376
Ir1P6S3,0.03403456536796536
Ir1P6S4,0.021228647049441784
Ir1P6S5,0.007294343378276358
Ir1P6S6,-0.1273987680280503
Ir1P6S7,-0.14134120523576865
Ir1P6S8,-0.13266153149774199
Ir1P6S9,-0.11096168014379838
Ir1P6S10,-0.10122544923284492
Ir1P6S11,-0.108245677298759
Ir1P6S12,-0.14059908541015217
Ir1P6S13,-0.1574733014457849
Ir1P7S0,0.08013246188489878
Ir1P7S1,0.11290972257742254
Ir1P7S2,0.05413685439266617
Ir1P7S3,0.029559837942449704
Ir1P7S4,0.0028853041125541223
Ir1P7S5,-0.01802181564048266
Ir1P7S6,-0.022733217801479553
Ir1P7S7,-0.0938244215847104
Ir1P7S8,-0.12381948026631086
Ir1P7S9,-0.11154699725637279
Ir1P7S10,-0.1305442024973306
Ir1P7S11,-0.16023913210508087
Ir1P7S12,-0.18118739192572125
Ir1P8S0,0.08536592171629546
Ir1P8S1,0.066069967965368
Ir1P8S2,0.03325820504201682
Ir1P8S3,0.004692037012987022
Ir1P8S4,-0.02526594902347392
Ir1P8S5,-0.022500824925349824
Ir1P8S6,-0.02402537707124316
Ir1P8S7,-0.021149865484790392
Ir1P8S8,-0.08835256886398773
Ir1P8S9,-0.13838120527968756
Ir1P8S10,-0.1723303263734201
Ir1P8S11,-0.19109726376100675
Ir1P9S0,0.07542852453014828
Ir1P9S1,0.040856827272727284
Ir1P9S2,-0.006485268614718602
Ir1P9S3,-0.017793535314960213
Ir1P9S4,-0.016342376873401773
Ir1P9S5,-0.023544182501107413
Ir1P9S6,-0.02080609275751767
Ir1P9S7,-0.03423268684969999
Ir1P9S8,-0.03425560621138407
Ir1P9S9,-0.13192817710651916
Ir1P9S10,-0.19906763834095034
Ir1P10S0,0.03232880332562176
Ir1P10S1,0.0039133067821067865
Ir1P10S2,-0.009756959557384474
Ir1P10S3,-0.01426340501192993
Ir1P10S4,-0.017385734449159362
Ir1P10S5,-0.020691341675266584
Ir1P10S6,-0.03263274745576059
Ir1P10S7,-0.03670072806012357
Ir1P10S8,-0.05282447367415861
Ir1P10S9,-0.06275175489190886
Ir1P11S0,0.026920416745535167
Ir1P11S1,-0.008128188652850416
Ir1P11S2,-0.01253595263097755
Ir1P11S3,-0.017015931418856333
Ir1P11S4,-0.018439675008599915
Ir1P11S5,-0.02487846607047921
Ir1P11S6,-0.031403679040515706
Ir1P11S7,-0.04058567955651158
Ir1P11S8,-0.055899272435768525
Ir1P12S0,0.020812332329950764
Ir1P12S1,-0.007784322518984283
Ir1P12S2,-0.017015931418856333
Ir1P12S3,-0.020845824359249258
Ir1P12S4,-0.01919931336697357
Ir1P12S5,-0.030200612966239104
Ir1P12S6,-0.030007564837896857
Ir1P12S7,-0.04115599506453296
Ir1P13S0,0.005710963032581464
Ir1P13S1,-0.01481277706443882
Ir1P13S2,-0.020950824359249262
Ir1P13S3,-0.019970144535804743
Ir1P13S4,-0.028249182484955684
Ir1P13S5,-0.03159139817123019
Ir1P13S6,-0.03057788034591825
Ir1P14S0,-0.008917530473912054
Ir1P14S1,-0.0143601272240831
Ir1P14S2,-0.02114687091726641
Ir1P14S3,-0.030882515818289012
Ir1P14S4,-0.029752182484955682
Ir1P14S5,-0.030320380345918246
Ir1P15S0,-0.020797757746639306
Ir1P15S1,-0.01814733420990772
Ir1P15S2,-0.02375010672737992
Ir1P15S3,-0.029752182484955682
Ir1P15S4,-0.030320380345918246
Ir2P0S1,-0.08772110865800865
Ir2P0S3,-0.4343753890442887
Ir2P0S5,-0.3526549643217891
Ir2P0S7,-0.2702523829384067
Ir2P0S9,-0.23840125987930208
Ir2P0S11,-0.22251837331059895
Ir2P0S13,-0.22122815900797688
Ir2P0S15,-0.22863630615821232
Ir2P1S0,-0.026303931901431894
Ir2P1S1,0.04912500000000006
Ir2P1S2,-0.4495971325785327
Ir2P1S3,-0.4124465819968215
Ir2P1S4,-0.3577975636750935
Ir2P1S5,-0.33424513189310706
Ir2P1S6,-0.2663705470681366
Ir2P1S7,-0.24182933938838944
Ir2P1S8,-0.2196318486790986
Ir2P1S9,-0.15975031429126432
Ir2P1S10,-0.09729230769230773
Ir2P1S11,-0.1452297391979538
Ir2P1S12,-0.14742713423257167
Ir2P1S13,-0.1601119753358783
Ir2P1S14,-0.1612766302205361
Ir2P1S15,-0.1773260766877084
Ir2P2S1,-0.07334609155844155
Ir2P2S3,-0.35386738944359747
Ir2P2S5,-0.27015779691828656
Ir2P2S7,-0.2534590335109336
Ir2P2S9,-0.1889476950797053
Ir2P2S11,-0.18030336147560733
Ir2P2S13,-0.1843939930749504
Ir2P2S15,-0.21279448533618087
Ir2P3S0,0.03393108973570292
Ir2P3S1,0.07155000000000017
Ir2P3S2,0.10791088931901437
Ir2P3S3,-0.20380872045878967
Ir2P3S4,-0.2730611059423035
Ir2P3S5,-0.2824442698953095
Ir2P3S6,-0.2737715686299082
Ir2P3S7,-0.2621544109154006
Ir2P3S8,-0.24906029316239342
Ir2P3S9,-0.3077357142857151
Ir2P3S10,-0.2622612668191805
Ir2P3S11,-0.2382516547146526
Ir2P3S12,-0.23358682753648138
Ir2P3S13,-0.23563748574366808
Ir2P3S14,-0.23961575260126883
Ir2P3S15,-0.2465831402682802
Ir2P4S1,0.0985421896436897
Ir2P4S3,0.0759668225524476
Ir2P4S5,-0.28587302866154324
Ir2P4S7,-0.2519007809620206
Ir2P4S9,-0.28052021702673025
Ir2P4S11,-0.24649657110543405
Ir2P4S13,-0.2674578947368423
Ir2P5S0,0.06605537053529549
Ir2P5S1,0.09654480538628045
Ir2P5S2,0.08856423921911423
Ir2P5S3,0.049807919746919734
Ir2P5S4,0.027717349483849487
Ir2P5S5,-0.18460909924039662
Ir2P5S6,-0.2331899762056658
Ir2P5S7,-0.26299542158122274
Ir2P5S8,-0.26758560207683657
Ir2P5S9,-0.25977329713492603
Ir2P5S10,-0.24860323075127502
Ir2P5S11,-0.25322000765942015
Ir2P5S12,-0.26766515342201674
Ir2P5S13,-0.2670241093657978
Ir2P6S1,0.08899792103729608
Ir2P6S3,0.0327424403929404
Ir2P6S5,-0.03178481257631256
Ir2P6S7,-0.2568866950753756
Ir2P6S9,-0.25290099872248506
Ir2P6S11,-0.2666034120625849
Ir2P7S0,0.07224116009252189
Ir2P7S1,0.07004637770562776
Ir2P7S2,0.014365605977355984
Ir2P7S3,-0.010043016650016634
Ir2P7S4,-0.029828275557775535
Ir2P7S5,-0.04106961788211785
Ir2P7S6,-0.0453219880382775
