formula,target
Mo0P0S1,-0.23407036915518264
Mo0P1S0,0.002609444083694088
Mo0P1S1,-0.25385020394122554
Mo0P1S2,-0.2310874048153429
Mo0P1S3,-0.211892510823284
Mo0P1S4,-0.2011446531117919
Mo0P1S5,-0.18120884712099047
Mo0P1S6,-0.17035530497205753
Mo0P1S7,-0.1757307844393309
Mo0P1S8,-0.17731344143805114
Mo0P1S9,-0.17770079358769889
Mo0P1S10,-0.17389530669158845
Mo0P1S11,-0.17355469497781204
Mo0P1S12,-0.16992109567515393
Mo0P1S13,-0.1743600745354577
Mo0P1S14,-0.17047913856477204
Mo0P1S15,-0.16530531308457624
Mo0P2S1,-0.09387679610769344
Mo0P2S3,-0.2380716164147514
Mo0P2S5,-0.21472401478353093
Mo0P2S7,-0.1952177966201841
Mo0P2S9,-0.17800007941697107
Mo0P2S11,-0.18262295026526626
Mo0P2S13,-0.18049088119553308
Mo0P2S15,-0.1756215039983752
Mo0P3S1,-0.06426489120148854
Mo0P3S2,-0.07373743954203689
Mo0P3S4,-0.23335333212191142
Mo0P3S5,-0.23181487818211202
Mo0P3S7,-0.21441877812989393
Mo0P3S8,-0.20630427217997013
Mo0P3S10,-0.19437874228944435
Mo0P3S11,-0.1923362896641542
Mo0P3S13,-0.18888199013700435
Mo0P3S14,-0.18511375206187
Mo0P4S1,-0.043931002456899806
Mo0P4S3,-0.05470878676213706
Mo0P4S5,-0.23780494921768117
Mo0P4S7,-0.2218486509633298
Mo0P4S9,-0.21496591927736877
Mo0P4S11,-0.2108710096519065
Mo0P4S13,-0.2006574624394182
Mo0P4S15,-0.19967773371186773
Mo0P5S1,-0.02861491760841495
Mo0P5S2,-0.04291363160552895
Mo0P5S3,-0.06195743016420281
Mo0P5S4,-0.07205993077747841
Mo0P5S6,-0.23143875214873705
Mo0P5S7,-0.23271988643797722
Mo0P5S8,-0.23038656770568622
Mo0P5S9,-0.2329756169126884
Mo0P5S11,-0.2178095276665372
Mo0P5S12,-0.21062817488387092
Mo0P5S13,-0.21117162758988528
Mo0P5S14,-0.2152294109658832
Mo0P6S1,-0.029605153683897788
Mo0P6S5,-0.09173664444779503
Mo0P6S7,-0.2327781160197904
Mo0P6S11,-0.22498635749874496
Mo0P6S13,-0.21647911987871093
Mo0P7S1,-0.031146092942025274
Mo0P7S2,-0.041136186163715865
Mo0P7S3,-0.06349996757021785
Mo0P7S4,-0.08036247561662618
Mo0P7S5,-0.10576620411655765
Mo0P7S6,-0.1099895558481594
Mo0P7S8,-0.23244842425739048
Mo0P7S9,-0.22855643178556917
Mo0P7S10,-0.22986878575856554
Mo0P7S11,-0.21679413691774346
Mo0P7S12,-0.22098976927238576
Mo0P7S13,-0.21625736212095442
Mo0P8S1,-0.03317042843986077
Mo0P8S3,-0.06527487613550877
Mo0P8S5,-0.10578841299101653
Mo0P8S7,-0.1162863534370514
Mo0P8S9,-0.23185104665322648
Mo0P8S11,-0.22268901796579763
Mo0P9S1,-0.04386228882947116
Mo0P9S2,-0.06119468050271019
Mo0P9S4,-0.09663980545345602
Mo0P9S5,-0.10361361887336948
Mo0P9S7,-0.11595385155735215
Mo0P9S8,-0.12114443882154995
Mo0P9S10,-0.22534636553570273
Mo0P9S11,-0.22078142087798686
Mo0P10S1,-0.05221476044119278
Mo0P10S3,-0.0787215358757685
Mo0P10S7,-0.12465483384319494
Mo0P10S9,-0.12938558845700218
Mo0P11S1,-0.06539568875797402
Mo0P11S2,-0.08104019496667761
Mo0P11S3,-0.07983965925239188
Mo0P11S4,-0.08882590606930046
Mo0P11S5,-0.10859886454436514
Mo0P11S6,-0.12382813054649162
Mo0P11S7,-0.12182785440596548
Mo0P11S8,-0.12249108845700216
Mo0P11S9,-0.12930767946599317
Mo0P12S1,-0.0739133190610043
Mo0P12S5,-0.11653008509194619
Mo0P12S7,-0.12204199321890692
Mo0P13S1,-0.07522762100905628
Mo0P13S2,-0.08435733241256503
Mo0P13S3,-0.09966239446162709
Mo0P13S4,-0.10489727108500374
Mo0P13S5,-0.11111736858476917
Mo0P13S6,-0.11890885685527057
Mo0P13S7,-0.11910786994218363
Mo0P14S1,-0.08949044496288025
Mo0P14S3,-0.09246274186422447
Mo0P14S5,-0.1129018687030719
Mo0P15S1,-0.08868234972478499
Mo0P15S2,-0.09441715095513356
Mo0P15S4,-0.09927263846937368
Mo1P0S0,-0.22195404780047098
Mo1P0S1,-0.39233138155733166
Mo1P0S2,-0.33984788455564074
Mo1P0S3,-0.2814974227152879
Mo1P0S4,-0.2871082193302742
Mo1P0S5,-0.27561179144972675
Mo1P0S6,-0.2628233142964706
Mo1P0S7,-0.24764944171820616
Mo1P0S8,-0.22883844233011577
Mo1P0S9,-0.22230188194897643
Mo1P0S10,-0.22097962896449105
Mo1P0S11,-0.21790572195524635
Mo1P0S12,-0.21265376252149118
Mo1P0S13,-0.20869920263693134
Mo1P0S14,-0.2065901267699019
Mo1P0S15,-0.20535996206401957
Mo1P1S0,-0.21188909444232246
Mo1P1S1,-0.253466666666667
Mo1P1S2,-0.2861195246017056
Mo1P1S3,-0.3250124897726457
Mo1P1S4,-0.37474842510332806
Mo1P1S5,-0.3266059639043104
Mo1P1S6,-0.2861918468929762
Mo1P1S7,-0.2772441700280112
Mo1P1S8,-0.2728806057804943
Mo1P1S9,-0.2618543959638403
Mo1P1S10,-0.2453532357025329
Mo1P1S11,-0.2208024118283677
Mo1P1S12,-0.21670632602771328
Mo1P1S13,-0.20086941520603577
Mo1P1S14,-0.20270082334071163
Mo1P1S15,-0.196623942391707
Mo1P2S0,-0.12298742169595106
Mo1P2S1,-0.22361353795093802
Mo1P2S2,-0.3231605973449754
Mo1P2S3,-0.3487339441204222
Mo1P2S4,-0.32682501904067707
Mo1P2S5,-0.28761838410633017
Mo1P2S6,-0.27161111111111064
Mo1P2S7,-0.2887200000000005
Mo1P2S8,-0.27608181818181854
Mo1P2S9,-0.2538668884824328
Mo1P2S10,-0.2292730059566251
Mo1P2S11,-0.22797687467889868
Mo1P2S12,-0.20776948801166154
Mo1P2S13,-0.20423495330421215
Mo1P2S14,-0.20247135136263808
Mo1P2S15,-0.19481829165289477
Mo1P3S0,-0.09475308158606088
Mo1P3S1,-0.23372623860028863
Mo1P3S2,-0.2462506961399712
Mo1P3S3,-0.28005585013670536
Mo1P3S4,-0.2898278008118298
Mo1P3S5,-0.2754202474671526
Mo1P3S6,-0.27913207160682474
Mo1P3S7,-0.271072213954673
Mo1P3S8,-0.25985399024798755
Mo1P3S9,-0.2387554318488701
Mo1P3S10,-0.222619013093116
Mo1P3S11,-0.21153976081532844
Mo1P3S12,-0.21381406194720312
Mo1P3S13,-0.2119765065171842
Mo1P3S14,-0.20042348687686584
Mo1P3S15,-0.2038145969635799
Mo1P4S0,-0.08098854458154495
Mo1P4S1,-0.2509871801226552
Mo1P4S2,-0.20238300450178476
Mo1P4S3,-0.15593999036037073
Mo1P4S4,-0.2218537917748918
Mo1P4S5,-0.27727404332757033
Mo1P4S6,-0.26656278249724147
Mo1P4S7,-0.26341412522580643
Mo1P4S8,-0.24087726742086604
Mo1P4S9,-0.22801959996805737
Mo1P4S10,-0.21324341973941088
Mo1P4S11,-0.21213860624310324
Mo1P4S12,-0.22322941176470582
Mo1P4S13,-0.20339507286487157
Mo1P4S14,-0.205814465010703
Mo1P4S15,-0.21423676306052053
Mo1P5S0,-0.05360703017503644
Mo1P5S1,-0.19934412139249635
Mo1P5S2,-0.16712558758259288
Mo1P5S3,-0.1512819122655123
Mo1P5S4,-0.15875172986588573
Mo1P5S5,-0.2163277338680928
Mo1P5S6,-0.2637940365442093
Mo1P5S7,-0.24401665181098578
Mo1P5S8,-0.22429356313822055
Mo1P5S9,-0.2166958003160753
Mo1P5S10,-0.2130330846298008
Mo1P5S11,-0.21296664488270575
Mo1P5S12,-0.2098942141820683
Mo1P5S13,-0.21037593972721463
Mo1P5S14,-0.2188842726062036
Mo1P6S0,-0.05599872198812533
Mo1P6S1,-0.17533873015113538
Mo1P6S2,-0.16456133362193362
Mo1P6S3,-0.16934457063067654
Mo1P6S4,-0.15832187773533654
Mo1P6S5,-0.1568386535268653
Mo1P6S6,-0.2089444634349656
Mo1P6S7,-0.22558899174270863
Mo1P6S8,-0.2240875265559174
Mo1P6S9,-0.21845814623345344
Mo1P6S10,-0.21604878304763683
Mo1P6S11,-0.21789838708938117
Mo1P6S12,-0.228035988590357
Mo1P6S13,-0.227032845644354
Mo1P7S0,-0.04902130423920761
Mo1P7S1,-0.15411892857142853
Mo1P7S2,-0.15963064469484764
Mo1P7S3,-0.16702038430099314
Mo1P7S4,-0.1606635111026228
Mo1P7S5,-0.14396923296409472
Mo1P7S6,-0.12989403343094813
Mo1P7S7,-0.18958178118714789
Mo1P7S8,-0.2182604453283387
Mo1P7S9,-0.22080808345273575
Mo1P7S10,-0.2237708866751411
Mo1P7S11,-0.23317461587559335
Mo1P7S12,-0.23056631495595054
Mo1P8S0,-0.043664926172829535
Mo1P8S1,-0.1490332224726254
Mo1P8S2,-0.15963087131398013
