formula,target
Na0P0S1,-0.23407036915518264
Na0P1S0,0.002609444083694088
Na0P1S1,-0.25385020394122554
Na0P1S2,-0.2310874048153429
Na0P1S3,-0.211892510823284
Na0P1S4,-0.2011446531117919
Na0P1S5,-0.18120884712099047
Na0P1S6,-0.17035530497205753
Na0P1S7,-0.1757307844393309
Na0P1S8,-0.17731344143805114
Na0P1S9,-0.17770079358769889
Na0P1S10,-0.17389530669158845
Na0P1S11,-0.17355469497781204
Na0P1S12,-0.16992109567515393
Na0P1S13,-0.1743600745354577
Na0P1S14,-0.17047913856477204
Na0P1S15,-0.16530531308457624
Na0P2S1,-0.09387679610769344
Na0P2S3,-0.2380716164147514
Na0P2S5,-0.21472401478353093
Na0P2S7,-0.1952177966201841
Na0P2S9,-0.17800007941697107
Na0P2S11,-0.18262295026526626
Na0P2S13,-0.18049088119553308
Na0P2S15,-0.1756215039983752
Na0P3S1,-0.06426489120148854
Na0P3S2,-0.07373743954203689
Na0P3S4,-0.23335333212191142
Na0P3S5,-0.23181487818211202
Na0P3S7,-0.21441877812989393
Na0P3S8,-0.20630427217997013
Na0P3S10,-0.19437874228944435
Na0P3S11,-0.1923362896641542
Na0P3S13,-0.18888199013700435
Na0P3S14,-0.18511375206187
Na0P4S1,-0.043931002456899806
Na0P4S3,-0.05470878676213706
Na0P4S5,-0.23780494921768117
Na0P4S7,-0.2218486509633298
Na0P4S9,-0.21496591927736877
Na0P4S11,-0.2108710096519065
Na0P4S13,-0.2006574624394182
Na0P4S15,-0.19967773371186773
Na0P5S1,-0.02861491760841495
Na0P5S2,-0.04291363160552895
Na0P5S3,-0.06195743016420281
Na0P5S4,-0.07205993077747841
Na0P5S6,-0.23143875214873705
Na0P5S7,-0.23271988643797722
Na0P5S8,-0.23038656770568622
Na0P5S9,-0.2329756169126884
Na0P5S11,-0.2178095276665372
Na0P5S12,-0.21062817488387092
Na0P5S13,-0.21117162758988528
Na0P5S14,-0.2152294109658832
Na0P6S1,-0.029605153683897788
Na0P6S5,-0.09173664444779503
Na0P6S7,-0.2327781160197904
Na0P6S11,-0.22498635749874496
Na0P6S13,-0.21647911987871093
Na0P7S1,-0.031146092942025274
Na0P7S2,-0.041136186163715865
Na0P7S3,-0.06349996757021785
Na0P7S4,-0.08036247561662618
Na0P7S5,-0.10576620411655765
Na0P7S6,-0.1099895558481594
Na0P7S8,-0.23244842425739048
Na0P7S9,-0.22855643178556917
Na0P7S10,-0.22986878575856554
Na0P7S11,-0.21679413691774346
Na0P7S12,-0.22098976927238576
Na0P7S13,-0.21625736212095442
Na0P8S1,-0.03317042843986077
Na0P8S3,-0.06527487613550877
Na0P8S5,-0.10578841299101653
Na0P8S7,-0.1162863534370514
Na0P8S9,-0.23185104665322648
Na0P8S11,-0.22268901796579763
Na0P9S1,-0.04386228882947116
Na0P9S2,-0.06119468050271019
Na0P9S4,-0.09663980545345602
Na0P9S5,-0.10361361887336948
Na0P9S7,-0.11595385155735215
Na0P9S8,-0.12114443882154995
Na0P9S10,-0.22534636553570273
Na0P9S11,-0.22078142087798686
Na0P10S1,-0.05221476044119278
Na0P10S3,-0.0787215358757685
Na0P10S7,-0.12465483384319494
Na0P10S9,-0.12938558845700218
Na0P11S1,-0.06539568875797402
Na0P11S2,-0.08104019496667761
Na0P11S3,-0.07983965925239188
Na0P11S4,-0.08882590606930046
Na0P11S5,-0.10859886454436514
Na0P11S6,-0.12382813054649162
Na0P11S7,-0.12182785440596548
Na0P11S8,-0.12249108845700216
Na0P11S9,-0.12930767946599317
Na0P12S1,-0.0739133190610043
Na0P12S5,-0.11653008509194619
Na0P12S7,-0.12204199321890692
Na0P13S1,-0.07522762100905628
Na0P13S2,-0.08435733241256503
Na0P13S3,-0.09966239446162709
Na0P13S4,-0.10489727108500374
Na0P13S5,-0.11111736858476917
Na0P13S6,-0.11890885685527057
Na0P13S7,-0.11910786994218363
Na0P14S1,-0.08949044496288025
Na0P14S3,-0.09246274186422447
Na0P14S5,-0.1129018687030719
Na0P15S1,-0.08868234972478499
Na0P15S2,-0.09441715095513356
Na0P15S4,-0.09927263846937368
Na1P0S0,-0.22195404780047098
Na1P0S1,-0.9831096369047613
Na1P0S2,-0.895572112146187
Na1P0S3,-0.7982716098901099
Na1P0S4,-0.7005159633616386
Na1P0S5,-0.6440901319334259
Na1P0S6,-0.6250430811425584
Na1P0S7,-0.5633234983454108
Na1P0S8,-0.5238981261403027
Na1P0S9,-0.5075564117187765
Na1P0S10,-0.4951887342068149
Na1P0S11,-0.4923889298568133
Na1P0S12,-0.48610343153927255
Na1P0S13,-0.4737051837024859
Na1P0S14,-0.4692807182881618
Na1P0S15,-0.4632523384448368
Na1P1S0,-0.979718645238095
Na1P1S1,-1.1135417695526695
Na1P1S2,-0.7925402310439563
Na1P1S3,-0.5996000000000009
Na1P1S4,-0.6838721253246756
Na1P1S5,-0.6965508898496239
Na1P1S6,-0.677426208350868
Na1P1S7,-0.6121415027211521
Na1P1S8,-0.5824423659315056
Na1P1S9,-0.5767844456856693
Na1P1S10,-0.5724887082521021
Na1P1S11,-0.577259621752774
Na1P1S12,-0.5722078475708501
Na1P1S13,-0.5645435877591104
Na1P1S14,-0.5524501759059824
Na1P1S15,-0.5200754970850443
Na1P2S0,-0.8769557399267395
Na1P2S1,-0.8038086873626377
Na1P2S2,-0.6748433155982911
Na1P2S3,-0.6695412857087361
Na1P2S4,-0.6825303847155763
Na1P2S5,-0.6637103370893809
Na1P2S6,-0.6200133583061932
Na1P2S7,-0.595664712190905
Na1P2S8,-0.5813348845622729
Na1P2S9,-0.5709957180340987
Na1P2S10,-0.5773920451862035
Na1P2S11,-0.5745973765243528
Na1P2S12,-0.5694914235410788
Na1P2S13,-0.5751568942316541
Na1P2S14,-0.5358561572126359
Na1P2S15,-0.5290528848208723
Na1P3S0,-0.715550311019536
Na1P3S1,-0.6886784867216117
Na1P3S2,-0.7162903702470045
Na1P3S3,-0.6771601917947722
Na1P3S4,-0.6180456717299038
Na1P3S5,-0.6161587204615817
Na1P3S6,-0.596322279860078
Na1P3S7,-0.5820254660150479
Na1P3S8,-0.5803850424882824
Na1P3S9,-0.5818426408437625
Na1P3S10,-0.5814504677515296
Na1P3S11,-0.5737423832287595
Na1P3S12,-0.5759836136912794
Na1P3S13,-0.552701331584841
Na1P3S14,-0.5461989257056152
Na1P3S15,-0.515898961090973
Na1P4S0,-0.6210623201159944
Na1P4S1,-0.7089790525692315
Na1P4S2,-0.6658800651689127
Na1P4S3,-0.5872435913361839
Na1P4S4,-0.5983715324579276
Na1P4S5,-0.5960176083749927
