formula,target
Os0P0S1,-0.23407036915518264
Os0P1S0,0.002609444083694088
Os0P1S1,-0.25385020394122554
Os0P1S2,-0.2310874048153429
Os0P1S3,-0.211892510823284
Os0P1S4,-0.2011446531117919
Os0P1S5,-0.18120884712099047
Os0P1S6,-0.17035530497205753
Os0P1S7,-0.1757307844393309
Os0P1S8,-0.17731344143805114
Os0P1S9,-0.17770079358769889
Os0P1S10,-0.17389530669158845
Os0P1S11,-0.17355469497781204
Os0P1S12,-0.16992109567515393
Os0P1S13,-0.1743600745354577
Os0P1S14,-0.17047913856477204
Os0P1S15,-0.16530531308457624
Os0P2S1,-0.09387679610769344
Os0P2S3,-0.2380716164147514
Os0P2S5,-0.21472401478353093
Os0P2S7,-0.1952177966201841
Os0P2S9,-0.17800007941697107
Os0P2S11,-0.18262295026526626
Os0P2S13,-0.18049088119553308
Os0P2S15,-0.1756215039983752
Os0P3S1,-0.06426489120148854
Os0P3S2,-0.07373743954203689
Os0P3S4,-0.23335333212191142
Os0P3S5,-0.23181487818211202
Os0P3S7,-0.21441877812989393
Os0P3S8,-0.20630427217997013
Os0P3S10,-0.19437874228944435
Os0P3S11,-0.1923362896641542
Os0P3S13,-0.18888199013700435
Os0P3S14,-0.18511375206187
Os0P4S1,-0.043931002456899806
Os0P4S3,-0.05470878676213706
Os0P4S5,-0.23780494921768117
Os0P4S7,-0.2218486509633298
Os0P4S9,-0.21496591927736877
Os0P4S11,-0.2108710096519065
Os0P4S13,-0.2006574624394182
Os0P4S15,-0.19967773371186773
Os0P5S1,-0.02861491760841495
Os0P5S2,-0.04291363160552895
Os0P5S3,-0.06195743016420281
Os0P5S4,-0.07205993077747841
Os0P5S6,-0.23143875214873705
Os0P5S7,-0.23271988643797722
Os0P5S8,-0.23038656770568622
Os0P5S9,-0.2329756169126884
Os0P5S11,-0.2178095276665372
Os0P5S12,-0.21062817488387092
Os0P5S13,-0.21117162758988528
Os0P5S14,-0.2152294109658832
Os0P6S1,-0.029605153683897788
Os0P6S5,-0.09173664444779503
Os0P6S7,-0.2327781160197904
Os0P6S11,-0.22498635749874496
Os0P6S13,-0.21647911987871093
Os0P7S1,-0.031146092942025274
Os0P7S2,-0.041136186163715865
Os0P7S3,-0.06349996757021785
Os0P7S4,-0.08036247561662618
Os0P7S5,-0.10576620411655765
Os0P7S6,-0.1099895558481594
Os0P7S8,-0.23244842425739048
Os0P7S9,-0.22855643178556917
Os0P7S10,-0.22986878575856554
Os0P7S11,-0.21679413691774346
Os0P7S12,-0.22098976927238576
Os0P7S13,-0.21625736212095442
Os0P8S1,-0.03317042843986077
Os0P8S3,-0.06527487613550877
Os0P8S5,-0.10578841299101653
Os0P8S7,-0.1162863534370514
Os0P8S9,-0.23185104665322648
Os0P8S11,-0.22268901796579763
Os0P9S1,-0.04386228882947116
Os0P9S2,-0.06119468050271019
Os0P9S4,-0.09663980545345602
Os0P9S5,-0.10361361887336948
Os0P9S7,-0.11595385155735215
Os0P9S8,-0.12114443882154995
Os0P9S10,-0.22534636553570273
Os0P9S11,-0.22078142087798686
Os0P10S1,-0.05221476044119278
Os0P10S3,-0.0787215358757685
Os0P10S7,-0.12465483384319494
Os0P10S9,-0.12938558845700218
Os0P11S1,-0.06539568875797402
Os0P11S2,-0.08104019496667761
Os0P11S3,-0.07983965925239188
Os0P11S4,-0.08882590606930046
Os0P11S5,-0.10859886454436514
Os0P11S6,-0.12382813054649162
Os0P11S7,-0.12182785440596548
Os0P11S8,-0.12249108845700216
Os0P11S9,-0.12930767946599317
Os0P12S1,-0.0739133190610043
Os0P12S5,-0.11653008509194619
Os0P12S7,-0.12204199321890692
Os0P13S1,-0.07522762100905628
Os0P13S2,-0.08435733241256503
Os0P13S3,-0.09966239446162709
Os0P13S4,-0.10489727108500374
Os0P13S5,-0.11111736858476917
Os0P13S6,-0.11890885685527057
Os0P13S7,-0.11910786994218363
Os0P14S1,-0.08949044496288025
Os0P14S3,-0.09246274186422447
Os0P14S5,-0.1129018687030719
Os0P15S1,-0.08868234972478499
Os0P15S2,-0.09441715095513356
Os0P15S4,-0.09927263846937368
Os1P0S0,-0.20380271713114032
Os1P0S1,-0.36605976309523824
Os1P0S2,-0.4020798731731717
Os1P0S3,-0.3574177608349424
Os1P0S4,-0.2940574222641566
Os1P0S5,-0.2549393703766565
Os1P0S6,-0.22561707001248674
Os1P0S7,-0.19721771579576255
Os1P0S8,-0.17776630145242614
Os1P0S9,-0.1673460452549341
Os1P0S10,-0.16316965864852365
Os1P0S11,-0.16002460807822189
Os1P0S12,-0.15406486219414384
Os1P0S13,-0.15620897697334468
Os1P0S14,-0.1607014749968382
Os1P0S15,-0.17553416371629738
Os1P1S0,-0.05695271728271725
Os1P1S1,-0.5651666666666679
Os1P1S2,-0.368385473450234
Os1P1S3,-0.26313485017447297
Os1P1S4,-0.18388845870796733
Os1P1S5,-0.12725697601274702
Os1P1S6,-0.02487500000000003
Os1P1S7,-0.13105424048174039
Os1P1S8,-0.13162762201426004
Os1P1S9,-0.1170758379156273
Os1P1S10,-0.10699476028840424
Os1P1S11,-0.0991878541027599
Os1P1S12,-0.08428330583501459
Os1P1S13,-0.07309089267296169
Os1P1S14,-0.0729006882515661
Os1P1S15,-0.07809847701833769
Os1P2S0,0.04490868639693644
Os1P2S1,-0.061324757575757546
Os1P2S2,-0.22939079243338362
Os1P2S3,-0.21525440157242154
Os1P2S4,-0.17236705291962942
Os1P2S5,-0.12049698346847502
