formula,target
Re0P0S1,-0.23407036915518264
Re0P1S0,0.002609444083694088
Re0P1S1,-0.25385020394122554
Re0P1S2,-0.2310874048153429
Re0P1S3,-0.211892510823284
Re0P1S4,-0.2011446531117919
Re0P1S5,-0.18120884712099047
Re0P1S6,-0.17035530497205753
Re0P1S7,-0.1757307844393309
Re0P1S8,-0.17731344143805114
Re0P1S9,-0.17770079358769889
Re0P1S10,-0.17389530669158845
Re0P1S11,-0.17355469497781204
Re0P1S12,-0.16992109567515393
Re0P1S13,-0.1743600745354577
Re0P1S14,-0.17047913856477204
Re0P1S15,-0.16530531308457624
Re0P2S1,-0.09387679610769344
Re0P2S3,-0.2380716164147514
Re0P2S5,-0.21472401478353093
Re0P2S7,-0.1952177966201841
Re0P2S9,-0.17800007941697107
Re0P2S11,-0.18262295026526626
Re0P2S13,-0.18049088119553308
Re0P2S15,-0.1756215039983752
Re0P3S1,-0.06426489120148854
Re0P3S2,-0.07373743954203689
Re0P3S4,-0.23335333212191142
Re0P3S5,-0.23181487818211202
Re0P3S7,-0.21441877812989393
Re0P3S8,-0.20630427217997013
Re0P3S10,-0.19437874228944435
Re0P3S11,-0.1923362896641542
Re0P3S13,-0.18888199013700435
Re0P3S14,-0.18511375206187
Re0P4S1,-0.043931002456899806
Re0P4S3,-0.05470878676213706
Re0P4S5,-0.23780494921768117
Re0P4S7,-0.2218486509633298
Re0P4S9,-0.21496591927736877
Re0P4S11,-0.2108710096519065
Re0P4S13,-0.2006574624394182
Re0P4S15,-0.19967773371186773
Re0P5S1,-0.02861491760841495
Re0P5S2,-0.04291363160552895
Re0P5S3,-0.06195743016420281
Re0P5S4,-0.07205993077747841
Re0P5S6,-0.23143875214873705
Re0P5S7,-0.23271988643797722
Re0P5S8,-0.23038656770568622
Re0P5S9,-0.2329756169126884
Re0P5S11,-0.2178095276665372
Re0P5S12,-0.21062817488387092
Re0P5S13,-0.21117162758988528
Re0P5S14,-0.2152294109658832
Re0P6S1,-0.029605153683897788
Re0P6S5,-0.09173664444779503
Re0P6S7,-0.2327781160197904
Re0P6S11,-0.22498635749874496
Re0P6S13,-0.21647911987871093
Re0P7S1,-0.031146092942025274
Re0P7S2,-0.041136186163715865
Re0P7S3,-0.06349996757021785
Re0P7S4,-0.08036247561662618
Re0P7S5,-0.10576620411655765
Re0P7S6,-0.1099895558481594
Re0P7S8,-0.23244842425739048
Re0P7S9,-0.22855643178556917
Re0P7S10,-0.22986878575856554
Re0P7S11,-0.21679413691774346
Re0P7S12,-0.22098976927238576
Re0P7S13,-0.21625736212095442
Re0P8S1,-0.03317042843986077
Re0P8S3,-0.06527487613550877
Re0P8S5,-0.10578841299101653
Re0P8S7,-0.1162863534370514
Re0P8S9,-0.23185104665322648
Re0P8S11,-0.22268901796579763
Re0P9S1,-0.04386228882947116
Re0P9S2,-0.06119468050271019
Re0P9S4,-0.09663980545345602
Re0P9S5,-0.10361361887336948
Re0P9S7,-0.11595385155735215
Re0P9S8,-0.12114443882154995
Re0P9S10,-0.22534636553570273
Re0P9S11,-0.22078142087798686
Re0P10S1,-0.05221476044119278
Re0P10S3,-0.0787215358757685
Re0P10S7,-0.12465483384319494
Re0P10S9,-0.12938558845700218
Re0P11S1,-0.06539568875797402
Re0P11S2,-0.08104019496667761
Re0P11S3,-0.07983965925239188
Re0P11S4,-0.08882590606930046
Re0P11S5,-0.10859886454436514
Re0P11S6,-0.12382813054649162
Re0P11S7,-0.12182785440596548
Re0P11S8,-0.12249108845700216
Re0P11S9,-0.12930767946599317
Re0P12S1,-0.0739133190610043
Re0P12S5,-0.11653008509194619
Re0P12S7,-0.12204199321890692
Re0P13S1,-0.07522762100905628
Re0P13S2,-0.08435733241256503
Re0P13S3,-0.09966239446162709
Re0P13S4,-0.10489727108500374
Re0P13S5,-0.11111736858476917
Re0P13S6,-0.11890885685527057
Re0P13S7,-0.11910786994218363
Re0P14S1,-0.08949044496288025
Re0P14S3,-0.09246274186422447
Re0P14S5,-0.1129018687030719
Re0P15S1,-0.08868234972478499
Re0P15S2,-0.09441715095513356
Re0P15S4,-0.09927263846937368
Re1P0S0,-0.20566182427399746
Re1P0S1,-0.2667701365770195
Re1P0S2,-0.2754584759696444
Re1P0S3,-0.3102040872549966
Re1P0S4,-0.28658056034792523
Re1P0S5,-0.2694773579884684
Re1P0S6,-0.24989242163444575
Re1P0S7,-0.23214870584367478
Re1P0S8,-0.21063994537894165
Re1P0S9,-0.19880639409692466
Re1P0S10,-0.18455863129581965
Re1P0S11,-0.17333485723868475
Re1P0S12,-0.16688404086285216
Re1P0S13,-0.17117056308211898
Re1P0S14,-0.1809023385434998
Re1P0S15,-0.18878258235337925
Re1P1S0,-0.06727574004329004
Re1P1S1,0.048966666666666735
Re1P1S2,-0.23791361570271832
Re1P1S3,-0.2551302109378323
Re1P1S4,-0.23821689331840332
Re1P1S5,-0.18367040604226365
Re1P1S6,-0.11388550950759764
Re1P1S7,-0.12822157021344657
Re1P1S8,-0.12913832172010983
Re1P1S9,-0.10989911545676538
Re1P1S10,-0.11158584804607141
Re1P1S11,-0.11133081859317137
Re1P1S12,-0.11184169224337738
Re1P1S13,-0.11280180541071397
Re1P1S14,-0.10664607478692602
Re1P1S15,-0.11414305628375736
Re1P2S0,0.015228525108225102
Re1P2S1,-0.004581897619047632
Re1P2S2,-0.21100692994753767
Re1P2S3,-0.2551526918933665
Re1P2S4,-0.23609092924000677
Re1P2S5,-0.18270587693164245
Re1P2S6,-0.17379999999999998
Re1P2S7,-0.14428999999999984
Re1P2S8,-0.1038727272727271
Re1P2S9,-0.10911377056766745
Re1P2S10,-0.11742935479226636
Re1P2S11,-0.11462469830181839
Re1P2S12,-0.10858060114117891
Re1P2S13,-0.10701310449517785
Re1P2S14,-0.10879755534197472
Re1P2S15,-0.11290669694856213
Re1P3S0,0.02796493250083251
Re1P3S1,0.01557148614718613
Re1P3S2,0.053508999567099605
Re1P3S3,-0.1525636371143562
Re1P3S4,-0.2128036624128281
Re1P3S5,-0.20726136001734768
Re1P3S6,-0.17856653555763122
Re1P3S7,-0.127913775078516
Re1P3S8,-0.1227926283833811
Re1P3S9,-0.12469492966804412
Re1P3S10,-0.11937288689982165
Re1P3S11,-0.11469037038186254
Re1P3S12,-0.1081462486973809
Re1P3S13,-0.11026544275332491
Re1P3S14,-0.11844940843831074
Re1P3S15,-0.1251017079839663
Re1P4S0,0.0380123402930403
Re1P4S1,0.04888617813852818
Re1P4S2,0.08292552543290045
Re1P4S3,0.08238786529492181
Re1P4S4,-0.12700823901312824
Re1P4S5,-0.2042632746832373
Re1P4S6,-0.17608955407523322
Re1P4S7,-0.15666654786572196
Re1P4S8,-0.148413939869298
Re1P4S9,-0.13597521010700658
Re1P4S10,-0.12299378171317824
Re1P4S11,-0.12068733519834113
Re1P4S12,-0.12121176470588205
Re1P4S13,-0.1409170100285762
Re1P4S14,-0.15262697338450998
Re1P4S15,-0.18244694568640846
Re1P5S0,0.05636317543012547
Re1P5S1,0.07710177511961727
Re1P5S2,0.0887109980434598
Re1P5S3,0.08629284588655241
Re1P5S4,0.038136608144469925
Re1P5S5,-0.11919374966575388
Re1P5S6,-0.17959056447329744
Re1P5S7,-0.1798095402893975
Re1P5S8,-0.17330335533475796
Re1P5S9,-0.1655485250201465
Re1P5S10,-0.16721455254109474
Re1P5S11,-0.16242398727430093
Re1P5S12,-0.18372645895463313
Re1P5S13,-0.19688608868582397
Re1P5S14,-0.2152265759669983
Re1P6S0,0.07012195032190037
Re1P6S1,0.08975120460911638
Re1P6S2,0.09413704631185803
Re1P6S3,0.044108312672947986
Re1P6S4,0.02870417487904252
Re1P6S5,0.0025262284219908183
Re1P6S6,-0.1211629136456594
Re1P6S7,-0.18097532921818454
Re1P6S8,-0.17882349281973606
Re1P6S9,-0.18277528027125947
Re1P6S10,-0.1817192302532348
Re1P6S11,-0.19550550788578458
Re1P6S12,-0.20685144687050144
Re1P6S13,-0.2219871997863506
Re1P7S0,0.07697918408813413
Re1P7S1,0.09674678837535013
Re1P7S2,0.04760982998896529
Re1P7S3,0.025467928889737715
Re1P7S4,0.006064896524064182
Re1P7S5,-0.00891161409472879
Re1P7S6,-0.031970700981698026
Re1P7S7,-0.13027466530002502
Re1P7S8,-0.1858229845577538
Re1P7S9,-0.18883004685586158
Re1P7S10,-0.20200354345970503
Re1P7S11,-0.2104056420050882
Re1P7S12,-0.2283004201613317
Re1P8S0,0.08122673998746356
Re1P8S1,0.05206790964264498
Re1P8S2,0.02404129196587726
Re1P8S3,0.00823845280112046
Re1P8S4,-0.013780078326575374
Re1P8S5,-0.024397548456445484
Re1P8S6,-0.031872938745894606
Re1P8S7,-0.038353995221342106
Re1P8S8,-0.13763355611083097
Re1P8S9,-0.19922989093648003
Re1P8S10,-0.21019066583382223
Re1P8S11,-0.22446350268046367
Re1P9S0,0.06420361228183587
Re1P9S1,0.03470080798319328
Re1P9S2,0.005374263929208059
Re1P9S3,-0.006833830045444744
Re1P9S4,-0.02194412777908364
Re1P9S5,-0.023546307432763296
Re1P9S6,-0.032515289979628194
Re1P9S7,-0.049328703013549885
Re1P9S8,-0.05508908182823363
Re1P9S9,-0.15381106513847342
Re1P9S10,-0.22070510865807738
Re1P10S0,0.03501667916495273
Re1P10S1,-0.0012878810924369744
Re1P10S2,-0.013185074201288907
Re1P10S3,-0.01634335505181092
Re1P10S4,-0.027917638229417608
Re1P10S5,-0.027220024382480237
Re1P10S6,-0.033418082824038686
Re1P10S7,-0.04958140216785274
Re1P10S8,-0.061183551525203314
Re1P10S9,-0.055407554031469
Re1P11S0,0.023699073970147505
Re1P11S1,-0.010975998443713149
Re1P11S2,-0.017567034705490564
Re1P11S3,-0.02495975663062426
Re1P11S4,-0.027056327412783267
Re1P11S5,-0.030418385854341708
Re1P11S6,-0.03478476133850667
Re1P11S7,-0.04736675510902922
Re1P11S8,-0.0548991329788374
Re1P12S0,0.019806742459552832
Re1P12S1,-0.011686757316213194
Re1P12S2,-0.026183436284303904
Re1P12S3,-0.027056327412783267
Re1P12S4,-0.030254688884644734
Re1P12S5,-0.029120412853658184
Re1P12S6,-0.03731344315668849
