formula,target
Ru0P0S1,-0.23407036915518264
Ru0P1S0,0.002609444083694088
Ru0P1S1,-0.25385020394122554
Ru0P1S2,-0.2310874048153429
Ru0P1S3,-0.211892510823284
Ru0P1S4,-0.2011446531117919
Ru0P1S5,-0.18120884712099047
Ru0P1S6,-0.17035530497205753
Ru0P1S7,-0.1757307844393309
Ru0P1S8,-0.17731344143805114
Ru0P1S9,-0.17770079358769889
Ru0P1S10,-0.17389530669158845
Ru0P1S11,-0.17355469497781204
Ru0P1S12,-0.16992109567515393
Ru0P1S13,-0.1743600745354577
Ru0P1S14,-0.17047913856477204
Ru0P1S15,-0.16530531308457624
Ru0P2S1,-0.09387679610769344
Ru0P2S3,-0.2380716164147514
Ru0P2S5,-0.21472401478353093
Ru0P2S7,-0.1952177966201841
Ru0P2S9,-0.17800007941697107
Ru0P2S11,-0.18262295026526626
Ru0P2S13,-0.18049088119553308
Ru0P2S15,-0.1756215039983752
Ru0P3S1,-0.06426489120148854
Ru0P3S2,-0.07373743954203689
Ru0P3S4,-0.23335333212191142
Ru0P3S5,-0.23181487818211202
Ru0P3S7,-0.21441877812989393
Ru0P3S8,-0.20630427217997013
Ru0P3S10,-0.19437874228944435
Ru0P3S11,-0.1923362896641542
Ru0P3S13,-0.18888199013700435
Ru0P3S14,-0.18511375206187
Ru0P4S1,-0.043931002456899806
Ru0P4S3,-0.05470878676213706
Ru0P4S5,-0.23780494921768117
Ru0P4S7,-0.2218486509633298
Ru0P4S9,-0.21496591927736877
Ru0P4S11,-0.2108710096519065
Ru0P4S13,-0.2006574624394182
Ru0P4S15,-0.19967773371186773
Ru0P5S1,-0.02861491760841495
Ru0P5S2,-0.04291363160552895
Ru0P5S3,-0.06195743016420281
Ru0P5S4,-0.07205993077747841
Ru0P5S6,-0.23143875214873705
Ru0P5S7,-0.23271988643797722
Ru0P5S8,-0.23038656770568622
Ru0P5S9,-0.2329756169126884
Ru0P5S11,-0.2178095276665372
Ru0P5S12,-0.21062817488387092
Ru0P5S13,-0.21117162758988528
Ru0P5S14,-0.2152294109658832
Ru0P6S1,-0.029605153683897788
Ru0P6S5,-0.09173664444779503
Ru0P6S7,-0.2327781160197904
Ru0P6S11,-0.22498635749874496
Ru0P6S13,-0.21647911987871093
Ru0P7S1,-0.031146092942025274
Ru0P7S2,-0.041136186163715865
Ru0P7S3,-0.06349996757021785
Ru0P7S4,-0.08036247561662618
Ru0P7S5,-0.10576620411655765
Ru0P7S6,-0.1099895558481594
Ru0P7S8,-0.23244842425739048
Ru0P7S9,-0.22855643178556917
Ru0P7S10,-0.22986878575856554
Ru0P7S11,-0.21679413691774346
Ru0P7S12,-0.22098976927238576
Ru0P7S13,-0.21625736212095442
Ru0P8S1,-0.03317042843986077
Ru0P8S3,-0.06527487613550877
Ru0P8S5,-0.10578841299101653
Ru0P8S7,-0.1162863534370514
Ru0P8S9,-0.23185104665322648
Ru0P8S11,-0.22268901796579763
Ru0P9S1,-0.04386228882947116
Ru0P9S2,-0.06119468050271019
Ru0P9S4,-0.09663980545345602
Ru0P9S5,-0.10361361887336948
Ru0P9S7,-0.11595385155735215
Ru0P9S8,-0.12114443882154995
Ru0P9S10,-0.22534636553570273
Ru0P9S11,-0.22078142087798686
Ru0P10S1,-0.05221476044119278
Ru0P10S3,-0.0787215358757685
Ru0P10S7,-0.12465483384319494
Ru0P10S9,-0.12938558845700218
Ru0P11S1,-0.06539568875797402
Ru0P11S2,-0.08104019496667761
Ru0P11S3,-0.07983965925239188
Ru0P11S4,-0.08882590606930046
Ru0P11S5,-0.10859886454436514
Ru0P11S6,-0.12382813054649162
Ru0P11S7,-0.12182785440596548
Ru0P11S8,-0.12249108845700216
Ru0P11S9,-0.12930767946599317
Ru0P12S1,-0.0739133190610043
Ru0P12S5,-0.11653008509194619
Ru0P12S7,-0.12204199321890692
Ru0P13S1,-0.07522762100905628
Ru0P13S2,-0.08435733241256503
Ru0P13S3,-0.09966239446162709
Ru0P13S4,-0.10489727108500374
Ru0P13S5,-0.11111736858476917
Ru0P13S6,-0.11890885685527057
Ru0P13S7,-0.11910786994218363
Ru0P14S1,-0.08949044496288025
Ru0P14S3,-0.09246274186422447
Ru0P14S5,-0.1129018687030719
Ru0P15S1,-0.08868234972478499
Ru0P15S2,-0.09441715095513356
Ru0P15S4,-0.09927263846937368
Ru1P0S0,-0.22195404780047098
Ru1P0S1,-0.47353817295204775
Ru1P0S2,-0.3879490799923763
Ru1P0S3,-0.3454073193468811
Ru1P0S4,-0.2887684394047646
Ru1P0S5,-0.24362021693034364
Ru1P0S6,-0.222567959493843
Ru1P0S7,-0.19204976680383595
Ru1P0S8,-0.17832737403831112
Ru1P0S9,-0.17426925634601026
Ru1P0S10,-0.17154195770307254
Ru1P0S11,-0.1640031823500458
Ru1P0S12,-0.16141915917775887
Ru1P0S13,-0.1601086193711602
Ru1P0S14,-0.16300761858587737
Ru1P0S15,-0.1692448976175612
Ru1P1S0,-0.1249796452380952
Ru1P1S1,-0.6843999999999982
Ru1P1S2,-0.38468742382617377
Ru1P1S3,-0.2831200000000002
Ru1P1S4,-0.4405500000000011
Ru1P1S5,-0.312052413006
Ru1P1S6,-0.22316225651249344
Ru1P1S7,-0.20691832620946315
Ru1P1S8,-0.1992545913398693
Ru1P1S9,-0.17376901486079274
Ru1P1S10,-0.17890586125753327
Ru1P1S11,-0.16951769245759396
Ru1P1S12,-0.1636867797140595
Ru1P1S13,-0.10922501768052202
Ru1P1S14,-0.10150492833946234
Ru1P1S15,-0.09782509520015582
Ru1P2S0,-0.05131968636363635
Ru1P2S1,-0.26029510209790213
Ru1P2S2,-0.3090222606227107
Ru1P2S3,-0.3908572820512824
Ru1P2S4,-0.3096878159035409
Ru1P2S5,-0.23407158862497154
Ru1P2S6,-0.19492222222222225
Ru1P2S7,-0.2073
Ru1P2S8,-0.17715454545454537
Ru1P2S9,-0.17754281904761895
Ru1P2S10,-0.18315234380347029
Ru1P2S11,-0.1603369276678344
Ru1P2S12,-0.11486192045054182
Ru1P2S13,-0.1041057111606487
Ru1P2S14,-0.09557064736733852
Ru1P2S15,-0.09661433269764284
Ru1P3S0,-0.03465538359155465
Ru1P3S1,-0.20319511666666668
Ru1P3S2,-0.20504731428571418
Ru1P3S3,-0.25628513511021156
Ru1P3S4,-0.23868825645188146
Ru1P3S5,-0.21124001152181143
Ru1P3S6,-0.20109037100415936
Ru1P3S7,-0.1790212598930481
Ru1P3S8,-0.1778863789576436
Ru1P3S9,-0.18102348775771865
Ru1P3S10,-0.16394892546469694
Ru1P3S11,-0.12235301948239229
Ru1P3S12,-0.10325294932542507
Ru1P3S13,-0.09453648556149732
Ru1P3S14,-0.09387016278551168
Ru1P3S15,-0.11753135272807683
Ru1P4S0,-0.017002339691010747
Ru1P4S1,-0.19171038928571413
Ru1P4S2,-0.1207508637667887
Ru1P4S3,-0.028420676479076486
Ru1P4S4,-0.1448811275378217
Ru1P4S5,-0.20343926977205812
Ru1P4S6,-0.1865928742042271
Ru1P4S7,-0.18459450587386464
Ru1P4S8,-0.18139562489378525
Ru1P4S9,-0.15885817469286814
Ru1P4S10,-0.13410018471030166
Ru1P4S11,-0.09336693005123527
Ru1P4S12,-0.08410000000000008
Ru1P4S13,-0.09853704312251209
Ru1P4S14,-0.11566156659161267
Ru1P4S15,-0.13682947512910196
Ru1P5S0,-0.00020647140243656116
Ru1P5S1,-0.09008063836996331
Ru1P5S2,-0.03171371662846958
Ru1P5S3,-0.02164395999490706
Ru1P5S4,-0.03498370718105424
Ru1P5S5,-0.13187323362911593
Ru1P5S6,-0.18084209151045028
Ru1P5S7,-0.18368487310075537
Ru1P5S8,-0.17802827302436122
Ru1P5S9,-0.15936859551191834
Ru1P5S10,-0.10450895123789175
Ru1P5S11,-0.10799304891283464
Ru1P5S12,-0.10328362671384336
Ru1P5S13,-0.12211137987616094
Ru1P5S14,-0.14712335040777066
Ru1P6S0,0.0020671346581695
Ru1P6S1,-0.03235694092916888
Ru1P6S2,-0.021491291813088877
Ru1P6S3,-0.024820080557677628
Ru1P6S4,-0.05716054758509463
Ru1P6S5,-0.06314788643578641
Ru1P6S6,-0.14163998702147518
Ru1P6S7,-0.1782076275867923
Ru1P6S8,-0.17403497611892754
Ru1P6S9,-0.126395923456351
Ru1P6S10,-0.1276093940568547
Ru1P6S11,-0.12907249078936192
Ru1P6S12,-0.13948566574725577
Ru1P6S13,-0.1709829551687819
Ru1P7S0,0.003114348943883787
Ru1P7S1,-0.027276323040195106
Ru1P7S2,-0.029928452130549198
Ru1P7S3,-0.0496212955648926
Ru1P7S4,-0.05998355786435785
Ru1P7S5,-0.07661646240981237
Ru1P7S6,-0.07230457186147182
Ru1P7S7,-0.13943123961212503
Ru1P7S8,-0.15139241522052077
Ru1P7S9,-0.1495078367330639
Ru1P7S10,-0.14830372787717952
Ru1P7S11,-0.15907897559406525
Ru1P7S12,-0.17765130979007218
Ru1P8S0,0.004910750675485517
Ru1P8S1,-0.03358422372562078
Ru1P8S2,-0.04278081720991428
Ru1P8S3,-0.05735166309736013
Ru1P8S4,-0.07148331529581527
Ru1P8S5,-0.07145541230370933
Ru1P8S6,-0.08215811951871654
