formula,target
Sr0P0S1,-0.23407036915518264
Sr0P1S0,0.002609444083694088
Sr0P1S1,-0.25385020394122554
Sr0P1S2,-0.2310874048153429
Sr0P1S3,-0.211892510823284
Sr0P1S4,-0.2011446531117919
Sr0P1S5,-0.18120884712099047
Sr0P1S6,-0.17035530497205753
Sr0P1S7,-0.1757307844393309
Sr0P1S8,-0.17731344143805114
Sr0P1S9,-0.17770079358769889
Sr0P1S10,-0.17389530669158845
Sr0P1S11,-0.17355469497781204
Sr0P1S12,-0.16992109567515393
Sr0P1S13,-0.1743600745354577
Sr0P1S14,-0.17047913856477204
Sr0P1S15,-0.16530531308457624
Sr0P2S1,-0.09387679610769344
Sr0P2S3,-0.2380716164147514
Sr0P2S5,-0.21472401478353093
Sr0P2S7,-0.1952177966201841
Sr0P2S9,-0.17800007941697107
Sr0P2S11,-0.18262295026526626
Sr0P2S13,-0.18049088119553308
Sr0P2S15,-0.1756215039983752
Sr0P3S1,-0.06426489120148854
Sr0P3S2,-0.07373743954203689
Sr0P3S4,-0.23335333212191142
Sr0P3S5,-0.23181487818211202
Sr0P3S7,-0.21441877812989393
Sr0P3S8,-0.20630427217997013
Sr0P3S10,-0.19437874228944435
Sr0P3S11,-0.1923362896641542
Sr0P3S13,-0.18888199013700435
Sr0P3S14,-0.18511375206187
Sr0P4S1,-0.043931002456899806
Sr0P4S3,-0.05470878676213706
Sr0P4S5,-0.23780494921768117
Sr0P4S7,-0.2218486509633298
Sr0P4S9,-0.21496591927736877
Sr0P4S11,-0.2108710096519065
Sr0P4S13,-0.2006574624394182
Sr0P4S15,-0.19967773371186773
Sr0P5S1,-0.02861491760841495
Sr0P5S2,-0.04291363160552895
Sr0P5S3,-0.06195743016420281
Sr0P5S4,-0.07205993077747841
Sr0P5S6,-0.23143875214873705
Sr0P5S7,-0.23271988643797722
Sr0P5S8,-0.23038656770568622
Sr0P5S9,-0.2329756169126884
Sr0P5S11,-0.2178095276665372
Sr0P5S12,-0.21062817488387092
Sr0P5S13,-0.21117162758988528
Sr0P5S14,-0.2152294109658832
Sr0P6S1,-0.029605153683897788
Sr0P6S5,-0.09173664444779503
Sr0P6S7,-0.2327781160197904
Sr0P6S11,-0.22498635749874496
Sr0P6S13,-0.21647911987871093
Sr0P7S1,-0.031146092942025274
Sr0P7S2,-0.041136186163715865
Sr0P7S3,-0.06349996757021785
Sr0P7S4,-0.08036247561662618
Sr0P7S5,-0.10576620411655765
Sr0P7S6,-0.1099895558481594
Sr0P7S8,-0.23244842425739048
Sr0P7S9,-0.22855643178556917
Sr0P7S10,-0.22986878575856554
Sr0P7S11,-0.21679413691774346
Sr0P7S12,-0.22098976927238576
Sr0P7S13,-0.21625736212095442
Sr0P8S1,-0.03317042843986077
Sr0P8S3,-0.06527487613550877
Sr0P8S5,-0.10578841299101653
Sr0P8S7,-0.1162863534370514
Sr0P8S9,-0.23185104665322648
Sr0P8S11,-0.22268901796579763
Sr0P9S1,-0.04386228882947116
Sr0P9S2,-0.06119468050271019
Sr0P9S4,-0.09663980545345602
Sr0P9S5,-0.10361361887336948
Sr0P9S7,-0.11595385155735215
Sr0P9S8,-0.12114443882154995
Sr0P9S10,-0.22534636553570273
Sr0P9S11,-0.22078142087798686
Sr0P10S1,-0.05221476044119278
Sr0P10S3,-0.0787215358757685
Sr0P10S7,-0.12465483384319494
Sr0P10S9,-0.12938558845700218
Sr0P11S1,-0.06539568875797402
Sr0P11S2,-0.08104019496667761
Sr0P11S3,-0.07983965925239188
Sr0P11S4,-0.08882590606930046
Sr0P11S5,-0.10859886454436514
Sr0P11S6,-0.12382813054649162
Sr0P11S7,-0.12182785440596548
Sr0P11S8,-0.12249108845700216
Sr0P11S9,-0.12930767946599317
Sr0P12S1,-0.0739133190610043
Sr0P12S5,-0.11653008509194619
Sr0P12S7,-0.12204199321890692
Sr0P13S1,-0.07522762100905628
Sr0P13S2,-0.08435733241256503
Sr0P13S3,-0.09966239446162709
Sr0P13S4,-0.10489727108500374
Sr0P13S5,-0.11111736858476917
Sr0P13S6,-0.11890885685527057
Sr0P13S7,-0.11910786994218363
Sr0P14S1,-0.08949044496288025
Sr0P14S3,-0.09246274186422447
Sr0P14S5,-0.1129018687030719
Sr0P15S1,-0.08868234972478499
Sr0P15S2,-0.09441715095513356
Sr0P15S4,-0.09927263846937368
Sr1P0S0,-0.2106163534947767
Sr1P0S1,-1.278323841888667
Sr1P0S2,-1.079368802722278
Sr1P0S3,-1.0429852986652242
Sr1P0S4,-0.9281764126697865
Sr1P0S5,-0.752669406564067
Sr1P0S6,-0.643416518108525
Sr1P0S7,-0.6028227764994035
Sr1P0S8,-0.5882842010452137
Sr1P0S9,-0.5725106798750182
Sr1P0S10,-0.5636573555841218
Sr1P0S11,-0.5589118569006931
Sr1P0S12,-0.5370581883277198
Sr1P0S13,-0.5100157583754221
Sr1P0S14,-0.4951885445400659
Sr1P0S15,-0.4843998824596284
Sr1P1S0,-1.0553000000000017
Sr1P1S1,-1.1518999999999986
Sr1P1S2,-1.1596831940170944
Sr1P1S3,-1.1746200000000016
Sr1P1S4,-0.970943432534132
Sr1P1S5,-0.7918883033796607
Sr1P1S6,-0.7028356471861469
Sr1P1S7,-0.6490930438197761
Sr1P1S8,-0.6277585890653206
Sr1P1S9,-0.614525904764104
Sr1P1S10,-0.6124476518581178
Sr1P1S11,-0.616836606989605
Sr1P1S12,-0.6060923833900536
Sr1P1S13,-0.5919083522869976
Sr1P1S14,-0.5852654580393463
Sr1P1S15,-0.5830757095919046
Sr1P2S0,-0.8004666666666655
Sr1P2S1,-1.1183669867521366
Sr1P2S2,-1.0672343808219562
Sr1P2S3,-0.8988709507770006
Sr1P2S4,-0.7717833813017388
Sr1P2S5,-0.7102225816055285
Sr1P2S6,-0.6547555555555548
Sr1P2S7,-0.6247002335383911
Sr1P2S8,-0.6151718512287505
