formula,target
Ta0P0S1,-0.23407036915518264
Ta0P1S0,0.002609444083694088
Ta0P1S1,-0.25385020394122554
Ta0P1S2,-0.2310874048153429
Ta0P1S3,-0.211892510823284
Ta0P1S4,-0.2011446531117919
Ta0P1S5,-0.18120884712099047
Ta0P1S6,-0.17035530497205753
Ta0P1S7,-0.1757307844393309
Ta0P1S8,-0.17731344143805114
Ta0P1S9,-0.17770079358769889
Ta0P1S10,-0.17389530669158845
Ta0P1S11,-0.17355469497781204
Ta0P1S12,-0.16992109567515393
Ta0P1S13,-0.1743600745354577
Ta0P1S14,-0.17047913856477204
Ta0P1S15,-0.16530531308457624
Ta0P2S1,-0.09387679610769344
Ta0P2S3,-0.2380716164147514
Ta0P2S5,-0.21472401478353093
Ta0P2S7,-0.1952177966201841
Ta0P2S9,-0.17800007941697107
Ta0P2S11,-0.18262295026526626
Ta0P2S13,-0.18049088119553308
Ta0P2S15,-0.1756215039983752
Ta0P3S1,-0.06426489120148854
Ta0P3S2,-0.07373743954203689
Ta0P3S4,-0.23335333212191142
Ta0P3S5,-0.23181487818211202
Ta0P3S7,-0.21441877812989393
Ta0P3S8,-0.20630427217997013
Ta0P3S10,-0.19437874228944435
Ta0P3S11,-0.1923362896641542
Ta0P3S13,-0.18888199013700435
Ta0P3S14,-0.18511375206187
Ta0P4S1,-0.043931002456899806
Ta0P4S3,-0.05470878676213706
Ta0P4S5,-0.23780494921768117
Ta0P4S7,-0.2218486509633298
Ta0P4S9,-0.21496591927736877
Ta0P4S11,-0.2108710096519065
Ta0P4S13,-0.2006574624394182
Ta0P4S15,-0.19967773371186773
Ta0P5S1,-0.02861491760841495
Ta0P5S2,-0.04291363160552895
Ta0P5S3,-0.06195743016420281
Ta0P5S4,-0.07205993077747841
Ta0P5S6,-0.23143875214873705
Ta0P5S7,-0.23271988643797722
Ta0P5S8,-0.23038656770568622
Ta0P5S9,-0.2329756169126884
Ta0P5S11,-0.2178095276665372
Ta0P5S12,-0.21062817488387092
Ta0P5S13,-0.21117162758988528
Ta0P5S14,-0.2152294109658832
Ta0P6S1,-0.029605153683897788
Ta0P6S5,-0.09173664444779503
Ta0P6S7,-0.2327781160197904
Ta0P6S11,-0.22498635749874496
