formula,target
V0P0S1,-0.24371520801455154
V0P1S0,0.005806709999168353
V0P1S1,-0.2415601792065347
V0P1S2,-0.23971060866325786
V0P1S3,-0.22536134126269317
V0P1S4,-0.20658071230627809
V0P1S5,-0.19114710907510093
V0P1S6,-0.18560216841534793
V0P1S7,-0.18945754676619392
V0P1S8,-0.18974397761059886
V0P1S9,-0.19228760688235913
V0P1S10,-0.1883998393187566
V0P1S11,-0.18203614324946635
V0P1S12,-0.18279504783197523
V0P1S13,-0.182962014216004
V0P1S14,-0.18814315587053113
V0P1S15,-0.18990746790318372
V0P2S1,-0.10501237553732821
V0P2S3,-0.2509083315826588
V0P2S5,-0.2235543816672578
V0P2S7,-0.202612103507509
V0P2S9,-0.19944143334717399
V0P2S11,-0.18550790074764403
V0P2S13,-0.18318321334902612
V0P2S15,-0.1955403408781018
V0P3S1,-0.04517520448223943
V0P3S2,-0.07275795022081459
V0P3S4,-0.25674403786906247
V0P3S5,-0.24415404375165597
V0P3S7,-0.2206939431678917
V0P3S8,-0.21587199307615332
V0P3S10,-0.20815881589035318
V0P3S11,-0.19179632154831747
V0P3S13,-0.20118243600877952
V0P3S14,-0.20389196414112193
V0P4S1,-0.025881859540339218
V0P4S3,-0.07339444578321573
V0P4S5,-0.2514373592185421
V0P4S7,-0.2364235750178614
V0P4S9,-0.22566745851917264
V0P4S11,-0.21215852978016134
V0P4S13,-0.21677748460655263
V0P4S15,-0.2132792876730425
V0P5S1,-0.0314163393462746
V0P5S2,-0.052102371983649254
V0P5S3,-0.07246864668231662
V0P5S4,-0.08273420682217682
V0P5S6,-0.24804651715860682
V0P5S7,-0.2475517085953091
V0P5S8,-0.2456043642451288
V0P5S9,-0.23934631410124108
V0P5S11,-0.233375223153197
V0P5S12,-0.234727515818753
V0P5S13,-0.23470357024684982
V0P5S14,-0.23121676621672105
V0P6S1,-0.03513107895666422
V0P6S5,-0.09442735810627284
V0P6S7,-0.2515216521402746
V0P6S11,-0.24397438917829675
V0P6S13,-0.23752785277871427
V0P7S1,-0.03632923502282028
V0P7S2,-0.047778163988952196
V0P7S3,-0.0676595766411263
V0P7S4,-0.0885590105926753
V0P7S5,-0.11223962794754262
V0P7S6,-0.11616349990891461
V0P7S8,-0.2509064791743001
V0P7S9,-0.2500237938721925
