formula,target
Zr0P0S1,-0.23407036915518264
Zr0P1S0,0.002609444083694088
Zr0P1S1,-0.25385020394122554
Zr0P1S2,-0.2310874048153429
Zr0P1S3,-0.211892510823284
Zr0P1S4,-0.2011446531117919
Zr0P1S5,-0.18120884712099047
Zr0P1S6,-0.17035530497205753
Zr0P1S7,-0.1757307844393309
Zr0P1S8,-0.17731344143805114
Zr0P1S9,-0.17770079358769889
Zr0P1S10,-0.17389530669158845
Zr0P1S11,-0.17355469497781204
Zr0P1S12,-0.16992109567515393
Zr0P1S13,-0.1743600745354577
Zr0P1S14,-0.17047913856477204
Zr0P1S15,-0.16530531308457624
Zr0P2S1,-0.09387679610769344
Zr0P2S3,-0.2380716164147514
Zr0P2S5,-0.21472401478353093
Zr0P2S7,-0.1952177966201841
Zr0P2S9,-0.17800007941697107
Zr0P2S11,-0.18262295026526626
Zr0P2S13,-0.18049088119553308
Zr0P2S15,-0.1756215039983752
Zr0P3S1,-0.06426489120148854
Zr0P3S2,-0.07373743954203689
Zr0P3S4,-0.23335333212191142
Zr0P3S5,-0.23181487818211202
Zr0P3S7,-0.21441877812989393
Zr0P3S8,-0.20630427217997013
Zr0P3S10,-0.19437874228944435
Zr0P3S11,-0.1923362896641542
Zr0P3S13,-0.18888199013700435
Zr0P3S14,-0.18511375206187
Zr0P4S1,-0.043931002456899806
Zr0P4S3,-0.05470878676213706
Zr0P4S5,-0.23780494921768117
Zr0P4S7,-0.2218486509633298
Zr0P4S9,-0.21496591927736877
Zr0P4S11,-0.2108710096519065
Zr0P4S13,-0.2006574624394182
Zr0P4S15,-0.19967773371186773
Zr0P5S1,-0.02861491760841495
Zr0P5S2,-0.04291363160552895
Zr0P5S3,-0.06195743016420281
Zr0P5S4,-0.07205993077747841
Zr0P5S6,-0.23143875214873705
Zr0P5S7,-0.23271988643797722
Zr0P5S8,-0.23038656770568622
Zr0P5S9,-0.2329756169126884
Zr0P5S11,-0.2178095276665372
Zr0P5S12,-0.21062817488387092
Zr0P5S13,-0.21117162758988528
Zr0P5S14,-0.2152294109658832
Zr0P6S1,-0.029605153683897788
Zr0P6S5,-0.09173664444779503
Zr0P6S7,-0.2327781160197904
Zr0P6S11,-0.22498635749874496
Zr0P6S13,-0.21647911987871093
Zr0P7S1,-0.031146092942025274
Zr0P7S2,-0.041136186163715865
Zr0P7S3,-0.06349996757021785
Zr0P7S4,-0.08036247561662618
Zr0P7S5,-0.10576620411655765
Zr0P7S6,-0.1099895558481594
Zr0P7S8,-0.23244842425739048
Zr0P7S9,-0.22855643178556917
Zr0P7S10,-0.22986878575856554
Zr0P7S11,-0.21679413691774346
Zr0P7S12,-0.22098976927238576
Zr0P7S13,-0.21625736212095442
Zr0P8S1,-0.03317042843986077
Zr0P8S3,-0.06527487613550877
Zr0P8S5,-0.10578841299101653
Zr0P8S7,-0.1162863534370514
Zr0P8S9,-0.23185104665322648
Zr0P8S11,-0.22268901796579763
Zr0P9S1,-0.04386228882947116
Zr0P9S2,-0.06119468050271019
Zr0P9S4,-0.09663980545345602
Zr0P9S5,-0.10361361887336948
Zr0P9S7,-0.11595385155735215
Zr0P9S8,-0.12114443882154995
Zr0P9S10,-0.22534636553570273
Zr0P9S11,-0.22078142087798686
Zr0P10S1,-0.05221476044119278
Zr0P10S3,-0.0787215358757685
Zr0P10S7,-0.12465483384319494
Zr0P10S9,-0.12938558845700218
Zr0P11S1,-0.06539568875797402
Zr0P11S2,-0.08104019496667761
Zr0P11S3,-0.07983965925239188
Zr0P11S4,-0.08882590606930046
Zr0P11S5,-0.10859886454436514
Zr0P11S6,-0.12382813054649162
Zr0P11S7,-0.12182785440596548
Zr0P11S8,-0.12249108845700216
Zr0P11S9,-0.12930767946599317
Zr0P12S1,-0.0739133190610043
Zr0P12S5,-0.11653008509194619
Zr0P12S7,-0.12204199321890692
Zr0P13S1,-0.07522762100905628
Zr0P13S2,-0.08435733241256503
Zr0P13S3,-0.09966239446162709
Zr0P13S4,-0.10489727108500374
Zr0P13S5,-0.11111736858476917
Zr0P13S6,-0.11890885685527057
Zr0P13S7,-0.11910786994218363
Zr0P14S1,-0.08949044496288025
Zr0P14S3,-0.09246274186422447
Zr0P14S5,-0.1129018687030719
Zr0P15S1,-0.08868234972478499
Zr0P15S2,-0.09441715095513356
Zr0P15S4,-0.09927263846937368
Zr1P0S0,-0.21007331145348462
Zr1P0S1,-1.1921915041514035
Zr1P0S2,-0.9439107241165954
Zr1P0S3,-0.7285240529214161
Zr1P0S4,-0.7162550274007897
Zr1P0S5,-0.6421286615543899
Zr1P0S6,-0.5877040495262134
Zr1P0S7,-0.5686999049103716
Zr1P0S8,-0.5435322065499515
Zr1P0S9,-0.49655294361855
Zr1P0S10,-0.4856690307741017
Zr1P0S11,-0.4755955852123106
Zr1P0S12,-0.4711049721586976
Zr1P0S13,-0.45968799605894595
Zr1P0S14,-0.46116421174522043
Zr1P0S15,-0.44536820208563327
Zr1P1S0,-0.8248505019647019
Zr1P1S1,-1.3642666666666667
Zr1P1S2,-0.5686249999999992
Zr1P1S3,-0.7272045492784991
Zr1P1S4,-0.7785110277777778
Zr1P1S5,-0.7278132733628945
Zr1P1S6,-0.7035915778157512
Zr1P1S7,-0.6975325258297255
Zr1P1S8,-0.6386314484848485
Zr1P1S9,-0.5837792163101608
Zr1P1S10,-0.569014189838799
Zr1P1S11,-0.5470445352167266
Zr1P1S12,-0.5289556829467827
Zr1P1S13,-0.5034180629264781
Zr1P1S14,-0.4783441674641144
Zr1P1S15,-0.46567670850924014
Zr1P2S0,-0.6112410588855588
Zr1P2S1,-0.8035238436618932
Zr1P2S2,-0.7687847153291156
Zr1P2S3,-0.7512150781537176
Zr1P2S4,-0.7236218548872182
Zr1P2S5,-0.7000558730576439
Zr1P2S6,-0.7122111111111107
Zr1P2S7,-0.6715599999999996
Zr1P2S8,-0.6115727272727284
Zr1P2S9,-0.5778292540396311
Zr1P2S10,-0.5488369913664592
Zr1P2S11,-0.5269711923201494
Zr1P2S12,-0.5092012128360112
Zr1P2S13,-0.48815399149388583
Zr1P2S14,-0.46616877268036316
Zr1P2S15,-0.4603738329815173
Zr1P3S0,-0.4674793516764282
Zr1P3S1,-0.7913127040053518
