formula,target
Bi0P0S1,-0.227971185529907
Bi0P1S0,-0.02402899110607312
Bi0P1S1,-0.2647686995927705
Bi0P1S2,-0.25372746665947554
Bi0P1S3,-0.230590442867083
Bi0P1S4,-0.20913826026184
Bi0P1S5,-0.19231135631201443
Bi0P1S6,-0.18935166027292274
Bi0P1S7,-0.1909560049870322
Bi0P1S8,-0.19318934665826948
Bi0P1S9,-0.19581561052641028
Bi0P1S10,-0.19492237690458836
Bi0P1S11,-0.19101020587300557
Bi0P1S12,-0.19201175202468668
Bi0P1S13,-0.18905109976844617
Bi0P1S14,-0.18551204050156922
Bi0P1S15,-0.1713813505811955
Bi0P2S1,-0.0656864403318903
Bi0P2S3,-0.24478384692401672
Bi0P2S5,-0.23006508458749714
Bi0P2S7,-0.2155270624925986
Bi0P2S9,-0.20435137051898045
Bi0P2S11,-0.19375902933842898
Bi0P2S13,-0.18887804604422923
Bi0P2S15,-0.17769453447442646
Bi0P3S1,-0.034442472049888505
Bi0P3S2,-0.03786110902423167
Bi0P3S4,-0.25757537372147965
Bi0P3S5,-0.24616814935833847
Bi0P3S7,-0.23005554470358508
Bi0P3S8,-0.2246481666997777
Bi0P3S10,-0.21210295311808078
Bi0P3S11,-0.2088588065940166
Bi0P3S13,-0.20566350533233532
Bi0P3S14,-0.19155378803915377
Bi0P4S1,-0.022341019957089668
Bi0P4S3,-0.025660807152488026
Bi0P4S5,-0.261742310835097
Bi0P4S7,-0.24113831090167998
Bi0P4S9,-0.23082066144019375
Bi0P4S11,-0.22601846924401706
Bi0P4S13,-0.20735280151693847
Bi0P4S15,-0.20763651020293764
Bi0P5S1,-0.0014573331605528905
Bi0P5S2,-0.01844059001896795
Bi0P5S3,-0.04007811624551917
Bi0P5S4,-0.05192420946129031
Bi0P5S6,-0.2545762329632784
Bi0P5S7,-0.24873135098406057
Bi0P5S8,-0.24340494559639697
Bi0P5S9,-0.2447077146728313
Bi0P5S11,-0.23586861760715203
Bi0P5S12,-0.2297493542327212
Bi0P5S13,-0.21600941553102043
Bi0P5S14,-0.21706904557187737
Bi0P6S1,-0.002990775742970474
Bi0P6S5,-0.06206636176160437
Bi0P6S7,-0.25552151884076524
Bi0P6S11,-0.23981781469231653
Bi0P6S13,-0.22484145000006006
Bi0P7S1,-0.01733791535336009
Bi0P7S2,-0.029361148934974546
Bi0P7S3,-0.055101660002415835
Bi0P7S4,-0.05895890924059596
Bi0P7S5,-0.07940292868291836
Bi0P7S6,-0.08438459238718794
Bi0P7S8,-0.25799979311155813
Bi0P7S9,-0.2563626125237249
Bi0P7S10,-0.24977433695646453
Bi0P7S11,-0.23964781273251165
Bi0P7S12,-0.23405371051543045
Bi0P7S13,-0.23524450360108579
Bi0P8S1,-0.024053398756721422
Bi0P8S3,-0.04965443003042704
Bi0P8S5,-0.0831467650465547
Bi0P8S7,-0.10799941416279797
Bi0P8S9,-0.25188593844561863
Bi0P8S11,-0.23501665332803584
Bi0P9S1,-0.03483571921126686
Bi0P9S2,-0.04023041159731219
Bi0P9S4,-0.08280889291460168
Bi0P9S5,-0.09152708371971162
Bi0P9S7,-0.1252385914737223
Bi0P9S8,-0.11946693754790952
Bi0P9S10,-0.23490761485364473
Bi0P9S11,-0.2382057783881494
Bi0P10S1,-0.039792978951526614
Bi0P10S3,-0.0731405669801646
Bi0P10S7,-0.1137604824592074
Bi0P10S9,-0.11616756817198104
Bi0P11S1,-0.05005647895152661
Bi0P11S2,-0.07016095730650494
Bi0P11S3,-0.07953636572390453
Bi0P11S4,-0.09182279122544118
Bi0P11S5,-0.10762998740426236
Bi0P11S6,-0.1050546562354312
Bi0P11S7,-0.11353126041948242
Bi0P11S8,-0.11735331817198104
Bi0P11S9,-0.1278102694405267
Bi0P12S1,-0.07016095730650494
Bi0P12S5,-0.10083475883283381
Bi0P12S7,-0.1106611166617266
Bi0P13S1,-0.07468940323639205
Bi0P13S2,-0.08532539674288558
Bi0P13S3,-0.0993438180715569
Bi0P13S4,-0.09395538343952226
Bi0P13S5,-0.10471152224589135
Bi0P13S6,-0.1084573330015959
Bi0P13S7,-0.11808236013806449
Bi0P14S1,-0.083535068171457
Bi0P14S3,-0.09748750248714133
Bi0P14S5,-0.10423743559899849
Bi0P15S1,-0.08893518505457386
Bi0P15S2,-0.0954003156739545
Bi0P15S4,-0.09735806020568695
Bi1P0S0,-0.2443823342637668
Bi1P0S1,-0.44202830305527785
Bi1P0S2,-0.364990235170531
Bi1P0S3,-0.30869582123972505
Bi1P0S4,-0.2821209273296104
Bi1P0S5,-0.25183915938125334
Bi1P0S6,-0.21120122386560805
Bi1P0S7,-0.18559354019929164
Bi1P0S8,-0.18569812545467954
Bi1P0S9,-0.18878220279722868
Bi1P0S10,-0.18745591221063942
Bi1P0S11,-0.19796507680110578
Bi1P0S12,-0.1988512920539987
Bi1P0S13,-0.20216973827901552
Bi1P0S14,-0.20106508143431223
Bi1P0S15,-0.20334160245512148
Bi1P1S0,-0.017537058941058933
Bi1P1S1,-0.12676666666666667
Bi1P1S2,-0.2621681333087963
Bi1P1S3,-0.24853999999999948
Bi1P1S4,-0.3457333333333327
Bi1P1S5,-0.10494335820861292
Bi1P1S6,-0.029224999999999977
Bi1P1S7,-0.11139195339137992
Bi1P1S8,-0.14372018158932579
Bi1P1S9,-0.15493097350851773
Bi1P1S10,-0.15171189504515098
Bi1P1S11,-0.1499155661681456
Bi1P1S12,-0.14534600658078595
Bi1P1S13,-0.14020280392647427
Bi1P1S14,-0.14097736390948234
Bi1P1S15,-0.13577275706644573
Bi1P2S0,0.06128831926406925
Bi1P2S1,-0.014779106709956729
Bi1P2S2,-0.1729220423976608
Bi1P2S3,-0.30133719844891904
Bi1P2S4,-0.24231345133011106
Bi1P2S5,-0.16997097218206633
Bi1P2S6,-0.14881475299014713
Bi1P2S7,-0.16601
Bi1P2S8,-0.18234545454545487
Bi1P2S9,-0.1670705980457452
Bi1P2S10,-0.16136670663160385
Bi1P2S11,-0.15517490262090858
Bi1P2S12,-0.14769379481211087
Bi1P2S13,-0.14683757936349853
Bi1P2S14,-0.14663584682761338
Bi1P2S15,-0.13983595914600533
Bi1P3S0,0.07995847943722942
Bi1P3S1,0.07068420909090908
Bi1P3S2,0.09311040173160168
Bi1P3S3,-0.11500946922545972
Bi1P3S4,-0.20142123243213614
Bi1P3S5,-0.22167859046021907
Bi1P3S6,-0.21884031077336832
Bi1P3S7,-0.19425122975978273
Bi1P3S8,-0.17838187665537092
Bi1P3S9,-0.16548555096733342
Bi1P3S10,-0.161189070940171
Bi1P3S11,-0.15317137922551313
Bi1P3S12,-0.14819213874334303
Bi1P3S13,-0.150255546455196
Bi1P3S14,-0.14302205824592507
Bi1P3S15,-0.14383700618963938
Bi1P4S0,0.08873170346320344
Bi1P4S1,0.10870532121212113
Bi1P4S2,0.10197822178083348
Bi1P4S3,0.09879613425112894
Bi1P4S4,-0.1235707176281407
Bi1P4S5,-0.22288995079577276
Bi1P4S6,-0.2257688799900821
Bi1P4S7,-0.21567921874544443
Bi1P4S8,-0.19485606237910702
Bi1P4S9,-0.19119391427327403
Bi1P4S10,-0.1725187798221043
Bi1P4S11,-0.15969823292008994
Bi1P4S12,-0.15781465862360897
Bi1P4S13,-0.16077076683743668
Bi1P4S14,-0.17006975459314502
Bi1P4S15,-0.18122393861436115
Bi1P5S0,0.09411714834814307
Bi1P5S1,0.11586226645021634
Bi1P5S2,0.10602254753840928
Bi1P5S3,0.08636014039555215
Bi1P5S4,0.06513335422625194
Bi1P5S5,-0.12040932235935718
Bi1P5S6,-0.21713665416705757
Bi1P5S7,-0.2147087012415173
Bi1P5S8,-0.20683436845909509
Bi1P5S9,-0.19298165845228044
Bi1P5S10,-0.18963641612632298
Bi1P5S11,-0.1931874379326213
Bi1P5S12,-0.19250110097223908
Bi1P5S13,-0.20109057973063243
Bi1P5S14,-0.20666432797434775
Bi1P6S0,0.10235948059922531
Bi1P6S1,0.1194654564935064
Bi1P6S2,0.09543273888040064
Bi1P6S3,0.07367477217553692
Bi1P6S4,0.044230939269966345
Bi1P6S5,0.03717338518385639
Bi1P6S6,-0.13289328782909565
Bi1P6S7,-0.21142903386115083
Bi1P6S8,-0.20237865666483498
Bi1P6S9,-0.2006641554839725
Bi1P6S10,-0.20287320140894544
Bi1P6S11,-0.21172489751205117
Bi1P6S12,-0.21697084946557582
Bi1P6S13,-0.2173648821247639
Bi1P7S0,0.0895750179084074
Bi1P7S1,0.1060675627705627
Bi1P7S2,0.08679433664374842
Bi1P7S3,0.05818324533995417
Bi1P7S4,0.031137497175064362
Bi1P7S5,0.020702373865453417
Bi1P7S6,0.0016584476739978163
Bi1P7S7,-0.12373684643210256
Bi1P7S8,-0.1989939358254061
Bi1P7S9,-0.20129088958928926
Bi1P7S10,-0.21195693306215632
